dailyViewcount,numShare,numSubscriber,watchTime,date
345475,4927,276,1331893.31667,2017-05-06
497778,5986,452,1813203.06667,2017-05-07
297301,2766,207,1087342.0,2017-05-08
229696,1835,123,810515.783333,2017-05-09
217551,1637,89,706939.366667,2017-05-10
189840,1103,103,653489.966667,2017-05-11
228600,1271,135,775034.6,2017-05-12
165444,883,126,568315.083333,2017-05-13
134417,740,42,480201.2,2017-05-14
116372,639,61,404998.283333,2017-05-15
120778,630,44,427724.433333,2017-05-16
139180,761,63,485011.116667,2017-05-17
146118,761,53,509339.333333,2017-05-18
138020,662,53,489151.033333,2017-05-19
126676,617,48,451337.533333,2017-05-20
97619,562,43,348128.75,2017-05-21
93782,506,33,342035.066667,2017-05-22
