dailyViewcount,numShare,numSubscriber,watchTime,date
276792,4072,284,513089.65,2016-06-14
324366,3503,363,628243.716667,2016-06-15
407889,4643,683,804733.433333,2016-06-16
419718,4593,567,837180.316667,2016-06-17
333382,3420,393,699234.6,2016-06-18
281075,3062,337,591269.066667,2016-06-19
292873,2806,343,627348.533333,2016-06-20
229003,2088,225,489905.033333,2016-06-21
195346,1499,163,435070.066667,2016-06-22
208399,1472,139,476846.016667,2016-06-23
188649,1363,120,434515.133333,2016-06-24
163343,1210,109,367999.066667,2016-06-25
140312,1182,93,315009.616667,2016-06-26
145683,1059,109,337898.033333,2016-06-27
139547,975,117,327590.416667,2016-06-28
162320,1078,118,385033.566667,2016-06-29
140662,938,95,334627.083333,2016-06-30
140858,808,99,339724.933333,2016-07-01
144031,890,101,340226.733333,2016-07-02
141076,842,99,327711.866667,2016-07-03
141569,741,100,339485.433333,2016-07-04
154071,892,97,363648.05,2016-07-05
165543,891,99,389764.95,2016-07-06
148808,922,94,353607.45,2016-07-07
141383,754,88,334445.25,2016-07-08
143491,739,94,337954.316667,2016-07-09
113126,720,77,263543.033333,2016-07-10
132838,786,71,318847.883333,2016-07-11
128014,748,79,311725.616667,2016-07-12
130905,759,75,320718.633333,2016-07-13
113517,674,71,278509.783333,2016-07-14
92103,598,50,225646.966667,2016-07-15
89085,495,56,212625.35,2016-07-16
83164,556,45,197921.266667,2016-07-17
100865,596,53,246823.816667,2016-07-18
100625,603,49,249249.916667,2016-07-19
113106,651,69,268806.0,2016-07-20
127907,703,57,290602.666667,2016-07-21
270690,1191,143,544254.816667,2016-07-22
158449,837,93,350441.083333,2016-07-23
125006,758,49,281544.95,2016-07-24
90773,595,54,210413.1,2016-07-25
91332,642,56,212971.983333,2016-07-26
87063,553,51,205700.116667,2016-07-27
82896,548,38,197318.716667,2016-07-28
82167,498,44,195896.016667,2016-07-29
82288,452,42,193085.916667,2016-07-30
75457,483,36,175519.616667,2016-07-31
75356,478,34,179987.683333,2016-08-01
72718,430,26,175869.4,2016-08-02
66567,473,21,162072.9,2016-08-03
66068,389,25,158743.433333,2016-08-04
65318,335,36,156826.983333,2016-08-05
67155,397,28,160719.566667,2016-08-06
59906,419,22,138113.683333,2016-08-07
69488,416,43,159735.983333,2016-08-08
63373,393,34,149564.466667,2016-08-09
63143,409,28,147909.2,2016-08-10
62662,412,46,146710.7,2016-08-11
63831,420,30,148822.083333,2016-08-12
56286,367,23,129487.916667,2016-08-13
50584,329,27,117711.866667,2016-08-14
54760,333,22,127676.366667,2016-08-15
50123,326,18,120240.45,2016-08-16
48059,367,18,114521.816667,2016-08-17
47393,317,17,111975.25,2016-08-18
45497,276,19,107374.05,2016-08-19
41534,279,14,97798.6166667,2016-08-20
38580,301,16,88328.0,2016-08-21
41358,312,16,98813.05,2016-08-22
40197,272,17,95525.1,2016-08-23
39728,280,10,94112.4833333,2016-08-24
40784,315,10,94468.3,2016-08-25
41828,370,16,96173.5666667,2016-08-26
40891,365,28,95859.3166667,2016-08-27
38291,344,15,85934.75,2016-08-28
38287,340,16,88523.3666667,2016-08-29
37791,302,15,87192.9166667,2016-08-30
36347,274,17,84476.1,2016-08-31
34843,271,14,81273.0166667,2016-09-01
35501,254,14,81835.0166667,2016-09-02
37446,256,12,83481.0333333,2016-09-03
34595,272,22,75104.3,2016-09-04
33847,263,26,76918.0833333,2016-09-05
33546,267,17,76025.2,2016-09-06
33219,237,12,76561.7833333,2016-09-07
34354,287,13,77910.9666667,2016-09-08
36249,265,16,83683.8666667,2016-09-09
37253,269,19,83407.9833333,2016-09-10
33378,301,9,73950.7666667,2016-09-11
31793,234,12,72808.9666667,2016-09-12
30462,203,11,70750.8166667,2016-09-13
30887,224,13,69944.2333333,2016-09-14
31011,204,9,70715.2333333,2016-09-15
45969,295,24,95158.7666667,2016-09-16
39947,281,20,86249.35,2016-09-17
31488,256,18,70990.45,2016-09-18
28397,199,13,65465.7666667,2016-09-19
29563,219,12,67118.95,2016-09-20
29183,204,12,66035.5166667,2016-09-21
28949,216,13,67370.0333333,2016-09-22
30732,174,13,70597.9,2016-09-23
31974,211,14,72413.3166667,2016-09-24
26716,188,13,60798.9666667,2016-09-25
26536,212,18,62446.4333333,2016-09-26
28778,197,16,64887.7333333,2016-09-27
27964,206,10,64437.1,2016-09-28
26108,192,12,60221.9666667,2016-09-29
37573,219,24,81933.15,2016-09-30
40085,278,19,86535.5,2016-10-01
28073,222,18,63528.9333333,2016-10-02
25033,186,14,58243.5333333,2016-10-03
25673,168,11,60343.55,2016-10-04
25772,171,9,60338.8,2016-10-05
24904,166,6,57738.15,2016-10-06
26256,165,11,62225.2333333,2016-10-07
26677,185,8,61208.0833333,2016-10-08
23946,181,10,54213.4333333,2016-10-09
22642,197,8,52383.2833333,2016-10-10
21535,210,9,50444.0333333,2016-10-11
21553,207,14,49616.1166667,2016-10-12
20778,150,12,48160.7333333,2016-10-13
21574,155,8,49942.6666667,2016-10-14
23095,153,8,53457.4666667,2016-10-15
20025,131,6,46018.0666667,2016-10-16
20292,172,11,47184.2333333,2016-10-17
18332,141,10,43566.7333333,2016-10-18
19278,145,6,44473.4333333,2016-10-19
19242,134,9,45356.3833333,2016-10-20
20766,173,9,48909.2833333,2016-10-21
20691,161,10,48260.9,2016-10-22
17930,180,10,42153.8666667,2016-10-23
17757,141,9,42655.4833333,2016-10-24
18475,153,7,44790.2,2016-10-25
18427,158,8,44637.6833333,2016-10-26
19875,180,11,46284.5333333,2016-10-27
20984,166,8,48298.3666667,2016-10-28
21925,151,10,50383.2333333,2016-10-29
19638,152,13,44182.4166667,2016-10-30
19318,162,12,46027.6166667,2016-10-31
20577,197,14,47992.8833333,2016-11-01
20208,149,10,46324.1833333,2016-11-02
20626,173,17,48039.9166667,2016-11-03
21307,170,20,50686.2333333,2016-11-04
22168,223,12,52492.0333333,2016-11-05
21728,245,19,49705.9166667,2016-11-06
19919,174,10,48045.2333333,2016-11-07
19864,176,16,47246.3666667,2016-11-08
20730,180,13,48726.6166667,2016-11-09
20497,137,12,48805.6166667,2016-11-10
22688,181,6,52840.2166667,2016-11-11
23556,168,18,55479.9,2016-11-12
20380,188,9,46442.75,2016-11-13
19149,144,5,46309.7333333,2016-11-14
19886,175,15,45980.1333333,2016-11-15
19159,174,9,45324.3666667,2016-11-16
20148,189,13,47462.2333333,2016-11-17
21206,176,9,50289.55,2016-11-18
24431,200,19,56888.9666667,2016-11-19
21839,198,16,51142.7666667,2016-11-20
19839,163,7,47615.8333333,2016-11-21
19152,183,10,45929.85,2016-11-22
19343,165,9,46754.1,2016-11-23
19589,153,9,46733.4166667,2016-11-24
21720,175,11,51607.2333333,2016-11-25
22223,170,13,52336.2666667,2016-11-26
17788,193,8,43141.5666667,2016-11-27
19909,196,12,47497.5166667,2016-11-28
23511,212,18,55019.35,2016-11-29
20262,157,8,49324.1833333,2016-11-30
22165,202,18,49975.0833333,2016-12-01
22840,203,19,53854.2166667,2016-12-02
23372,206,19,55132.75,2016-12-03
25349,211,19,58307.45,2016-12-04
19544,187,4,47204.9666667,2016-12-05
19774,169,14,48837.0,2016-12-06
19431,184,13,46716.1166667,2016-12-07
19562,174,7,45855.1833333,2016-12-08
19835,148,6,46782.7833333,2016-12-09
18795,159,7,44934.7833333,2016-12-10
17381,169,11,40955.85,2016-12-11
17151,159,6,40053.2166667,2016-12-12
17172,145,7,39964.4166667,2016-12-13
23147,181,14,53494.4,2016-12-14
17854,178,14,42361.1666667,2016-12-15
17953,147,10,42719.9833333,2016-12-16
19099,156,7,44807.6166667,2016-12-17
16093,168,6,37848.1166667,2016-12-18
15147,148,7,36430.55,2016-12-19
15094,112,7,35952.6833333,2016-12-20
15808,155,9,38562.75,2016-12-21
15919,152,4,38665.4833333,2016-12-22
16106,114,7,38566.5666667,2016-12-23
14655,124,7,35858.3666667,2016-12-24
13734,159,10,32148.7333333,2016-12-25
14045,140,9,33386.8833333,2016-12-26
13915,123,8,33315.6333333,2016-12-27
14689,157,6,35230.6833333,2016-12-28
18908,156,13,43179.4166667,2016-12-29
18761,167,8,43836.4833333,2016-12-30
21269,159,11,51900.5166667,2016-12-31
13908,138,9,32868.6166667,2017-01-01
16003,169,9,37573.2833333,2017-01-02
17131,181,2,39945.9666667,2017-01-03
