dailyViewcount,numShare,numSubscriber,watchTime,date
680675,11402,0,1742862.23333,2017-01-23
1066857,11881,0,2677794.91667,2017-01-24
1297109,11942,0,3192040.08333,2017-01-25
1334227,10824,0,3300173.3,2017-01-26
1066587,7125,0,2607842.16667,2017-01-27
1019434,5867,898,2527328.13333,2017-01-28
879000,5272,929,2224464.41667,2017-01-29
988191,5285,1292,2595125.18333,2017-01-30
953378,4997,964,2546640.25,2017-01-31
994889,5100,1005,2662111.41667,2017-02-01
1042218,4836,977,2806989.98333,2017-02-02
1125506,4729,981,3003520.86667,2017-02-03
1107067,4701,854,2924677.76667,2017-02-04
980035,4612,812,2598421.28333,2017-02-05
1053020,5767,944,2864909.13333,2017-02-06
1081270,5319,820,2942420.15,2017-02-07
1125483,5182,824,3069214.06667,2017-02-08
1146385,5117,826,3129309.76667,2017-02-09
1199737,4602,719,3262633.15,2017-02-10
1248016,4845,702,3340189.13333,2017-02-11
1087797,4759,666,2926279.4,2017-02-12
1094523,4440,709,3021268.01667,2017-02-13
1057141,3887,670,2914116.65,2017-02-14
1031152,3959,654,2830816.55,2017-02-15
1085972,3999,728,2953844.33333,2017-02-16
1140290,4041,668,3078116.95,2017-02-17
1099933,3739,557,2954070.75,2017-02-18
1022999,3875,501,2751561.18333,2017-02-19
1074265,4030,614,2900686.3,2017-02-20
1038977,3909,584,2826964.95,2017-02-21
1256844,4620,878,3293476.36667,2017-02-22
1093830,3907,577,3024806.75,2017-02-23
1128939,3824,525,3119396.16667,2017-02-24
1125742,3753,510,3074447.8,2017-02-25
980797,3701,427,2710956.73333,2017-02-26
944078,3567,444,2645489.95,2017-02-27
979112,3503,436,2722517.01667,2017-02-28
979201,3586,457,2717710.35,2017-03-01
1026575,3662,481,2853797.03333,2017-03-02
1116691,3519,507,3068969.26667,2017-03-03
1168988,3771,601,3145934.78333,2017-03-04
1039850,4076,594,2822263.11667,2017-03-05
1021202,3710,530,2843703.05,2017-03-06
1019683,3497,459,2830344.2,2017-03-07
1021616,3445,545,2837242.58333,2017-03-08
1044650,3683,554,2900685.73333,2017-03-09
1197552,3690,513,3266191.96667,2017-03-10
1212205,3725,503,3275104.73333,2017-03-11
1013215,3670,483,2739993.01667,2017-03-12
1076403,3715,534,2924483.41667,2017-03-13
1118809,3843,539,3079124.71667,2017-03-14
1130624,3709,489,3131509.51667,2017-03-15
1211221,4021,510,3358436.36667,2017-03-16
1299279,3688,426,3598830.93333,2017-03-17
1341029,4078,496,3671445.28333,2017-03-18
1158845,4183,467,3174753.41667,2017-03-19
1177112,4235,501,3238826.41667,2017-03-20
1217161,4486,506,3358520.95,2017-03-21
1251960,4310,530,3464994.11667,2017-03-22
1339075,4330,539,3712531.68333,2017-03-23
1434846,4407,504,3958534.51667,2017-03-24
1465764,4414,456,4026021.43333,2017-03-25
1313342,4567,469,3613058.51667,2017-03-26
1311365,4354,538,3648601.93333,2017-03-27
1360957,4286,576,3749823.68333,2017-03-28
1471646,4563,567,4011728.45,2017-03-29
1526447,4473,530,4166301.35,2017-03-30
1713619,4653,564,4590689.18333,2017-03-31
1813370,4731,551,4801676.28333,2017-04-01
1605487,5223,587,4274231.1,2017-04-02
1596526,4950,619,4272540.46667,2017-04-03
1563702,4939,577,4204698.66667,2017-04-04
1727521,5306,611,4558197.73333,2017-04-05
1839035,5389,669,4832536.08333,2017-04-06
1943203,5169,628,5066578.85,2017-04-07
1959018,5196,578,5110038.98333,2017-04-08
1732472,5349,559,4520359.65,2017-04-09
1761675,5487,584,4621370.55,2017-04-10
1809082,5275,646,4741104.96667,2017-04-11
1955017,5738,725,5085766.56667,2017-04-12
2149329,5937,729,5558201.75,2017-04-13
2241148,5839,682,5798818.86667,2017-04-14
2150573,5731,574,5561209.43333,2017-04-15
1865992,5488,601,4841716.08333,2017-04-16
1893857,5773,655,4935280.23333,2017-04-17
1899421,5709,634,4970895.71667,2017-04-18
2023277,5900,675,5297174.4,2017-04-19
2143945,5669,706,5726153.68333,2017-04-20
2144687,5767,674,5735172.51667,2017-04-21
2072199,5380,596,5536447.18333,2017-04-22
1806815,5734,608,4828022.81667,2017-04-23
1809192,5327,694,4804077.41667,2017-04-24
1847565,5841,657,4904604.78333,2017-04-25
2009307,5871,691,5318901.63333,2017-04-26
2116625,5795,756,5600791.26667,2017-04-27
2278475,5860,739,6001848.65,2017-04-28
2419096,6020,669,6328205.7,2017-04-29
2111140,5655,688,5541962.85,2017-04-30
2133092,6065,776,5592716.06667,2017-05-01
2105316,6057,704,5569214.8,2017-05-02
2109590,6122,707,5608457.33333,2017-05-03
2196293,5902,713,5826761.08333,2017-05-04
2390922,5920,698,6324211.15,2017-05-05
2424833,5873,709,6397494.43333,2017-05-06
2156176,6106,673,5694958.96667,2017-05-07
2390267,8509,1124,6424782.5,2017-05-08
2458770,8838,1107,6671013.88333,2017-05-09
2567634,9153,1337,6957035.98333,2017-05-10
2527409,8861,1004,6881250.28333,2017-05-11
2705664,9385,1014,7246438.05,2017-05-12
2659888,8557,947,7056053.96667,2017-05-13
2481062,8598,893,6510421.2,2017-05-14
2246629,7724,965,6032211.4,2017-05-15
2345504,7650,876,6280483.01667,2017-05-16
2355563,7715,932,6285383.35,2017-05-17
2575279,7971,923,6851068.8,2017-05-18
2700454,8090,881,7173936.45,2017-05-19
2596777,7705,767,6924423.85,2017-05-20
2272307,7675,735,6095610.23333,2017-05-21
2392102,7372,924,6411275.03333,2017-05-22
