dailyViewcount,numShare,numSubscriber,watchTime,date
6020690,104706,4883,19290725.6333,2016-08-30
4519777,58710,3002,15020717.95,2016-08-31
5045370,56033,3268,16449547.9667,2016-09-01
6293622,59536,4232,19394150.2667,2016-09-02
6083025,53264,3586,18936741.6,2016-09-03
5847860,50214,2935,18066396.05,2016-09-04
5336100,42352,2408,16510031.85,2016-09-05
5038936,37603,2200,15569120.1833,2016-09-06
4944545,37174,1996,15203420.8667,2016-09-07
4677821,34306,1799,14344304.9167,2016-09-08
4896966,35549,1892,14643509.5667,2016-09-09
5195546,35457,1907,15480411.3667,2016-09-10
4453840,33189,1554,13393401.2,2016-09-11
4091205,28394,1442,12421939.4667,2016-09-12
4139360,28654,1100,12577595.4167,2016-09-13
4165717,28559,931,12526227.3833,2016-09-14
4139205,27314,1346,12481297.6,2016-09-15
4674441,29456,1548,13575652.4,2016-09-16
5132490,31426,1677,14857507.4,2016-09-17
4630600,31361,1492,13406909.6833,2016-09-18
4186630,26445,1375,12429048.9333,2016-09-19
4187344,24683,1290,12579746.7333,2016-09-20
4212142,24775,1217,12670883.7167,2016-09-21
4314086,24421,1055,12927481.1,2016-09-22
4908907,26569,1230,14220640.15,2016-09-23
5208831,28430,1608,15071419.6833,2016-09-24
4195807,26736,1141,12321858.4,2016-09-25
3757798,22846,1000,11279791.1,2016-09-26
3792872,22104,984,11370901.1,2016-09-27
3862249,22189,954,11595884.9167,2016-09-28
4014417,23854,1024,11969968.8667,2016-09-29
4264275,23347,1075,12492492.9167,2016-09-30
4870912,26869,1296,14056354.9167,2016-10-01
4417166,26660,1138,12732092.25,2016-10-02
4014853,22240,1022,11855007.6333,2016-10-03
3945823,21679,992,11692691.3333,2016-10-04
4007054,22078,1038,11863205.6833,2016-10-05
3968147,21140,985,11790421.4167,2016-10-06
4617108,23464,1121,13334984.75,2016-10-07
5085881,25346,1219,14622189.65,2016-10-08
4403007,24816,1098,12608469.5333,2016-10-09
4052021,21188,977,11897505.4167,2016-10-10
4377392,22488,1041,12744246.2833,2016-10-11
4613177,23395,1139,13397063.9,2016-10-12
4552772,22271,1172,13270291.7667,2016-10-13
4763935,23184,1191,13697752.8167,2016-10-14
5677431,26191,1400,16076223.45,2016-10-15
4933128,25076,1197,14022620.1833,2016-10-16
4505019,22184,974,13121858.5167,2016-10-17
4496882,21606,1047,13196709.35,2016-10-18
4559984,21741,1120,13335958.1,2016-10-19
4604260,22240,1031,13430954.8167,2016-10-20
4887226,23031,1122,14046625.1,2016-10-21
5498042,25923,1307,15581261.85,2016-10-22
4873099,25738,1165,13816322.7167,2016-10-23
4488491,21863,1025,13058945.1833,2016-10-24
4559440,21307,1034,13264695.1667,2016-10-25
4681005,21906,961,13609527.4167,2016-10-26
4783101,22395,1032,13836007.8833,2016-10-27
5068073,23485,1179,14579951.95,2016-10-28
5413887,24154,1309,15324015.7333,2016-10-29
4900665,23584,1134,13824659.9333,2016-10-30
4484087,19385,954,13012698.4,2016-10-31
4652044,21682,966,13331101.1667,2016-11-01
4892402,22662,1122,14027694.7833,2016-11-02
4979031,22132,1145,14307854.4,2016-11-03
5283149,22674,1142,15040236.6167,2016-11-04
5935926,25436,1332,16681909.15,2016-11-05
5166967,25124,1130,14562119.9667,2016-11-06
4545581,19624,982,13167223.85,2016-11-07
4504128,19456,957,13087090.0833,2016-11-08
4505370,19380,969,13045158.4667,2016-11-09
4759446,20242,986,13701986.2833,2016-11-10
5227243,22582,1114,14810543.2,2016-11-11
5682502,25034,1250,15846182.5833,2016-11-12
4823478,23815,1039,13487508.6333,2016-11-13
4514524,19458,915,12965513.3833,2016-11-14
4652483,19745,894,13294265.3667,2016-11-15
4781613,19994,952,13661256.65,2016-11-16
4897340,20569,992,13999254.3833,2016-11-17
5339710,21706,1135,14971221.9833,2016-11-18
6038182,24954,1278,16715205.0833,2016-11-19
5316948,24907,1071,14653824.2167,2016-11-20
5175097,23305,1147,14625123.95,2016-11-21
5257892,23085,1117,14905305.5167,2016-11-22
5548945,22823,1125,15702743.6,2016-11-23
5393872,22017,1154,15209943.9333,2016-11-24
5539341,23619,1129,15470015.2833,2016-11-25
5869630,25975,1228,16327455.3167,2016-11-26
5220870,25739,1100,14490759.5833,2016-11-27
