dailyViewcount,numShare,numSubscriber,watchTime,date
2831855,36463,1668,7251835.01667,2016-11-04
2331468,18678,960,5261824.25,2016-11-05
1263744,10064,605,2945436.46667,2016-11-06
1288112,10216,731,3068161.96667,2016-11-07
1466341,10191,1053,3284585.66667,2016-11-08
1226643,7799,754,2789162.86667,2016-11-09
1135275,7022,566,2705996.06667,2016-11-10
1158641,7073,516,2759923.66667,2016-11-11
1119296,6348,377,2615786.58333,2016-11-12
919310,5704,377,2140659.3,2016-11-13
921285,5204,380,2223888.61667,2016-11-14
928984,4930,405,2228763.08333,2016-11-15
898820,4722,334,2176784.01667,2016-11-16
907324,4587,320,2218788.68333,2016-11-17
1025146,4317,329,2513155.01667,2016-11-18
1079699,3872,293,2638839.73333,2016-11-19
935007,4176,269,2271599.61667,2016-11-20
934482,3904,268,2334305.51667,2016-11-21
942005,3767,271,2370517.86667,2016-11-22
1033934,3994,286,2598195.75,2016-11-23
968439,3297,233,2450924.51667,2016-11-24
956579,3402,273,2374644.9,2016-11-25
915122,3321,241,2275498.08333,2016-11-26
711108,2968,194,1782125.33333,2016-11-27
712718,2727,213,1820219.26667,2016-11-28
714035,2785,209,1835857.35,2016-11-29
728282,2687,198,1864942.36667,2016-11-30
745976,2637,249,1920013.28333,2016-12-01
772548,2542,204,1997759.73333,2016-12-02
785317,2598,186,2012649.18333,2016-12-03
668766,2736,179,1695276.71667,2016-12-04
639977,2417,160,1675230.13333,2016-12-05
660343,2423,193,1727141.5,2016-12-06
688502,2471,221,1797344.5,2016-12-07
649981,2420,153,1722300.45,2016-12-08
699893,2468,138,1843922.05,2016-12-09
723864,2421,146,1885085.78333,2016-12-10
572790,2275,112,1473872.78333,2016-12-11
554857,2283,126,1467853.0,2016-12-12
564066,2249,148,1492814.46667,2016-12-13
580734,2385,117,1535345.81667,2016-12-14
582059,2214,119,1527414.83333,2016-12-15
644734,2249,140,1703057.98333,2016-12-16
659370,2301,105,1714582.98333,2016-12-17
576870,2167,119,1493871.93333,2016-12-18
591913,2334,120,1570704.8,2016-12-19
594416,2062,129,1592068.78333,2016-12-20
593837,2010,115,1597549.96667,2016-12-21
580428,2161,108,1564101.33333,2016-12-22
603398,2049,93,1643692.0,2016-12-23
628592,2063,85,1695151.76667,2016-12-24
577125,2031,108,1522048.48333,2016-12-25
518888,2034,92,1364647.25,2016-12-26
522087,2067,86,1400287.0,2016-12-27
529582,2115,95,1423803.26667,2016-12-28
539860,2188,97,1441024.8,2016-12-29
579903,2141,79,1558980.55,2016-12-30
694038,1957,75,1889979.33333,2016-12-31
469292,1895,74,1225474.03333,2017-01-01
483137,1976,85,1268245.41667,2017-01-02
471573,1964,73,1249886.65,2017-01-03
