dailyViewcount,numShare,numSubscriber,watchTime,date
25143,476,37,60419.85,2016-08-11
15323,185,25,37361.6,2016-08-12
10034,123,13,25300.0833333,2016-08-13
10363,106,9,25208.9333333,2016-08-14
12895,183,27,31859.2666667,2016-08-15
26343,348,66,58370.9666667,2016-08-16
25096,361,39,60144.2166667,2016-08-17
20173,248,28,50784.75,2016-08-18
18001,211,16,49068.25,2016-08-19
14133,158,7,39936.2,2016-08-20
13641,163,15,37771.25,2016-08-21
16223,278,18,42661.15,2016-08-22
15218,200,29,41760.6666667,2016-08-23
16697,222,22,45882.05,2016-08-24
26172,255,33,68496.8833333,2016-08-25
21900,204,10,59801.2833333,2016-08-26
22306,200,20,60059.8,2016-08-27
28044,229,36,72314.1166667,2016-08-28
29788,210,20,76606.3333333,2016-08-29
28357,201,27,73103.0166667,2016-08-30
28901,233,20,75958.2666667,2016-08-31
29013,225,19,76402.3666667,2016-09-01
34002,237,24,88047.0333333,2016-09-02
38162,254,26,98793.8,2016-09-03
41673,364,37,101390.216667,2016-09-04
37921,304,21,96891.8166667,2016-09-05
36942,271,31,95113.0,2016-09-06
37227,220,30,96042.2333333,2016-09-07
40133,237,19,103672.183333,2016-09-08
40750,242,19,107167.433333,2016-09-09
46517,263,20,123127.016667,2016-09-10
41096,264,24,108392.2,2016-09-11
38629,232,18,102728.35,2016-09-12
39335,246,16,105148.816667,2016-09-13
42013,236,14,112469.8,2016-09-14
42893,233,24,115231.833333,2016-09-15
42969,184,24,118593.85,2016-09-16
49375,254,24,135520.983333,2016-09-17
43691,229,15,118402.666667,2016-09-18
44293,222,24,121782.2,2016-09-19
40794,165,17,113927.316667,2016-09-20
40088,223,16,111045.033333,2016-09-21
40006,208,14,110812.9,2016-09-22
44821,205,11,125249.116667,2016-09-23
48473,208,19,136070.566667,2016-09-24
42795,240,23,118263.133333,2016-09-25
39256,179,19,108053.533333,2016-09-26
38388,198,19,106477.05,2016-09-27
38505,186,18,107921.633333,2016-09-28
37378,190,27,104221.566667,2016-09-29
41903,207,16,116194.9,2016-09-30
47181,202,20,130304.8,2016-10-01
38375,217,9,107298.183333,2016-10-02
37855,204,18,105450.2,2016-10-03
38584,199,21,106973.483333,2016-10-04
40585,184,20,113559.8,2016-10-05
41991,187,16,117419.583333,2016-10-06
51058,186,20,141124.866667,2016-10-07
56950,251,15,156444.383333,2016-10-08
45665,269,19,125336.666667,2016-10-09
41771,206,17,114814.016667,2016-10-10
44259,194,16,123506.35,2016-10-11
44937,211,15,124244.516667,2016-10-12
47007,212,13,130021.716667,2016-10-13
53183,246,27,147712.933333,2016-10-14
62943,267,30,172800.383333,2016-10-15
53678,271,18,145943.766667,2016-10-16
41912,225,17,115632.166667,2016-10-17
41600,224,15,116195.516667,2016-10-18
42640,311,15,117695.65,2016-10-19
45470,326,22,127665.316667,2016-10-20
52422,305,12,145973.966667,2016-10-21
58674,370,8,162144.85,2016-10-22
46522,339,16,126820.766667,2016-10-23
48330,363,21,134292.65,2016-10-24
46945,304,22,130040.866667,2016-10-25
47207,337,16,132081.416667,2016-10-26
51396,314,16,141656.5,2016-10-27
57233,310,19,157485.416667,2016-10-28
63550,311,17,172993.05,2016-10-29
55351,312,17,150918.466667,2016-10-30
54710,259,22,151595.6,2016-10-31
53830,309,16,147844.0,2016-11-01
56250,295,30,155416.916667,2016-11-02
58481,274,22,161668.983333,2016-11-03
66966,304,18,184022.883333,2016-11-04
75306,390,27,203747.116667,2016-11-05
62913,408,18,169220.133333,2016-11-06
53059,303,21,144890.866667,2016-11-07
52795,324,20,144090.516667,2016-11-08
54108,287,23,146062.5,2016-11-09
60081,394,23,163291.95,2016-11-10
76061,373,29,201965.1,2016-11-11
93417,424,25,245158.533333,2016-11-12
81667,499,27,214515.516667,2016-11-13
70136,397,20,187296.933333,2016-11-14
69545,377,21,187094.266667,2016-11-15
70349,350,22,188589.433333,2016-11-16
66753,377,22,177503.683333,2016-11-17
77062,395,20,205855.666667,2016-11-18
96566,446,20,254681.666667,2016-11-19
78601,474,27,206532.7,2016-11-20
69914,362,14,186070.716667,2016-11-21
75317,406,23,199418.5,2016-11-22
81343,389,34,213568.916667,2016-11-23
91336,392,30,240998.166667,2016-11-24
82590,390,29,217780.8,2016-11-25
91509,427,31,239063.75,2016-11-26
83466,469,37,219229.966667,2016-11-27
74335,386,29,199319.85,2016-11-28
73802,368,22,196334.766667,2016-11-29
68989,366,35,183280.516667,2016-11-30
70443,355,16,185997.6,2016-12-01
81672,355,19,216380.75,2016-12-02
95919,451,27,252257.25,2016-12-03
85828,500,33,223636.55,2016-12-04
75266,391,28,199826.316667,2016-12-05
76190,363,43,201299.75,2016-12-06
76614,400,19,202204.883333,2016-12-07
77707,427,18,205614.0,2016-12-08
91376,393,24,239256.366667,2016-12-09
103816,507,20,271920.783333,2016-12-10
83866,609,35,216704.266667,2016-12-11
76103,449,32,199823.066667,2016-12-12
78259,462,40,203474.466667,2016-12-13
81210,446,24,213730.883333,2016-12-14
86319,482,25,227191.5,2016-12-15
102094,488,29,269588.833333,2016-12-16
115398,547,33,301347.133333,2016-12-17
99917,541,34,257692.466667,2016-12-18
91804,474,21,237907.883333,2016-12-19
93615,455,26,243440.666667,2016-12-20
97777,428,16,255942.35,2016-12-21
107445,477,21,281551.9,2016-12-22
116677,486,23,307719.433333,2016-12-23
132657,472,30,352912.033333,2016-12-24
122149,473,26,321411.55,2016-12-25
106964,506,15,276082.083333,2016-12-26
105764,499,32,273312.666667,2016-12-27
95401,450,25,249162.416667,2016-12-28
100428,510,28,258139.183333,2016-12-29
