dailyViewcount,numShare,numSubscriber,watchTime,date
1542,5,0,4003.71666667,2015-08-13
1189,8,0,3256.26666667,2015-08-14
1202,6,0,3235.53333333,2015-08-15
894,4,1,2433.93333333,2015-08-16
956,6,1,2536.65,2015-08-17
851,3,0,2135.58333333,2015-08-18
1042,9,0,2698.03333333,2015-08-19
1844,13,5,4561.6,2015-08-20
2476,13,1,6557.43333333,2015-08-21
2168,13,2,5729.88333333,2015-08-22
1936,8,1,5083.11666667,2015-08-23
1477,7,0,3875.71666667,2015-08-24
2955,11,6,7151.96666667,2015-08-25
3217,12,2,8265.6,2015-08-26
3346,7,0,8063.88333333,2015-08-27
2417,6,0,6514.1,2015-08-28
2683,10,0,7215.11666667,2015-08-29
2159,17,2,5932.0,2015-08-30
1557,8,0,3990.38333333,2015-08-31
1911,3,0,5385.81666667,2015-09-01
2149,9,0,5976.51666667,2015-09-02
2440,6,0,6659.96666667,2015-09-03
2663,6,0,7537.61666667,2015-09-04
2804,16,0,7690.38333333,2015-09-05
3187,9,2,8496.31666667,2015-09-06
3709,20,0,10382.6,2015-09-07
3703,20,0,10022.1,2015-09-08
3933,20,0,10990.4333333,2015-09-09
4094,19,0,11245.5833333,2015-09-10
4580,9,2,12503.1333333,2015-09-11
4025,13,2,10547.95,2015-09-12
3254,11,0,8715.25,2015-09-13
3353,16,2,9410.21666667,2015-09-14
3753,14,0,10057.2,2015-09-15
3739,14,0,9907.28333333,2015-09-16
3336,14,0,9188.7,2015-09-17
3918,9,1,10818.3333333,2015-09-18
3734,13,0,10091.2333333,2015-09-19
3339,15,0,8984.78333333,2015-09-20
3101,8,0,8662.23333333,2015-09-21
3258,19,0,8919.96666667,2015-09-22
3584,4,0,9660.08333333,2015-09-23
3550,4,0,9565.7,2015-09-24
4175,12,0,11428.8666667,2015-09-25
4084,14,1,11104.65,2015-09-26
3532,9,1,9557.55,2015-09-27
3656,19,1,10048.8,2015-09-28
3475,15,0,9561.1,2015-09-29
3678,9,0,9977.46666667,2015-09-30
3776,12,1,10288.5,2015-10-01
4435,16,1,12039.0,2015-10-02
4246,13,1,11485.25,2015-10-03
3497,18,0,9380.88333333,2015-10-04
3449,19,0,9486.76666667,2015-10-05
3685,19,0,9807.95,2015-10-06
3563,16,0,9996.53333333,2015-10-07
2997,12,0,8037.43333333,2015-10-08
3298,10,0,8685.45,2015-10-09
3282,12,0,8560.93333333,2015-10-10
2693,15,1,7090.65,2015-10-11
2552,11,0,6930.35,2015-10-12
2572,14,0,6771.58333333,2015-10-13
2610,7,1,6977.5,2015-10-14
4110,18,0,10427.15,2015-10-15
3815,12,2,9998.91666667,2015-10-16
3505,10,2,9656.73333333,2015-10-17
6767,15,3,16651.5833333,2015-10-18
6991,20,2,18107.55,2015-10-19
5164,16,0,14358.05,2015-10-20
4998,19,1,13950.9,2015-10-21
4695,17,0,13300.4833333,2015-10-22
5294,18,2,14866.3833333,2015-10-23
6136,15,1,16629.6833333,2015-10-24
5712,16,0,15314.7833333,2015-10-25
6060,27,5,16104.8833333,2015-10-26
5651,23,3,15394.15,2015-10-27
5379,22,2,14315.1,2015-10-28
5632,28,0,15247.8833333,2015-10-29
5991,18,0,16659.0833333,2015-10-30
5682,17,1,15389.7833333,2015-10-31
5153,25,1,13787.4833333,2015-11-01
5036,13,1,13860.4166667,2015-11-02
4976,16,3,13688.4833333,2015-11-03
5103,20,1,14022.5833333,2015-11-04
5295,26,1,15006.2333333,2015-11-05
