dailyViewcount,numShare,numSubscriber,watchTime,date
1494348,16496,1353,4944691.01667,2015-08-18
2552380,14276,1376,7070176.15,2015-08-19
1656428,8371,749,4513223.8,2015-08-20
1278435,7033,751,3618938.05,2015-08-21
1039060,5475,657,2888312.93333,2015-08-22
1071596,5965,750,2957168.61667,2015-08-23
994604,5212,550,2768349.08333,2015-08-24
833686,5500,515,2436674.23333,2015-08-25
791491,4461,465,2332744.68333,2015-08-26
841843,4571,456,2488620.36667,2015-08-27
835396,4249,422,2441359.2,2015-08-28
778945,4052,459,2291405.7,2015-08-29
733871,3922,385,2162512.41667,2015-08-30
726795,4107,468,2096865.41667,2015-08-31
719094,4145,400,2189470.43333,2015-09-01
677465,3917,352,2079055.38333,2015-09-02
731596,3900,418,2225981.83333,2015-09-03
727281,3641,419,2205008.25,2015-09-04
680568,3487,377,2052085.2,2015-09-05
616431,3506,324,1877763.01667,2015-09-06
561876,3137,282,1746520.5,2015-09-07
552133,3198,307,1739361.95,2015-09-08
595825,3734,331,1893278.43333,2015-09-09
646914,3644,362,2031475.3,2015-09-10
670212,3349,388,2067285.51667,2015-09-11
651225,3243,342,2017268.58333,2015-09-12
583872,3247,284,1806108.9,2015-09-13
529290,3124,262,1670402.68333,2015-09-14
526860,3006,259,1677798.91667,2015-09-15
538221,2935,258,1707879.21667,2015-09-16
554901,3007,320,1739734.71667,2015-09-17
551995,2735,256,1731288.76667,2015-09-18
667678,2791,295,2040765.35,2015-09-19
608864,3152,307,1842879.7,2015-09-20
544875,2808,248,1697045.13333,2015-09-21
520352,2685,244,1623718.23333,2015-09-22
535095,2578,209,1663215.45,2015-09-23
494782,2485,200,1542405.61667,2015-09-24
497787,2591,184,1538048.6,2015-09-25
542719,2584,221,1648850.98333,2015-09-26
515498,2528,234,1554788.9,2015-09-27
473854,2375,204,1465339.8,2015-09-28
467964,2453,178,1444810.01667,2015-09-29
485107,2333,194,1494416.45,2015-09-30
478005,2304,182,1470206.6,2015-10-01
498839,2413,175,1522242.81667,2015-10-02
577334,2454,235,1753895.2,2015-10-03
527743,2546,229,1583342.01667,2015-10-04
476986,2341,207,1457387.93333,2015-10-05
476046,2228,186,1462616.18333,2015-10-06
492314,2292,198,1513087.36667,2015-10-07
499333,2346,217,1533407.25,2015-10-08
573499,2427,242,1722794.51667,2015-10-09
760845,2918,395,2207887.55,2015-10-10
686068,2861,355,1992130.15,2015-10-11
494085,2292,196,1503559.65,2015-10-12
434386,2074,209,1346600.26667,2015-10-13
432217,2048,170,1332693.88333,2015-10-14
444252,2001,184,1385310.06667,2015-10-15
472710,2017,194,1471270.56667,2015-10-16
485689,2028,192,1499281.41667,2015-10-17
429999,2104,184,1318637.83333,2015-10-18
393841,1993,163,1231036.76667,2015-10-19
371452,1778,152,1157626.31667,2015-10-20
374066,1902,136,1162273.33333,2015-10-21
386151,1845,135,1197132.98333,2015-10-22
417153,1891,160,1276821.91667,2015-10-23
1412807,2866,797,4075152.6,2015-10-24
1038873,2895,500,2960916.98333,2015-10-25
484302,2034,212,1506938.13333,2015-10-26
477187,1945,194,1486781.83333,2015-10-27
417727,1772,177,1303734.31667,2015-10-28
418144,1618,188,1309472.1,2015-10-29
478138,1605,193,1473076.81667,2015-10-30
494166,1592,173,1512181.3,2015-10-31
409229,1796,167,1236369.08333,2015-11-01
409776,1609,137,1264595.53333,2015-11-02
731246,2028,362,2164965.46667,2015-11-03
1366793,2690,578,4059848.03333,2015-11-04
1009917,2254,328,3154294.28333,2015-11-05
492769,1804,167,1575965.36667,2015-11-06
487420,1764,182,1509980.73333,2015-11-07
391167,1716,148,1199035.35,2015-11-08
403462,1515,123,1262317.21667,2015-11-09
414841,1602,116,1298432.88333,2015-11-10
410332,1551,131,1284243.56667,2015-11-11
408758,1440,174,1274922.16667,2015-11-12
396380,1445,135,1220372.41667,2015-11-13
406754,1395,149,1251668.06667,2015-11-14
335715,1443,137,1031453.9,2015-11-15
364702,1511,142,1124942.15,2015-11-16
768246,2058,294,2301878.31667,2015-11-17
740986,1930,305,2226427.98333,2015-11-18
701866,2041,252,2094793.23333,2015-11-19
634020,1777,223,1890596.51667,2015-11-20
464614,1609,142,1413323.51667,2015-11-21
363592,1464,116,1119825.18333,2015-11-22
339962,1257,107,1072201.65,2015-11-23
341524,1288,118,1066792.21667,2015-11-24
334145,1184,104,1042026.55,2015-11-25
341929,1227,99,1060877.26667,2015-11-26
338977,1276,111,1047276.95,2015-11-27
370553,1299,123,1129867.06667,2015-11-28
335790,1371,109,1023406.41667,2015-11-29
319380,1187,108,1000056.98333,2015-11-30
300289,1119,108,964585.283333,2015-12-01
341513,1109,138,1112371.18333,2015-12-02
345246,1143,117,1120391.7,2015-12-03
312849,1038,93,994436.016667,2015-12-04
336383,1186,128,1050505.0,2015-12-05
314648,1272,119,985694.55,2015-12-06
308853,1256,99,1000070.73333,2015-12-07
300933,1195,110,972490.75,2015-12-08
285388,1182,95,934408.683333,2015-12-09
328640,1129,112,1079297.3,2015-12-10
362371,1170,117,1181626.7,2015-12-11
388176,1149,129,1242332.25,2015-12-12
352505,1123,164,1132497.51667,2015-12-13
358100,1103,129,1186041.28333,2015-12-14
349166,1019,102,1142886.36667,2015-12-15
363560,999,123,1203737.63333,2015-12-16
348422,1089,116,1138158.8,2015-12-17
367506,1138,115,1187251.8,2015-12-18
392951,1097,142,1259777.81667,2015-12-19
358333,1060,123,1117190.78333,2015-12-20
364924,1122,123,1162787.18333,2015-12-21
340203,1054,102,1088042.93333,2015-12-22
341676,958,125,1088732.86667,2015-12-23
319013,845,84,1023760.86667,2015-12-24
271224,875,92,841656.083333,2015-12-25
283070,978,112,886421.75,2015-12-26
272888,1035,107,851605.116667,2015-12-27
