dailyViewcount,numShare,numSubscriber,watchTime,date
75,0,0,139.316666667,2016-09-06
95,1,0,279.3,2016-09-07
105,3,0,164.116666667,2016-09-08
261,4,0,473.3,2016-09-09
370,5,0,563.766666667,2016-09-10
399,8,0,654.266666667,2016-09-11
460,13,0,1013.58333333,2016-09-12
406,11,0,935.833333333,2016-09-13
548,9,0,1135.88333333,2016-09-14
845,26,0,1594.93333333,2016-09-15
971,29,0,2011.53333333,2016-09-16
1440,35,1,3269.4,2016-09-17
1775,31,0,3598.46666667,2016-09-18
2225,25,1,4769.11666667,2016-09-19
2725,34,0,6038.11666667,2016-09-20
3208,39,1,7200.5,2016-09-21
2463,40,1,5799.83333333,2016-09-22
1960,33,0,4406.9,2016-09-23
2959,43,1,6461.65,2016-09-24
2675,40,1,5654.48333333,2016-09-25
2509,42,1,5098.46666667,2016-09-26
2633,40,0,5656.83333333,2016-09-27
3550,60,0,7669.78333333,2016-09-28
5610,65,0,12396.6666667,2016-09-29
5911,68,2,13671.1833333,2016-09-30
5422,69,1,12266.1,2016-10-01
5369,70,1,11511.0666667,2016-10-02
4327,37,1,9704.73333333,2016-10-03
11616,140,3,24171.9833333,2016-10-04
10961,143,3,23213.3,2016-10-05
5998,51,1,14564.25,2016-10-06
5100,38,1,12384.3333333,2016-10-07
4271,36,2,10081.3666667,2016-10-08
4614,44,2,10741.8666667,2016-10-09
3426,32,1,8513.43333333,2016-10-10
3114,31,0,7601.8,2016-10-11
3441,35,0,7770.13333333,2016-10-12
3294,46,0,8170.5,2016-10-13
3360,34,0,7839.7,2016-10-14
2907,29,0,6972.41666667,2016-10-15
2947,41,1,6574.0,2016-10-16
4180,51,1,8979.28333333,2016-10-17
2710,39,1,6389.8,2016-10-18
2713,39,0,6509.66666667,2016-10-19
2923,31,0,7000.8,2016-10-20
2573,21,0,6129.5,2016-10-21
2892,29,0,6676.15,2016-10-22
2704,27,2,6123.45,2016-10-23
4189,67,2,9470.35,2016-10-24
2594,28,1,6304.98333333,2016-10-25
3670,36,3,8123.55,2016-10-26
5517,67,2,12381.6,2016-10-27
3409,27,1,8900.48333333,2016-10-28
5912,66,1,12538.4,2016-10-29
3974,48,0,8973.28333333,2016-10-30
4627,41,1,10859.0166667,2016-10-31
8967,128,3,17617.05,2016-11-01
6887,81,3,15112.5,2016-11-02
4048,39,0,9850.01666667,2016-11-03
8144,118,4,16402.2,2016-11-04
4173,44,1,10877.5166667,2016-11-05
5974,81,6,13070.05,2016-11-06
3585,35,0,9022.2,2016-11-07
4009,51,0,9545.55,2016-11-08
3614,28,0,9330.33333333,2016-11-09
4313,34,0,10461.2833333,2016-11-10
3674,35,2,9267.16666667,2016-11-11
4325,44,1,10204.0833333,2016-11-12
4195,52,2,10098.6666667,2016-11-13
3967,43,1,9808.28333333,2016-11-14
3800,45,1,9601.43333333,2016-11-15
4436,39,0,10609.7,2016-11-16
4128,58,0,10342.45,2016-11-17
4831,57,1,11246.8333333,2016-11-18
5772,64,2,12533.9333333,2016-11-19
6158,87,2,13605.1166667,2016-11-20
4774,50,0,11584.6833333,2016-11-21
4865,44,0,11845.1666667,2016-11-22
6048,49,3,13362.1166667,2016-11-23
6262,70,1,13685.8833333,2016-11-24
3918,39,1,9869.71666667,2016-11-25
3720,39,3,9086.83333333,2016-11-26
4150,43,1,9766.43333333,2016-11-27
4946,61,1,11133.0833333,2016-11-28
4473,55,0,10202.4666667,2016-11-29
5216,39,2,11448.2,2016-11-30
3680,31,1,8809.93333333,2016-12-01
4070,39,3,9476.33333333,2016-12-02
4670,59,1,10203.0166667,2016-12-03
3819,46,0,8864.16666667,2016-12-04
4453,52,0,9933.05,2016-12-05
3390,24,2,8200.91666667,2016-12-06
4199,44,0,9014.23333333,2016-12-07
3890,41,1,8371.76666667,2016-12-08
3095,35,0,7464.43333333,2016-12-09
2948,31,1,6892.75,2016-12-10
2631,25,0,6186.58333333,2016-12-11
3573,34,1,8042.56666667,2016-12-12
4019,56,0,8656.25,2016-12-13
3431,46,1,7864.11666667,2016-12-14
3537,35,2,7711.06666667,2016-12-15
3670,51,0,8142.43333333,2016-12-16
4390,66,0,8500.75,2016-12-17
3713,63,0,7514.93333333,2016-12-18
3183,37,0,6788.58333333,2016-12-19
3284,32,0,6825.81666667,2016-12-20
3597,61,2,6906.08333333,2016-12-21
3311,48,0,7306.83333333,2016-12-22
3294,48,0,7279.16666667,2016-12-23
3017,53,0,6549.86666667,2016-12-24
2984,48,2,5843.11666667,2016-12-25
4458,79,1,7998.83333333,2016-12-26
3401,39,0,7390.15,2016-12-27
3111,53,0,6535.65,2016-12-28
3303,46,1,6968.41666667,2016-12-29
5811,73,4,10944.6166667,2016-12-30
4071,51,3,8347.05,2016-12-31
3265,64,1,5917.4,2017-01-01
3721,58,0,7462.35,2017-01-02
2859,37,0,6329.68333333,2017-01-03
