dailyViewcount,numShare,numSubscriber,watchTime,date
241679,1848,707,781240.883333,2014-06-13
383479,1294,431,1100413.41667,2014-06-14
327514,666,220,959216.85,2014-06-15
290218,650,217,959436.7,2014-06-16
276989,638,211,943198.3,2014-06-17
236716,549,181,842598.85,2014-06-18
230737,481,190,837853.8,2014-06-19
242900,438,171,877922.133333,2014-06-20
225244,402,186,804302.25,2014-06-21
211968,402,168,760049.283333,2014-06-22
225918,473,190,812304.816667,2014-06-23
223375,391,175,811540.433333,2014-06-24
233070,334,124,838290.316667,2014-06-25
208287,409,129,781491.55,2014-06-26
206329,320,110,778952.5,2014-06-27
190634,277,95,713195.1,2014-06-28
178892,275,106,664423.25,2014-06-29
197465,384,110,739987.383333,2014-06-30
185021,385,112,699362.683333,2014-07-01
195907,334,121,742464.45,2014-07-02
199173,320,107,747308.266667,2014-07-03
189535,222,89,703527.283333,2014-07-04
185670,292,87,688919.716667,2014-07-05
187108,301,112,694603.65,2014-07-06
194259,353,130,733652.383333,2014-07-07
207387,331,113,781255.75,2014-07-08
214956,327,126,817919.883333,2014-07-09
226824,325,119,857476.15,2014-07-10
235414,324,127,882498.083333,2014-07-11
229339,296,107,848213.483333,2014-07-12
209471,324,100,772245.983333,2014-07-13
229251,344,104,852202.8,2014-07-14
250721,364,139,916476.05,2014-07-15
255900,360,124,933607.566667,2014-07-16
259683,339,129,944116.783333,2014-07-17
269095,364,123,982322.25,2014-07-18
256241,332,103,917266.7,2014-07-19
230540,341,123,822272.9,2014-07-20
260551,391,144,936418.566667,2014-07-21
259292,397,141,945225.25,2014-07-22
258856,424,126,943918.85,2014-07-23
252963,397,157,925810.233333,2014-07-24
260510,366,103,946030.883333,2014-07-25
257997,365,101,924685.4,2014-07-26
237052,334,113,844577.55,2014-07-27
260767,412,118,941429.716667,2014-07-28
264030,348,135,959705.966667,2014-07-29
276681,374,135,993975.216667,2014-07-30
270455,360,137,972508.55,2014-07-31
277878,312,125,994192.55,2014-08-01
260034,331,112,925829.0,2014-08-02
238440,300,115,844927.966667,2014-08-03
247577,297,120,892984.15,2014-08-04
247694,312,101,893092.083333,2014-08-05
252656,350,123,909827.016667,2014-08-06
256842,313,143,924865.383333,2014-08-07
273468,285,128,981088.1,2014-08-08
264363,262,113,933628.066667,2014-08-09
239792,301,114,851826.516667,2014-08-10
247596,319,126,886450.25,2014-08-11
246933,323,121,882359.416667,2014-08-12
248228,352,143,887690.366667,2014-08-13
253030,263,116,909627.316667,2014-08-14
268653,286,94,957277.883333,2014-08-15
260025,293,103,915850.966667,2014-08-16
237100,301,110,837251.416667,2014-08-17
241638,317,131,869131.433333,2014-08-18
253830,357,130,906317.166667,2014-08-19
241389,288,108,867147.35,2014-08-20
265946,425,136,950444.283333,2014-08-21
284943,349,118,1002757.71667,2014-08-22
295452,361,116,1024670.4,2014-08-23
257182,352,109,892997.433333,2014-08-24
250710,377,137,891732.783333,2014-08-25
235581,347,116,850992.5,2014-08-26
247257,387,121,888186.35,2014-08-27
248328,328,108,897082.116667,2014-08-28
269387,324,121,962012.566667,2014-08-29
272439,298,116,948242.733333,2014-08-30
258148,324,147,895471.05,2014-08-31
245716,236,114,863242.916667,2014-09-01
230148,312,127,830160.0,2014-09-02
240286,319,120,868865.216667,2014-09-03
241633,304,124,871170.966667,2014-09-04
266108,318,107,948211.933333,2014-09-05
283081,304,126,982648.65,2014-09-06
244915,242,116,857671.65,2014-09-07
237483,289,114,859444.6,2014-09-08
237266,347,128,858301.033333,2014-09-09
239218,253,101,863812.4,2014-09-10
239053,250,125,863448.1,2014-09-11
268583,296,139,953047.183333,2014-09-12
285317,327,118,984671.316667,2014-09-13
246061,311,104,857864.766667,2014-09-14
231515,361,111,830432.433333,2014-09-15
233856,313,117,842874.633333,2014-09-16
232897,304,139,840025.4,2014-09-17
227254,266,95,813304.85,2014-09-18
259558,305,100,916486.433333,2014-09-19
273168,259,123,946263.416667,2014-09-20
236408,240,122,822961.55,2014-09-21
239340,331,121,849882.383333,2014-09-22
252449,318,104,889557.916667,2014-09-23
255645,290,121,901361.783333,2014-09-24
264363,296,125,934021.916667,2014-09-25
272291,277,97,953767.75,2014-09-26
273073,227,109,951591.783333,2014-09-27
234997,213,116,823211.85,2014-09-28
231612,230,104,836270.25,2014-09-29
227874,277,112,819117.366667,2014-09-30
238221,226,111,857508.966667,2014-10-01
240677,255,97,864231.716667,2014-10-02
259357,262,100,913138.416667,2014-10-03
265774,231,144,919912.5,2014-10-04
229642,235,97,800724.55,2014-10-05
224808,227,107,802340.816667,2014-10-06
246556,253,129,869943.116667,2014-10-07
256875,218,132,900057.6,2014-10-08
265357,237,131,926038.55,2014-10-09
286420,245,146,987212.416667,2014-10-10
297515,240,120,1004267.4,2014-10-11
258972,218,113,879420.133333,2014-10-12
254598,239,111,878670.75,2014-10-13
251432,271,118,875342.883333,2014-10-14
258894,262,120,903213.3,2014-10-15
272520,265,111,943075.283333,2014-10-16
303446,261,118,1038037.26667,2014-10-17
313410,205,105,1053071.86667,2014-10-18
271467,208,133,916816.75,2014-10-19
273564,224,115,947677.516667,2014-10-20
273352,242,115,952177.716667,2014-10-21
277175,279,136,963450.333333,2014-10-22
285701,272,119,995591.966667,2014-10-23
304881,269,125,1047126.21667,2014-10-24
302402,215,99,1020817.6,2014-10-25
263018,251,113,891374.533333,2014-10-26
264383,219,132,923630.016667,2014-10-27
263564,280,138,922762.5,2014-10-28
265452,257,121,933106.45,2014-10-29
259907,225,115,921492.3,2014-10-30
276166,220,90,964439.633333,2014-10-31
283982,226,104,959987.95,2014-11-01
272124,226,102,919310.633333,2014-11-02
258573,241,91,902736.133333,2014-11-03
263316,240,116,917521.116667,2014-11-04
267435,261,123,932940.45,2014-11-05
283368,246,118,976563.6,2014-11-06
