dailyViewcount,numShare,numSubscriber,watchTime,date
495,2,0,725.5,2016-10-01
244,5,0,339.633333333,2016-10-02
170,4,0,224.083333333,2016-10-03
297,5,0,411.483333333,2016-10-04
259,3,0,400.6,2016-10-05
190,2,0,303.05,2016-10-06
236,4,0,375.233333333,2016-10-07
245,2,0,390.9,2016-10-08
183,1,0,250.466666667,2016-10-09
219,0,1,344.05,2016-10-10
325,2,0,467.116666667,2016-10-11
543,7,1,820.666666667,2016-10-12
638,4,0,1260.93333333,2016-10-13
823,5,0,1276.81666667,2016-10-14
709,9,0,1074.2,2016-10-15
1088,11,2,1472.86666667,2016-10-16
1286,7,0,2089.75,2016-10-17
1188,4,0,1867.25,2016-10-18
1117,5,0,1761.15,2016-10-19
1027,7,0,1621.35,2016-10-20
1052,6,0,1733.0,2016-10-21
1004,3,2,1517.51666667,2016-10-22
843,4,0,1310.46666667,2016-10-23
896,3,1,1328.41666667,2016-10-24
844,5,1,1391.91666667,2016-10-25
884,3,0,1244.2,2016-10-26
1104,7,0,1560.93333333,2016-10-27
879,4,0,1260.26666667,2016-10-28
1023,4,0,1424.58333333,2016-10-29
965,4,0,1344.53333333,2016-10-30
937,5,1,1437.35,2016-10-31
746,3,0,960.616666667,2016-11-01
728,2,1,1023.46666667,2016-11-02
691,1,0,957.733333333,2016-11-03
662,0,0,1009.7,2016-11-04
645,0,0,969.016666667,2016-11-05
737,1,0,1069.81666667,2016-11-06
666,3,0,917.916666667,2016-11-07
568,1,0,875.983333333,2016-11-08
609,3,1,863.533333333,2016-11-09
831,3,1,1144.05,2016-11-10
850,1,0,1161.38333333,2016-11-11
788,3,0,1187.45,2016-11-12
661,1,0,879.85,2016-11-13
700,1,0,1046.93333333,2016-11-14
618,5,0,808.716666667,2016-11-15
632,5,0,849.066666667,2016-11-16
545,6,0,824.716666667,2016-11-17
632,5,0,820.833333333,2016-11-18
566,0,0,757.783333333,2016-11-19
539,3,0,605.633333333,2016-11-20
534,5,0,647.716666667,2016-11-21
504,2,1,778.733333333,2016-11-22
459,4,0,588.216666667,2016-11-23
381,3,0,483.633333333,2016-11-24
382,3,0,458.183333333,2016-11-25
357,0,0,422.633333333,2016-11-26
419,0,0,541.65,2016-11-27
461,0,0,544.183333333,2016-11-28
434,0,0,528.333333333,2016-11-29
431,4,0,546.283333333,2016-11-30
367,1,0,525.233333333,2016-12-01
347,1,0,478.566666667,2016-12-02
349,5,0,425.433333333,2016-12-03
340,1,0,393.2,2016-12-04
350,1,0,442.0,2016-12-05
424,0,0,512.183333333,2016-12-06
480,2,0,648.6,2016-12-07
538,3,0,766.45,2016-12-08
444,2,0,592.7,2016-12-09
428,3,0,553.9,2016-12-10
446,6,1,540.25,2016-12-11
525,0,1,758.116666667,2016-12-12
521,2,1,690.666666667,2016-12-13
405,1,0,613.2,2016-12-14
446,6,0,561.25,2016-12-15
381,7,0,556.35,2016-12-16
424,3,0,551.383333333,2016-12-17
380,3,0,453.6,2016-12-18
398,2,0,548.433333333,2016-12-19
384,4,0,570.633333333,2016-12-20
407,4,0,521.133333333,2016-12-21
382,1,0,532.183333333,2016-12-22
403,2,0,574.566666667,2016-12-23
403,3,0,596.066666667,2016-12-24
325,1,0,404.416666667,2016-12-25
377,2,0,546.433333333,2016-12-26
447,3,0,585.816666667,2016-12-27
438,1,2,590.016666667,2016-12-28
478,7,0,644.616666667,2016-12-29
415,4,0,606.633333333,2016-12-30
394,1,0,598.9,2016-12-31
234,0,0,338.433333333,2017-01-01
255,2,0,323.666666667,2017-01-02
245,2,0,333.7,2017-01-03
