dailyViewcount,numShare,numSubscriber,watchTime,date
76678,1823,24,161145.583333,2017-03-24
46611,901,11,109299.95,2017-03-25
37937,724,5,97589.2833333,2017-03-26
46656,667,9,130941.416667,2017-03-27
42547,619,6,123900.116667,2017-03-28
40725,470,10,115717.366667,2017-03-29
52942,569,11,120076.083333,2017-03-30
41483,354,9,98037.55,2017-03-31
44047,384,6,99474.9,2017-04-01
32374,278,11,84947.3333333,2017-04-02
32184,297,2,90497.8166667,2017-04-03
29146,266,1,82530.2333333,2017-04-04
28379,280,3,81435.8666667,2017-04-05
26447,212,4,74582.65,2017-04-06
25754,218,4,74482.0333333,2017-04-07
23908,236,5,67491.05,2017-04-08
22518,225,3,64505.9166667,2017-04-09
24270,196,3,72431.5833333,2017-04-10
23839,199,7,71699.15,2017-04-11
23583,199,5,68948.6833333,2017-04-12
23826,211,-1,70348.2,2017-04-13
21628,159,1,64736.2166667,2017-04-14
19687,154,0,58425.9833333,2017-04-15
19049,141,1,55972.5333333,2017-04-16
21190,173,3,63976.3833333,2017-04-17
22218,165,2,68378.8333333,2017-04-18
21353,183,3,64227.3666667,2017-04-19
22101,174,1,66086.05,2017-04-20
23087,140,3,69136.8,2017-04-21
21127,132,2,62411.2833333,2017-04-22
19374,155,0,57512.4166667,2017-04-23
20924,154,4,63701.85,2017-04-24
21207,171,1,66705.75,2017-04-25
21914,166,3,67739.9333333,2017-04-26
22321,144,1,67945.9333333,2017-04-27
22264,148,0,68108.8833333,2017-04-28
20650,147,0,62942.9,2017-04-29
18750,113,0,57390.1166667,2017-04-30
17776,141,3,55354.9333333,2017-05-01
17763,131,2,55985.5333333,2017-05-02
18417,147,3,58461.1833333,2017-05-03
18823,129,0,59203.2166667,2017-05-04
18917,133,0,58839.2666667,2017-05-05
17402,114,0,53031.3833333,2017-05-06
16722,111,2,50496.6166667,2017-05-07
18325,112,0,58492.4833333,2017-05-08
18513,162,-1,58250.2166667,2017-05-09
18585,127,1,58100.2666667,2017-05-10
18710,134,1,58650.5,2017-05-11
19146,105,0,61578.15,2017-05-12
18081,101,0,55785.8166667,2017-05-13
15705,95,-1,48413.95,2017-05-14
16992,122,2,54134.5333333,2017-05-15
17717,116,2,56131.1,2017-05-16
17510,115,0,55024.4833333,2017-05-17
19724,135,1,62030.8833333,2017-05-18
19606,117,5,60901.8666667,2017-05-19
18392,111,4,56761.45,2017-05-20
16421,105,1,51265.65,2017-05-21
19735,139,3,62210.8,2017-05-22
