dailyViewcount,numShare,numSubscriber,watchTime,date
314546,6368,434,1035198.06667,2015-09-14
510008,5918,623,1702372.3,2015-09-15
372776,3402,286,1287939.83333,2015-09-16
398286,3184,337,1289113.43333,2015-09-17
468123,2948,346,1460574.23333,2015-09-18
514822,2862,368,1544801.18333,2015-09-19
437719,2842,295,1305883.43333,2015-09-20
406057,2326,253,1234930.2,2015-09-21
406209,2191,244,1224297.28333,2015-09-22
403707,2029,213,1211980.05,2015-09-23
406458,2091,211,1209146.81667,2015-09-24
412479,1746,187,1217653.96667,2015-09-25
419106,1853,166,1209113.45,2015-09-26
371289,1952,171,1057934.98333,2015-09-27
385712,1773,188,1102775.41667,2015-09-28
376152,1786,170,1066063.96667,2015-09-29
375573,1634,155,1066490.33333,2015-09-30
382428,1680,155,1077345.13333,2015-10-01
451963,1720,190,1252123.95,2015-10-02
468035,1687,172,1283701.71667,2015-10-03
374380,1729,134,1028430.6,2015-10-04
352707,1495,142,993696.433333,2015-10-05
362393,1546,111,1017097.96667,2015-10-06
377173,1694,131,1046410.83333,2015-10-07
443717,1646,160,1217452.48333,2015-10-08
494735,1607,173,1350972.73333,2015-10-09
481136,1584,162,1310687.05,2015-10-10
440063,1686,163,1176566.45,2015-10-11
430618,1798,158,1161117.25,2015-10-12
420203,1601,164,1131504.9,2015-10-13
401997,1570,147,1085722.88333,2015-10-14
459151,1583,175,1227395.4,2015-10-15
522913,1711,198,1401826.53333,2015-10-16
507057,1745,161,1352626.06667,2015-10-17
388242,1548,142,1039005.93333,2015-10-18
381469,1510,131,1036330.46667,2015-10-19
392603,1481,127,1064074.23333,2015-10-20
392942,1387,117,1066059.06667,2015-10-21
443593,1513,164,1194739.28333,2015-10-22
546597,1540,155,1460973.23333,2015-10-23
624526,1693,178,1643107.15,2015-10-24
519686,1778,174,1361308.73333,2015-10-25
442153,1435,159,1195881.33333,2015-10-26
426661,1532,131,1151389.73333,2015-10-27
430135,1484,115,1159908.05,2015-10-28
442803,1391,145,1203847.86667,2015-10-29
523250,1451,131,1421286.2,2015-10-30
548753,1406,115,1479324.68333,2015-10-31
442450,1488,119,1164768.15,2015-11-01
438404,1413,140,1176296.76667,2015-11-02
469403,1440,152,1258607.81667,2015-11-03
461350,1533,144,1236951.86667,2015-11-04
504061,1615,150,1303859.6,2015-11-05
556108,1579,157,1444471.8,2015-11-06
588103,1596,154,1505838.01667,2015-11-07
487337,1656,160,1245142.5,2015-11-08
478413,1554,176,1249436.3,2015-11-09
492708,1489,177,1285069.95,2015-11-10
524742,1762,172,1349928.1,2015-11-11
463059,1576,155,1203794.56667,2015-11-12
