dailyViewcount,numShare,numSubscriber,watchTime,date
3166,24,2,10068.2833333,2015-09-06
17315,146,13,58273.2333333,2015-09-07
16888,88,15,56077.9833333,2015-09-08
13317,82,6,46248.35,2015-09-09
14619,62,4,51258.7833333,2015-09-10
17053,88,4,56012.05,2015-09-11
18318,105,21,63896.5,2015-09-12
14474,99,16,50873.9166667,2015-09-13
14137,105,8,49323.15,2015-09-14
14452,97,11,51245.9666667,2015-09-15
15273,112,8,53192.3,2015-09-16
15828,102,4,55909.6333333,2015-09-17
16536,100,7,56884.2166667,2015-09-18
16372,90,7,56428.3666667,2015-09-19
15475,100,8,54325.5666667,2015-09-20
15798,110,5,55805.2166667,2015-09-21
16285,107,6,58396.2166667,2015-09-22
17475,93,13,61899.5666667,2015-09-23
14638,72,6,52964.7666667,2015-09-24
14652,78,7,52102.4333333,2015-09-25
14085,58,11,50156.05,2015-09-26
11433,58,6,41386.6,2015-09-27
9771,69,1,36011.4833333,2015-09-28
10544,43,3,37457.25,2015-09-29
10038,54,5,35937.2833333,2015-09-30
9267,59,4,34008.0166667,2015-10-01
9588,39,3,35032.1333333,2015-10-02
9164,38,2,33020.7666667,2015-10-03
8522,29,4,30514.85,2015-10-04
8946,51,3,32323.7166667,2015-10-05
9422,45,7,34208.3833333,2015-10-06
9406,34,3,33730.4166667,2015-10-07
9089,40,3,32959.0,2015-10-08
8498,29,2,30753.1833333,2015-10-09
8195,40,3,28741.6166667,2015-10-10
7347,27,2,26037.9333333,2015-10-11
6996,40,1,25406.1666667,2015-10-12
7509,39,2,26791.6,2015-10-13
7170,39,3,25556.1666667,2015-10-14
6985,19,0,25368.6,2015-10-15
7272,28,1,26213.8166667,2015-10-16
6837,22,2,24267.8,2015-10-17
6517,28,0,23536.8333333,2015-10-18
6512,35,2,23601.9166667,2015-10-19
6411,28,2,23478.3166667,2015-10-20
6574,22,2,23674.9,2015-10-21
7078,34,3,24694.1333333,2015-10-22
6836,37,1,24114.0833333,2015-10-23
6367,26,2,22252.9,2015-10-24
5888,25,2,20686.2333333,2015-10-25
6123,19,1,21985.8166667,2015-10-26
6114,27,1,22003.8166667,2015-10-27
6450,20,1,23061.3833333,2015-10-28
6704,29,2,23956.4833333,2015-10-29
6648,27,2,23336.0833333,2015-10-30
6165,11,2,21464.2333333,2015-10-31
5794,15,0,19943.1,2015-11-01
6094,35,3,21428.7333333,2015-11-02
6309,27,2,22172.1,2015-11-03
6017,32,1,21283.2166667,2015-11-04
6113,21,0,21705.5666667,2015-11-05
6499,17,0,22559.2666667,2015-11-06
6077,30,4,21445.5833333,2015-11-07
5111,25,1,17978.7,2015-11-08
5475,22,2,19355.3166667,2015-11-09
7180,23,0,23245.6166667,2015-11-10
7170,24,0,23256.8333333,2015-11-11
6382,22,0,21795.6166667,2015-11-12
6471,20,2,22485.1833333,2015-11-13
6376,29,1,21905.2833333,2015-11-14
5534,24,3,19025.0666667,2015-11-15
5912,34,1,20767.9666667,2015-11-16
6248,25,1,21111.0833333,2015-11-17
6169,19,2,20785.3166667,2015-11-18
6384,26,2,22172.6833333,2015-11-19
6477,28,1,21816.6166667,2015-11-20
6218,23,1,21078.25,2015-11-21
5818,22,2,20123.5666667,2015-11-22
5670,25,1,19706.6833333,2015-11-23
5962,28,0,20488.7833333,2015-11-24
6217,25,3,21123.9333333,2015-11-25
5711,26,1,19387.4333333,2015-11-26
5356,20,1,18184.2166667,2015-11-27
5264,28,0,17609.9166667,2015-11-28
4721,19,0,16195.3333333,2015-11-29
5195,19,0,17694.0833333,2015-11-30
5379,19,0,18560.05,2015-12-01
5328,23,0,18367.7833333,2015-12-02
5544,18,1,19103.6166667,2015-12-03
5968,20,2,20517.9166667,2015-12-04
6347,31,0,21078.1166667,2015-12-05
5529,24,0,18608.1333333,2015-12-06
5902,24,3,20454.3,2015-12-07
6194,25,6,21868.65,2015-12-08
6421,29,1,22746.4,2015-12-09
7313,24,5,25459.3166667,2015-12-10
6849,31,4,23996.5833333,2015-12-11
6310,21,0,21553.7666667,2015-12-12
6227,22,0,21766.9666667,2015-12-13
6567,26,4,22651.45,2015-12-14
6958,33,1,23802.9166667,2015-12-15
7276,25,2,24889.1666667,2015-12-16
7282,35,4,25037.0333333,2015-12-17
7327,24,2,25303.2166667,2015-12-18
7471,29,3,25655.3,2015-12-19
6931,21,2,23516.75,2015-12-20
7147,18,2,24794.45,2015-12-21
7401,29,4,25476.2166667,2015-12-22
7245,38,0,25291.6,2015-12-23
6651,23,2,23101.65,2015-12-24
7902,34,3,28494.4666667,2015-12-25
7444,31,2,28020.1166667,2015-12-26
7356,42,2,27013.7666667,2015-12-27
7676,34,2,27650.2,2015-12-28
7300,38,1,26005.2666667,2015-12-29
6973,21,3,24786.8166667,2015-12-30
6714,24,0,23633.25,2015-12-31
5889,14,0,20659.5,2016-01-01
5903,31,3,20833.1,2016-01-02
5581,20,1,19444.7666667,2016-01-03
5784,28,0,20361.4833333,2016-01-04
6047,25,2,19739.5666667,2016-01-05
5610,17,1,19829.65,2016-01-06
5918,25,1,20811.2333333,2016-01-07
6430,22,2,21676.45,2016-01-08
5984,22,2,20577.5,2016-01-09
5194,21,0,17424.8,2016-01-10
5326,19,1,18392.6333333,2016-01-11
5554,20,1,19330.6,2016-01-12
5378,33,0,18716.0833333,2016-01-13
5752,23,4,19534.4666667,2016-01-14
6337,31,1,21539.8166667,2016-01-15
6147,30,3,20809.15,2016-01-16
5292,32,0,18121.2833333,2016-01-17
5217,17,1,18120.6166667,2016-01-18
4655,17,2,15774.9666667,2016-01-19
5012,21,3,17174.9166667,2016-01-20
5194,21,1,18181.0166667,2016-01-21
5741,14,2,19584.7166667,2016-01-22
5618,18,2,18788.0166667,2016-01-23
4701,13,1,15871.5166667,2016-01-24
5183,20,2,17788.8666667,2016-01-25
5858,21,4,19960.8666667,2016-01-26
5816,21,3,20113.6166667,2016-01-27
5488,27,4,18869.1,2016-01-28
5779,14,0,19380.5,2016-01-29
5605,33,1,18792.8666667,2016-01-30
5022,12,3,16606.3333333,2016-01-31
5401,20,0,18745.9166667,2016-02-01
5900,21,2,19596.8666667,2016-02-02
5987,25,0,20894.7,2016-02-03
5946,26,2,20205.6,2016-02-04
6106,20,1,20756.05,2016-02-05
5922,28,0,20148.8666667,2016-02-06
5130,19,1,17310.7333333,2016-02-07
5288,22,3,18070.1,2016-02-08
5377,21,2,18467.8166667,2016-02-09
5445,24,2,18863.35,2016-02-10
5589,24,0,19185.3666667,2016-02-11
5978,12,1,20695.4666667,2016-02-12
5742,26,2,19700.2833333,2016-02-13
5139,12,2,17748.5666667,2016-02-14
5551,18,1,18731.1,2016-02-15
5388,23,3,18587.5166667,2016-02-16
5600,22,0,19804.9666667,2016-02-17
6123,22,1,21465.6,2016-02-18
6509,32,1,22106.1,2016-02-19
6295,17,2,21451.1,2016-02-20
5748,15,3,19522.4166667,2016-02-21
5864,24,3,19970.2166667,2016-02-22
5848,15,2,20025.35,2016-02-23
5756,22,0,19730.1666667,2016-02-24
6119,25,0,20879.7166667,2016-02-25
6373,21,0,21303.05,2016-02-26
5868,22,4,19383.3,2016-02-27
4936,19,1,16331.2,2016-02-28
5245,27,1,17593.9166667,2016-02-29
5444,36,0,18113.4166667,2016-03-01
5289,19,1,17891.6833333,2016-03-02
5446,26,2,18237.5833333,2016-03-03
6198,22,1,20941.1,2016-03-04
5731,18,2,19104.2666667,2016-03-05
5436,22,1,18214.0333333,2016-03-06
5662,17,1,19344.1166667,2016-03-07
5543,21,0,19063.4333333,2016-03-08
5407,18,1,18100.9333333,2016-03-09
5330,17,2,18249.1833333,2016-03-10
5717,12,2,19429.05,2016-03-11
5526,21,1,17793.55,2016-03-12
4832,12,0,15809.0833333,2016-03-13
5030,14,2,16958.85,2016-03-14
5067,25,0,17397.2333333,2016-03-15
4966,17,0,17026.3833333,2016-03-16
5071,17,1,17257.7666667,2016-03-17
5205,15,3,17303.3833333,2016-03-18
4517,14,2,15373.3333333,2016-03-19
4707,11,1,15959.3,2016-03-20
4601,13,0,15709.1833333,2016-03-21
4537,14,0,15896.4166667,2016-03-22
4406,9,1,15353.9,2016-03-23
4619,18,1,15818.15,2016-03-24
4458,11,3,14888.3666667,2016-03-25
4524,9,3,15190.8,2016-03-26
4322,23,1,14523.1166667,2016-03-27
4281,17,0,14547.25,2016-03-28
4294,16,2,14776.0666667,2016-03-29
4229,22,1,14251.2833333,2016-03-30
4153,15,0,14128.55,2016-03-31
4804,16,0,16058.65,2016-04-01
4648,15,0,15454.95,2016-04-02
4101,21,3,13778.2333333,2016-04-03
4235,18,1,14082.85,2016-04-04
4382,20,1,14719.4666667,2016-04-05
3993,30,0,13682.2333333,2016-04-06
3985,18,1,13658.2166667,2016-04-07
4303,12,1,14649.3833333,2016-04-08
4187,14,1,13800.2333333,2016-04-09
3901,19,2,12726.4833333,2016-04-10
3744,8,1,12275.65,2016-04-11
3824,25,2,12742.2333333,2016-04-12
3846,19,3,12774.85,2016-04-13
3823,13,1,12975.0166667,2016-04-14
4088,11,1,13523.3666667,2016-04-15
3836,19,2,12617.8666667,2016-04-16
3483,12,1,11590.6666667,2016-04-17
3762,8,0,12665.8166667,2016-04-18
3740,14,1,12475.9833333,2016-04-19
3758,17,1,12264.75,2016-04-20
3397,12,1,11365.8166667,2016-04-21
3756,9,0,12551.3166667,2016-04-22
3529,7,0,11722.3166667,2016-04-23
3057,12,2,10094.1833333,2016-04-24
3410,15,0,11228.95,2016-04-25
3561,17,1,11600.6833333,2016-04-26
3745,15,2,12408.6333333,2016-04-27
3720,22,1,12169.95,2016-04-28
3902,16,2,13258.75,2016-04-29
3637,17,0,11776.6333333,2016-04-30
3282,13,2,10736.1666667,2016-05-01
3580,21,1,12270.4833333,2016-05-02
3414,15,1,11253.2,2016-05-03
3663,22,1,11576.2333333,2016-05-04
3535,16,1,11948.1333333,2016-05-05
3720,13,2,11955.0833333,2016-05-06
3463,18,0,11183.1666667,2016-05-07
3109,10,0,9959.26666667,2016-05-08
