dailyViewcount,numShare,numSubscriber,watchTime,date
490510,8411,1074,1299001.95,2016-06-23
533921,9131,1911,1343577.45,2016-06-24
555650,8766,1227,1425714.98333,2016-06-25
556532,8325,1087,1409652.91667,2016-06-26
528735,7107,966,1362773.35,2016-06-27
510785,6850,862,1348947.48333,2016-06-28
386226,4927,432,1070208.73333,2016-06-29
369884,4367,405,1023486.88333,2016-06-30
366915,3923,349,1030033.11667,2016-07-01
332606,3507,281,928470.8,2016-07-02
291638,3444,263,801682.85,2016-07-03
299364,3179,287,834522.9,2016-07-04
334933,3423,277,930271.533333,2016-07-05
331035,3298,264,928517.433333,2016-07-06
323200,3078,250,919914.6,2016-07-07
334718,3258,274,970472.316667,2016-07-08
333385,3043,259,966277.716667,2016-07-09
285197,2837,241,811572.833333,2016-07-10
382804,3128,305,1139581.15,2016-07-11
385163,2950,273,1178185.36667,2016-07-12
317987,2509,204,1013378.33333,2016-07-13
323626,2474,241,1034386.4,2016-07-14
315730,2300,188,1012681.9,2016-07-15
320943,2260,225,1024206.85,2016-07-16
272195,2252,194,859720.683333,2016-07-17
238393,2062,162,753062.583333,2016-07-18
290848,2392,247,899018.283333,2016-07-19
340581,2474,246,1083633.71667,2016-07-20
362321,2392,247,1168670.55,2016-07-21
501209,2635,313,1607979.46667,2016-07-22
513652,2740,278,1657026.5,2016-07-23
421426,2508,263,1337708.03333,2016-07-24
397229,2507,242,1277369.28333,2016-07-25
402760,2538,246,1290012.51667,2016-07-26
394921,2497,240,1276856.83333,2016-07-27
377165,2345,227,1203404.16667,2016-07-28
368406,2246,185,1167001.05,2016-07-29
373098,2249,168,1179899.16667,2016-07-30
327329,2214,198,1020691.5,2016-07-31
339298,2179,190,1073386.38333,2016-08-01
345118,2334,171,1084391.11667,2016-08-02
334756,2251,174,1059323.53333,2016-08-03
312406,2138,158,974454.05,2016-08-04
312823,2135,135,980198.916667,2016-08-05
286320,1927,132,879141.433333,2016-08-06
250750,1926,134,764375.516667,2016-08-07
259417,1850,158,796496.4,2016-08-08
265398,1929,145,815101.383333,2016-08-09
273156,1882,146,834767.366667,2016-08-10
281270,2002,155,861016.483333,2016-08-11
287616,1945,163,876149.116667,2016-08-12
