dailyViewcount,numShare,numSubscriber,watchTime,date
18695,167,7,150797.016667,2017-04-14
9859,66,14,89327.8333333,2017-04-15
8703,39,9,79999.7833333,2017-04-16
10409,55,10,105665.95,2017-04-17
11459,65,16,129073.566667,2017-04-18
12736,42,13,159069.716667,2017-04-19
13423,63,22,172954.966667,2017-04-20
18761,54,13,238612.383333,2017-04-21
19755,71,20,231908.966667,2017-04-22
21469,73,41,272108.783333,2017-04-23
28000,88,50,356892.466667,2017-04-24
19333,82,24,235641.15,2017-04-25
22466,79,27,271132.566667,2017-04-26
17935,77,21,229767.633333,2017-04-27
13538,60,7,165860.466667,2017-04-28
13091,60,15,155639.65,2017-04-29
24371,92,26,270969.766667,2017-04-30
38168,143,37,390551.083333,2017-05-01
34671,116,26,380520.15,2017-05-02
39076,119,30,417175.616667,2017-05-03
39348,125,21,460817.5,2017-05-04
30976,113,27,381711.016667,2017-05-05
13682,74,15,163756.366667,2017-05-06
11893,40,12,148157.216667,2017-05-07
13330,69,10,165399.933333,2017-05-08
12989,46,7,166719.616667,2017-05-09
24149,68,26,195394.15,2017-05-10
17673,50,13,180872.083333,2017-05-11
39626,101,11,188634.583333,2017-05-12
20687,61,16,189106.916667,2017-05-13
28077,83,7,189530.566667,2017-05-14
16340,63,10,209016.1,2017-05-15
14347,42,13,220943.366667,2017-05-16
15326,71,8,264355.816667,2017-05-17
16506,58,13,297784.05,2017-05-18
15870,57,11,275919.55,2017-05-19
11909,38,8,179553.633333,2017-05-20
10611,36,14,161682.316667,2017-05-21
12289,46,10,203707.0,2017-05-22
