dailyViewcount,numShare,numSubscriber,watchTime,date
1703870,12161,678,4118949.4,2016-11-14
335279,7703,407,860143.816667,2016-11-15
354831,7895,347,938128.133333,2016-11-16
261830,5784,200,751286.633333,2016-11-17
284939,6020,234,815130.866667,2016-11-18
375693,7021,224,1081516.66667,2016-11-19
307448,5361,212,904939.116667,2016-11-20
316573,4964,158,948414.25,2016-11-21
341116,5017,134,1045561.71667,2016-11-22
347784,5075,158,1094999.0,2016-11-23
385753,5255,147,1237505.95,2016-11-24
396849,5272,161,1268796.33333,2016-11-25
443998,5558,149,1399582.33333,2016-11-26
407295,5245,167,1257542.36667,2016-11-27
411582,5245,163,1319859.93333,2016-11-28
409743,4871,136,1322712.05,2016-11-29
406160,5148,141,1298916.43333,2016-11-30
412295,5390,134,1331664.85,2016-12-01
442386,5619,165,1414396.05,2016-12-02
460718,5173,149,1459452.91667,2016-12-03
425182,5331,138,1318703.71667,2016-12-04
432233,5070,150,1389674.8,2016-12-05
472497,5468,160,1513174.31667,2016-12-06
422148,4700,127,1381684.0,2016-12-07
452559,4905,109,1472837.88333,2016-12-08
465268,4903,121,1518377.68333,2016-12-09
497542,5274,108,1615014.06667,2016-12-10
407161,5026,96,1294733.98333,2016-12-11
364514,4213,112,1230261.96667,2016-12-12
389298,4626,110,1304876.48333,2016-12-13
438057,4835,129,1439068.13333,2016-12-14
449766,5300,103,1484232.4,2016-12-15
486216,6015,123,1618677.2,2016-12-16
527733,6106,138,1751635.55,2016-12-17
418235,5620,115,1356707.4,2016-12-18
437766,5240,134,1457916.25,2016-12-19
459035,5410,146,1523263.73333,2016-12-20
465185,5463,126,1554976.48333,2016-12-21
490418,5773,129,1634737.76667,2016-12-22
569044,6777,141,1900238.81667,2016-12-23
758894,6542,133,2581490.55,2016-12-24
411021,5877,94,1299086.75,2016-12-25
478618,6702,148,1552475.66667,2016-12-26
492514,6723,127,1611813.96667,2016-12-27
533840,7031,150,1749964.13333,2016-12-28
534863,7391,172,1756014.66667,2016-12-29
603566,7844,142,1978016.25,2016-12-30
849183,7699,143,2843683.58333,2016-12-31
434204,6176,104,1359254.41667,2017-01-01
522689,7540,157,1671294.93333,2017-01-02
526878,7615,138,1700310.66667,2017-01-03
563018,7822,170,1824486.73333,2017-01-04
556305,7267,128,1815728.83333,2017-01-05
611709,8505,125,1980377.1,2017-01-06
686290,8787,127,2214006.56667,2017-01-07
569552,8280,106,1785410.61667,2017-01-08
555248,7701,110,1797949.33333,2017-01-09
584511,7661,126,1901383.18333,2017-01-10
616820,8412,135,1999660.01667,2017-01-11
