dailyViewcount,numShare,numSubscriber,watchTime,date
280684,3434,351,792543.183333,2015-07-15
400934,3171,300,909969.333333,2015-07-16
453898,2721,286,949117.033333,2015-07-17
461920,2401,252,957663.4,2015-07-18
417925,2146,236,871352.4,2015-07-19
403666,2075,177,855230.3,2015-07-20
406222,2031,182,874616.383333,2015-07-21
373013,1792,177,813262.166667,2015-07-22
297782,1448,168,727469.183333,2015-07-23
249699,1208,134,666974.166667,2015-07-24
235465,1082,114,624291.666667,2015-07-25
219330,1053,108,565757.883333,2015-07-26
234568,1179,151,616752.516667,2015-07-27
231348,1187,129,613333.9,2015-07-28
317809,1501,216,834216.333333,2015-07-29
307668,1323,199,822238.783333,2015-07-30
401918,1500,231,1073589.08333,2015-07-31
342745,1375,186,914824.816667,2015-08-01
258067,1111,162,684486.416667,2015-08-02
257687,1176,163,687863.633333,2015-08-03
261632,1241,158,705465.633333,2015-08-04
239220,1119,153,666853.15,2015-08-05
240944,1071,134,672137.583333,2015-08-06
258522,1176,116,718611.75,2015-08-07
250484,1086,119,684505.15,2015-08-08
226803,946,114,614391.533333,2015-08-09
237956,1019,115,650965.166667,2015-08-10
245395,1060,111,684362.383333,2015-08-11
227031,1193,108,643113.866667,2015-08-12
232780,1292,113,655349.033333,2015-08-13
246376,1120,106,692389.166667,2015-08-14
241995,985,94,667955.4,2015-08-15
221112,963,119,597255.033333,2015-08-16
219499,978,102,608494.416667,2015-08-17
210790,975,108,584458.616667,2015-08-18
205739,958,110,567818.25,2015-08-19
209993,960,92,581017.583333,2015-08-20
232879,994,103,634543.466667,2015-08-21
241309,897,98,640356.016667,2015-08-22
193803,889,74,516958.933333,2015-08-23
222357,886,112,599922.233333,2015-08-24
231821,1022,115,635372.966667,2015-08-25
229484,932,119,628259.933333,2015-08-26
210104,888,88,576994.05,2015-08-27
225563,916,87,615075.416667,2015-08-28
241693,876,88,643404.583333,2015-08-29
200583,813,63,537110.016667,2015-08-30
177097,866,75,462419.033333,2015-08-31
175861,801,67,483057.6,2015-09-01
173226,794,63,480387.266667,2015-09-02
171493,766,84,476434.233333,2015-09-03
188410,820,95,517308.866667,2015-09-04
203318,746,73,541377.666667,2015-09-05
185649,759,51,491324.9,2015-09-06
176277,829,51,471784.933333,2015-09-07
146459,691,46,406999.6,2015-09-08
143375,714,57,401629.283333,2015-09-09
141008,629,55,396119.116667,2015-09-10
146760,678,52,410266.716667,2015-09-11
165168,665,59,445763.033333,2015-09-12
143240,650,55,381784.783333,2015-09-13
126024,622,54,347764.116667,2015-09-14
125542,640,52,348387.716667,2015-09-15
123381,578,50,344672.3,2015-09-16
125242,581,44,349306.766667,2015-09-17
147199,587,58,402527.5,2015-09-18
160429,648,71,430486.05,2015-09-19
133503,574,58,354771.566667,2015-09-20
118401,621,50,330755.7,2015-09-21
118325,541,58,331679.166667,2015-09-22
123202,512,55,339872.333333,2015-09-23
124882,575,43,344760.483333,2015-09-24
141155,550,60,386053.516667,2015-09-25
154480,629,58,410921.95,2015-09-26
127848,527,46,342641.1,2015-09-27
112978,517,65,308640.683333,2015-09-28
112792,577,50,309782.816667,2015-09-29
114482,512,49,313497.216667,2015-09-30
121038,516,67,327087.116667,2015-10-01
136271,510,68,365743.566667,2015-10-02
152270,607,53,396964.166667,2015-10-03
129646,540,54,336939.2,2015-10-04
113841,513,48,306137.616667,2015-10-05
107394,538,36,294186.066667,2015-10-06
105778,483,46,291322.283333,2015-10-07
103017,516,33,282749.15,2015-10-08
113189,457,40,306528.25,2015-10-09
122034,504,42,326196.916667,2015-10-10
101899,490,42,267248.733333,2015-10-11
89462,436,39,242941.083333,2015-10-12
83399,412,28,229303.133333,2015-10-13
83126,384,38,228132.366667,2015-10-14
83608,380,26,229450.116667,2015-10-15
94765,406,44,259971.85,2015-10-16
103724,399,35,276890.1,2015-10-17
86297,392,26,228998.666667,2015-10-18
77232,387,39,211077.25,2015-10-19
83895,402,37,226621.05,2015-10-20
79584,390,33,217450.916667,2015-10-21
82804,387,30,224869.883333,2015-10-22
93837,410,37,250926.1,2015-10-23
97705,359,33,257896.25,2015-10-24
78963,372,35,206262.933333,2015-10-25
68925,301,36,187424.716667,2015-10-26
68274,353,25,187997.05,2015-10-27
73621,350,31,199234.666667,2015-10-28
82925,311,26,223195.683333,2015-10-29
91405,320,38,242503.766667,2015-10-30
99833,343,32,263586.916667,2015-10-31
83671,375,41,215372.366667,2015-11-01
68927,326,33,184949.65,2015-11-02
67777,307,17,182725.45,2015-11-03
63927,295,28,174057.233333,2015-11-04
66234,305,28,179885.95,2015-11-05
72414,262,28,194143.05,2015-11-06
79035,310,27,208748.583333,2015-11-07
65256,275,20,172285.75,2015-11-08
57288,262,24,155513.25,2015-11-09
61101,236,25,164304.3,2015-11-10
58325,248,20,160410.65,2015-11-11
57316,256,25,156665.216667,2015-11-12
69533,289,34,189008.433333,2015-11-13
71366,258,29,190952.183333,2015-11-14
56790,255,28,150832.4,2015-11-15
49271,250,14,136370.866667,2015-11-16
51272,260,16,142620.733333,2015-11-17
57497,255,24,159657.466667,2015-11-18
61721,270,40,170349.95,2015-11-19
68636,307,34,187940.783333,2015-11-20
78722,268,36,212020.633333,2015-11-21
65732,267,26,175696.9,2015-11-22
59300,222,32,162743.566667,2015-11-23
61228,220,26,165848.15,2015-11-24
67385,273,22,181510.966667,2015-11-25
68595,222,22,182088.883333,2015-11-26
62442,254,18,165303.05,2015-11-27
64281,244,26,169160.033333,2015-11-28
57667,284,29,150714.15,2015-11-29
52235,247,28,143255.65,2015-11-30
54935,255,36,150718.4,2015-12-01
54132,265,33,148341.566667,2015-12-02
54990,233,27,151944.533333,2015-12-03
59449,308,26,163778.983333,2015-12-04
65875,228,22,176456.133333,2015-12-05
54599,225,26,146270.033333,2015-12-06
50408,252,26,137753.166667,2015-12-07
51895,217,32,143074.183333,2015-12-08
52073,230,33,144671.083333,2015-12-09
52674,209,19,145718.183333,2015-12-10
54835,226,24,151871.583333,2015-12-11
61082,215,22,162966.083333,2015-12-12
48430,214,13,130476.966667,2015-12-13
47043,211,22,130346.283333,2015-12-14
50902,197,31,140255.25,2015-12-15
49811,204,29,139022.966667,2015-12-16
49218,216,26,136167.883333,2015-12-17
52584,194,20,144297.75,2015-12-18
55187,212,19,148692.516667,2015-12-19
48601,185,15,129172.066667,2015-12-20
51325,208,21,136560.783333,2015-12-21
52115,217,15,138464.433333,2015-12-22
55169,227,15,148246.133333,2015-12-23
56244,214,9,153138.983333,2015-12-24
52001,223,5,136969.55,2015-12-25
60424,235,11,144653.1,2015-12-26
49568,213,24,126221.283333,2015-12-27
49084,209,15,128469.366667,2015-12-28
49322,216,18,131407.116667,2015-12-29
51381,232,16,135383.35,2015-12-30
66497,262,20,181138.966667,2015-12-31
48554,201,11,127105.4,2016-01-01
49225,212,10,129289.983333,2016-01-02
42803,216,12,111667.1,2016-01-03
40933,187,22,110547.583333,2016-01-04
41319,199,19,111318.933333,2016-01-05
43074,209,18,115573.533333,2016-01-06
43358,236,11,118009.5,2016-01-07
51118,240,21,138726.733333,2016-01-08
55533,245,14,143896.916667,2016-01-09
45733,244,22,118765.383333,2016-01-10
42465,189,16,113169.066667,2016-01-11
41378,202,20,111321.516667,2016-01-12
42376,197,23,115692.6,2016-01-13
44536,238,21,120538.683333,2016-01-14
47802,225,18,132387.166667,2016-01-15
50451,216,18,132244.3,2016-01-16
42789,199,17,110759.333333,2016-01-17
41190,187,15,109427.5,2016-01-18
37681,181,14,101307.85,2016-01-19
39432,201,16,106441.483333,2016-01-20
41391,198,16,111669.833333,2016-01-21
45604,202,15,122928.4,2016-01-22
47615,198,14,125286.883333,2016-01-23
