dailyViewcount,numShare,numSubscriber,watchTime,date
755587,10012,1948,2663722.83333,2016-06-09
363222,5063,790,1472540.28333,2016-06-10
210012,2860,357,861808.9,2016-06-11
122659,1597,240,493997.016667,2016-06-12
122918,1514,229,484672.333333,2016-06-13
99287,1145,189,387398.033333,2016-06-14
77905,895,168,296971.8,2016-06-15
74106,889,117,276174.716667,2016-06-16
71214,800,100,261779.75,2016-06-17
61362,724,111,223404.266667,2016-06-18
50879,567,65,185579.533333,2016-06-19
49953,579,69,186092.916667,2016-06-20
49539,532,49,180042.75,2016-06-21
50099,544,73,174942.016667,2016-06-22
45152,505,51,163504.833333,2016-06-23
44648,428,56,163096.033333,2016-06-24
40617,386,31,146155.633333,2016-06-25
37986,357,42,139956.05,2016-06-26
40060,378,49,145206.716667,2016-06-27
41685,435,52,152179.35,2016-06-28
45442,418,54,163337.0,2016-06-29
47073,497,60,171003.466667,2016-06-30
46458,401,54,165321.683333,2016-07-01
42495,410,37,148282.95,2016-07-02
41761,376,42,146671.416667,2016-07-03
42207,382,52,149726.65,2016-07-04
51914,539,81,182616.816667,2016-07-05
55484,491,113,193061.233333,2016-07-06
52075,451,67,180830.816667,2016-07-07
45706,403,62,160508.3,2016-07-08
41718,357,44,144531.1,2016-07-09
41933,392,61,145822.683333,2016-07-10
45398,422,72,160336.75,2016-07-11
44075,368,48,154195.3,2016-07-12
44484,403,50,156443.583333,2016-07-13
45353,418,56,160696.216667,2016-07-14
45028,400,37,159553.416667,2016-07-15
43304,381,43,150419.25,2016-07-16
41058,395,45,142087.333333,2016-07-17
41520,377,47,146267.183333,2016-07-18
39647,378,57,138865.016667,2016-07-19
41125,391,63,144486.533333,2016-07-20
39217,425,62,137612.45,2016-07-21
40628,375,43,139941.1,2016-07-22
68608,651,58,259990.8,2016-07-23
45879,491,52,166157.166667,2016-07-24
41232,445,37,147358.266667,2016-07-25
39797,391,41,140710.9,2016-07-26
37291,373,52,132264.5,2016-07-27
37766,352,45,132669.416667,2016-07-28
37521,314,48,131006.833333,2016-07-29
34697,288,19,118069.966667,2016-07-30
33505,314,47,117059.15,2016-07-31
37439,347,34,131814.2,2016-08-01
37590,379,37,131166.05,2016-08-02
37702,371,49,131816.65,2016-08-03
38388,345,42,134677.116667,2016-08-04
37843,335,19,130920.033333,2016-08-05
34968,273,38,120510.533333,2016-08-06
32867,291,39,115181.733333,2016-08-07
33371,325,38,117291.466667,2016-08-08
31909,314,41,112447.133333,2016-08-09
31682,314,25,111945.733333,2016-08-10
31746,241,32,112335.016667,2016-08-11
32344,255,33,113515.6,2016-08-12
32013,290,27,111138.266667,2016-08-13
30291,288,23,105804.6,2016-08-14
31626,301,27,112319.816667,2016-08-15
31453,333,34,111647.133333,2016-08-16
31093,239,31,108932.083333,2016-08-17
31673,285,29,111872.5,2016-08-18
32090,264,34,112628.966667,2016-08-19
30396,246,35,104827.933333,2016-08-20
28597,264,31,100292.733333,2016-08-21
28014,283,22,99207.5,2016-08-22
32312,256,35,113531.116667,2016-08-23
35142,296,41,122495.483333,2016-08-24
31447,297,35,110992.833333,2016-08-25
30519,257,24,106616.616667,2016-08-26
30154,239,15,102360.6,2016-08-27
29843,237,37,102848.966667,2016-08-28
30598,282,32,108038.883333,2016-08-29
29652,247,40,104997.533333,2016-08-30
28827,250,34,102899.733333,2016-08-31
29225,228,28,102049.85,2016-09-01
31541,207,36,105515.4,2016-09-02
29153,244,32,96515.9833333,2016-09-03
27996,211,29,94407.2666667,2016-09-04
27375,233,19,94086.2,2016-09-05
26541,227,28,93031.1333333,2016-09-06
27908,243,21,98444.3833333,2016-09-07
28765,237,29,99922.0666667,2016-09-08
28904,267,25,99425.5666667,2016-09-09
27863,237,27,93661.05,2016-09-10
25840,213,31,90180.2833333,2016-09-11
25386,207,20,88849.95,2016-09-12
26399,237,20,92251.3833333,2016-09-13
26397,211,19,93825.1833333,2016-09-14
29677,205,31,100243.9,2016-09-15
32209,250,29,107143.333333,2016-09-16
29633,231,24,96542.1166667,2016-09-17
28122,256,33,94840.6,2016-09-18
29347,224,37,100071.833333,2016-09-19
30562,247,44,105126.8,2016-09-20
31331,207,38,107496.533333,2016-09-21
29141,192,39,99264.4666667,2016-09-22
28568,239,19,97494.8166667,2016-09-23
27481,173,24,93474.6666667,2016-09-24
24301,216,27,84331.3166667,2016-09-25
23626,208,17,83273.7833333,2016-09-26
23733,213,25,83477.65,2016-09-27
24171,210,37,85785.25,2016-09-28
23532,205,26,83772.8333333,2016-09-29
22156,188,24,79021.0833333,2016-09-30
20719,156,16,71294.1166667,2016-10-01
19213,156,12,67785.8166667,2016-10-02
19078,195,24,68534.6,2016-10-03
18876,180,19,68429.2166667,2016-10-04
19965,185,26,72069.1833333,2016-10-05
21039,171,34,74378.2833333,2016-10-06
22682,160,17,78751.7666667,2016-10-07
21973,195,20,75491.0,2016-10-08
19796,165,17,67872.0666667,2016-10-09
21126,183,27,74481.1666667,2016-10-10
21111,193,26,74699.2833333,2016-10-11
21698,201,16,75073.0166667,2016-10-12
22931,182,24,79073.6166667,2016-10-13
23794,186,14,81143.6,2016-10-14
22523,160,25,75476.1333333,2016-10-15
20759,193,21,71252.7833333,2016-10-16
20962,178,24,74307.4,2016-10-17
41913,335,40,153428.866667,2016-10-18
41953,325,33,155098.333333,2016-10-19
44066,320,38,163194.0,2016-10-20
