dailyViewcount,numShare,numSubscriber,watchTime,date
40772,1121,20,76909.55,2016-01-17
41094,763,40,81510.2833333,2016-01-18
39402,588,42,79987.7166667,2016-01-19
42125,605,25,84512.3166667,2016-01-20
42370,510,14,87295.15,2016-01-21
42838,525,19,86932.9833333,2016-01-22
40802,479,23,83333.3,2016-01-23
36796,397,12,77088.5833333,2016-01-24
37600,443,13,82493.5,2016-01-25
40029,524,13,85942.8166667,2016-01-26
44081,459,25,95645.4166667,2016-01-27
45217,439,17,104940.9,2016-01-28
48345,380,23,116313.016667,2016-01-29
49195,421,15,117944.466667,2016-01-30
43346,387,13,103230.516667,2016-01-31
44311,393,10,108928.75,2016-02-01
44239,412,14,109880.7,2016-02-02
46297,362,11,116494.916667,2016-02-03
46112,342,11,116319.5,2016-02-04
50423,381,16,125831.55,2016-02-05
53671,440,16,131675.866667,2016-02-06
47091,338,10,113272.566667,2016-02-07
46677,369,19,114130.416667,2016-02-08
46267,338,17,113169.15,2016-02-09
47665,338,18,116700.733333,2016-02-10
51076,342,11,126111.683333,2016-02-11
53407,372,17,129949.6,2016-02-12
55129,361,17,132925.733333,2016-02-13
49284,303,13,118397.816667,2016-02-14
52881,395,19,126629.766667,2016-02-15
51190,342,17,125398.25,2016-02-16
52846,338,17,129093.866667,2016-02-17
56637,387,12,138275.85,2016-02-18
61148,314,13,147758.55,2016-02-19
60905,374,17,146060.133333,2016-02-20
54573,366,25,131371.45,2016-02-21
56493,354,22,136827.55,2016-02-22
57307,373,16,139453.816667,2016-02-23
59767,409,22,143331.733333,2016-02-24
61495,320,24,150288.6,2016-02-25
67001,340,22,159979.633333,2016-02-26
73159,401,28,171075.616667,2016-02-27
64756,400,28,152524.15,2016-02-28
62455,394,27,152546.516667,2016-02-29
63285,369,27,153153.416667,2016-03-01
64982,360,17,156934.9,2016-03-02
69649,423,25,167646.683333,2016-03-03
76080,343,22,182492.0,2016-03-04
79743,421,24,186380.366667,2016-03-05
68787,393,21,163099.8,2016-03-06
66274,373,23,162540.6,2016-03-07
65258,385,23,159821.416667,2016-03-08
69169,390,18,167785.45,2016-03-09
72546,378,23,175147.65,2016-03-10
80643,397,18,193004.3,2016-03-11
91946,445,29,215818.883333,2016-03-12
80198,437,25,187886.033333,2016-03-13
80526,444,29,192482.5,2016-03-14
80012,445,25,192866.0,2016-03-15
82556,421,29,199923.683333,2016-03-16
101573,539,40,246624.266667,2016-03-17
110476,585,38,267390.166667,2016-03-18
119861,642,24,284572.033333,2016-03-19
103927,645,24,247476.1,2016-03-20
103924,605,24,256222.616667,2016-03-21
103776,657,25,255952.083333,2016-03-22
107376,566,24,263956.316667,2016-03-23
115753,618,31,279666.716667,2016-03-24
123152,717,22,295514.15,2016-03-25
118939,665,17,286523.083333,2016-03-26
110347,616,25,264581.8,2016-03-27
111976,682,32,270309.983333,2016-03-28
113262,668,27,274364.116667,2016-03-29
116421,647,19,283857.066667,2016-03-30
123842,683,23,302323.3,2016-03-31
134868,626,25,322399.333333,2016-04-01
141119,724,26,334044.35,2016-04-02
122229,685,33,290853.483333,2016-04-03
120901,630,31,296597.233333,2016-04-04
134806,847,46,312457.9,2016-04-05
134654,730,46,321135.183333,2016-04-06
139242,697,42,334699.683333,2016-04-07
144468,612,37,343434.783333,2016-04-08
145834,655,35,340483.333333,2016-04-09
120828,673,30,287127.283333,2016-04-10
113682,569,36,278029.733333,2016-04-11
113291,533,37,274339.616667,2016-04-12
115755,556,31,280013.083333,2016-04-13
117240,539,37,284303.516667,2016-04-14
128929,479,30,306225.633333,2016-04-15
141515,528,28,326947.733333,2016-04-16
122037,530,32,285674.116667,2016-04-17
120071,484,24,285151.8,2016-04-18
121046,504,26,287523.333333,2016-04-19
125393,586,30,301521.516667,2016-04-20
133496,682,41,322355.266667,2016-04-21
145390,745,55,344302.65,2016-04-22
154730,805,34,366650.283333,2016-04-23
136775,887,30,323814.333333,2016-04-24
133216,770,33,322506.233333,2016-04-25
136742,654,34,330686.6,2016-04-26
134282,710,33,326520.5,2016-04-27
126829,821,32,306384.933333,2016-04-28
135882,817,33,322548.95,2016-04-29
145908,1013,32,338971.383333,2016-04-30
129702,1063,27,305110.2,2016-05-01
129655,913,35,311146.766667,2016-05-02
136880,967,48,322174.983333,2016-05-03
135341,874,32,316930.216667,2016-05-04
139112,856,33,326799.9,2016-05-05
148784,778,32,341324.683333,2016-05-06
155839,856,31,354732.25,2016-05-07
136205,899,33,310957.333333,2016-05-08
126312,839,46,293166.9,2016-05-09
136875,765,47,317133.6,2016-05-10
142052,759,48,324968.816667,2016-05-11
146628,812,44,339308.033333,2016-05-12
150544,803,33,341472.75,2016-05-13
152077,831,45,344268.6,2016-05-14
130899,826,22,297978.266667,2016-05-15
127487,711,33,298241.466667,2016-05-16
126484,672,35,294608.816667,2016-05-17
128746,769,33,299009.25,2016-05-18
132447,748,35,306033.25,2016-05-19
141131,745,33,322545.883333,2016-05-20
146807,801,20,331140.766667,2016-05-21
132278,800,34,302543.566667,2016-05-22
125287,752,30,291577.55,2016-05-23
125779,748,24,290934.683333,2016-05-24
123761,752,34,284011.65,2016-05-25
126347,775,29,288196.35,2016-05-26
132206,773,33,297370.2,2016-05-27
130483,777,29,291262.866667,2016-05-28
120536,766,34,266332.75,2016-05-29
117270,817,28,261953.45,2016-05-30
117581,713,41,266956.666667,2016-05-31
116917,757,36,265981.933333,2016-06-01
122118,731,36,275408.483333,2016-06-02
130921,696,29,292279.416667,2016-06-03
132812,777,25,296271.616667,2016-06-04
121398,879,26,270733.383333,2016-06-05
119563,722,34,269026.25,2016-06-06
128219,787,34,288264.683333,2016-06-07
132295,825,41,297818.733333,2016-06-08
142814,900,47,319778.283333,2016-06-09
146938,859,32,330139.783333,2016-06-10
147743,908,46,326145.4,2016-06-11
134404,1011,45,298877.783333,2016-06-12
134743,905,31,301784.283333,2016-06-13
138631,903,40,312456.466667,2016-06-14
147839,1062,38,331819.083333,2016-06-15
150872,1018,46,339832.583333,2016-06-16
156966,1011,34,352161.45,2016-06-17
153474,988,41,341663.8,2016-06-18
142725,925,41,315561.05,2016-06-19
146468,913,55,325272.65,2016-06-20
146372,962,46,324950.383333,2016-06-21
147793,1041,44,327293.15,2016-06-22
152479,1055,41,337908.416667,2016-06-23
153852,1067,36,344047.316667,2016-06-24
153917,1110,34,340252.1,2016-06-25
141161,930,37,310071.85,2016-06-26
149926,994,46,332485.6,2016-06-27
151476,1003,45,335454.416667,2016-06-28
151505,966,33,336489.533333,2016-06-29
147982,986,47,331603.566667,2016-06-30
152178,1082,43,338542.6,2016-07-01
149465,939,33,330059.8,2016-07-02
137322,966,37,303611.383333,2016-07-03
139147,924,28,310058.483333,2016-07-04
141551,980,47,314630.566667,2016-07-05
138189,915,41,307292.183333,2016-07-06
139958,952,28,309542.0,2016-07-07
155184,967,50,344439.516667,2016-07-08
151840,979,39,334475.3,2016-07-09
138619,976,28,308831.1,2016-07-10
146211,1045,36,324961.25,2016-07-11
147542,1068,40,327991.666667,2016-07-12
148819,1079,37,329891.366667,2016-07-13
152013,1047,34,337079.333333,2016-07-14
158398,1006,34,352767.6,2016-07-15
151078,965,40,333346.633333,2016-07-16
138837,932,30,305145.666667,2016-07-17
146858,943,43,325914.766667,2016-07-18
147544,927,36,325127.9,2016-07-19
144850,1044,36,318801.266667,2016-07-20
148110,900,36,326513.416667,2016-07-21
159030,1027,53,348158.766667,2016-07-22
151850,963,33,329313.8,2016-07-23
135336,1133,34,289122.633333,2016-07-24
151248,1432,41,325892.883333,2016-07-25
150417,1222,44,325992.016667,2016-07-26
151024,1220,46,329571.2,2016-07-27
159196,1368,41,348252.433333,2016-07-28
170059,1207,44,373442.416667,2016-07-29
164762,1150,40,356299.4,2016-07-30
138753,1009,33,302506.383333,2016-07-31
148561,1069,44,323149.733333,2016-08-01
148510,1055,31,322631.166667,2016-08-02
149956,971,25,327705.15,2016-08-03
151300,950,31,332254.55,2016-08-04
164848,989,31,360550.216667,2016-08-05
156953,881,42,343744.65,2016-08-06
142474,955,28,309947.35,2016-08-07
147796,919,39,319511.833333,2016-08-08
144441,904,36,313373.3,2016-08-09
146574,952,42,315931.3,2016-08-10
151323,914,37,328704.783333,2016-08-11
153590,913,32,331659.85,2016-08-12
159947,907,31,338561.45,2016-08-13
140401,869,28,299259.333333,2016-08-14
140343,837,44,304222.533333,2016-08-15
144525,881,29,314778.15,2016-08-16
139446,934,27,303097.116667,2016-08-17
139447,910,40,307667.216667,2016-08-18
149108,785,34,324052.95,2016-08-19
155046,835,29,336321.733333,2016-08-20
135251,851,41,292338.183333,2016-08-21
139499,820,38,305144.266667,2016-08-22
138199,869,28,304243.616667,2016-08-23
138969,822,28,306104.9,2016-08-24
140046,789,38,305309.316667,2016-08-25
158755,842,51,338741.533333,2016-08-26
158109,874,29,334964.083333,2016-08-27
125882,768,30,270360.416667,2016-08-28
127006,744,27,274339.183333,2016-08-29
131663,894,38,283022.483333,2016-08-30
136334,937,58,295470.233333,2016-08-31
137993,834,36,302067.75,2016-09-01
145544,802,31,316890.466667,2016-09-02
137266,811,22,296935.783333,2016-09-03
123731,755,30,266334.7,2016-09-04
120902,821,25,263544.833333,2016-09-05
113577,716,25,251129.016667,2016-09-06
117788,738,26,261963.116667,2016-09-07
121063,684,26,265799.566667,2016-09-08
132206,699,36,285227.7,2016-09-09
137166,786,33,294014.533333,2016-09-10
118965,766,21,259382.066667,2016-09-11
109313,661,19,242555.55,2016-09-12
107076,692,18,237198.733333,2016-09-13
106967,679,15,236958.133333,2016-09-14
112499,689,21,249213.833333,2016-09-15
125504,685,17,272139.866667,2016-09-16
139215,789,33,297093.616667,2016-09-17
118235,808,26,253457.433333,2016-09-18
110511,712,24,244687.85,2016-09-19
126182,782,27,272772.916667,2016-09-20
130237,725,24,283182.95,2016-09-21
134844,814,27,294221.866667,2016-09-22
138614,784,17,301832.416667,2016-09-23
141779,843,26,306175.333333,2016-09-24
110495,774,25,243828.333333,2016-09-25
103640,677,23,232934.65,2016-09-26
107874,744,20,238140.433333,2016-09-27
103696,650,21,231144.983333,2016-09-28
100425,629,26,224642.75,2016-09-29
107177,613,18,236580.816667,2016-09-30
118885,680,21,255468.383333,2016-10-01
106464,752,21,228964.016667,2016-10-02
92349,622,20,206033.1,2016-10-03
95744,578,22,211804.4,2016-10-04
108350,600,29,230804.066667,2016-10-05
104269,600,18,228504.233333,2016-10-06
111072,615,17,245394.05,2016-10-07
126326,617,28,269934.483333,2016-10-08
109194,601,25,235177.566667,2016-10-09
101505,544,24,225206.833333,2016-10-10
93662,481,14,210859.966667,2016-10-11
96779,606,23,216966.333333,2016-10-12
94771,498,19,213649.9,2016-10-13
102114,484,21,227255.0,2016-10-14
104143,535,20,228430.5,2016-10-15
88636,617,14,196282.233333,2016-10-16
81792,479,17,184620.466667,2016-10-17
82347,484,21,184425.316667,2016-10-18
92542,687,26,205240.05,2016-10-19
101281,664,28,227223.9,2016-10-20
108190,615,23,242518.133333,2016-10-21
110593,611,20,244577.016667,2016-10-22
90342,543,18,201396.633333,2016-10-23
87360,521,17,196861.533333,2016-10-24
85218,493,20,193301.033333,2016-10-25
87121,501,30,196116.766667,2016-10-26
90698,486,22,203487.416667,2016-10-27
96012,490,26,215214.583333,2016-10-28
100753,536,20,223067.633333,2016-10-29
87114,554,15,191311.2,2016-10-30
77439,412,10,177047.233333,2016-10-31
79669,429,12,179522.95,2016-11-01
83515,437,16,186178.966667,2016-11-02
85706,550,28,193173.033333,2016-11-03
94824,510,21,211434.75,2016-11-04
98146,489,22,214659.95,2016-11-05
84323,486,25,185599.533333,2016-11-06
78442,465,10,176865.616667,2016-11-07
78340,454,11,175817.683333,2016-11-08
76899,438,22,171651.7,2016-11-09
82024,499,18,183745.866667,2016-11-10
96390,509,12,211337.25,2016-11-11
92618,478,13,202379.533333,2016-11-12
78765,535,10,170841.816667,2016-11-13
72574,444,13,161388.966667,2016-11-14
70256,380,15,156489.65,2016-11-15
73572,424,16,163719.433333,2016-11-16
77887,404,13,173889.583333,2016-11-17
86919,480,15,190434.05,2016-11-18
92128,465,16,198039.7,2016-11-19
76632,451,19,164436.883333,2016-11-20
72888,457,13,160429.816667,2016-11-21
70622,387,11,156641.35,2016-11-22
76828,457,21,168786.866667,2016-11-23
73185,416,9,160523.333333,2016-11-24
71095,382,15,156783.683333,2016-11-25
72437,443,15,159377.566667,2016-11-26
66536,992,26,143350.05,2016-11-27
64586,680,16,145238.8,2016-11-28
69037,580,28,155006.633333,2016-11-29
64882,530,15,144271.583333,2016-11-30
68655,521,19,153275.25,2016-12-01
76282,545,19,166677.45,2016-12-02
82203,591,18,177145.116667,2016-12-03
69515,523,15,152375.483333,2016-12-04
65973,415,16,147086.633333,2016-12-05
66009,453,16,147034.916667,2016-12-06
64862,402,14,144958.066667,2016-12-07
66449,456,12,147714.533333,2016-12-08
75558,503,16,166530.866667,2016-12-09
78382,491,15,170353.983333,2016-12-10
62017,439,12,135988.95,2016-12-11
58918,374,17,131740.133333,2016-12-12
62424,391,14,137373.0,2016-12-13
63691,408,14,142391.366667,2016-12-14
68025,410,16,150752.65,2016-12-15
73294,409,27,160383.133333,2016-12-16
72025,482,17,155263.766667,2016-12-17
63874,482,17,137006.333333,2016-12-18
61730,388,15,135437.983333,2016-12-19
63728,420,18,139034.433333,2016-12-20
68613,425,14,148106.266667,2016-12-21
73421,473,29,156974.083333,2016-12-22
75671,432,21,164028.35,2016-12-23
68932,409,9,149845.933333,2016-12-24
65844,451,7,139714.083333,2016-12-25
64897,425,10,138808.85,2016-12-26
66895,441,9,143254.983333,2016-12-27
67912,447,15,145580.566667,2016-12-28
68264,458,12,145790.133333,2016-12-29
74065,448,8,160175.7,2016-12-30
84224,401,9,182438.366667,2016-12-31
61090,422,12,127222.15,2017-01-01
63348,484,18,133936.416667,2017-01-02
63360,450,12,136845.2,2017-01-03
