dailyViewcount,numShare,numSubscriber,watchTime,date
8143925,105900,6847,22210722.55,2017-02-21
5428239,42678,2927,14003045.6667,2017-02-22
4213595,33436,2093,11110751.5833,2017-02-23
3983357,31394,1851,10692792.6833,2017-02-24
4048620,29740,1746,10842783.9333,2017-02-25
3375223,26433,1470,9168751.48333,2017-02-26
3436398,22767,1675,9428950.41667,2017-02-27
3105245,20365,1383,8667472.91667,2017-02-28
2830429,19301,1113,7995883.91667,2017-03-01
2791545,19222,1031,7917636.16667,2017-03-02
3152583,20955,1221,8749194.08333,2017-03-03
3531956,21838,1331,9752275.96667,2017-03-04
3266364,22097,1182,9058125.85,2017-03-05
2901804,18347,1051,8223150.66667,2017-03-06
2866298,17632,918,8181043.56667,2017-03-07
2895819,17631,950,8272642.98333,2017-03-08
2931265,17847,934,8366731.26667,2017-03-09
3241308,18780,1031,9149563.46667,2017-03-10
3802257,21637,1245,10608714.6667,2017-03-11
3164620,20711,974,8885376.28333,2017-03-12
2796945,16857,816,8043989.58333,2017-03-13
2940160,16902,834,8428553.1,2017-03-14
3006922,17710,830,8656779.41667,2017-03-15
3100810,17909,845,8889325.16667,2017-03-16
3362806,18771,867,9503247.3,2017-03-17
3892929,21335,1060,10825519.2167,2017-03-18
3378624,20328,895,9434647.75,2017-03-19
3000543,16992,700,8593487.86667,2017-03-20
2886616,15829,717,8360110.81667,2017-03-21
2901020,16008,721,8408894.18333,2017-03-22
2979891,16300,738,8631325.15,2017-03-23
3249109,17149,845,9288963.38333,2017-03-24
3686358,19407,935,10396815.8,2017-03-25
3110917,19152,762,8803798.73333,2017-03-26
2768108,15144,685,8033086.63333,2017-03-27
2735766,14859,696,7935002.23333,2017-03-28
2791943,15245,634,8093176.13333,2017-03-29
2762129,15103,716,8023055.61667,2017-03-30
2967633,16440,707,8471903.18333,2017-03-31
3262029,18102,806,9160423.46667,2017-04-01
2726699,17760,679,7631947.23333,2017-04-02
2369773,14421,605,6807470.5,2017-04-03
2432741,14258,578,7002162.28333,2017-04-04
2421720,13974,590,7014513.6,2017-04-05
2656260,14763,587,7449654.25,2017-04-06
2798716,15701,570,7819796.88333,2017-04-07
3021995,17759,612,8399967.01667,2017-04-08
2471079,16558,525,6915237.33333,2017-04-09
2264130,14226,510,6484000.51667,2017-04-10
2300204,14945,538,6576716.98333,2017-04-11
2333594,15254,519,6610638.3,2017-04-12
2393074,15540,512,6731048.48333,2017-04-13
2376538,15308,492,6621331.16667,2017-04-14
2374208,14904,507,6636049.55,2017-04-15
2240286,14566,539,6167559.51667,2017-04-16
2409839,14664,534,6644496.98333,2017-04-17
2321290,14130,501,6495434.68333,2017-04-18
2152992,13120,523,6113709.48333,2017-04-19
2254104,14052,503,6369496.46667,2017-04-20
2394536,14406,563,6719973.38333,2017-04-21
2448303,15373,547,6838736.66667,2017-04-22
2048104,14642,450,5666856.16667,2017-04-23
1765354,12148,427,5002656.0,2017-04-24
1917355,12510,382,5465779.63333,2017-04-25
2061765,12782,488,5903803.35,2017-04-26
2158751,12790,496,6117460.18333,2017-04-27
2379543,14130,513,6591140.76667,2017-04-28
2536689,15095,502,6897159.73333,2017-04-29
2136039,13624,444,5744102.41667,2017-04-30
2084291,13657,402,5706184.05,2017-05-01
1913138,11000,397,5349072.5,2017-05-02
1934112,11021,399,5404717.7,2017-05-03
1888056,10953,405,5244983.0,2017-05-04
2127601,12254,408,5871963.03333,2017-05-05
2440304,13355,456,6661703.96667,2017-05-06
2078551,12633,412,5678519.76667,2017-05-07
1822189,10535,373,5115811.98333,2017-05-08
1776993,9812,358,5003179.51667,2017-05-09
1803262,9876,445,5062245.86667,2017-05-10
1758002,10114,355,4877794.68333,2017-05-11
2250188,11935,470,6016981.55,2017-05-12
2513550,13085,470,6672250.26667,2017-05-13
2020651,11925,377,5334039.43333,2017-05-14
1715804,9655,343,4734943.66667,2017-05-15
1771736,9783,344,4911647.2,2017-05-16
1764370,9828,358,4907305.75,2017-05-17
1797527,9835,308,4952269.95,2017-05-18
1984894,10941,321,5407136.31667,2017-05-19
2091975,11239,355,5625752.46667,2017-05-20
1714837,10512,298,4613227.46667,2017-05-21
1509978,8299,228,4168680.98333,2017-05-22
