dailyViewcount,numShare,numSubscriber,watchTime,date
7395955,154379,15016,17408870.4167,2016-10-07
5079874,74979,5706,11982188.3167,2016-10-08
3609006,52756,3969,8658849.6,2016-10-09
3089581,43974,3409,7727564.8,2016-10-10
3260941,42733,4166,8249768.91667,2016-10-11
2993267,36723,3260,7868381.58333,2016-10-12
2790157,31759,2620,7386012.15,2016-10-13
2935268,31271,2568,7634078.36667,2016-10-14
3006601,29270,2225,7761855.5,2016-10-15
2625165,27932,1938,6807014.95,2016-10-16
2631186,26780,1934,7003500.3,2016-10-17
2695109,26393,2082,7202082.41667,2016-10-18
2717444,25127,1760,7239243.56667,2016-10-19
2750417,25729,1709,7337905.71667,2016-10-20
2988648,26149,1689,7902362.0,2016-10-21
3123267,25413,1809,8134888.63333,2016-10-22
2746668,24213,1673,7095844.85,2016-10-23
2704583,22601,1596,7195017.76667,2016-10-24
2701706,22297,1458,7220728.65,2016-10-25
2780937,21968,1355,7448831.63333,2016-10-26
2873328,22387,1500,7678580.53333,2016-10-27
3054442,22810,1504,8133964.0,2016-10-28
3224692,23054,1713,8436301.83333,2016-10-29
2868497,22787,1402,7436002.63333,2016-10-30
2758804,20390,1342,7451323.9,2016-10-31
2847988,21698,1361,7584570.83333,2016-11-01
2899196,22547,1471,7776591.31667,2016-11-02
2909588,21963,1410,7818585.38333,2016-11-03
3050857,23154,1380,8216471.85,2016-11-04
3237408,23402,1484,8614311.61667,2016-11-05
2893915,23142,1376,7656410.6,2016-11-06
2699952,20111,1171,7329976.75,2016-11-07
2707822,18980,1259,7335617.81667,2016-11-08
2640297,18211,1138,7160251.66667,2016-11-09
2735918,19338,1133,7440819.01667,2016-11-10
3081890,21720,1258,8249071.2,2016-11-11
3341351,23431,1358,8823489.15,2016-11-12
2834037,21628,1197,7444130.01667,2016-11-13
2691904,17721,1113,7237548.91667,2016-11-14
2770334,18383,1093,7460013.13333,2016-11-15
2868150,18448,1141,7748964.56667,2016-11-16
3013029,19742,1228,8134812.06667,2016-11-17
3447284,22748,1609,9218822.73333,2016-11-18
3717231,23726,1662,9832513.36667,2016-11-19
3210553,23458,1508,8419993.06667,2016-11-20
3160547,21659,1474,8506581.2,2016-11-21
3241626,20755,1490,8743872.06667,2016-11-22
3356637,20747,1422,9071060.25,2016-11-23
3336266,19572,1434,8946907.35,2016-11-24
3502743,20323,1454,9303960.61667,2016-11-25
3751142,21879,1559,9914501.05,2016-11-26
3282861,21896,1434,8595794.98333,2016-11-27
3043511,18305,1353,8174441.98333,2016-11-28
3119748,18011,1315,8370920.1,2016-11-29
3269130,19202,1291,8755185.31667,2016-11-30
3425116,19716,1466,9130107.1,2016-12-01
3740088,21362,1533,9929401.28333,2016-12-02
4107192,22302,1658,10777916.0833,2016-12-03
3451301,20722,1436,9030779.65,2016-12-04
3147298,17706,1243,8450805.51667,2016-12-05
3297279,19044,1356,8818834.51667,2016-12-06
3537729,19217,1629,9483707.25,2016-12-07
3563782,19038,1325,9593987.63333,2016-12-08
3518043,19107,1350,9408605.11667,2016-12-09
3823187,22178,1350,10081929.1,2016-12-10
3268692,20980,1170,8564320.26667,2016-12-11
3045563,18725,1169,8206192.18333,2016-12-12
3164175,19965,1267,8575653.86667,2016-12-13
3982760,24519,1941,10384032.7333,2016-12-14
3701965,23611,1717,10148528.65,2016-12-15
4152013,24171,1656,11294347.85,2016-12-16
4583942,25459,1723,12238178.4167,2016-12-17
3728092,23016,1448,9905814.81667,2016-12-18
3639194,21180,1437,9850876.61667,2016-12-19
3709489,21353,1437,10030157.7,2016-12-20
3824418,21127,1448,10304917.4667,2016-12-21
3835793,21580,1294,10350935.8833,2016-12-22
4116999,22632,1314,11053296.1167,2016-12-23
4523040,22072,1138,12150003.0,2016-12-24
3644604,22875,1069,9347136.18333,2016-12-25
3758510,23288,1195,9817839.23333,2016-12-26
3809851,22707,1328,10071700.3,2016-12-27
3905010,22673,1319,10385713.5,2016-12-28
3955085,23242,1292,10487883.9,2016-12-29
4227737,24511,1260,11142366.9167,2016-12-30
5810437,25678,1199,15587592.45,2016-12-31
3283419,19542,1044,8335089.58333,2017-01-01
3654551,21913,1280,9484311.45,2017-01-02
3746832,20833,1583,9752320.63333,2017-01-03
