dailyViewcount,numShare,numSubscriber,watchTime,date
476,6,0,1137.06666667,2015-09-05
1219,20,0,3216.95,2015-09-06
3239,48,1,9153.4,2015-09-07
6063,31,2,17988.75,2015-09-08
9700,44,3,26787.75,2015-09-09
10570,65,2,30554.2,2015-09-10
10196,56,2,30559.7166667,2015-09-11
9144,51,3,27037.6166667,2015-09-12
7857,26,0,23112.4,2015-09-13
8827,31,2,27610.3833333,2015-09-14
9302,50,0,29259.3333333,2015-09-15
8401,53,4,26733.8666667,2015-09-16
9062,29,1,28573.8666667,2015-09-17
8228,17,0,25515.3666667,2015-09-18
8707,26,0,26206.9166667,2015-09-19
7163,35,0,22393.5666667,2015-09-20
6057,26,2,19139.4333333,2015-09-21
5472,24,0,17660.1833333,2015-09-22
5658,28,1,18249.2333333,2015-09-23
5553,31,0,18231.1333333,2015-09-24
5227,17,0,16440.5,2015-09-25
5210,23,0,16164.0,2015-09-26
4771,21,0,14898.3166667,2015-09-27
5239,37,2,16451.6166667,2015-09-28
5151,23,0,16691.4333333,2015-09-29
5315,30,0,17665.2166667,2015-09-30
5001,15,0,16499.0,2015-10-01
5069,18,0,16606.9333333,2015-10-02
4783,10,1,15089.3333333,2015-10-03
4580,21,1,14805.4666667,2015-10-04
4869,19,1,15748.9333333,2015-10-05
5312,23,0,16601.7333333,2015-10-06
4719,17,0,15062.0,2015-10-07
5133,17,0,16570.6333333,2015-10-08
4967,17,0,15938.9333333,2015-10-09
5016,16,1,15595.55,2015-10-10
4411,16,0,13519.8,2015-10-11
5093,17,0,16249.0666667,2015-10-12
5397,25,0,16936.75,2015-10-13
6017,22,0,18375.3166667,2015-10-14
5630,17,1,17560.5166667,2015-10-15
5891,15,1,18354.35,2015-10-16
5607,20,0,17030.15,2015-10-17
4835,15,1,15034.6833333,2015-10-18
5012,6,0,16354.6333333,2015-10-19
4904,19,2,16049.5,2015-10-20
4959,28,1,15905.1166667,2015-10-21
5138,24,1,16440.7333333,2015-10-22
5245,24,2,16679.0666667,2015-10-23
5071,40,0,15410.6833333,2015-10-24
4542,13,0,13854.4333333,2015-10-25
4811,21,0,15094.4333333,2015-10-26
4551,24,0,14555.9166667,2015-10-27
4750,16,1,15064.4,2015-10-28
4757,15,0,15912.8333333,2015-10-29
4891,12,1,15436.3333333,2015-10-30
4742,13,0,14778.0333333,2015-10-31
4515,16,0,14007.5,2015-11-01
4530,18,0,14575.6,2015-11-02
4515,22,0,14688.15,2015-11-03
4346,15,1,14304.1833333,2015-11-04
4466,12,1,14498.85,2015-11-05
4599,14,0,15284.2666667,2015-11-06
