dailyViewcount,numShare,numSubscriber,watchTime,date
174114,4930,189,534532.466667,2015-06-05
440680,7661,469,1196696.38333,2015-06-06
418483,6107,382,1044935.36667,2015-06-07
476984,6647,308,1170387.63333,2015-06-08
543404,6943,331,1331758.83333,2015-06-09
473163,5678,271,1176990.45,2015-06-10
417873,6069,262,1217699.11667,2015-06-11
433029,6080,255,1297687.38333,2015-06-12
430383,5414,223,1275860.5,2015-06-13
390581,5687,215,1142706.28333,2015-06-14
359586,5160,222,1083583.76667,2015-06-15
362216,5104,204,1107352.58333,2015-06-16
352634,4793,196,1099437.85,2015-06-17
368983,4804,178,1166238.9,2015-06-18
388239,5018,192,1246352.41667,2015-06-19
421050,4673,194,1348944.0,2015-06-20
354652,4089,159,1124104.86667,2015-06-21
336805,4212,144,1072636.78333,2015-06-22
375503,4491,170,1182759.35,2015-06-23
371889,4573,172,1176595.98333,2015-06-24
415137,5402,188,1315370.11667,2015-06-25
451724,6051,208,1456176.45,2015-06-26
467231,5247,174,1508113.48333,2015-06-27
410872,4639,180,1306487.23333,2015-06-28
403866,4821,162,1295041.55,2015-06-29
407666,4242,184,1297363.83333,2015-06-30
438132,4607,206,1380552.43333,2015-07-01
427135,4891,190,1361190.78333,2015-07-02
526364,5802,224,1667989.21667,2015-07-03
527130,5315,183,1683714.56667,2015-07-04
434099,5002,197,1361337.86667,2015-07-05
466282,5606,182,1484800.96667,2015-07-06
474617,5403,199,1507830.48333,2015-07-07
474988,5356,172,1520399.78333,2015-07-08
499724,5964,190,1617081.6,2015-07-09
561650,6696,205,1827680.05,2015-07-10
597608,6551,193,1935806.48333,2015-07-11
486962,5962,157,1562296.66667,2015-07-12
507400,5794,174,1638866.6,2015-07-13
501024,5464,179,1622303.88333,2015-07-14
513178,6030,188,1661478.36667,2015-07-15
523670,5738,210,1691939.38333,2015-07-16
592386,6572,216,1906496.6,2015-07-17
642571,6795,197,2067061.51667,2015-07-18
539891,6507,209,1724057.65,2015-07-19
563435,5775,241,1791845.53333,2015-07-20
564243,6020,201,1799135.98333,2015-07-21
570784,5900,200,1811117.73333,2015-07-22
628411,6162,245,1979488.81667,2015-07-23
658947,6406,214,2084447.45,2015-07-24
711627,6717,198,2244236.25,2015-07-25
593910,6212,193,1844674.38333,2015-07-26
658720,5924,253,2042088.75,2015-07-27
748368,6805,320,2286804.3,2015-07-28
685128,6496,252,2125263.25,2015-07-29
715808,6724,240,2227516.13333,2015-07-30
769400,7602,251,2394369.75,2015-07-31
808309,7575,219,2508633.13333,2015-08-01
625781,6302,219,1920011.16667,2015-08-02
609397,5910,213,1900865.4,2015-08-03
637433,5928,221,1984474.33333,2015-08-04
628256,5806,238,1942869.01667,2015-08-05
698682,6179,239,2139450.51667,2015-08-06
769381,6931,284,2354301.65,2015-08-07
839628,7333,257,2561870.13333,2015-08-08
727363,6050,270,2172365.81667,2015-08-09
735758,5801,274,2232901.58333,2015-08-10
712101,6070,265,2170961.35,2015-08-11
718052,7660,263,2195970.35,2015-08-12
750055,7355,299,2291633.53333,2015-08-13
825912,7617,255,2532915.48333,2015-08-14
867040,7411,266,2635772.45,2015-08-15
720869,6814,247,2152468.71667,2015-08-16
705555,6505,255,2144330.95,2015-08-17
734167,6327,280,2234614.63333,2015-08-18
746323,6306,245,2263881.91667,2015-08-19
777425,6692,304,2361617.81667,2015-08-20
857970,7183,281,2615821.31667,2015-08-21
939203,7490,303,2845895.98333,2015-08-22
716548,6480,233,2150102.7,2015-08-23
758000,6333,320,2297000.33333,2015-08-24
843851,7354,312,2539461.7,2015-08-25
968894,7184,340,2890500.81667,2015-08-26
881161,7227,301,2691084.13333,2015-08-27
945456,7710,291,2881827.9,2015-08-28
1044486,7870,342,3152012.81667,2015-08-29
865170,7054,308,2586090.6,2015-08-30
798149,6537,304,2263561.21667,2015-08-31
822135,6400,258,2486556.86667,2015-09-01
825440,6123,266,2494620.93333,2015-09-02
854472,6086,273,2592041.65,2015-09-03
927105,6875,277,2800690.48333,2015-09-04
1071785,7405,313,3186822.88333,2015-09-05
837805,6399,286,2498806.26667,2015-09-06
809847,5782,286,2406776.95,2015-09-07
768225,5822,265,2316678.95,2015-09-08
763918,5401,237,2308453.43333,2015-09-09
779584,5763,250,2361951.48333,2015-09-10
896706,6420,252,2718471.15,2015-09-11
1030973,7177,297,3111305.6,2015-09-12
893900,6372,307,2640849.0,2015-09-13
466943,5336,243,1416247.98333,2015-09-14
498737,5580,253,1516726.6,2015-09-15
602290,5065,248,1846453.5,2015-09-16
740692,5127,241,2294216.58333,2015-09-17
847296,5773,238,2621785.8,2015-09-18
983463,5846,283,3012731.25,2015-09-19
799224,6061,259,2392521.1,2015-09-20
686348,4970,231,2123935.01667,2015-09-21
685472,4950,222,2121154.28333,2015-09-22
671076,4880,226,2105125.65,2015-09-23
713704,5165,255,2225837.31667,2015-09-24
823080,5834,247,2555039.0,2015-09-25
990699,6335,273,3051202.08333,2015-09-26
784346,5502,235,2399376.4,2015-09-27
659299,4724,244,2056585.15,2015-09-28
656707,4584,220,2023719.95,2015-09-29
690868,4748,249,2130151.81667,2015-09-30
714817,4859,247,2207040.93333,2015-10-01
828734,5492,246,2533775.15,2015-10-02
994973,6335,282,3018853.1,2015-10-03
842964,5500,254,2511990.9,2015-10-04
714735,4398,247,2181470.28333,2015-10-05
700682,4548,213,2149659.31667,2015-10-06
707687,4430,205,2178817.63333,2015-10-07
864500,5288,265,2669997.21667,2015-10-08
1128890,6375,335,3505134.38333,2015-10-09
1289231,6609,372,3975375.05,2015-10-10
1010585,5931,331,3070990.58333,2015-10-11
857723,5313,278,2640226.26667,2015-10-12
768655,4418,221,2389164.81667,2015-10-13
809848,4633,262,2518647.11667,2015-10-14
823001,4662,237,2573064.48333,2015-10-15
943276,5498,274,2941142.28333,2015-10-16
1107706,5951,346,3424742.91667,2015-10-17
853836,5208,244,2607471.13333,2015-10-18
752284,4668,247,2351000.9,2015-10-19
760859,4320,223,2387460.95,2015-10-20
796286,4294,203,2512305.23333,2015-10-21
819590,4456,237,2579151.66667,2015-10-22
918468,5063,214,2873254.18333,2015-10-23
1092802,5637,260,3393802.56667,2015-10-24
934622,5073,259,2873638.75,2015-10-25
866137,4112,253,2716999.13333,2015-10-26
885529,4306,237,2787821.65,2015-10-27
851824,4219,231,2670251.55,2015-10-28
853816,4415,243,2676445.8,2015-10-29
968844,4908,225,3028078.1,2015-10-30
1150257,5133,254,3589213.73333,2015-10-31
879221,4802,222,2684818.68333,2015-11-01
831727,4117,200,2565817.26667,2015-11-02
819151,4156,209,2556741.55,2015-11-03
913355,4187,232,2854718.58333,2015-11-04
971799,4584,272,3036376.48333,2015-11-05
983237,4928,236,3076570.43333,2015-11-06
1144279,5652,252,3560430.93333,2015-11-07
861805,5063,237,2657324.03333,2015-11-08
779154,4186,231,2453043.28333,2015-11-09
820070,4318,204,2581748.91667,2015-11-10
827189,4209,203,2608987.68333,2015-11-11
835818,4278,241,2625243.85,2015-11-12
937136,5050,233,2927692.53333,2015-11-13
1079201,4942,240,3352446.33333,2015-11-14
831879,4601,219,2557924.63333,2015-11-15
752848,3936,195,2339658.73333,2015-11-16
761478,3978,188,2380925.51667,2015-11-17
834137,3882,233,2607563.8,2015-11-18
838272,4274,201,2618652.0,2015-11-19
965000,4848,238,3021794.58333,2015-11-20
1102520,5362,267,3420939.85,2015-11-21
838925,4642,195,2565495.78333,2015-11-22
762807,3814,212,2390689.08333,2015-11-23
816746,3889,221,2559752.76667,2015-11-24
836816,4190,182,2628515.86667,2015-11-25
917065,4385,199,2878555.68333,2015-11-26
990211,4677,239,3078861.56667,2015-11-27
1125068,5052,245,3489952.68333,2015-11-28
1025166,5104,243,3104369.78333,2015-11-29
1010680,4227,276,3114829.18333,2015-11-30
1005043,4172,229,3191679.8,2015-12-01
1040881,4047,196,3345635.2,2015-12-02
1066432,4193,244,3421085.8,2015-12-03
1144418,4643,255,3655099.38333,2015-12-04
1207725,4897,265,3798222.71667,2015-12-05
946140,4656,225,2927638.31667,2015-12-06
1018842,4455,205,3225128.68333,2015-12-07
1055212,4468,216,3358162.06667,2015-12-08
1012418,4013,211,3255962.65,2015-12-09
1005211,4138,219,3221578.73333,2015-12-10
1160925,4795,225,3736742.96667,2015-12-11
1234194,4766,238,3923291.6,2015-12-12
865887,4536,190,2685966.3,2015-12-13
889489,3869,188,2817000.0,2015-12-14
1041232,4195,221,3325982.56667,2015-12-15
1044200,3852,205,3332796.05,2015-12-16
1135156,4153,209,3638131.23333,2015-12-17
1253015,4344,203,4010831.23333,2015-12-18
1240727,4664,205,3936675.91667,2015-12-19
947912,4276,205,2946000.93333,2015-12-20
1018737,4070,209,3224499.5,2015-12-21
1158778,4236,189,3698640.43333,2015-12-22
1306833,4614,230,4179108.88333,2015-12-23
2008292,5397,255,6394984.15,2015-12-24
1076926,5021,173,3294671.86667,2015-12-25
1219926,5409,197,3858548.25,2015-12-26
1016466,5175,188,3191076.68333,2015-12-27
1201031,5090,241,3845464.58333,2015-12-28
1253093,5388,205,3995571.53333,2015-12-29
1322102,5815,225,4208078.75,2015-12-30
