dailyViewcount,numShare,numSubscriber,watchTime,date
48811,85,19,285550.283333,2016-09-11
20224,28,17,119145.833333,2016-09-12
24949,24,20,144511.416667,2016-09-13
21967,13,10,125010.416667,2016-09-14
14822,8,6,80392.65,2016-09-15
10098,2,7,52979.65,2016-09-16
11909,5,8,63903.9333333,2016-09-17
8515,3,9,46353.3166667,2016-09-18
5217,7,3,28552.2666667,2016-09-19
3438,3,3,18537.7333333,2016-09-20
3126,3,5,16666.05,2016-09-21
3570,2,5,19040.9833333,2016-09-22
3311,3,3,16921.5666667,2016-09-23
3595,2,7,18653.0166667,2016-09-24
3657,2,5,19734.8,2016-09-25
3112,4,3,16270.75,2016-09-26
2674,1,4,13602.2,2016-09-27
2721,3,3,14128.2333333,2016-09-28
2562,1,1,12923.8166667,2016-09-29
1711,1,1,8602.01666667,2016-09-30
1828,2,2,9114.18333333,2016-10-01
1848,2,1,9544.03333333,2016-10-02
1448,4,1,7506.05,2016-10-03
1514,1,3,7891.86666667,2016-10-04
1688,1,2,8300.21666667,2016-10-05
1558,1,1,7971.21666667,2016-10-06
1455,4,1,7231.95,2016-10-07
1831,1,1,9289.65,2016-10-08
1833,2,2,9324.53333333,2016-10-09
1419,1,1,7447.9,2016-10-10
1073,1,1,5657.43333333,2016-10-11
1047,0,2,5461.36666667,2016-10-12
964,1,1,4967.65,2016-10-13
981,0,0,4841.75,2016-10-14
1213,4,1,6307.08333333,2016-10-15
1253,1,4,6360.53333333,2016-10-16
990,1,2,5335.93333333,2016-10-17
1079,1,1,5604.35,2016-10-18
1339,0,2,7275.66666667,2016-10-19
1444,0,2,7445.53333333,2016-10-20
1641,3,1,8824.83333333,2016-10-21
2115,0,0,11686.55,2016-10-22
2060,2,0,11612.0833333,2016-10-23
1886,1,3,10147.2,2016-10-24
1536,0,0,8297.81666667,2016-10-25
1289,1,1,6862.85,2016-10-26
1553,1,1,8506.75,2016-10-27
1510,2,1,8118.1,2016-10-28
2264,4,1,11702.25,2016-10-29
2031,1,2,10743.4,2016-10-30
1323,2,1,7396.51666667,2016-10-31
2037,2,2,11112.7666667,2016-11-01
1729,0,2,9473.98333333,2016-11-02
1924,0,1,10212.6,2016-11-03
1793,0,0,9669.88333333,2016-11-04
2279,1,3,12669.35,2016-11-05
2101,1,4,11183.4166667,2016-11-06
1647,0,0,9075.38333333,2016-11-07
1807,1,0,9609.06666667,2016-11-08
1423,1,2,7421.53333333,2016-11-09
1515,0,1,7901.41666667,2016-11-10
1923,0,0,10145.1666667,2016-11-11
3173,2,6,17132.0333333,2016-11-12
1980,1,2,10498.95,2016-11-13
1755,2,2,9460.65,2016-11-14
1706,1,0,9144.21666667,2016-11-15
1635,2,1,8943.83333333,2016-11-16
1275,1,1,6564.05,2016-11-17
1282,0,3,6822.2,2016-11-18
1533,0,0,8369.1,2016-11-19
1671,1,2,9343.2,2016-11-20
1361,0,1,7470.03333333,2016-11-21
1686,0,0,9089.8,2016-11-22
1655,0,0,8972.68333333,2016-11-23
1736,2,3,9481.91666667,2016-11-24
1736,0,2,9408.41666667,2016-11-25
1422,0,3,7616.35,2016-11-26
1707,0,1,9388.0,2016-11-27
1597,2,5,8779.33333333,2016-11-28
1502,0,0,8253.78333333,2016-11-29
1484,3,0,8139.48333333,2016-11-30
1334,0,0,7034.93333333,2016-12-01
1345,0,0,7105.08333333,2016-12-02
1876,0,3,10059.55,2016-12-03
1735,0,1,9337.8,2016-12-04
1487,1,1,8087.18333333,2016-12-05
1590,0,0,8936.28333333,2016-12-06
1566,1,0,8709.71666667,2016-12-07
1646,0,3,9114.56666667,2016-12-08
1764,0,3,9616.15,2016-12-09
2034,0,3,10813.7,2016-12-10
1946,2,1,10590.0333333,2016-12-11
1665,0,3,9148.1,2016-12-12
1565,0,3,8541.18333333,2016-12-13
1578,1,3,8716.38333333,2016-12-14
1367,0,1,7385.11666667,2016-12-15
1348,0,0,7173.33333333,2016-12-16
1552,4,4,7684.31666667,2016-12-17
1445,2,2,7835.65,2016-12-18
1318,2,1,6951.48333333,2016-12-19
1285,3,1,7107.26666667,2016-12-20
1490,1,1,7814.2,2016-12-21
1725,1,0,8871.25,2016-12-22
2226,1,0,11610.6333333,2016-12-23
1993,0,1,10527.6833333,2016-12-24
1949,0,1,10630.1333333,2016-12-25
2200,1,4,11960.3333333,2016-12-26
2173,0,1,11718.3333333,2016-12-27
1897,0,1,10547.3166667,2016-12-28
2081,3,0,11526.6666667,2016-12-29
1895,1,2,10325.1166667,2016-12-30
1485,2,0,7958.83333333,2016-12-31
2118,0,0,11321.8666667,2017-01-01
2435,2,1,13360.6166667,2017-01-02
1725,2,4,9445.51666667,2017-01-03
