dailyViewcount,numShare,numSubscriber,watchTime,date
26553,388,131,64426.5,2016-11-16
98181,980,240,225562.4,2016-11-17
110291,1063,245,239434.9,2016-11-18
84530,899,145,178383.6,2016-11-19
62761,690,109,131203.116667,2016-11-20
53487,559,115,114828.8,2016-11-21
51200,482,113,110099.766667,2016-11-22
47887,406,89,107028.816667,2016-11-23
58868,444,98,133003.083333,2016-11-24
68078,451,110,149365.216667,2016-11-25
81104,508,112,176142.216667,2016-11-26
67436,518,70,152667.416667,2016-11-27
66130,483,91,154483.666667,2016-11-28
68789,482,77,159077.9,2016-11-29
69539,474,79,160551.45,2016-11-30
67995,422,68,159257.233333,2016-12-01
70206,446,76,166441.6,2016-12-02
76874,457,61,184669.616667,2016-12-03
66122,423,52,156571.383333,2016-12-04
60143,389,45,146092.566667,2016-12-05
58123,423,53,140192.783333,2016-12-06
62866,403,53,152543.666667,2016-12-07
66211,387,50,162723.7,2016-12-08
71565,431,59,173993.966667,2016-12-09
78118,411,45,190235.766667,2016-12-10
63742,490,47,155818.4,2016-12-11
61281,446,47,149895.016667,2016-12-12
59373,379,37,147055.9,2016-12-13
61060,431,46,153055.9,2016-12-14
65420,466,43,164353.416667,2016-12-15
65216,442,40,163026.8,2016-12-16
64081,435,46,163029.316667,2016-12-17
58459,421,38,147746.483333,2016-12-18
63011,390,49,162975.116667,2016-12-19
67489,435,41,175929.183333,2016-12-20
64459,425,34,167836.483333,2016-12-21
60186,391,23,154683.483333,2016-12-22
58787,374,28,152727.216667,2016-12-23
70500,406,30,188034.783333,2016-12-24
64069,408,22,169548.75,2016-12-25
56353,417,29,144169.266667,2016-12-26
54207,397,26,140868.533333,2016-12-27
57122,398,37,146848.45,2016-12-28
54881,399,38,141614.366667,2016-12-29
54891,425,25,138913.383333,2016-12-30
58403,307,10,154132.85,2016-12-31
44597,355,17,115762.383333,2017-01-01
44721,355,22,112110.05,2017-01-02
44171,348,20,110306.65,2017-01-03
48953,375,29,123411.083333,2017-01-04
49143,371,13,126097.9,2017-01-05
52317,371,25,132455.433333,2017-01-06
52642,413,19,133113.516667,2017-01-07
44261,444,25,110195.166667,2017-01-08
44495,389,27,110348.566667,2017-01-09
47387,452,11,119131.566667,2017-01-10
51565,454,16,126825.8,2017-01-11
48688,492,18,124108.05,2017-01-12
53987,429,17,136910.533333,2017-01-13
51297,408,19,129586.55,2017-01-14
46659,450,13,114582.816667,2017-01-15
47230,421,14,116996.0,2017-01-16
47820,390,0,118453.766667,2017-01-17
51454,470,0,127922.233333,2017-01-18
51932,466,0,132121.35,2017-01-19
49395,446,0,122194.383333,2017-01-20
54075,524,0,132240.333333,2017-01-21
45291,465,0,109747.316667,2017-01-22
46911,452,0,116175.883333,2017-01-23
46433,407,0,115815.066667,2017-01-24
48018,420,0,120997.033333,2017-01-25
54043,465,0,134433.45,2017-01-26
57379,467,0,144655.533333,2017-01-27
48690,389,19,128976.733333,2017-01-28
40037,364,17,108052.083333,2017-01-29
42267,392,20,111482.4,2017-01-30
48164,434,23,122211.316667,2017-01-31
53886,499,29,132775.7,2017-02-01
52871,429,26,133655.516667,2017-02-02
58649,503,30,148890.25,2017-02-03
65283,591,29,162967.166667,2017-02-04
54253,543,21,131009.216667,2017-02-05
52095,481,21,129258.216667,2017-02-06
55646,459,33,139659.033333,2017-02-07
56517,479,37,142570.716667,2017-02-08
62843,544,39,158032.716667,2017-02-09
69865,598,31,172639.716667,2017-02-10
71987,660,23,176207.9,2017-02-11
58200,577,20,144796.45,2017-02-12
62753,640,27,158344.45,2017-02-13
69393,790,29,177924.233333,2017-02-14
65949,626,21,165997.5,2017-02-15
