dailyViewcount,numShare,numSubscriber,watchTime,date
21575,112,120,93007.8166667,2014-08-14
72995,312,244,299902.866667,2014-08-15
64204,169,141,267007.616667,2014-08-16
84246,211,167,335433.833333,2014-08-17
104782,237,175,411355.166667,2014-08-18
83134,177,110,339012.083333,2014-08-19
80557,170,100,331464.466667,2014-08-20
86171,172,111,356568.2,2014-08-21
84144,137,139,350593.383333,2014-08-22
79642,142,88,328231.666667,2014-08-23
79436,135,83,313820.866667,2014-08-24
75839,138,84,308769.033333,2014-08-25
78051,141,90,323213.05,2014-08-26
83646,183,104,349032.766667,2014-08-27
85521,151,111,358839.9,2014-08-28
87714,140,87,369152.883333,2014-08-29
91581,122,77,373232.633333,2014-08-30
98846,150,111,398034.533333,2014-08-31
101219,147,87,410762.366667,2014-09-01
91976,153,86,385834.4,2014-09-02
92235,156,92,386869.066667,2014-09-03
92596,146,84,388577.233333,2014-09-04
98992,131,78,411502.266667,2014-09-05
104804,149,100,425210.066667,2014-09-06
102224,128,102,415988.916667,2014-09-07
100419,139,90,419587.416667,2014-09-08
98181,139,66,410399.25,2014-09-09
95389,134,55,405774.466667,2014-09-10
96807,109,81,408980.166667,2014-09-11
104644,135,77,439791.783333,2014-09-12
109895,122,79,442505.4,2014-09-13
104928,129,85,426894.65,2014-09-14
105941,156,74,438847.833333,2014-09-15
106037,143,70,441247.616667,2014-09-16
107347,127,71,451028.266667,2014-09-17
113782,160,89,475375.383333,2014-09-18
118591,116,64,489480.033333,2014-09-19
125489,118,84,509094.216667,2014-09-20
114363,127,77,465744.333333,2014-09-21
110714,148,68,466670.066667,2014-09-22
109946,121,56,464964.666667,2014-09-23
108494,117,80,454065.2,2014-09-24
117397,129,74,494770.1,2014-09-25
116233,126,55,488186.816667,2014-09-26
122607,127,57,499385.483333,2014-09-27
113256,119,62,462053.466667,2014-09-28
109617,110,54,462331.866667,2014-09-29
106392,114,68,443470.933333,2014-09-30
113262,125,77,475759.933333,2014-10-01
114866,121,65,474972.783333,2014-10-02
114688,111,61,472552.9,2014-10-03
119602,102,61,477786.75,2014-10-04
113061,108,62,451995.45,2014-10-05
107009,90,56,443619.216667,2014-10-06
110644,98,55,456667.433333,2014-10-07
112729,115,61,464443.783333,2014-10-08
119813,101,61,488894.3,2014-10-09
130352,122,48,519606.3,2014-10-10
132209,107,58,518544.333333,2014-10-11
120402,84,58,470223.3,2014-10-12
121294,111,67,484312.983333,2014-10-13
121831,116,64,488068.9,2014-10-14
124769,125,55,502822.6,2014-10-15
125286,139,58,505771.266667,2014-10-16
124597,94,60,502660.4,2014-10-17
127008,98,62,500047.65,2014-10-18
121055,80,61,470659.716667,2014-10-19
125707,94,59,505367.283333,2014-10-20
127900,117,75,511115.516667,2014-10-21
128558,103,62,507151.85,2014-10-22
114224,80,52,458842.8,2014-10-23
121303,84,54,492514.4,2014-10-24
156100,110,67,584244.3,2014-10-25
135211,123,75,515546.683333,2014-10-26
127543,88,81,506924.233333,2014-10-27
139390,138,79,542651.383333,2014-10-28
143108,104,68,564591.65,2014-10-29
150491,116,70,591837.533333,2014-10-30
161497,88,41,626940.866667,2014-10-31
153387,110,61,582201.633333,2014-11-01
149471,106,62,570145.85,2014-11-02
138128,88,60,544022.2,2014-11-03
150805,138,51,589807.95,2014-11-04
142430,117,82,571316.566667,2014-11-05
144104,107,78,572006.9,2014-11-06
154465,106,61,601625.666667,2014-11-07
163099,126,76,620078.75,2014-11-08
148912,112,65,565470.35,2014-11-09
147743,148,66,579001.3,2014-11-10
150156,135,84,580999.4,2014-11-11
141690,107,56,557087.483333,2014-11-12
148594,86,68,583027.15,2014-11-13
188590,121,78,678803.6,2014-11-14
201311,98,69,701099.483333,2014-11-15
185276,124,76,638510.6,2014-11-16
177195,119,59,640653.466667,2014-11-17
200899,141,88,714102.933333,2014-11-18
200486,146,77,715779.45,2014-11-19
187160,152,77,691459.483333,2014-11-20
192249,125,82,699317.683333,2014-11-21
201931,114,56,716135.283333,2014-11-22
184637,119,68,656011.9,2014-11-23
172287,123,79,642438.083333,2014-11-24
173490,116,62,639135.483333,2014-11-25
192457,142,80,703639.816667,2014-11-26
190198,121,66,686941.616667,2014-11-27
184335,106,62,666343.533333,2014-11-28
191896,116,60,687541.466667,2014-11-29
174343,98,76,626248.966667,2014-11-30
183712,135,63,677197.15,2014-12-01
183561,151,80,681953.733333,2014-12-02
190174,150,68,705660.066667,2014-12-03
194363,136,62,717076.633333,2014-12-04
206149,137,77,755102.183333,2014-12-05
212625,136,74,760005.166667,2014-12-06
185827,113,75,677072.05,2014-12-07
182684,150,60,686461.183333,2014-12-08
182808,138,85,678895.416667,2014-12-09
185658,146,76,690347.45,2014-12-10
189266,110,71,701940.666667,2014-12-11
199012,124,71,724246.083333,2014-12-12
209360,109,65,748948.1,2014-12-13
178726,123,72,647343.966667,2014-12-14
172095,112,72,646903.166667,2014-12-15
170328,97,60,637118.583333,2014-12-16
168219,111,53,636346.7,2014-12-17
194411,114,61,674064.133333,2014-12-18
202219,106,63,699831.116667,2014-12-19
199048,99,57,696408.25,2014-12-20
185011,120,52,643443.933333,2014-12-21
182609,98,78,649641.1,2014-12-22
185556,112,63,670667.366667,2014-12-23
186824,98,50,683603.266667,2014-12-24
167735,81,46,586311.733333,2014-12-25
170280,87,53,611195.116667,2014-12-26
175942,82,49,629918.55,2014-12-27
162606,83,59,578369.766667,2014-12-28
175803,93,52,637272.516667,2014-12-29
181185,107,58,652183.033333,2014-12-30
209297,111,50,767586.166667,2014-12-31
160131,78,49,554771.666667,2015-01-01
177072,112,71,636870.116667,2015-01-02
174084,110,41,621648.1,2015-01-03
162387,91,60,573623.716667,2015-01-04
163960,97,55,600145.066667,2015-01-05
165394,97,49,602986.783333,2015-01-06
165636,104,64,606883.266667,2015-01-07
174378,128,64,635843.966667,2015-01-08
189572,96,60,690709.0,2015-01-09
196766,96,80,699886.2,2015-01-10
173429,79,72,621429.416667,2015-01-11
165146,96,66,606093.633333,2015-01-12
171871,96,51,627148.05,2015-01-13
174820,26,14,639465.4,2015-01-14
179227,85,68,653214.55,2015-01-15
194752,84,66,702241.466667,2015-01-16
204353,110,60,729234.583333,2015-01-17
181962,91,60,636875.3,2015-01-18
178983,97,47,641458.016667,2015-01-19
161628,90,70,592180.05,2015-01-20
153363,61,51,565614.766667,2015-01-21
160832,99,60,586674.75,2015-01-22
171929,136,62,624177.616667,2015-01-23
184824,174,60,658746.883333,2015-01-24
162460,181,62,576918.416667,2015-01-25
160413,149,51,579851.383333,2015-01-26
161421,191,62,585566.966667,2015-01-27
159945,162,46,583113.916667,2015-01-28
164990,179,53,601112.816667,2015-01-29
175475,179,61,637906.716667,2015-01-30
183738,151,65,655105.866667,2015-01-31
154771,127,48,547245.266667,2015-02-01
151622,156,57,552195.75,2015-02-02
152094,183,57,557119.583333,2015-02-03
155038,164,46,564560.25,2015-02-04
160193,174,62,582423.716667,2015-02-05
170083,155,54,613365.516667,2015-02-06
179256,140,56,629658.066667,2015-02-07
164036,139,58,576032.433333,2015-02-08
162162,156,62,581579.966667,2015-02-09
163600,147,56,585603.8,2015-02-10
164095,162,53,587923.883333,2015-02-11
165653,137,52,595073.383333,2015-02-12
173188,150,62,616664.866667,2015-02-13
174558,164,58,616704.8,2015-02-14
154049,148,55,531681.133333,2015-02-15
157875,158,47,553501.7,2015-02-16
151767,163,53,542220.633333,2015-02-17
148310,140,48,531694.716667,2015-02-18
147763,156,46,528282.15,2015-02-19
153609,131,39,548822.1,2015-02-20
156412,153,32,551234.85,2015-02-21
140826,134,44,498752.25,2015-02-22
130456,153,47,471859.0,2015-02-23
127172,142,44,459449.3,2015-02-24
126586,137,59,458125.166667,2015-02-25
128348,142,38,466471.416667,2015-02-26
133428,94,31,485415.55,2015-02-27
140039,136,34,499410.916667,2015-02-28
126896,125,44,447333.483333,2015-03-01
129889,129,45,467722.2,2015-03-02
