dailyViewcount,numShare,numSubscriber,watchTime,date
864,14,2,2857.38333333,2013-06-30
25991,121,21,79569.2833333,2013-07-01
28840,44,26,79415.05,2013-07-02
23808,42,19,71039.1333333,2013-07-03
13887,17,5,43087.25,2013-07-04
10620,7,2,34124.0833333,2013-07-05
12064,20,9,37412.7,2013-07-06
11440,20,11,36957.8166667,2013-07-07
13396,28,7,42594.5166667,2013-07-08
12954,21,7,41295.0,2013-07-09
11871,17,4,39210.8666667,2013-07-10
9968,13,4,32151.8333333,2013-07-11
11006,16,12,35622.1166667,2013-07-12
12378,30,6,38877.4833333,2013-07-13
10340,23,6,33705.25,2013-07-14
10656,17,10,34631.95,2013-07-15
10594,21,6,35384.75,2013-07-16
10816,11,6,35493.6666667,2013-07-17
11955,20,5,38367.4666667,2013-07-18
12031,23,9,40782.25,2013-07-19
11202,22,7,37470.6166667,2013-07-20
10410,14,8,35150.8666667,2013-07-21
11022,16,7,38107.6666667,2013-07-22
10656,32,8,35336.35,2013-07-23
9940,21,3,33565.9333333,2013-07-24
10832,13,2,37144.55,2013-07-25
11011,20,3,37246.2166667,2013-07-26
10885,14,7,35392.4333333,2013-07-27
10108,15,7,34084.4,2013-07-28
11431,29,9,37432.5666667,2013-07-29
12283,13,8,41604.1166667,2013-07-30
12420,13,4,41785.2333333,2013-07-31
10442,20,6,35614.45,2013-08-01
10279,21,7,34766.45,2013-08-02
9586,15,2,32387.7166667,2013-08-03
8425,7,6,29540.7166667,2013-08-04
8879,14,3,30066.15,2013-08-05
10085,20,5,34385.0,2013-08-06
10479,18,10,34476.35,2013-08-07
10377,21,8,35119.2666667,2013-08-08
10724,18,3,36122.55,2013-08-09
11511,17,5,38094.2,2013-08-10
9883,12,3,32433.4833333,2013-08-11
11645,8,5,37371.5166667,2013-08-12
11339,18,4,36541.85,2013-08-13
9663,12,5,33102.2333333,2013-08-14
8791,10,5,30153.3166667,2013-08-15
8473,15,8,29017.7666667,2013-08-16
8992,10,8,30186.55,2013-08-17
8823,10,6,28385.2666667,2013-08-18
10647,17,5,35917.0333333,2013-08-19
12035,14,2,39670.3333333,2013-08-20
11762,16,4,38548.8666667,2013-08-21
11952,15,9,38378.2,2013-08-22
13249,16,5,42322.2166667,2013-08-23
12840,16,5,41405.3,2013-08-24
11513,19,3,36511.6,2013-08-25
12430,12,6,39189.05,2013-08-26
11621,16,6,38056.0,2013-08-27
10666,14,9,35008.1833333,2013-08-28
11148,15,5,36200.4,2013-08-29
12085,14,4,39540.9666667,2013-08-30
12681,16,4,40358.0333333,2013-08-31
10470,9,5,34080.5166667,2013-09-01
11711,16,5,37789.75,2013-09-02
11628,13,5,37271.9333333,2013-09-03
11634,25,5,37809.45,2013-09-04
11190,16,5,36309.3,2013-09-05
12101,14,2,38991.0333333,2013-09-06
13148,9,2,42336.75,2013-09-07
11450,18,2,36875.6666667,2013-09-08
11215,6,4,34894.2166667,2013-09-09
11281,8,8,36785.0833333,2013-09-10
10780,13,4,35540.2166667,2013-09-11
10600,14,4,34816.9833333,2013-09-12
11594,25,4,37938.5833333,2013-09-13
11261,9,4,37164.6333333,2013-09-14
11458,16,7,36659.4833333,2013-09-15
11445,17,6,37695.7166667,2013-09-16
10545,18,6,35030.1,2013-09-17
9413,19,4,30835.75,2013-09-18
10055,14,5,33225.0,2013-09-19
11645,21,7,38663.8333333,2013-09-20
11708,8,2,38525.7,2013-09-21
9638,6,2,31774.8166667,2013-09-22
9107,20,3,30621.2666667,2013-09-23
8993,4,5,30434.8333333,2013-09-24
9234,14,5,30751.2666667,2013-09-25
9601,7,5,32056.5333333,2013-09-26
10808,8,3,35398.6666667,2013-09-27
11071,8,7,35282.5833333,2013-09-28
10393,17,0,33625.6333333,2013-09-29
10184,11,5,34326.35,2013-09-30
10326,21,2,34432.1666667,2013-10-01
10403,17,3,33550.9166667,2013-10-02
10453,13,5,35530.8833333,2013-10-03
12070,12,4,39192.9666667,2013-10-04
12820,17,3,41653.6666667,2013-10-05
10845,19,6,35045.5833333,2013-10-06
10759,8,4,35762.6166667,2013-10-07
10852,10,5,35125.7,2013-10-08
11039,11,2,35495.0666667,2013-10-09
11024,22,7,36532.8833333,2013-10-10
11882,12,3,38521.2166667,2013-10-11
13533,17,5,42812.5166667,2013-10-12
10900,7,3,35158.75,2013-10-13
10357,12,4,33819.6166667,2013-10-14
9771,9,3,30915.4,2013-10-15
10436,7,0,33928.4166667,2013-10-16
11108,16,6,35790.2333333,2013-10-17
11869,10,5,37723.6666667,2013-10-18
13117,14,5,41182.45,2013-10-19
10833,11,3,34207.3,2013-10-20
10324,12,2,32461.3666667,2013-10-21
10041,15,3,32356.3666667,2013-10-22
