dailyViewcount,numShare,numSubscriber,watchTime,date
105278,1415,173,227960.033333,2015-05-29
83347,890,168,197164.15,2015-05-30
93644,830,161,218435.566667,2015-05-31
96320,887,143,224647.183333,2015-06-01
103075,1044,163,241007.066667,2015-06-02
111504,1008,142,265169.983333,2015-06-03
92290,935,119,236554.383333,2015-06-04
83018,751,75,215794.716667,2015-06-05
76930,676,81,198048.25,2015-06-06
75698,704,87,200172.55,2015-06-07
83354,816,83,220273.733333,2015-06-08
91521,848,95,240587.8,2015-06-09
89584,693,88,239431.4,2015-06-10
89133,678,76,236527.616667,2015-06-11
86642,611,57,226858.5,2015-06-12
88650,594,70,229449.933333,2015-06-13
85682,595,83,222493.1,2015-06-14
91410,667,86,241854.6,2015-06-15
94495,782,72,251065.366667,2015-06-16
96273,824,103,256000.383333,2015-06-17
100265,686,102,259593.183333,2015-06-18
97402,654,94,253504.7,2015-06-19
92732,614,83,238195.383333,2015-06-20
88138,724,71,231372.15,2015-06-21
92818,706,80,247532.166667,2015-06-22
95179,695,75,250666.366667,2015-06-23
97698,749,99,255965.5,2015-06-24
101052,725,88,266280.383333,2015-06-25
100034,761,78,260741.333333,2015-06-26
93550,634,82,239635.883333,2015-06-27
91312,706,77,238892.333333,2015-06-28
107225,788,92,277715.45,2015-06-29
108948,772,102,282463.05,2015-06-30
113422,835,88,294419.166667,2015-07-01
119159,802,105,305492.483333,2015-07-02
120341,804,116,303389.016667,2015-07-03
113886,690,91,280736.233333,2015-07-04
126984,800,105,306309.433333,2015-07-05
137772,819,117,340502.5,2015-07-06
133324,890,108,332976.466667,2015-07-07
135527,882,97,340373.783333,2015-07-08
139204,866,112,349930.516667,2015-07-09
141010,886,107,348768.95,2015-07-10
116236,737,92,299462.65,2015-07-11
105371,849,81,277377.1,2015-07-12
114374,876,101,303883.85,2015-07-13
117207,915,119,313824.25,2015-07-14
111614,819,81,299762.683333,2015-07-15
110815,738,108,292488.783333,2015-07-16
115041,746,111,298508.333333,2015-07-17
111272,747,98,283124.433333,2015-07-18
108477,744,86,275074.666667,2015-07-19
118311,835,114,306392.133333,2015-07-20
117519,872,104,308308.916667,2015-07-21
111913,809,83,297771.2,2015-07-22
108780,802,87,294153.883333,2015-07-23
121925,951,87,312151.316667,2015-07-24
110174,773,72,287715.85,2015-07-25
