dailyViewcount,numShare,numSubscriber,watchTime,date
305407,6211,579,1687576.01667,2016-06-30
178529,2434,275,909286.366667,2016-07-01
114592,1189,132,558126.25,2016-07-02
107572,1013,146,506414.7,2016-07-03
118218,1079,180,547036.366667,2016-07-04
103913,842,123,474872.183333,2016-07-05
105998,859,127,490562.433333,2016-07-06
142523,1041,217,644366.75,2016-07-07
134692,1047,150,595899.516667,2016-07-08
138889,1058,134,608394.116667,2016-07-09
117142,892,105,518487.633333,2016-07-10
159174,1089,168,716482.866667,2016-07-11
124238,799,109,553764.116667,2016-07-12
127796,858,124,554239.716667,2016-07-13
104938,693,86,456668.55,2016-07-14
106374,593,77,460397.65,2016-07-15
95572,504,58,410864.3,2016-07-16
84834,476,56,366037.566667,2016-07-17
87399,506,49,375023.45,2016-07-18
83011,479,46,358234.333333,2016-07-19
82327,476,54,354952.266667,2016-07-20
82584,488,60,357426.466667,2016-07-21
88017,511,55,364693.116667,2016-07-22
79077,413,37,329676.55,2016-07-23
72873,315,42,302964.566667,2016-07-24
70811,304,63,302654.366667,2016-07-25
73481,347,41,322528.3,2016-07-26
71595,347,40,318690.266667,2016-07-27
69116,325,41,312027.316667,2016-07-28
67026,324,35,300183.433333,2016-07-29
61428,306,17,274323.283333,2016-07-30
54906,238,32,246528.266667,2016-07-31
57707,243,21,258248.983333,2016-08-01
56602,232,35,250848.733333,2016-08-02
53796,252,29,239251.266667,2016-08-03
57157,236,23,246843.183333,2016-08-04
61329,232,19,266932.916667,2016-08-05
59880,243,31,260662.716667,2016-08-06
53262,218,19,232878.633333,2016-08-07
52716,238,19,232130.983333,2016-08-08
49702,201,24,218635.416667,2016-08-09
51236,217,32,227792.366667,2016-08-10
54660,256,31,238192.483333,2016-08-11
52039,213,32,229321.683333,2016-08-12
46693,193,29,203366.5,2016-08-13
42715,171,19,186942.15,2016-08-14
45372,203,24,199327.35,2016-08-15
45435,161,16,201152.533333,2016-08-16
46593,190,18,206042.316667,2016-08-17
43569,165,18,191798.416667,2016-08-18
43662,189,15,193146.633333,2016-08-19
42520,141,20,188783.816667,2016-08-20
33022,158,11,140369.95,2016-08-21
34037,151,17,145904.483333,2016-08-22
33260,141,9,142943.75,2016-08-23
31151,159,7,132631.35,2016-08-24
29051,140,8,125312.766667,2016-08-25
29383,157,4,128064.383333,2016-08-26
28497,126,9,123918.35,2016-08-27
26505,117,10,115740.583333,2016-08-28
26122,132,8,113972.083333,2016-08-29
26678,143,7,115715.583333,2016-08-30
27268,149,7,118068.05,2016-08-31
28508,154,9,122696.133333,2016-09-01
29643,116,9,127664.316667,2016-09-02
29438,122,13,124440.6,2016-09-03
27827,123,8,116225.016667,2016-09-04
26194,96,6,111599.216667,2016-09-05
25222,108,10,110217.083333,2016-09-06
27122,124,3,115335.35,2016-09-07
26653,113,10,115045.966667,2016-09-08
29014,119,5,126178.733333,2016-09-09
30565,116,7,131145.683333,2016-09-10
25145,100,14,108210.966667,2016-09-11
30716,144,10,128572.8,2016-09-12
28850,120,8,123241.366667,2016-09-13
27578,111,2,117590.916667,2016-09-14
30293,135,13,129984.333333,2016-09-15
31893,137,9,135680.683333,2016-09-16
29992,102,13,127553.233333,2016-09-17
24576,119,9,104463.25,2016-09-18
28845,115,7,129069.616667,2016-09-19
28463,117,8,125249.833333,2016-09-20
28394,124,11,125222.933333,2016-09-21
28028,96,9,125179.983333,2016-09-22
30234,88,4,132312.616667,2016-09-23
30345,97,12,130481.566667,2016-09-24
28579,110,11,121999.116667,2016-09-25
27901,118,7,121083.266667,2016-09-26
26372,109,8,116974.733333,2016-09-27
25661,105,12,112119.566667,2016-09-28
24993,114,7,108199.45,2016-09-29
26335,101,9,114196.75,2016-09-30
24583,115,11,106139.25,2016-10-01
