dailyViewcount,numShare,numSubscriber,watchTime,date
465862,7689,453,1024814.68333,2017-04-20
503638,6381,364,1000953.15,2017-04-21
270051,3159,149,595530.733333,2017-04-22
198871,2003,85,429604.883333,2017-04-23
174788,1715,86,368460.566667,2017-04-24
155731,1357,67,335625.4,2017-04-25
134927,1026,66,306106.283333,2017-04-26
115687,852,49,282129.316667,2017-04-27
113804,723,27,290781.816667,2017-04-28
114688,774,32,301727.333333,2017-04-29
98375,651,40,255191.866667,2017-04-30
93000,602,30,251210.516667,2017-05-01
81376,550,34,225341.25,2017-05-02
80148,510,16,221398.566667,2017-05-03
74189,433,22,203794.15,2017-05-04
83396,500,16,234446.583333,2017-05-05
90223,487,20,260424.683333,2017-05-06
74445,458,11,210912.716667,2017-05-07
68971,391,19,194137.983333,2017-05-08
69886,409,13,196649.5,2017-05-09
68526,356,18,192725.2,2017-05-10
61812,391,12,170174.316667,2017-05-11
77581,455,13,216514.85,2017-05-12
84307,370,13,240248.25,2017-05-13
74643,422,15,209225.433333,2017-05-14
63134,335,15,176116.783333,2017-05-15
71466,406,16,197905.95,2017-05-16
72989,430,19,201416.733333,2017-05-17
71293,424,20,196749.6,2017-05-18
79514,488,20,220686.766667,2017-05-19
86736,467,15,250404.516667,2017-05-20
69696,466,10,197747.666667,2017-05-21
63681,366,22,177763.7,2017-05-22
