dailyViewcount,numShare,numSubscriber,watchTime,date
460593,8005,1810,1045415.6,2016-11-03
540164,7296,1399,1128373.73333,2016-11-04
407890,5229,832,866820.283333,2016-11-05
376601,4869,692,809243.7,2016-11-06
353897,4167,640,774703.55,2016-11-07
318644,3711,503,726907.15,2016-11-08
292815,3033,507,680131.283333,2016-11-09
303608,2917,408,738388.6,2016-11-10
317587,2814,334,789082.066667,2016-11-11
289993,2376,290,721987.333333,2016-11-12
275029,2459,264,689181.466667,2016-11-13
252314,2243,238,642241.733333,2016-11-14
240319,2086,223,610678.616667,2016-11-15
237396,1998,206,603964.833333,2016-11-16
244669,1998,219,630897.916667,2016-11-17
232545,1687,194,606627.566667,2016-11-18
231677,1596,176,603990.283333,2016-11-19
220893,1851,169,582827.333333,2016-11-20
213248,1673,178,574760.3,2016-11-21
213534,1511,180,576393.033333,2016-11-22
206068,1654,169,559310.716667,2016-11-23
189780,1429,134,517351.916667,2016-11-24
195976,1340,151,531593.583333,2016-11-25
208731,1369,175,554040.016667,2016-11-26
182107,1482,140,493781.716667,2016-11-27
174474,1305,119,484970.35,2016-11-28
172185,1275,139,477434.416667,2016-11-29
188678,1444,175,516066.266667,2016-11-30
188970,1351,147,522332.35,2016-12-01
175009,1286,126,486853.133333,2016-12-02
174602,1125,96,481061.65,2016-12-03
161110,1305,102,447183.6,2016-12-04
153886,1224,104,437887.3,2016-12-05
149835,1204,86,426964.516667,2016-12-06
154649,1179,110,439743.916667,2016-12-07
152625,1104,87,433723.283333,2016-12-08
142042,1020,85,399342.633333,2016-12-09
141311,1051,82,389283.816667,2016-12-10
129254,1134,89,359881.816667,2016-12-11
127660,1031,72,363338.616667,2016-12-12
134937,1024,93,383174.2,2016-12-13
134447,1108,82,381194.833333,2016-12-14
137591,1014,102,389016.95,2016-12-15
134979,1002,56,378224.383333,2016-12-16
136800,943,83,375872.666667,2016-12-17
124434,1000,87,344807.133333,2016-12-18
126008,920,86,355333.683333,2016-12-19
129195,969,77,360120.483333,2016-12-20
128297,914,89,364514.666667,2016-12-21
130573,923,64,366764.0,2016-12-22
133277,901,71,373305.983333,2016-12-23
117537,789,70,327381.016667,2016-12-24
109460,759,54,296750.183333,2016-12-25
116052,916,74,317888.483333,2016-12-26
115327,873,66,317224.883333,2016-12-27
115113,907,65,317623.933333,2016-12-28
118847,948,67,326725.266667,2016-12-29
120446,895,61,331330.3,2016-12-30
138017,678,45,376535.033333,2016-12-31
93319,724,66,246187.433333,2017-01-01
115727,927,65,314257.733333,2017-01-02
113779,894,76,311788.966667,2017-01-03
