dailyViewcount,numShare,numSubscriber,watchTime,date
56286,1513,81,220724.25,2016-09-16
254154,3781,235,866492.983333,2016-09-17
221191,2806,255,656216.033333,2016-09-18
208146,2338,259,596381.833333,2016-09-19
187823,1722,170,533112.383333,2016-09-20
181079,1497,152,503058.65,2016-09-21
174604,1343,114,500782.966667,2016-09-22
158200,1164,93,466061.366667,2016-09-23
134861,857,74,403998.433333,2016-09-24
114216,849,61,339199.816667,2016-09-25
102562,651,65,307180.183333,2016-09-26
96362,695,37,293528.316667,2016-09-27
93936,712,44,286565.633333,2016-09-28
98555,717,51,309220.65,2016-09-29
107202,785,50,338966.783333,2016-09-30
115499,785,57,374323.416667,2016-10-01
95793,666,42,310210.9,2016-10-02
91015,610,33,293859.083333,2016-10-03
88774,582,50,290726.95,2016-10-04
89569,567,39,293474.916667,2016-10-05
91415,586,41,298356.5,2016-10-06
104092,675,42,342994.55,2016-10-07
103354,598,45,347678.333333,2016-10-08
86023,593,39,288470.75,2016-10-09
82603,555,36,276572.533333,2016-10-10
86807,571,36,288239.166667,2016-10-11
90135,555,42,302064.633333,2016-10-12
90889,614,35,306872.45,2016-10-13
100989,557,50,341502.316667,2016-10-14
108313,692,50,364707.883333,2016-10-15
89255,646,31,299442.15,2016-10-16
75138,484,38,256977.016667,2016-10-17
75429,527,24,259365.95,2016-10-18
73219,479,28,250095.133333,2016-10-19
73614,490,30,254285.533333,2016-10-20
81427,582,32,280735.5,2016-10-21
90187,621,29,312158.233333,2016-10-22
76734,521,22,262780.683333,2016-10-23
75861,548,37,259047.916667,2016-10-24
77234,580,23,267337.883333,2016-10-25
76979,495,21,265074.316667,2016-10-26
83379,475,42,288318.233333,2016-10-27
89385,568,30,306235.233333,2016-10-28
94804,589,34,327787.966667,2016-10-29
80652,491,24,276428.516667,2016-10-30
79026,530,27,270571.3,2016-10-31
81180,554,26,277418.9,2016-11-01
79800,592,35,272096.933333,2016-11-02
83615,550,24,284483.45,2016-11-03
93221,542,37,319830.466667,2016-11-04
96064,629,27,334176.216667,2016-11-05
79070,537,23,272678.95,2016-11-06
69700,446,27,240764.683333,2016-11-07
66450,418,17,227123.366667,2016-11-08
65604,418,24,222850.616667,2016-11-09
75125,498,22,256093.816667,2016-11-10
88383,537,31,302106.8,2016-11-11
91052,549,28,311847.966667,2016-11-12
76491,583,25,259669.9,2016-11-13
69804,438,35,234750.033333,2016-11-14
69491,450,23,234177.133333,2016-11-15
72595,520,29,246203.516667,2016-11-16
74454,463,24,256246.75,2016-11-17
88603,620,31,303578.816667,2016-11-18
90691,514,23,308107.05,2016-11-19
74109,518,22,249980.666667,2016-11-20
65381,478,29,218749.033333,2016-11-21
68436,528,27,228603.533333,2016-11-22
75626,478,29,253897.416667,2016-11-23
87347,514,20,298361.233333,2016-11-24
86512,502,28,290529.9,2016-11-25
91871,602,30,309914.2,2016-11-26
74851,559,17,250288.35,2016-11-27
69885,463,20,231859.7,2016-11-28
71048,473,21,236417.833333,2016-11-29
73289,529,23,242059.65,2016-11-30
74866,535,25,249430.816667,2016-12-01
84679,581,29,283217.633333,2016-12-02
90649,557,27,304365.933333,2016-12-03
75344,550,27,248716.95,2016-12-04
69312,525,14,229160.05,2016-12-05
70745,536,25,236854.416667,2016-12-06
75298,496,22,249053.25,2016-12-07
73945,542,12,249849.35,2016-12-08
89751,559,27,302663.816667,2016-12-09
97992,716,28,328903.583333,2016-12-10
82004,700,19,271225.916667,2016-12-11
73843,589,20,244828.416667,2016-12-12
73735,498,14,244778.5,2016-12-13
77473,530,21,255311.116667,2016-12-14
84030,580,24,278487.816667,2016-12-15
92896,637,34,310977.533333,2016-12-16
101684,709,21,335381.916667,2016-12-17
83855,597,18,276540.816667,2016-12-18
80057,624,22,259660.033333,2016-12-19
83989,597,25,273467.9,2016-12-20
88625,598,30,289768.033333,2016-12-21
98105,649,26,323461.716667,2016-12-22
110902,684,34,366892.7,2016-12-23
139717,709,30,483855.633333,2016-12-24
133823,700,22,459843.833333,2016-12-25
97016,701,31,317215.85,2016-12-26
91811,661,32,299841.433333,2016-12-27
94132,722,22,310289.85,2016-12-28
96773,667,24,317742.9,2016-12-29
107256,675,29,353594.266667,2016-12-30
143837,652,22,492511.95,2016-12-31
107492,582,12,362161.083333,2017-01-01
87812,699,27,283879.4,2017-01-02
84407,623,27,273186.516667,2017-01-03
80229,573,19,258788.65,2017-01-04
86147,633,12,276610.45,2017-01-05
97124,635,25,314425.916667,2017-01-06
110998,704,16,358183.383333,2017-01-07
85864,691,12,276709.466667,2017-01-08
74072,500,9,238527.916667,2017-01-09
75580,564,22,242779.683333,2017-01-10
79338,575,22,257990.3,2017-01-11
