dailyViewcount,numShare,numSubscriber,watchTime,date
2665,20,1,5051.91666667,2014-03-11
131,0,1,323.8,2014-03-12
2746,4,-2,5059.4,2014-03-13
3445,4,0,6320.68333333,2014-03-14
3844,12,2,6821.18333333,2014-03-15
2228,2,0,4332.9,2014-03-16
1890,4,1,3976.86666667,2014-03-17
1973,2,0,4201.66666667,2014-03-18
1857,7,0,4084.51666667,2014-03-19
2536,5,3,5381.26666667,2014-03-20
1759,4,0,3717.28333333,2014-03-21
1933,2,1,4094.71666667,2014-03-22
1540,5,0,3219.4,2014-03-23
1664,2,0,3381.36666667,2014-03-24
1942,3,0,3949.13333333,2014-03-25
2011,7,1,4374.85,2014-03-26
2422,5,3,5063.93333333,2014-03-27
2819,9,5,5671.81666667,2014-03-28
2639,5,0,5443.28333333,2014-03-29
2201,2,1,4485.83333333,2014-03-30
1975,3,3,4251.81666667,2014-03-31
1295,1,0,2972.08333333,2014-04-01
124,0,0,354.55,2014-04-02
163,0,0,394.3,2014-04-03
104,0,0,287.933333333,2014-04-04
101,0,0,233.95,2014-04-05
83,0,1,187.016666667,2014-04-06
69,0,0,170.25,2014-04-07
75,0,1,162.466666667,2014-04-08
100,0,0,245.316666667,2014-04-09
58,0,0,143.816666667,2014-04-10
96,0,0,233.316666667,2014-04-11
71,0,0,171.366666667,2014-04-12
53,0,0,125.85,2014-04-13
48,0,0,102.1,2014-04-14
49,0,0,129.783333333,2014-04-15
75,0,0,194.266666667,2014-04-16
57,0,0,120.116666667,2014-04-17
44,0,0,102.816666667,2014-04-18
59,0,0,106.35,2014-04-19
36,0,0,72.45,2014-04-20
34,0,0,67.6666666667,2014-04-21
36,0,0,78.4,2014-04-22
36,0,0,75.65,2014-04-23
43,0,0,93.8333333333,2014-04-24
37,0,0,93.7666666667,2014-04-25
44,0,0,93.1333333333,2014-04-26
28,0,0,43.1,2014-04-27
38,0,0,95.5,2014-04-28
26,0,0,60.0666666667,2014-04-29
21,0,0,51.2666666667,2014-04-30
33,0,0,78.05,2014-05-01
34,0,0,66.4333333333,2014-05-02
40,0,0,71.9166666667,2014-05-03
34,0,0,78.2166666667,2014-05-04
27,0,0,52.55,2014-05-05
31,0,0,60.45,2014-05-06
29,0,0,52.3833333333,2014-05-07
22,0,0,36.1666666667,2014-05-08
34,0,0,59.3,2014-05-09
29,0,0,73.2,2014-05-10
26,0,0,70.2333333333,2014-05-11
16,0,0,33.7,2014-05-12
31,0,0,67.8,2014-05-13
31,0,0,48.8166666667,2014-05-14
30,0,0,42.9333333333,2014-05-15
25,0,0,48.6666666667,2014-05-16
35,0,0,60.0333333333,2014-05-17
23,0,0,24.3833333333,2014-05-18
22,0,0,32.2333333333,2014-05-19
37,0,0,61.3166666667,2014-05-20
32,0,0,64.4166666667,2014-05-21
32,0,0,56.6833333333,2014-05-22
28,0,0,49.5333333333,2014-05-23
23,0,0,28.5,2014-05-24
26,0,0,38.2833333333,2014-05-25
26,0,0,34.7333333333,2014-05-26
31,0,0,40.1666666667,2014-05-27
32,0,0,38.5166666667,2014-05-28
21,0,0,25.2,2014-05-29
25,0,0,43.05,2014-05-30
25,0,0,63.6333333333,2014-05-31
12,0,0,26.1666666667,2014-06-01
22,0,0,41.9166666667,2014-06-02
18,0,0,36.85,2014-06-03
21,0,0,58.3666666667,2014-06-04
15,0,0,31.35,2014-06-05
26,0,0,56.0333333333,2014-06-06
16,0,0,22.7333333333,2014-06-07
17,0,0,24.7,2014-06-08
20,0,0,35.15,2014-06-09
13,0,0,25.25,2014-06-10
22,0,0,49.4833333333,2014-06-11
11,0,0,20.75,2014-06-12
27,0,0,32.2833333333,2014-06-13
13,0,0,32.4,2014-06-14
11,0,0,14.8,2014-06-15
15,0,0,32.95,2014-06-16
17,0,0,38.2833333333,2014-06-17
20,0,0,29.8833333333,2014-06-18
19,0,0,44.7666666667,2014-06-19
13,0,0,38.2666666667,2014-06-20
24,0,0,38.0166666667,2014-06-21
14,0,0,20.0333333333,2014-06-22
10,0,0,10.6166666667,2014-06-23
14,0,0,20.0833333333,2014-06-24
12,0,0,23.4333333333,2014-06-25
13,0,0,28.4666666667,2014-06-26
9,0,0,20.2833333333,2014-06-27
14,0,0,21.0666666667,2014-06-28
12,0,0,11.4333333333,2014-06-29
13,0,0,23.4833333333,2014-06-30
8,0,0,18.4666666667,2014-07-01
11,0,0,18.2333333333,2014-07-02
17,0,0,23.85,2014-07-03
6,0,0,12.2333333333,2014-07-04
4,0,0,4.36666666667,2014-07-05
8,0,0,18.1166666667,2014-07-06
9,0,0,16.1833333333,2014-07-07
17,0,0,17.7833333333,2014-07-08
15,0,0,32.15,2014-07-09
8,0,0,11.4833333333,2014-07-10
12,0,0,27.2333333333,2014-07-11
11,0,0,28.1166666667,2014-07-12
11,0,0,27.7166666667,2014-07-13
18,0,0,26.6,2014-07-14
11,0,0,12.5,2014-07-15
17,0,0,34.6,2014-07-16
12,0,0,20.0,2014-07-17
13,0,0,13.6166666667,2014-07-18
14,0,0,38.5666666667,2014-07-19
13,0,0,25.2333333333,2014-07-20
18,0,0,38.8,2014-07-21
12,0,0,24.5166666667,2014-07-22
8,0,0,19.0,2014-07-23
10,0,0,13.95,2014-07-24
10,0,0,8.41666666667,2014-07-25
10,0,0,14.8666666667,2014-07-26
11,0,0,14.3833333333,2014-07-27
12,0,0,20.1166666667,2014-07-28
7,0,0,9.45,2014-07-29
14,0,0,18.1666666667,2014-07-30
11,0,0,20.5333333333,2014-07-31
10,0,0,19.9666666667,2014-08-01
7,0,0,12.9,2014-08-02
7,0,0,7.71666666667,2014-08-03
7,0,0,7.98333333333,2014-08-04
7,0,0,13.3,2014-08-05
12,0,0,36.85,2014-08-06
10,0,0,27.85,2014-08-07
8,0,0,16.7166666667,2014-08-08
8,0,0,22.0166666667,2014-08-09
10,0,0,10.5166666667,2014-08-10
9,0,0,10.9833333333,2014-08-11
11,0,0,24.0666666667,2014-08-12
9,0,0,16.4,2014-08-13
15,0,0,39.6833333333,2014-08-14
14,0,0,29.9833333333,2014-08-15
10,0,0,18.3833333333,2014-08-16
8,0,0,14.6166666667,2014-08-17
11,0,0,20.1,2014-08-18
12,0,0,15.6,2014-08-19
7,0,0,15.45,2014-08-20
4,0,0,0.833333333333,2014-08-21
5,0,0,8.75,2014-08-22
7,0,0,14.8333333333,2014-08-23
8,0,0,21.8166666667,2014-08-24
3,0,0,5.95,2014-08-25
11,0,0,27.6166666667,2014-08-26
9,0,0,10.6666666667,2014-08-27
6,0,0,14.5833333333,2014-08-28
13,0,0,21.8,2014-08-29
13,0,0,30.65,2014-08-30
9,0,0,28.35,2014-08-31
6,0,0,10.3166666667,2014-09-01
11,0,0,22.55,2014-09-02
10,0,0,13.1666666667,2014-09-03
9,0,0,21.6333333333,2014-09-04
13,0,0,21.0166666667,2014-09-05
10,0,0,19.4833333333,2014-09-06
4,0,0,12.7333333333,2014-09-07
12,0,0,18.65,2014-09-08
11,0,0,22.2,2014-09-09
12,0,0,25.1666666667,2014-09-10
6,0,0,6.25,2014-09-11
9,0,0,18.75,2014-09-12
6,0,0,9.33333333333,2014-09-13
4,0,0,9.76666666667,2014-09-14
5,0,0,2.06666666667,2014-09-15
4,0,0,1.95,2014-09-16
7,0,0,16.3166666667,2014-09-17
9,0,0,14.5,2014-09-18
10,0,0,16.4,2014-09-19
6,0,0,9.93333333333,2014-09-20
6,0,0,9.5,2014-09-21
10,0,0,12.25,2014-09-22
5,0,0,13.6,2014-09-23
5,0,0,8.58333333333,2014-09-24
5,0,0,10.2833333333,2014-09-25
8,0,0,10.4333333333,2014-09-26
9,0,0,10.6333333333,2014-09-27
10,0,0,17.2833333333,2014-09-28
6,0,0,6.61666666667,2014-09-29
5,0,0,12.2666666667,2014-09-30
5,0,0,5.81666666667,2014-10-01
8,0,0,21.3333333333,2014-10-02
5,0,0,11.85,2014-10-03
5,0,0,5.73333333333,2014-10-04
4,0,0,6.31666666667,2014-10-05
4,0,0,7.03333333333,2014-10-06
3,0,0,12.1833333333,2014-10-07
8,0,0,15.25,2014-10-08
7,0,0,7.9,2014-10-09
6,0,0,8.15,2014-10-10
11,0,0,17.7833333333,2014-10-11
6,0,0,11.2666666667,2014-10-12
7,0,0,16.15,2014-10-13
5,0,0,12.8666666667,2014-10-14
5,0,0,7.75,2014-10-15
8,0,0,19.2333333333,2014-10-16
4,0,0,12.2,2014-10-17
8,0,0,10.7,2014-10-18
2,0,0,0.05,2014-10-19
3,0,0,8.38333333333,2014-10-20
4,0,0,6.58333333333,2014-10-21
5,0,0,8.88333333333,2014-10-22
9,0,0,17.35,2014-10-23
9,0,0,11.8166666667,2014-10-24
4,0,0,10.9833333333,2014-10-25
5,0,0,13.0333333333,2014-10-26
6,0,0,8.8,2014-10-27
4,0,0,9.43333333333,2014-10-28
3,0,0,1.15,2014-10-29
6,0,0,5.1,2014-10-30
5,0,0,4.21666666667,2014-10-31
5,0,0,12.4166666667,2014-11-01
10,0,0,13.6833333333,2014-11-02
3,0,0,0.666666666667,2014-11-03
4,0,0,9.26666666667,2014-11-04
4,0,0,3.18333333333,2014-11-05
4,0,0,2.06666666667,2014-11-06
12,0,0,23.3666666667,2014-11-07
5,0,0,10.35,2014-11-08
3,0,0,3.38333333333,2014-11-09
3,0,0,4.71666666667,2014-11-10
9,0,0,14.1,2014-11-11
8,0,0,18.1666666667,2014-11-12
6,0,0,4.81666666667,2014-11-13
3,0,0,5.68333333333,2014-11-14
6,0,0,11.25,2014-11-15
8,0,0,12.2,2014-11-16
11,0,0,13.9666666667,2014-11-17
33,0,0,83.0833333333,2014-11-18
101,0,0,199.183333333,2014-11-19
116,0,0,274.95,2014-11-20
141,0,0,317.166666667,2014-11-21
214,0,0,461.933333333,2014-11-22
146,0,0,329.866666667,2014-11-23
172,0,0,397.716666667,2014-11-24
159,0,0,367.566666667,2014-11-25
197,0,0,493.75,2014-11-26
191,0,0,427.566666667,2014-11-27
297,0,0,651.35,2014-11-28
286,0,0,630.633333333,2014-11-29
290,0,1,659.316666667,2014-11-30
266,1,0,563.983333333,2014-12-01
235,0,0,535.15,2014-12-02
232,0,0,488.95,2014-12-03
263,1,0,560.633333333,2014-12-04
280,0,0,635.983333333,2014-12-05
312,0,0,789.85,2014-12-06
282,1,1,673.566666667,2014-12-07
291,0,0,623.666666667,2014-12-08
298,0,0,633.35,2014-12-09
305,0,0,663.25,2014-12-10
233,0,0,524.716666667,2014-12-11
254,0,0,630.233333333,2014-12-12
311,0,0,717.483333333,2014-12-13
273,0,0,638.266666667,2014-12-14
273,0,0,598.883333333,2014-12-15
195,1,0,440.683333333,2014-12-16
340,2,0,800.2,2014-12-17
452,0,0,1039.23333333,2014-12-18
473,1,0,1187.18333333,2014-12-19
487,0,0,1227.38333333,2014-12-20
409,2,0,989.966666667,2014-12-21
399,0,0,886.233333333,2014-12-22
465,0,0,1070.51666667,2014-12-23
473,0,0,1115.45,2014-12-24
460,0,0,1115.28333333,2014-12-25
452,0,0,989.766666667,2014-12-26
726,0,1,1369.78333333,2014-12-27
768,0,0,1426.4,2014-12-28
804,2,0,1653.18333333,2014-12-29
855,0,0,1651.36666667,2014-12-30
943,1,0,2074.58333333,2014-12-31
818,0,0,1827.6,2015-01-01
789,0,1,1657.5,2015-01-02
803,0,1,1631.03333333,2015-01-03
833,0,0,1548.75,2015-01-04
763,1,0,1487.16666667,2015-01-05
820,0,0,1617.15,2015-01-06
732,4,0,1442.36666667,2015-01-07
774,0,0,1506.68333333,2015-01-08
849,4,0,1894.21666667,2015-01-09
689,1,1,1498.1,2015-01-10
984,0,0,2021.8,2015-01-11
708,0,0,1474.66666667,2015-01-12
687,0,0,1413.26666667,2015-01-13
733,0,0,1542.18333333,2015-01-14
661,1,0,1361.05,2015-01-15
606,1,0,1280.51666667,2015-01-16
329,0,0,759.916666667,2015-01-17
259,0,0,550.483333333,2015-01-18
144,0,0,355.916666667,2015-01-19
141,0,0,310.983333333,2015-01-20
181,0,0,389.166666667,2015-01-21
209,0,0,495.416666667,2015-01-22
147,1,0,306.5,2015-01-23
120,0,0,325.15,2015-01-24
105,0,0,240.566666667,2015-01-25
102,0,0,265.716666667,2015-01-26
100,0,0,265.1,2015-01-27
91,0,0,207.866666667,2015-01-28
184,0,0,412.566666667,2015-01-29
160,0,0,418.216666667,2015-01-30
182,0,0,494.866666667,2015-01-31
137,0,0,342.35,2015-02-01
112,0,0,304.35,2015-02-02
133,0,0,328.2,2015-02-03
141,0,0,340.166666667,2015-02-04
182,0,0,379.083333333,2015-02-05
373,0,0,931.15,2015-02-06
387,2,0,909.266666667,2015-02-07
353,0,0,863.383333333,2015-02-08
326,0,0,736.1,2015-02-09
375,0,0,909.466666667,2015-02-10
376,0,0,855.466666667,2015-02-11
312,0,0,789.066666667,2015-02-12
131,0,0,348.7,2015-02-13
149,0,0,360.0,2015-02-14
106,0,0,258.333333333,2015-02-15
106,0,0,291.15,2015-02-16
206,0,0,472.433333333,2015-02-17
373,0,0,860.85,2015-02-18
380,1,0,791.8,2015-02-19
375,0,0,854.116666667,2015-02-20
388,0,0,862.083333333,2015-02-21
339,0,0,697.55,2015-02-22
321,0,0,675.1,2015-02-23
316,0,0,737.716666667,2015-02-24
255,0,0,549.5,2015-02-25
