dailyViewcount,numShare,numSubscriber,watchTime,date
3658979,78523,4128,9223136.11667,2016-08-05
4086775,55952,3876,9672425.1,2016-08-06
3172359,45288,2480,7627627.95,2016-08-07
3112712,41519,2736,7609137.63333,2016-08-08
3212908,37232,3136,7970954.08333,2016-08-09
3139429,34071,2577,7745510.55,2016-08-10
3026013,30712,2426,7556132.36667,2016-08-11
2799287,26703,2100,7109786.65,2016-08-12
2596522,23552,1754,6546699.8,2016-08-13
2346731,21849,1598,5920944.61667,2016-08-14
2285789,20574,1518,5918504.41667,2016-08-15
2315417,19487,1576,6029263.5,2016-08-16
2401251,19230,1647,6240088.25,2016-08-17
2488921,19912,1536,6420446.36667,2016-08-18
2511354,18925,1637,6553416.61667,2016-08-19
2396989,17626,1565,6238795.93333,2016-08-20
2085779,16573,1304,5407552.38333,2016-08-21
2098489,16199,1320,5530049.38333,2016-08-22
2129466,16093,1417,5592436.63333,2016-08-23
2198998,16087,1417,5794078.56667,2016-08-24
2248173,15901,1429,5933344.13333,2016-08-25
2317803,15608,1542,6078277.31667,2016-08-26
2269394,14880,1426,5916102.55,2016-08-27
2014462,14249,1298,5181149.41667,2016-08-28
2045045,14096,1280,5330600.78333,2016-08-29
2040752,13809,1299,5318782.18333,2016-08-30
2002981,13732,1239,5237346.96667,2016-08-31
1986284,13052,1096,5182249.6,2016-09-01
1997218,12650,1181,5242198.9,2016-09-02
1991128,12174,1189,5212349.26667,2016-09-03
1714832,11910,1067,4476465.01667,2016-09-04
1612429,10941,1030,4285844.71667,2016-09-05
1594938,10508,960,4257222.95,2016-09-06
1627314,10479,1037,4330326.98333,2016-09-07
1629879,10225,1028,4322973.0,2016-09-08
1748083,10382,1070,4589296.65,2016-09-09
1796749,10554,1076,4705854.35,2016-09-10
1527341,9754,898,3993869.83333,2016-09-11
1420995,9036,839,3801337.51667,2016-09-12
1409821,8521,615,3769070.88333,2016-09-13
1414230,8485,591,3761961.7,2016-09-14
1394343,8370,831,3725024.83333,2016-09-15
1389920,8350,781,3731301.71667,2016-09-16
1463351,8495,806,3877141.55,2016-09-17
1240804,8664,749,3264511.95,2016-09-18
1157637,7790,668,3117814.16667,2016-09-19
1107377,7096,730,2998576.68333,2016-09-20
1091090,6967,590,2960212.95,2016-09-21
1118067,6819,581,3032003.71667,2016-09-22
1208586,7174,477,3235708.28333,2016-09-23
1270584,7630,718,3369357.26667,2016-09-24
1134583,7682,586,2980124.46667,2016-09-25
1064280,7100,528,2852070.25,2016-09-26
1086305,6772,616,2904396.16667,2016-09-27
1102618,6884,626,2944630.31667,2016-09-28
1084808,6669,608,2881671.93333,2016-09-29
1241162,7217,739,3224224.1,2016-09-30
1312583,7475,729,3388110.98333,2016-10-01
1105634,7399,680,2841047.38333,2016-10-02
995620,6292,549,2629523.25,2016-10-03
975542,5966,487,2589394.0,2016-10-04
1012457,6289,553,2646773.7,2016-10-05
1047984,6301,563,2753082.76667,2016-10-06
1194601,6782,598,3119491.2,2016-10-07
1240582,7147,659,3194427.66667,2016-10-08
1040125,6834,556,2661991.05,2016-10-09
938789,5988,484,2470285.01667,2016-10-10
963422,5867,466,2542377.43333,2016-10-11
986296,5782,549,2586481.51667,2016-10-12
985845,5702,562,2587944.73333,2016-10-13
1063352,5862,589,2768350.0,2016-10-14
1157942,6030,620,2982185.86667,2016-10-15
997047,6067,538,2549636.15,2016-10-16
938957,5479,398,2478175.76667,2016-10-17
944057,5383,500,2511566.16667,2016-10-18
969285,5490,499,2583877.66667,2016-10-19
984402,5512,499,2651538.35,2016-10-20
1073623,5769,520,2873639.05,2016-10-21
1157542,5933,580,3061112.25,2016-10-22
945045,5690,466,2500943.96667,2016-10-23
895662,5050,448,2420821.96667,2016-10-24
920706,5019,445,2486361.91667,2016-10-25
937291,5102,415,2530193.95,2016-10-26
974422,5478,443,2607250.31667,2016-10-27
1057369,5501,512,2837063.96667,2016-10-28
1105500,5633,572,2939165.11667,2016-10-29
982501,5731,486,2591300.73333,2016-10-30
980064,5266,411,2682752.33333,2016-10-31
1002571,5700,485,2685994.18333,2016-11-01
