dailyViewcount,numShare,numSubscriber,watchTime,date
913140,18073,1167,1909536.06667,2017-04-14
1052129,18139,1060,2265769.91667,2017-04-15
603588,10602,300,1356470.0,2017-04-16
721563,9740,427,1600079.48333,2017-04-17
782715,9766,475,1740429.98333,2017-04-18
683760,8364,354,1520049.0,2017-04-19
765960,9188,414,1720294.45,2017-04-20
803910,9059,364,1800877.96667,2017-04-21
770900,8246,305,1721299.3,2017-04-22
679902,8446,311,1541321.13333,2017-04-23
668829,7254,353,1568648.71667,2017-04-24
678844,7231,278,1603560.16667,2017-04-25
638842,6495,227,1528229.91667,2017-04-26
640131,6168,242,1535069.96667,2017-04-27
648772,5799,255,1544177.86667,2017-04-28
652009,5601,257,1567888.75,2017-04-29
597718,5381,215,1427189.71667,2017-04-30
572360,5220,249,1391498.8,2017-05-01
535426,4756,238,1328514.01667,2017-05-02
530583,4534,206,1306367.91667,2017-05-03
498165,4315,169,1236412.51667,2017-05-04
502490,3848,174,1244588.81667,2017-05-05
515144,3924,215,1268397.6,2017-05-06
444634,3758,151,1103552.23333,2017-05-07
427157,3702,169,1068326.76667,2017-05-08
413044,3294,174,1039361.71667,2017-05-09
420406,3336,167,1052359.53333,2017-05-10
403447,3090,152,1010663.2,2017-05-11
443760,3122,159,1095241.26667,2017-05-12
439225,3116,128,1088022.46667,2017-05-13
390988,3208,133,971271.366667,2017-05-14
354061,2628,130,903585.15,2017-05-15
355384,2597,160,901102.85,2017-05-16
355108,2637,141,893883.916667,2017-05-17
346351,2550,122,859894.833333,2017-05-18
365187,2689,138,895978.4,2017-05-19
370406,2617,149,907948.933333,2017-05-20
317909,2705,91,781003.366667,2017-05-21
309949,2299,109,774242.366667,2017-05-22
