dailyViewcount,numShare,numSubscriber,watchTime,date
225301,1982,188,625860.95,2015-09-21
191919,1198,200,513701.683333,2015-09-22
193763,1123,224,559045.5,2015-09-23
212643,1119,226,618401.066667,2015-09-24
247007,1142,213,663625.4,2015-09-25
163107,773,114,453291.666667,2015-09-26
215889,1088,205,602679.85,2015-09-27
165665,836,115,471605.983333,2015-09-28
177923,826,117,506788.8,2015-09-29
183723,832,128,530730.133333,2015-09-30
198906,844,101,574608.433333,2015-10-01
243272,876,123,704770.383333,2015-10-02
267622,955,143,781916.316667,2015-10-03
211737,880,120,614739.0,2015-10-04
202484,809,113,590231.533333,2015-10-05
143512,731,98,431662.05,2015-10-06
164315,793,80,500516.916667,2015-10-07
170383,802,89,512184.833333,2015-10-08
223843,891,113,681560.083333,2015-10-09
202408,778,112,614666.683333,2015-10-10
227679,912,125,670596.15,2015-10-11
213188,883,123,633577.783333,2015-10-12
202881,840,110,599274.133333,2015-10-13
208494,755,105,617660.466667,2015-10-14
233566,853,129,683591.866667,2015-10-15
266742,861,135,768728.85,2015-10-16
285860,941,132,812235.016667,2015-10-17
268388,975,135,762193.5,2015-10-18
252334,926,165,721603.316667,2015-10-19
247796,957,134,693742.733333,2015-10-20
235263,776,117,665758.733333,2015-10-21
246146,874,120,698525.583333,2015-10-22
273402,917,121,780559.966667,2015-10-23
294742,905,118,837527.5,2015-10-24
249646,868,124,703473.466667,2015-10-25
218065,889,116,607974.483333,2015-10-26
212450,838,97,598546.4,2015-10-27
224051,823,111,630238.033333,2015-10-28
232281,809,106,653249.833333,2015-10-29
261312,767,108,737937.866667,2015-10-30
278868,852,90,786656.883333,2015-10-31
240974,812,90,662693.7,2015-11-01
190463,773,79,531851.533333,2015-11-02
194730,745,102,549933.85,2015-11-03
210810,834,87,593888.816667,2015-11-04
220643,804,87,626721.483333,2015-11-05
244441,801,96,692881.533333,2015-11-06
159339,844,95,472024.866667,2015-11-07
191761,809,77,555351.4,2015-11-08
181192,790,90,528030.033333,2015-11-09
190320,733,68,554792.516667,2015-11-10
195340,742,102,571769.65,2015-11-11
187722,765,79,543867.116667,2015-11-12
213714,760,86,618040.783333,2015-11-13
232469,803,81,670979.333333,2015-11-14
184448,744,78,528370.8,2015-11-15
168759,624,79,491781.833333,2015-11-16
176188,723,86,515891.8,2015-11-17
183748,687,77,539013.233333,2015-11-18
191093,702,96,557337.266667,2015-11-19
216757,728,78,632859.066667,2015-11-20
231648,685,99,676531.716667,2015-11-21
192932,743,76,560646.666667,2015-11-22
182381,704,85,539106.816667,2015-11-23
197583,670,91,579376.183333,2015-11-24
217397,715,87,642283.783333,2015-11-25
217709,659,79,625293.766667,2015-11-26
204753,675,94,587331.2,2015-11-27
214936,736,80,616785.366667,2015-11-28
182699,750,87,522502.9,2015-11-29
185702,630,89,517570.566667,2015-11-30
182601,787,83,511143.75,2015-12-01
179438,648,101,507307.433333,2015-12-02
181871,677,101,515468.333333,2015-12-03
202994,709,91,574582.716667,2015-12-04
221680,717,98,625472.016667,2015-12-05
179481,699,77,500237.466667,2015-12-06
162452,595,75,458506.1,2015-12-07
164985,541,63,467894.85,2015-12-08
164699,538,77,473510.966667,2015-12-09
173717,573,76,496671.416667,2015-12-10
195349,575,65,559641.733333,2015-12-11
200334,601,65,566295.35,2015-12-12
152910,536,64,434147.733333,2015-12-13
148444,511,69,423632.433333,2015-12-14
167464,555,69,476205.616667,2015-12-15
163255,528,67,466559.85,2015-12-16
165149,532,69,471951.166667,2015-12-17
181718,548,73,515124.45,2015-12-18
186250,537,57,524702.866667,2015-12-19
158655,532,58,441919.083333,2015-12-20
159310,511,61,450498.183333,2015-12-21
164261,538,55,463962.266667,2015-12-22
170176,516,63,481544.283333,2015-12-23
169805,490,58,482536.3,2015-12-24
166957,537,35,458627.866667,2015-12-25
166561,581,49,468472.716667,2015-12-26
156003,576,44,431933.516667,2015-12-27
157772,539,53,440648.533333,2015-12-28
161041,543,52,453696.1,2015-12-29
167212,589,66,470510.3,2015-12-30
208491,550,50,593922.716667,2015-12-31
156802,522,34,425533.433333,2016-01-01
162667,542,56,441262.383333,2016-01-02
140721,554,52,378819.983333,2016-01-03
137190,510,57,376029.683333,2016-01-04
136741,538,41,376915.983333,2016-01-05
141749,565,53,390365.716667,2016-01-06
141265,560,64,396045.333333,2016-01-07
161071,534,73,457822.133333,2016-01-08
