dailyViewcount,numShare,numSubscriber,watchTime,date
127033,1135,733,435777.5,2013-08-07
197625,924,599,608293.766667,2013-08-08
200891,642,443,598310.516667,2013-08-09
205382,536,404,599897.15,2013-08-10
203429,495,419,595754.116667,2013-08-11
111930,286,202,382909.6,2013-08-12
119557,272,141,391881.133333,2013-08-13
133934,268,170,437605.533333,2013-08-14
134403,198,142,422588.116667,2013-08-15
112743,230,145,376351.05,2013-08-16
103484,199,149,344869.0,2013-08-17
100883,180,138,333227.866667,2013-08-18
91643,168,135,311221.4,2013-08-19
87501,147,105,294250.5,2013-08-20
91448,161,91,310376.266667,2013-08-21
87676,177,93,296622.683333,2013-08-22
85331,147,82,295609.6,2013-08-23
83681,115,100,288002.066667,2013-08-24
71767,98,97,243436.033333,2013-08-25
68724,75,65,236691.6,2013-08-26
65352,99,87,228247.45,2013-08-27
62956,105,90,223505.9,2013-08-28
61032,84,66,224033.983333,2013-08-29
68501,101,66,249231.2,2013-08-30
69610,110,64,249575.183333,2013-08-31
65437,90,59,231159.55,2013-09-01
67866,90,81,237325.683333,2013-09-02
62189,100,65,225013.933333,2013-09-03
61032,82,69,221168.6,2013-09-04
58015,112,55,211200.433333,2013-09-05
60780,87,46,218171.783333,2013-09-06
62858,65,51,223154.066667,2013-09-07
55318,90,52,193754.416667,2013-09-08
54470,88,66,194178.4,2013-09-09
56380,83,63,201836.8,2013-09-10
56789,95,51,203145.016667,2013-09-11
60552,84,53,215664.033333,2013-09-12
65981,83,56,232046.65,2013-09-13
69075,81,67,237614.166667,2013-09-14
58244,62,54,202084.716667,2013-09-15
55716,79,50,197128.733333,2013-09-16
49291,70,57,177583.35,2013-09-17
50191,89,56,179384.283333,2013-09-18
57158,78,67,202306.316667,2013-09-19
64748,82,58,227751.7,2013-09-20
70171,79,59,242801.833333,2013-09-21
60469,71,51,210124.916667,2013-09-22
59800,93,58,211466.066667,2013-09-23
57150,76,58,204114.916667,2013-09-24
59921,85,65,211180.65,2013-09-25
60777,86,45,214002.283333,2013-09-26
66310,75,61,228550.183333,2013-09-27
73784,93,58,252970.866667,2013-09-28
61965,75,44,212891.266667,2013-09-29
56900,69,45,197573.983333,2013-09-30
55791,63,62,195247.35,2013-10-01
56914,68,58,198412.116667,2013-10-02
56611,61,46,198791.85,2013-10-03
61764,74,43,214780.7,2013-10-04
62805,61,52,216295.45,2013-10-05
57604,69,47,195826.8,2013-10-06
54513,52,31,189701.133333,2013-10-07
55929,60,38,193262.766667,2013-10-08
55821,69,35,194565.433333,2013-10-09
60552,79,57,208431.85,2013-10-10
67927,81,42,230874.333333,2013-10-11
70747,59,40,240745.866667,2013-10-12
59744,51,54,203536.966667,2013-10-13
59503,50,44,204331.766667,2013-10-14
63322,87,75,214059.766667,2013-10-15
75502,96,83,262467.15,2013-10-16
77971,99,73,271479.166667,2013-10-17
84234,120,101,293774.516667,2013-10-18
90100,75,91,304864.183333,2013-10-19
71575,73,70,246188.183333,2013-10-20
70909,72,79,246114.116667,2013-10-21
70136,75,75,242408.616667,2013-10-22
74260,97,78,255287.7,2013-10-23
80821,115,91,278924.216667,2013-10-24
92463,115,93,314834.716667,2013-10-25
98611,89,97,332249.45,2013-10-26
84010,80,98,281935.533333,2013-10-27
82712,95,88,279266.716667,2013-10-28
81842,106,96,278364.8,2013-10-29
81862,91,95,280555.4,2013-10-30
77639,68,66,270026.15,2013-10-31
84074,80,91,281661.516667,2013-11-01
89377,68,87,296700.416667,2013-11-02
70305,74,75,236139.166667,2013-11-03
70991,80,82,241927.066667,2013-11-04
68039,78,66,233770.383333,2013-11-05
72273,72,77,244102.866667,2013-11-06
75398,90,82,251752.783333,2013-11-07
85420,119,88,276044.0,2013-11-08
90867,95,90,289072.733333,2013-11-09
75892,75,76,240474.333333,2013-11-10
