dailyViewcount,numShare,numSubscriber,watchTime,date
2936,57,1,10276.0,2015-09-05
6731,112,3,23756.5833333,2015-09-06
13811,118,4,42272.0,2015-09-07
13488,123,8,48084.9333333,2015-09-08
16943,113,10,56407.9,2015-09-09
18318,130,8,62921.4833333,2015-09-10
17547,101,6,62773.0833333,2015-09-11
20667,114,7,69880.5,2015-09-12
18677,140,6,63557.5833333,2015-09-13
22084,135,8,75215.8,2015-09-14
21977,119,5,78658.0833333,2015-09-15
21627,119,9,78548.5166667,2015-09-16
20300,122,8,74029.3833333,2015-09-17
20348,104,4,75205.95,2015-09-18
20891,75,5,75593.5166667,2015-09-19
17830,91,2,62327.4,2015-09-20
16639,63,6,60849.0666667,2015-09-21
15755,54,1,58923.5666667,2015-09-22
15611,67,4,57536.1833333,2015-09-23
14896,73,2,56028.85,2015-09-24
14228,44,3,54012.2333333,2015-09-25
13837,59,5,52340.0666667,2015-09-26
12179,64,0,45174.85,2015-09-27
13076,70,4,49026.35,2015-09-28
13002,65,2,48792.0,2015-09-29
13540,54,3,51299.9833333,2015-09-30
13504,53,3,50371.2166667,2015-10-01
14117,56,1,52995.0833333,2015-10-02
13543,72,2,50164.6333333,2015-10-03
11600,79,1,42748.3666667,2015-10-04
12570,47,1,47522.4166667,2015-10-05
12211,51,1,46534.5666667,2015-10-06
11955,53,3,46804.5,2015-10-07
12930,52,0,49819.95,2015-10-08
13824,59,3,53104.4333333,2015-10-09
13054,53,1,48973.0833333,2015-10-10
11147,44,2,40733.4666667,2015-10-11
12133,47,4,45967.1666667,2015-10-12
12915,55,0,47280.25,2015-10-13
13220,61,2,49131.2666667,2015-10-14
12750,45,1,48698.5833333,2015-10-15
12698,59,1,50038.0,2015-10-16
12231,41,2,46514.4666667,2015-10-17
10805,54,0,40118.6333333,2015-10-18
12071,68,1,46785.0333333,2015-10-19
12124,47,2,47331.3666667,2015-10-20
12397,33,2,45905.8333333,2015-10-21
12719,44,2,48651.95,2015-10-22
14001,41,1,52835.6833333,2015-10-23
13881,53,2,50714.9666667,2015-10-24
11915,49,0,44350.6666667,2015-10-25
12950,44,2,49709.0166667,2015-10-26
12136,64,2,47507.4166667,2015-10-27
12111,54,0,46567.4833333,2015-10-28
12642,47,4,49398.8333333,2015-10-29
14107,55,3,54838.35,2015-10-30
13465,42,3,50206.3666667,2015-10-31
11490,37,3,42220.4,2015-11-01
12284,45,3,47824.2333333,2015-11-02
11787,33,2,45135.2,2015-11-03
11560,57,1,44556.8,2015-11-04
11844,51,3,45334.9833333,2015-11-05
12656,36,0,48629.9666667,2015-11-06
11721,33,1,43580.15,2015-11-07
10354,29,2,38934.9166667,2015-11-08
11629,65,1,45643.9333333,2015-11-09
11794,41,1,46551.7833333,2015-11-10
11977,43,1,46308.9,2015-11-11
12112,44,2,47130.95,2015-11-12
12370,43,2,47415.6,2015-11-13
11792,40,0,43348.4833333,2015-11-14
10071,42,0,36691.1166667,2015-11-15
11261,35,2,43239.6833333,2015-11-16
11719,40,0,45512.15,2015-11-17
12266,41,3,48282.5333333,2015-11-18
12578,43,1,50008.5166667,2015-11-19
13096,40,2,51417.9666667,2015-11-20
12469,34,0,47481.2666667,2015-11-21
11132,35,2,42493.7666667,2015-11-22
12105,54,1,46892.9333333,2015-11-23
12525,58,4,48298.15,2015-11-24
13495,43,0,52049.8,2015-11-25
12136,37,3,45099.3666667,2015-11-26
11699,32,4,43901.3666667,2015-11-27
10913,29,3,41603.1666667,2015-11-28
10233,30,1,38858.3666667,2015-11-29
10908,43,3,42926.3166667,2015-11-30
11250,52,1,43038.1,2015-12-01
11402,39,1,44561.2666667,2015-12-02
11567,45,1,45418.2833333,2015-12-03
12592,34,3,48916.25,2015-12-04
11832,32,0,44672.9833333,2015-12-05
10560,38,2,39656.95,2015-12-06
11285,44,4,43527.1833333,2015-12-07
11542,58,2,44233.5833333,2015-12-08
11884,31,2,46666.4666667,2015-12-09
11526,36,2,45153.6,2015-12-10
11711,31,0,45796.4833333,2015-12-11
11424,37,0,44139.8666667,2015-12-12
9621,34,0,37605.05,2015-12-13
10151,36,5,39887.0,2015-12-14
10355,39,0,41073.4333333,2015-12-15
10050,31,2,40106.1666667,2015-12-16
10699,36,0,42388.5166667,2015-12-17
11290,33,0,44257.6166667,2015-12-18
10965,32,0,41255.1,2015-12-19
9651,19,0,37297.4666667,2015-12-20
9960,32,1,37671.5333333,2015-12-21
10105,36,2,39124.2166667,2015-12-22
10204,40,2,39345.55,2015-12-23
10592,38,2,41062.6833333,2015-12-24
9177,28,2,34463.9666667,2015-12-25
9477,30,0,35721.3333333,2015-12-26
8240,33,0,30828.2166667,2015-12-27
8883,38,1,34181.3833333,2015-12-28
9301,27,0,35858.3,2015-12-29
9648,34,1,37637.9,2015-12-30
11653,32,3,44134.3666667,2015-12-31
9018,37,0,32628.9666667,2016-01-01
9580,35,1,35353.35,2016-01-02
8806,44,1,32373.35,2016-01-03
9395,34,1,34989.25,2016-01-04
9243,36,1,34041.0166667,2016-01-05
9500,39,1,35360.0833333,2016-01-06
10294,41,2,38814.1833333,2016-01-07
11494,39,3,43075.35,2016-01-08
10641,26,3,39116.8833333,2016-01-09
9420,44,1,34706.8166667,2016-01-10
10066,31,3,37048.4833333,2016-01-11
9559,43,2,35667.7333333,2016-01-12
10358,35,0,39513.4333333,2016-01-13
10776,27,0,40795.1,2016-01-14
11499,42,1,43525.8833333,2016-01-15
10961,47,1,39775.5666667,2016-01-16
9284,16,0,33293.5166667,2016-01-17
8871,28,1,32839.6166667,2016-01-18
8542,31,1,31917.2,2016-01-19
8644,24,0,32356.0333333,2016-01-20
8884,39,1,32611.2833333,2016-01-21
9917,38,0,36516.9833333,2016-01-22
9345,37,3,33404.1833333,2016-01-23
8050,39,0,29455.9666667,2016-01-24
9080,38,2,33929.8166667,2016-01-25
9049,37,2,33719.8166667,2016-01-26
8976,29,1,33338.3333333,2016-01-27
9012,33,0,33561.2666667,2016-01-28
9814,35,1,36227.05,2016-01-29
9497,42,2,34904.8166667,2016-01-30
8130,31,2,29355.8,2016-01-31
8380,32,0,31591.6333333,2016-02-01
8167,31,2,30379.05,2016-02-02
8324,32,2,31431.0333333,2016-02-03
8428,35,2,31555.3666667,2016-02-04
8972,37,2,33788.45,2016-02-05
8460,22,1,31405.5833333,2016-02-06
7006,23,2,25127.1833333,2016-02-07
7666,37,0,29059.2333333,2016-02-08
7818,15,2,29726.5833333,2016-02-09
8322,36,2,31388.2833333,2016-02-10
8758,21,1,32879.5833333,2016-02-11
9096,40,0,33797.3666667,2016-02-12
8420,31,3,30541.4333333,2016-02-13
7343,30,2,26644.1166667,2016-02-14
7619,19,1,27239.9166667,2016-02-15
7927,27,3,29317.9,2016-02-16
8469,33,2,31369.0333333,2016-02-17
9182,35,0,33633.2,2016-02-18
9979,41,1,36668.6333333,2016-02-19
9462,32,0,34479.7333333,2016-02-20
8607,31,4,31291.6666667,2016-02-21
9053,29,3,33335.55,2016-02-22
9233,39,2,34449.9333333,2016-02-23
9304,26,2,34213.05,2016-02-24
9660,35,1,35730.7,2016-02-25
10013,25,3,36895.6,2016-02-26
9682,39,2,35416.1833333,2016-02-27
8858,38,1,32461.0166667,2016-02-28
9091,42,4,33536.5666667,2016-02-29
9384,21,2,34578.5333333,2016-03-01
9370,29,3,34447.3333333,2016-03-02
9633,38,1,35435.1,2016-03-03
9993,36,1,36862.35,2016-03-04
9840,33,2,37025.25,2016-03-05
8754,26,1,32400.9,2016-03-06
8886,36,2,33284.9833333,2016-03-07
9294,26,0,34852.35,2016-03-08
10017,25,1,34524.5833333,2016-03-09
8836,28,1,33039.3333333,2016-03-10
8890,22,0,32257.8166667,2016-03-11
8272,45,1,30306.8,2016-03-12
7323,23,1,26935.5,2016-03-13
8239,21,2,31144.4333333,2016-03-14
8433,37,1,31462.8333333,2016-03-15
8039,27,1,29687.9833333,2016-03-16
7972,27,0,29810.5,2016-03-17
8174,21,2,30228.0833333,2016-03-18
8112,39,1,29664.6666667,2016-03-19
7490,23,0,27392.0166667,2016-03-20
8021,42,1,29720.45,2016-03-21
7911,23,2,29489.6833333,2016-03-22
7848,28,2,29321.3333333,2016-03-23
7865,42,2,29157.15,2016-03-24
7938,25,0,28663.6833333,2016-03-25
7698,35,1,27651.9333333,2016-03-26
6906,23,2,25213.0,2016-03-27
7549,35,0,27519.9,2016-03-28
7428,34,0,27090.75,2016-03-29
7406,27,0,27243.9166667,2016-03-30
7631,22,1,28215.0166667,2016-03-31
8151,31,0,29908.65,2016-04-01
7787,21,1,28154.2666667,2016-04-02
7049,13,0,25327.2,2016-04-03
7370,33,3,26724.4833333,2016-04-04
6928,35,0,24845.15,2016-04-05
7257,31,-1,26621.3166667,2016-04-06
7832,38,2,28576.3,2016-04-07
8422,23,0,30481.0333333,2016-04-08
8066,27,1,29298.9,2016-04-09
6939,16,0,24610.8,2016-04-10
7298,21,1,26646.9166667,2016-04-11
7178,30,1,26544.4,2016-04-12
7110,34,1,26124.5166667,2016-04-13
7526,29,0,27716.0833333,2016-04-14
8116,34,0,29211.3666667,2016-04-15
7629,18,0,26838.45,2016-04-16
6748,29,0,23792.5666667,2016-04-17
7048,27,0,25545.4,2016-04-18
7225,19,3,26110.9666667,2016-04-19
7022,28,0,25712.3,2016-04-20
7280,33,0,26682.2666667,2016-04-21
7635,20,0,27828.2833333,2016-04-22
7174,25,0,25452.75,2016-04-23
6349,25,0,22732.8666667,2016-04-24
6715,22,0,24450.1333333,2016-04-25
6742,20,0,24217.6166667,2016-04-26
6686,22,0,24326.5166667,2016-04-27
6904,44,1,25518.85,2016-04-28
6668,34,0,24338.15,2016-04-29
6600,30,0,23669.5666667,2016-04-30
5359,44,1,19383.7666667,2016-05-01
5512,28,1,20134.2166667,2016-05-02
5666,32,1,20722.5166667,2016-05-03
6616,34,1,23760.7333333,2016-05-04
6727,45,1,24564.1,2016-05-05
7052,37,0,25580.8833333,2016-05-06
6623,14,0,23516.65,2016-05-07
5749,25,0,20678.0333333,2016-05-08
5951,34,1,21945.3666667,2016-05-09
6309,44,2,22326.9833333,2016-05-10
6102,30,0,21796.05,2016-05-11
6082,30,1,21978.9,2016-05-12
6139,30,1,22152.9666667,2016-05-13
5977,22,1,21118.05,2016-05-14
5199,31,0,18245.9333333,2016-05-15
5242,23,0,18998.25,2016-05-16
5820,22,1,20674.5333333,2016-05-17
5283,22,3,18749.7333333,2016-05-18
5368,27,0,19308.5333333,2016-05-19
5889,28,0,21081.6666667,2016-05-20
5393,28,1,19431.4833333,2016-05-21
5047,22,0,17646.7333333,2016-05-22
5231,30,1,19525.3166667,2016-05-23
5349,38,1,19509.2833333,2016-05-24
5525,42,0,19770.0666667,2016-05-25
5700,30,0,20501.7833333,2016-05-26
5692,32,1,20726.4,2016-05-27
5593,20,1,19943.8,2016-05-28
5249,22,0,18762.4833333,2016-05-29
4737,33,0,16815.2,2016-05-30
5145,33,0,18477.7166667,2016-05-31
4997,17,0,18026.5,2016-06-01
5150,32,0,18295.8666667,2016-06-02
5297,27,0,18703.0,2016-06-03
5187,20,0,18380.9,2016-06-04
4790,31,2,16849.4666667,2016-06-05
4985,30,2,18122.4666667,2016-06-06
5012,33,0,18141.7666667,2016-06-07
4872,16,0,17824.7,2016-06-08
4883,21,1,18423.95,2016-06-09
4917,27,0,17721.0666667,2016-06-10
4578,22,0,16692.2,2016-06-11
4400,27,0,16207.4833333,2016-06-12
4376,28,0,15912.3333333,2016-06-13
4686,29,1,16743.8,2016-06-14
5004,34,0,18254.7666667,2016-06-15
4639,23,1,16815.55,2016-06-16
4977,25,0,18334.6166667,2016-06-17
4982,33,1,18332.15,2016-06-18
4240,27,0,15230.7,2016-06-19
4626,29,0,16964.3833333,2016-06-20
4738,31,0,17386.65,2016-06-21
4938,21,1,17848.8166667,2016-06-22
5041,23,0,18252.6166667,2016-06-23
5208,24,0,18895.65,2016-06-24
4988,24,2,17950.8333333,2016-06-25
4461,32,0,15777.8666667,2016-06-26
4735,22,0,16769.8666667,2016-06-27
4527,34,1,16453.7166667,2016-06-28
5065,33,0,18648.5666667,2016-06-29
4822,21,0,17322.3666667,2016-06-30
4767,39,0,16878.3,2016-07-01
4708,18,0,16834.6833333,2016-07-02
4466,15,1,15904.7666667,2016-07-03
4375,16,0,15687.9833333,2016-07-04
4228,15,1,14916.8333333,2016-07-05
4386,25,0,15921.0666667,2016-07-06
4479,17,0,15727.3166667,2016-07-07
4286,17,2,15246.4833333,2016-07-08
4325,16,1,15335.7333333,2016-07-09
4015,19,1,14525.15,2016-07-10
4214,24,0,15264.85,2016-07-11
4509,20,0,15638.5833333,2016-07-12
4255,22,0,15163.3,2016-07-13
4659,21,0,16778.15,2016-07-14
4649,29,0,16645.2166667,2016-07-15
4621,13,1,16244.5666667,2016-07-16
4201,24,0,14793.3166667,2016-07-17
4244,23,2,15468.5,2016-07-18
4337,25,0,15640.0833333,2016-07-19
4344,20,2,15294.2166667,2016-07-20
4577,28,0,16233.6333333,2016-07-21
4452,20,0,15838.7666667,2016-07-22
4176,21,0,14934.6333333,2016-07-23
4014,21,0,13975.9833333,2016-07-24
4144,25,0,14453.2,2016-07-25
4344,36,1,15661.5666667,2016-07-26
4601,23,1,16356.8333333,2016-07-27
4444,30,1,16129.6833333,2016-07-28
4664,14,0,16754.1333333,2016-07-29
4404,25,0,15928.7333333,2016-07-30
3916,22,0,13836.5833333,2016-07-31
4235,21,0,15060.8666667,2016-08-01
4191,17,1,15409.8666667,2016-08-02
4450,25,1,16154.95,2016-08-03
4523,52,0,16400.7166667,2016-08-04
4803,21,1,17514.7333333,2016-08-05
4556,33,0,16534.9,2016-08-06
4289,24,2,14856.4,2016-08-07
4349,26,2,15168.8333333,2016-08-08
4201,26,0,14930.7166667,2016-08-09
4228,27,0,14900.1333333,2016-08-10
4175,16,0,15198.5166667,2016-08-11
4457,34,1,16044.4166667,2016-08-12
4273,23,0,15417.7333333,2016-08-13
3910,26,0,14016.8833333,2016-08-14
4138,23,0,15063.3833333,2016-08-15
3980,13,0,14286.9333333,2016-08-16
4109,18,0,15310.5,2016-08-17
4192,19,1,15100.7666667,2016-08-18
4547,29,1,16207.5333333,2016-08-19
4856,29,0,17292.9833333,2016-08-20
4122,26,0,14580.8166667,2016-08-21
4413,18,0,15950.5166667,2016-08-22
4646,32,1,16701.5166667,2016-08-23
4369,23,0,15738.2166667,2016-08-24
4395,25,1,15724.35,2016-08-25
