dailyViewcount,numShare,numSubscriber,watchTime,date
49070,510,29,113844.483333,2016-10-26
81778,720,55,192784.966667,2016-10-27
79842,601,37,185106.433333,2016-10-28
51406,403,14,122163.35,2016-10-29
23040,161,4,56217.2166667,2016-10-30
22748,158,8,57176.8666667,2016-10-31
20619,164,4,51113.75,2016-11-01
23401,150,12,56927.3666667,2016-11-02
17612,143,3,43832.6,2016-11-03
18484,116,5,45666.3166667,2016-11-04
18760,143,1,46098.2333333,2016-11-05
16473,133,4,39800.85,2016-11-06
14451,112,3,35652.5333333,2016-11-07
14119,101,4,34684.4333333,2016-11-08
12824,98,4,32339.3166667,2016-11-09
13439,109,7,33658.9833333,2016-11-10
15135,106,1,37942.1833333,2016-11-11
16578,114,5,41197.7666667,2016-11-12
14466,102,2,35261.0166667,2016-11-13
12516,97,3,31307.55,2016-11-14
12289,113,4,30747.8,2016-11-15
13334,115,5,33206.7,2016-11-16
13887,99,3,35282.7333333,2016-11-17
14937,96,1,38142.9666667,2016-11-18
15106,124,0,38298.35,2016-11-19
13228,91,1,32763.1166667,2016-11-20
12864,91,2,32718.3166667,2016-11-21
13709,101,0,34671.0166667,2016-11-22
14201,112,1,36777.5666667,2016-11-23
14991,75,2,38559.45,2016-11-24
11182,85,0,29058.3,2016-11-25
9957,60,1,26261.9833333,2016-11-26
7198,70,0,18375.0333333,2016-11-27
6859,53,0,17894.4833333,2016-11-28
7129,66,0,18561.6666667,2016-11-29
7480,62,1,19154.0,2016-11-30
7889,96,3,20917.5,2016-12-01
8260,68,1,22172.7333333,2016-12-02
8179,78,1,21409.3833333,2016-12-03
7237,76,1,18201.4166667,2016-12-04
6650,64,1,17844.3833333,2016-12-05
6779,67,0,18180.25,2016-12-06
6964,69,0,18933.05,2016-12-07
6642,61,0,18153.7666667,2016-12-08
7518,61,1,20541.0333333,2016-12-09
8306,78,1,21718.8666667,2016-12-10
6935,66,3,17939.8166667,2016-12-11
6577,68,0,17514.6,2016-12-12
6687,79,1,17735.7,2016-12-13
5828,64,1,15999.5666667,2016-12-14
5819,54,1,15577.2833333,2016-12-15
6947,55,2,18533.8,2016-12-16
7534,72,1,19840.9,2016-12-17
5678,54,2,14585.5833333,2016-12-18
5382,48,1,14302.1833333,2016-12-19
5887,70,0,15608.5666667,2016-12-20
6238,48,0,16492.1666667,2016-12-21
6319,49,0,16594.2166667,2016-12-22
7055,56,1,18992.8833333,2016-12-23
7368,60,0,19591.7833333,2016-12-24
7798,61,0,20378.8333333,2016-12-25
5889,47,1,15071.5333333,2016-12-26
5829,57,0,15368.0666667,2016-12-27
6134,74,0,16212.6666667,2016-12-28
6119,64,3,16252.8166667,2016-12-29
6877,72,1,18521.4333333,2016-12-30
8517,51,0,23588.5666667,2016-12-31
6383,46,0,16410.85,2017-01-01
5900,69,0,15061.5666667,2017-01-02
5370,45,1,13901.8666667,2017-01-03
4816,56,0,12743.7166667,2017-01-04
5034,55,0,13328.1333333,2017-01-05
6155,64,0,15901.9166667,2017-01-06
5929,49,0,15464.65,2017-01-07
5258,44,1,13591.4666667,2017-01-08
