dailyViewcount,numShare,numSubscriber,watchTime,date
1017923,3824,7253,3163644.01667,2013-03-28
820701,1495,3020,2760589.33333,2013-03-29
735954,1157,2701,2474432.25,2013-03-30
727590,1096,2550,2352486.7,2013-03-31
787127,1222,2771,2528431.18333,2013-04-01
806673,1153,2790,2537210.55,2013-04-02
880498,1227,2867,2652723.53333,2013-04-03
709596,1073,2213,2198826.28333,2013-04-04
474665,662,1293,1642710.1,2013-04-05
517284,667,1511,1767539.48333,2013-04-06
501195,595,1354,1727419.43333,2013-04-07
457267,645,1162,1551017.95,2013-04-08
458150,664,1329,1528811.01667,2013-04-09
470247,548,1330,1557499.76667,2013-04-10
517564,689,1490,1689885.45,2013-04-11
505552,628,1403,1640255.55,2013-04-12
606780,716,1732,1951002.76667,2013-04-13
532230,614,1326,1760709.23333,2013-04-14
412964,501,879,1399424.61667,2013-04-15
399026,452,907,1363341.96667,2013-04-16
428426,447,937,1449936.3,2013-04-17
433750,446,977,1469023.61667,2013-04-18
424267,481,984,1416468.81667,2013-04-19
465497,475,1135,1592549.66667,2013-04-20
459784,553,1050,1574719.3,2013-04-21
423021,531,903,1440584.2,2013-04-22
415900,497,922,1427415.13333,2013-04-23
445220,555,881,1531976.35,2013-04-24
453460,486,911,1556252.81667,2013-04-25
446467,531,927,1492430.41667,2013-04-26
547921,566,1164,1815715.91667,2013-04-27
484939,536,1009,1633978.63333,2013-04-28
435181,462,901,1472976.01667,2013-04-29
464186,571,1024,1520911.5,2013-04-30
516584,619,1180,1704214.61667,2013-05-01
471921,507,939,1586784.85,2013-05-02
440750,467,821,1452439.11667,2013-05-03
509242,566,1011,1677396.55,2013-05-04
491521,512,950,1637712.91667,2013-05-05
445919,525,890,1494337.9,2013-05-06
510816,506,1037,1632752.95,2013-05-07
500369,517,883,1645069.6,2013-05-08
527969,572,927,1729051.4,2013-05-09
528048,485,960,1708916.16667,2013-05-10
612184,548,1120,1955049.36667,2013-05-11
548963,506,968,1776638.05,2013-05-12
481243,477,853,1590183.31667,2013-05-13
507965,518,908,1653002.65,2013-05-14
590349,596,1118,1856868.53333,2013-05-15
578722,557,1042,1840102.68333,2013-05-16
570701,559,1001,1800935.25,2013-05-17
642516,595,1187,2025690.93333,2013-05-18
622058,572,1079,1941770.16667,2013-05-19
604612,520,1013,1920389.88333,2013-05-20
553426,538,855,1792970.11667,2013-05-21
557735,514,875,1826544.33333,2013-05-22
571657,553,1005,1841578.88333,2013-05-23
584461,581,868,1855055.83333,2013-05-24
637173,624,1045,2003536.15,2013-05-25
598623,580,1005,1882658.08333,2013-05-26
569088,526,890,1832502.75,2013-05-27
553223,553,933,1766696.93333,2013-05-28
592203,645,1075,1871049.36667,2013-05-29
540557,551,1067,1710247.51667,2013-05-30
577718,605,1064,1787164.36667,2013-05-31
677948,581,1078,2056646.18333,2013-06-01
640800,598,1000,1968577.88333,2013-06-02
618249,606,983,1902230.18333,2013-06-03
627739,613,925,1921352.75,2013-06-04
577459,599,879,1798640.56667,2013-06-05
661718,566,1075,2038024.53333,2013-06-06
684653,595,1068,2085864.6,2013-06-07
646203,543,995,1972864.93333,2013-06-08
616984,562,982,1886119.56667,2013-06-09
610823,574,928,1886473.56667,2013-06-10
586154,499,896,1808044.85,2013-06-11
593993,625,953,1824176.7,2013-06-12
642627,619,1013,1966884.1,2013-06-13
640513,589,1037,1942887.41667,2013-06-14
679602,614,1144,2006239.86667,2013-06-15
666630,549,927,1971112.85,2013-06-16
643818,616,969,1954150.53333,2013-06-17
666557,595,953,2010265.63333,2013-06-18
660651,581,992,1976838.8,2013-06-19
681753,573,972,2036146.61667,2013-06-20
682138,625,1083,2023197.68333,2013-06-21
699150,593,1200,2036607.91667,2013-06-22
718366,612,1211,2071292.51667,2013-06-23
689700,669,1142,2060718.43333,2013-06-24
678792,639,1152,2023195.73333,2013-06-25
718967,682,1269,2113800.53333,2013-06-26
