dailyViewcount,numShare,numSubscriber,watchTime,date
433970,6184,1509,1046530.83333,2017-05-10
158354,2540,330,397881.633333,2017-05-11
115477,1623,299,291656.3,2017-05-12
94139,1105,282,237406.066667,2017-05-13
83739,934,223,208864.816667,2017-05-14
81960,807,254,200597.433333,2017-05-15
76403,886,192,185920.283333,2017-05-16
70123,733,127,172301.4,2017-05-17
81243,881,204,195390.266667,2017-05-18
88995,832,220,207958.65,2017-05-19
117559,948,341,270876.133333,2017-05-20
91034,803,217,209254.833333,2017-05-21
64046,600,167,151249.716667,2017-05-22
