dailyViewcount,numShare,numSubscriber,watchTime,date
4129719,148958,6911,10178361.75,2016-07-22
3053408,72956,4339,7530445.26667,2016-07-23
2707877,56082,2882,6727278.81667,2016-07-24
2918552,53032,2752,7348191.76667,2016-07-25
3359562,61609,2774,8076009.95,2016-07-26
3497785,58287,2631,8497928.8,2016-07-27
3328590,51733,1981,8178697.25,2016-07-28
3368092,49968,1810,8144353.08333,2016-07-29
3385001,42374,1851,7953755.66667,2016-07-30
3082542,40303,1691,7313738.78333,2016-07-31
3562058,42105,1944,8461080.08333,2016-08-01
3547506,40812,1974,8488004.08333,2016-08-02
3671645,39458,1746,8795265.23333,2016-08-03
4343661,40301,1976,10247306.9333,2016-08-04
4457683,41714,1858,10388289.55,2016-08-05
4243808,38629,1817,9749868.03333,2016-08-06
4001168,38740,1654,9174854.21667,2016-08-07
4093443,39135,1632,9581778.43333,2016-08-08
4004973,38149,1555,9366440.23333,2016-08-09
3944289,37549,1477,9161952.21667,2016-08-10
4093603,38138,1515,9371184.71667,2016-08-11
4236086,39110,1461,9578026.0,2016-08-12
4083162,37330,1386,9201494.05,2016-08-13
3558369,34767,1171,8052875.76667,2016-08-14
3582877,32709,1092,8268934.31667,2016-08-15
3809341,32994,1277,8838929.95,2016-08-16
4139871,35643,1394,9564651.0,2016-08-17
4306707,37637,1349,9932840.48333,2016-08-18
4681252,37911,1486,10635476.1167,2016-08-19
4800106,38742,1458,10781619.8833,2016-08-20
4378667,37859,1358,9901068.2,2016-08-21
4491896,36135,1356,10371547.4667,2016-08-22
4554635,36269,1385,10557344.7833,2016-08-23
4561214,34957,1373,10540248.5667,2016-08-24
4419744,33841,1210,10278533.3,2016-08-25
4486629,36147,1262,10230396.4167,2016-08-26
4507587,36947,1233,10154322.2333,2016-08-27
4286761,37083,1194,9713125.78333,2016-08-28
4244626,34791,1105,9758442.6,2016-08-29
4467801,34462,1228,10294706.4167,2016-08-30
4706684,36115,1259,10881610.0833,2016-08-31
4724069,36144,1241,10916984.3167,2016-09-01
4913644,36565,1232,11210623.1333,2016-09-02
5120247,38625,1298,11497252.2,2016-09-03
4598748,38454,1140,10344625.2,2016-09-04
4419080,33499,1033,10228894.1,2016-09-05
4433226,32709,979,10316000.2167,2016-09-06
4624442,34146,1069,10760643.0167,2016-09-07
4631498,33028,1017,10777078.9333,2016-09-08
4906873,34352,1121,11248078.0833,2016-09-09
5277371,36867,1204,11931700.4167,2016-09-10
4719609,37454,1168,10713197.4667,2016-09-11
4273544,30646,968,9913592.93333,2016-09-12
4445054,31672,776,10296893.2667,2016-09-13
4478388,31954,719,10285666.8,2016-09-14
4159562,28854,947,9557818.35,2016-09-15
4135635,26682,904,9390275.4,2016-09-16
4547378,28023,958,10269150.8833,2016-09-17
3986103,28196,850,9097214.71667,2016-09-18
3701286,23971,758,8674665.75,2016-09-19
3626832,23013,696,8572263.81667,2016-09-20
3634901,22502,764,8597700.9,2016-09-21
3651103,22408,684,8659782.5,2016-09-22
3759030,23055,587,8795060.63333,2016-09-23
4016426,25877,812,9293207.13333,2016-09-24
3705869,26415,735,8585501.06667,2016-09-25
3393540,23007,676,8052440.1,2016-09-26
3438138,21437,637,8162632.38333,2016-09-27
3501330,21717,703,8281061.28333,2016-09-28
3408513,21928,741,8022291.55,2016-09-29
3608466,22773,782,8340238.7,2016-09-30
3948140,25768,801,9038409.4,2016-10-01
3464030,25098,714,7969392.41667,2016-10-02
3218208,19793,683,7594660.65,2016-10-03
3249028,19986,665,7682023.35,2016-10-04
3327881,19997,666,7900886.0,2016-10-05
3262433,19482,687,7715188.23333,2016-10-06
3331816,20691,732,7679492.8,2016-10-07
3785618,22491,768,8780014.78333,2016-10-08
3258398,21397,637,7594421.01667,2016-10-09
3070403,17352,556,7271526.25,2016-10-10
3373757,17928,725,7908253.01667,2016-10-11
3539040,19431,737,8272967.81667,2016-10-12
3435594,17726,740,8069016.6,2016-10-13
3409016,17803,685,7918215.48333,2016-10-14
3952611,20716,759,9107924.16667,2016-10-15
3417017,19645,655,7934377.9,2016-10-16
3343945,16585,633,7901026.53333,2016-10-17
3428124,16568,677,8103907.38333,2016-10-18
3537251,17639,663,8337447.2,2016-10-19
3572146,17967,708,8404445.81667,2016-10-20
3680720,18170,683,8569986.26667,2016-10-21
4002358,19877,800,9247628.0,2016-10-22
3517434,19628,621,8194482.51667,2016-10-23
3224377,16034,658,7627125.76667,2016-10-24
3234694,15857,620,7640660.36667,2016-10-25
3271578,16196,632,7732929.55,2016-10-26
3332801,16110,596,7839354.48333,2016-10-27
3464858,16586,656,8081869.21667,2016-10-28
3574741,17949,694,8242952.65,2016-10-29
3269546,17615,651,7597843.8,2016-10-30
3098851,14254,504,7361637.25,2016-10-31
3133527,16119,563,7379912.13333,2016-11-01
3116130,15563,618,7339238.03333,2016-11-02
3048557,14892,591,7162140.83333,2016-11-03
3134434,15445,612,7278633.38333,2016-11-04
3433137,17247,674,7903261.13333,2016-11-05
3088816,16832,586,7176436.33333,2016-11-06
2763033,13390,500,6579795.31667,2016-11-07
2761598,12925,473,6556720.21667,2016-11-08
2914847,14088,522,6917824.08333,2016-11-09
3110598,14212,579,7337814.78333,2016-11-10
3436522,16600,596,7962559.0,2016-11-11
3629551,18968,642,8328902.95,2016-11-12
3048876,17281,561,7053446.31667,2016-11-13
2858851,13740,485,6755510.35,2016-11-14
2871362,13636,539,6784823.95,2016-11-15
2927307,13825,506,6900274.08333,2016-11-16
2945493,14521,543,6928135.36667,2016-11-17
3125802,15087,564,7279716.43333,2016-11-18
3487528,17023,619,8079202.98333,2016-11-19
2916985,15974,482,6783458.41667,2016-11-20
2797374,13721,478,6620348.61667,2016-11-21
2835288,13497,503,6720975.9,2016-11-22
3064664,13732,550,7268273.23333,2016-11-23
3134992,13494,503,7427904.68333,2016-11-24
3060884,14927,553,7175330.9,2016-11-25
3217728,16803,563,7456277.98333,2016-11-26
2828361,16054,517,6643932.43333,2016-11-27
2698559,12699,468,6474668.11667,2016-11-28
2802362,12796,477,6708783.61667,2016-11-29
2860481,13003,488,6819067.71667,2016-11-30
2944058,13591,514,6949780.61667,2016-12-01
2848293,13672,514,6611151.83333,2016-12-02
2945179,14973,497,6779685.23333,2016-12-03
2581553,13960,454,6024598.13333,2016-12-04
2257977,12048,388,5348793.66667,2016-12-05
2339846,12665,435,5539657.7,2016-12-06
2473197,12256,492,5855023.55,2016-12-07
2592756,10993,477,6125194.38333,2016-12-08
2691162,11250,471,6346489.28333,2016-12-09
2795404,14195,474,6514556.6,2016-12-10
2372384,13298,440,5567673.11667,2016-12-11
2276987,11435,376,5456738.38333,2016-12-12
2306265,11699,425,5541107.06667,2016-12-13
2282648,11623,386,5476782.06667,2016-12-14
2248490,11655,386,5384065.85,2016-12-15
2630231,12385,401,6261705.53333,2016-12-16
2868830,14008,459,6771351.03333,2016-12-17
2284144,12650,342,5405132.55,2016-12-18
2256759,12163,365,5407064.96667,2016-12-19
2292134,12471,335,5481053.96667,2016-12-20
2335104,12538,371,5583003.76667,2016-12-21
2432082,12917,364,5802417.41667,2016-12-22
2382676,13368,354,5644416.9,2016-12-23
2389630,12712,317,5628631.45,2016-12-24
2048030,14796,276,4739879.91667,2016-12-25
2224455,14394,390,5237529.31667,2016-12-26
2308463,14579,372,5447557.73333,2016-12-27
2119999,14060,359,5018603.46667,2016-12-28
2223430,14407,332,5249866.48333,2016-12-29
2379276,14495,349,5606068.83333,2016-12-30
2801442,12781,292,6572902.48333,2016-12-31
1787471,11354,274,4108977.8,2017-01-01
1945417,12401,315,4554393.88333,2017-01-02
1961042,11875,341,4613272.26667,2017-01-03
2126267,12163,351,5053504.53333,2017-01-04
2219321,12221,273,5256687.93333,2017-01-05
2280729,13643,317,5329252.36667,2017-01-06
2365236,13941,355,5443728.56667,2017-01-07
2126053,13360,267,4979705.98333,2017-01-08
2255293,11401,268,5421894.1,2017-01-09
2235332,10907,252,5377595.88333,2017-01-10
