dailyViewcount,numShare,numSubscriber,watchTime,date
26733,184,13,100968.65,2016-12-23
6130,39,13,30537.6833333,2016-12-24
15724,71,27,69543.8666667,2016-12-25
19431,59,44,98829.9166667,2016-12-26
15250,54,29,87061.6166667,2016-12-27
16353,73,27,98247.2666667,2016-12-28
19401,50,27,126699.15,2016-12-29
10334,22,18,71382.35,2016-12-30
9646,25,4,71229.3166667,2016-12-31
7221,27,11,46191.4,2017-01-01
6905,26,10,49369.9666667,2017-01-02
5200,20,9,40410.9333333,2017-01-03
4509,11,6,35767.8333333,2017-01-04
