dailyViewcount,numShare,numSubscriber,watchTime,date
61957,1210,53,131044.583333,2017-03-30
106350,1347,98,257488.366667,2017-03-31
82839,759,43,204888.166667,2017-04-01
77308,753,32,191830.633333,2017-04-02
88539,842,41,216397.133333,2017-04-03
117569,901,53,277669.716667,2017-04-04
128570,991,44,309094.583333,2017-04-05
116562,895,54,283383.383333,2017-04-06
117898,802,37,292009.1,2017-04-07
123365,738,25,317027.7,2017-04-08
100256,697,24,251450.933333,2017-04-09
105204,683,34,268845.516667,2017-04-10
106257,624,28,268537.266667,2017-04-11
127361,876,48,294417.8,2017-04-12
171465,1380,57,365684.45,2017-04-13
227190,2057,71,459520.866667,2017-04-14
233829,1902,61,475883.95,2017-04-15
240691,2027,76,485675.783333,2017-04-16
250080,2072,86,515842.9,2017-04-17
226841,1886,79,500418.916667,2017-04-18
228216,1655,82,506664.733333,2017-04-19
228877,1617,58,521735.583333,2017-04-20
231535,1487,83,542690.35,2017-04-21
239421,1563,60,544780.2,2017-04-22
216777,1649,58,494304.65,2017-04-23
214556,1397,59,513391.716667,2017-04-24
218049,1408,64,525626.3,2017-04-25
213632,1244,48,532694.383333,2017-04-26
225176,1307,61,553240.216667,2017-04-27
240156,1196,84,591591.9,2017-04-28
236412,1172,54,575303.733333,2017-04-29
216990,1291,36,526173.033333,2017-04-30
224893,1251,50,563861.2,2017-05-01
215065,1105,58,551207.233333,2017-05-02
212620,1002,45,553888.75,2017-05-03
211267,1003,64,548469.45,2017-05-04
233805,939,63,601796.666667,2017-05-05
230726,1064,38,591848.4,2017-05-06
191273,1042,30,492150.55,2017-05-07
198213,976,61,518320.15,2017-05-08
197095,892,48,516357.95,2017-05-09
202086,906,64,530646.0,2017-05-10
199046,877,63,522184.3,2017-05-11
217416,845,52,563157.066667,2017-05-12
207629,852,36,531013.666667,2017-05-13
182615,851,29,469794.316667,2017-05-14
178940,722,34,472273.116667,2017-05-15
182698,749,42,482948.3,2017-05-16
181565,740,35,478549.616667,2017-05-17
184931,733,46,486866.2,2017-05-18
201470,792,50,522431.966667,2017-05-19
192709,774,27,496555.516667,2017-05-20
158753,832,29,414823.416667,2017-05-21
178707,757,42,468237.866667,2017-05-22
