dailyViewcount,numShare,numSubscriber,watchTime,date
54931,1229,45,145484.016667,2016-07-25
68950,1058,74,172026.5,2016-07-26
90711,1313,92,226059.416667,2016-07-27
172002,1948,183,407189.716667,2016-07-28
213462,2395,225,520254.683333,2016-07-29
191750,1826,121,476720.733333,2016-07-30
156054,1586,109,387687.283333,2016-07-31
127110,1299,69,326183.316667,2016-08-01
125998,1170,68,327770.8,2016-08-02
125759,1226,58,327958.65,2016-08-03
117533,1098,50,314730.516667,2016-08-04
116448,1113,45,315613.433333,2016-08-05
115366,1090,36,317065.066667,2016-08-06
101430,1027,31,273108.6,2016-08-07
115607,1134,51,312386.65,2016-08-08
123027,1110,53,334644.65,2016-08-09
160425,1359,70,425177.283333,2016-08-10
176751,1357,97,467990.85,2016-08-11
252593,1499,124,662593.35,2016-08-12
240133,1511,107,640605.633333,2016-08-13
209236,1340,96,552938.9,2016-08-14
213125,1225,69,576303.716667,2016-08-15
218132,1318,81,602884.216667,2016-08-16
223308,1318,82,616335.283333,2016-08-17
226199,1408,98,629172.7,2016-08-18
234893,1313,94,659340.166667,2016-08-19
235535,1244,68,654444.866667,2016-08-20
208524,1259,81,571698.966667,2016-08-21
211664,1239,77,596804.6,2016-08-22
208632,1219,70,590994.066667,2016-08-23
226809,1250,67,641486.533333,2016-08-24
226023,1224,64,643051.483333,2016-08-25
252354,1183,63,716551.083333,2016-08-26
249299,1169,50,704619.1,2016-08-27
221201,1108,63,620918.983333,2016-08-28
238869,1093,91,686849.616667,2016-08-29
241817,1102,83,696481.716667,2016-08-30
240694,1132,78,696053.483333,2016-08-31
249471,1112,93,720516.8,2016-09-01
283731,1158,90,821951.933333,2016-09-02
266550,1134,62,758914.1,2016-09-03
229820,1006,44,646138.833333,2016-09-04
221482,990,53,638352.616667,2016-09-05
204628,942,52,596419.116667,2016-09-06
216164,963,62,630081.066667,2016-09-07
224251,970,61,653970.833333,2016-09-08
258942,956,72,753989.366667,2016-09-09
296883,972,70,866059.233333,2016-09-10
241142,1013,67,700328.133333,2016-09-11
230847,880,65,686656.05,2016-09-12
239433,923,47,706153.9,2016-09-13
243394,913,35,713136.55,2016-09-14
240981,925,60,709699.9,2016-09-15
248113,842,46,735982.4,2016-09-16
260552,928,50,755750.85,2016-09-17
219256,796,40,632016.683333,2016-09-18
214948,807,43,640465.583333,2016-09-19
204738,755,39,608760.916667,2016-09-20
203376,725,37,603973.8,2016-09-21
203570,714,41,605046.0,2016-09-22
218085,733,40,648548.983333,2016-09-23
220282,702,49,644068.783333,2016-09-24
183843,734,33,522582.466667,2016-09-25
175321,662,42,513390.55,2016-09-26
183530,718,30,535717.85,2016-09-27
182623,694,46,535375.133333,2016-09-28
178332,701,33,524645.366667,2016-09-29
227034,687,38,674620.5,2016-09-30
272179,713,60,814256.416667,2016-10-01
189031,692,33,541895.3,2016-10-02
169351,635,35,495540.15,2016-10-03
170140,621,22,497792.833333,2016-10-04
175267,571,32,512334.9,2016-10-05
176988,581,34,520003.583333,2016-10-06
200459,561,36,587358.45,2016-10-07
183962,566,25,530914.583333,2016-10-08
159620,532,34,458046.6,2016-10-09
167063,533,33,487544.516667,2016-10-10
199222,590,35,587726.616667,2016-10-11
199658,646,26,588758.283333,2016-10-12
186530,578,38,546025.483333,2016-10-13
198970,535,49,577495.466667,2016-10-14
215452,562,29,618982.9,2016-10-15
176058,569,29,502000.7,2016-10-16
167229,544,28,486440.45,2016-10-17
169090,541,34,491700.4,2016-10-18
172914,551,26,504060.533333,2016-10-19
184752,561,27,540728.716667,2016-10-20
202973,538,31,595907.966667,2016-10-21
207884,683,36,605724.55,2016-10-22
165575,523,30,475790.683333,2016-10-23
158755,539,28,463676.0,2016-10-24
159900,588,31,470250.9,2016-10-25
163265,520,32,481875.883333,2016-10-26
166773,522,20,489854.45,2016-10-27
188249,512,30,550349.466667,2016-10-28
196757,492,24,568083.3,2016-10-29
146656,419,27,415289.266667,2016-10-30
142752,382,20,421215.133333,2016-10-31
146089,467,24,423853.05,2016-11-01
156850,530,36,456971.783333,2016-11-02
165089,551,32,482646.866667,2016-11-03
184047,500,20,539694.566667,2016-11-04
192397,526,29,557960.716667,2016-11-05
155508,531,33,445146.1,2016-11-06
142673,440,23,417798.533333,2016-11-07
141227,452,16,413699.05,2016-11-08
135754,425,19,402299.766667,2016-11-09
154720,433,15,458437.683333,2016-11-10
178986,460,30,526402.716667,2016-11-11
177107,493,23,514199.866667,2016-11-12
139603,461,20,403412.333333,2016-11-13
136115,419,26,402507.533333,2016-11-14
136203,475,23,402945.833333,2016-11-15
143844,451,22,426802.883333,2016-11-16
147903,420,25,438170.866667,2016-11-17
161938,476,19,476670.416667,2016-11-18
169251,436,19,492241.983333,2016-11-19
127106,412,16,366198.633333,2016-11-20
123207,439,18,358877.816667,2016-11-21
128386,423,23,377343.366667,2016-11-22
143908,429,22,422514.566667,2016-11-23
138541,378,16,408912.016667,2016-11-24
129740,390,24,378825.35,2016-11-25
134780,401,23,392941.383333,2016-11-26
101682,367,17,291837.583333,2016-11-27
100572,362,14,297700.4,2016-11-28
105113,374,22,311217.333333,2016-11-29
111209,332,17,330172.283333,2016-11-30
113145,359,16,337050.266667,2016-12-01
127310,385,14,378399.133333,2016-12-02
133668,380,22,389878.016667,2016-12-03
109718,343,24,316874.7,2016-12-04
105600,337,21,313616.766667,2016-12-05
104898,341,17,311177.883333,2016-12-06
108833,365,21,323393.35,2016-12-07
111044,361,16,330987.916667,2016-12-08
112151,341,13,336237.45,2016-12-09
116223,350,13,343474.916667,2016-12-10
97193,329,12,286292.183333,2016-12-11
96311,352,6,288845.05,2016-12-12
98201,303,15,295887.533333,2016-12-13
95729,360,20,287861.033333,2016-12-14
94191,314,13,284187.85,2016-12-15
118382,380,19,355365.383333,2016-12-16
124899,346,22,371377.816667,2016-12-17
97254,301,13,287294.85,2016-12-18
99261,310,14,294853.45,2016-12-19
100206,337,16,298973.5,2016-12-20
98122,292,9,293769.166667,2016-12-21
105685,294,10,316695.2,2016-12-22
112469,305,10,337587.55,2016-12-23
116655,310,4,352477.916667,2016-12-24
99874,299,5,293881.916667,2016-12-25
89502,315,7,261617.216667,2016-12-26
95707,329,10,283872.6,2016-12-27
90271,318,7,268689.5,2016-12-28
93276,372,8,278559.983333,2016-12-29
110905,353,14,332838.883333,2016-12-30
140208,342,11,425073.45,2016-12-31
86258,275,12,251507.933333,2017-01-01
82301,252,11,241509.8,2017-01-02
84722,296,9,252271.783333,2017-01-03
88088,303,12,262878.7,2017-01-04
