dailyViewcount,numShare,numSubscriber,watchTime,date
17069,53,7,38312.6166667,2014-10-03
29768,78,38,70817.1333333,2014-10-04
19964,37,37,51863.3666667,2014-10-05
16811,22,31,43885.7333333,2014-10-06
24914,34,27,70310.9166667,2014-10-07
24835,35,41,69134.5333333,2014-10-08
23455,26,36,64863.3333333,2014-10-09
22897,34,30,63644.2333333,2014-10-10
24971,30,41,68314.4166667,2014-10-11
23560,27,31,65573.85,2014-10-12
33632,35,30,86024.0833333,2014-10-13
30609,28,27,79786.5166667,2014-10-14
26820,13,21,74336.1833333,2014-10-15
23056,23,25,65772.2166667,2014-10-16
20513,13,20,58987.0166667,2014-10-17
20957,11,17,59832.5833333,2014-10-18
20542,10,32,58585.2333333,2014-10-19
20361,15,27,58810.8166667,2014-10-20
19686,10,20,56391.5666667,2014-10-21
18904,20,17,54268.0333333,2014-10-22
18383,7,18,53757.6333333,2014-10-23
18887,13,18,54762.3166667,2014-10-24
17984,11,24,51376.65,2014-10-25
17756,13,20,50915.4166667,2014-10-26
17782,12,18,52613.8833333,2014-10-27
17238,15,15,50149.85,2014-10-28
17032,11,12,48442.1833333,2014-10-29
16617,11,7,48303.1333333,2014-10-30
14735,20,15,43723.9166667,2014-10-31
16006,11,14,45656.3666667,2014-11-01
17300,12,17,49245.6,2014-11-02
16004,10,11,47841.4166667,2014-11-03
18801,7,19,54005.3666667,2014-11-04
19148,9,18,55850.9333333,2014-11-05
18768,14,16,54313.9666667,2014-11-06
16048,11,13,46979.75,2014-11-07
15313,11,5,44506.5333333,2014-11-08
15516,9,11,45050.6333333,2014-11-09
14736,14,13,43909.8833333,2014-11-10
14591,8,8,43878.5333333,2014-11-11
14194,9,13,43090.0166667,2014-11-12
15333,10,21,45530.2833333,2014-11-13
16246,8,11,45926.4833333,2014-11-14
16555,10,12,46862.5,2014-11-15
16888,10,13,47745.0166667,2014-11-16
16302,12,15,47436.4166667,2014-11-17
17485,8,16,50381.5333333,2014-11-18
16978,14,19,48354.3833333,2014-11-19
16756,7,20,49184.7166667,2014-11-20
15856,10,14,44855.9666667,2014-11-21
16277,9,15,46289.6666667,2014-11-22
16608,7,13,46230.0166667,2014-11-23
16288,11,14,48387.6166667,2014-11-24
16119,11,12,48252.5666667,2014-11-25
17018,7,13,49302.7666667,2014-11-26
15141,9,9,42735.7833333,2014-11-27
15033,14,6,42532.6666667,2014-11-28
15409,7,11,44041.3833333,2014-11-29
15986,3,12,45539.4166667,2014-11-30
16016,8,9,47447.2666667,2014-12-01
15430,10,9,45128.6,2014-12-02
15285,5,9,45476.55,2014-12-03
15507,9,20,45895.6333333,2014-12-04
15453,14,5,44797.8,2014-12-05
15785,7,7,44896.5,2014-12-06
15518,8,14,44339.3166667,2014-12-07
15697,7,10,45733.75,2014-12-08
15445,13,15,45003.7666667,2014-12-09
15743,8,15,45485.1833333,2014-12-10
15053,10,15,45178.8166667,2014-12-11
13804,5,9,40853.9666667,2014-12-12
14347,4,4,41423.15,2014-12-13
14469,7,6,42159.6333333,2014-12-14
13953,10,7,42152.4833333,2014-12-15
13747,6,7,41224.9,2014-12-16
14085,10,18,41777.7833333,2014-12-17
14778,13,15,42869.7833333,2014-12-18
13813,6,11,40032.0333333,2014-12-19
13634,11,11,39048.1166667,2014-12-20
12993,3,8,36622.75,2014-12-21
13025,8,5,38518.5166667,2014-12-22
13475,10,9,39596.4,2014-12-23
12513,6,8,36455.95,2014-12-24
10932,2,8,31050.05,2014-12-25
11447,7,7,32872.9166667,2014-12-26
12119,3,8,34346.9333333,2014-12-27
12268,4,7,34305.7166667,2014-12-28
13515,4,8,37711.9,2014-12-29
13928,5,10,39649.7166667,2014-12-30
14030,7,7,41019.0833333,2014-12-31
12239,10,5,34434.1333333,2015-01-01
12817,13,11,37236.8666667,2015-01-02
12968,8,9,37149.3333333,2015-01-03
12875,7,13,36711.0833333,2015-01-04
13787,17,10,39553.2,2015-01-05
13146,11,8,39469.3666667,2015-01-06
12775,8,7,39689.0,2015-01-07
13620,13,9,40608.3,2015-01-08
39218,21,31,108673.166667,2015-01-09
30728,14,19,101560.35,2015-01-10
27567,28,33,95146.1833333,2015-01-11
29156,15,20,97182.0166667,2015-01-12
27759,13,5,96998.55,2015-01-13
29301,1,2,104469.833333,2015-01-14
28100,12,16,103028.416667,2015-01-15
25597,11,23,93487.55,2015-01-16
23870,7,13,82742.1666667,2015-01-17
22523,12,10,77809.1,2015-01-18
24326,13,20,85253.3666667,2015-01-19
22431,3,13,81542.1,2015-01-20
20645,8,13,75230.3333333,2015-01-21
20863,9,12,74718.2666667,2015-01-22
20973,17,11,75419.3166667,2015-01-23
20760,15,10,73549.6666667,2015-01-24
20145,14,16,68781.7833333,2015-01-25
24016,22,14,81442.2166667,2015-01-26
21622,12,14,74037.15,2015-01-27
20110,14,14,71468.0666667,2015-01-28
18914,18,8,66596.05,2015-01-29
18122,14,9,63890.6,2015-01-30
17753,15,3,61666.7,2015-01-31
16593,10,6,57645.4833333,2015-02-01
16840,10,9,60071.4333333,2015-02-02
17542,8,10,62608.6166667,2015-02-03
17811,18,8,64017.9833333,2015-02-04
17923,15,6,65926.9666667,2015-02-05
17509,20,6,63205.35,2015-02-06
17446,6,7,60013.5166667,2015-02-07
16797,18,10,58966.0666667,2015-02-08
17069,22,6,61734.9333333,2015-02-09
17180,9,12,62095.4,2015-02-10
16914,7,6,61569.3333333,2015-02-11
16702,11,6,59565.85,2015-02-12
16006,9,11,57523.3833333,2015-02-13
16221,8,5,55779.1166667,2015-02-14
15293,12,3,53275.9166667,2015-02-15
15986,7,3,56427.35,2015-02-16
15093,7,7,54444.8166667,2015-02-17
14980,9,4,54055.0166667,2015-02-18
14977,12,11,53107.5166667,2015-02-19
14711,15,11,51826.1333333,2015-02-20
15072,9,8,52626.95,2015-02-21
14501,10,7,50794.85,2015-02-22
14877,8,5,53583.8333333,2015-02-23
14748,6,8,52038.3166667,2015-02-24
15018,11,5,52782.1333333,2015-02-25
14435,11,6,51414.5,2015-02-26
15008,8,7,51059.35,2015-02-27
14725,10,9,50771.15,2015-02-28
14057,14,6,48029.4333333,2015-03-01
14274,12,7,50545.2666667,2015-03-02
13776,22,6,48163.7,2015-03-03
13881,26,10,49059.4833333,2015-03-04
13931,19,3,48763.1333333,2015-03-05
14146,24,7,48687.1333333,2015-03-06
14312,18,6,47812.7833333,2015-03-07
12956,21,5,43161.0,2015-03-08
13362,19,4,46037.2333333,2015-03-09
12986,27,10,44354.6833333,2015-03-10
13012,16,5,45889.0666667,2015-03-11
13156,25,9,45080.1,2015-03-12
12786,21,6,43361.8,2015-03-13
12995,18,2,42971.4833333,2015-03-14
12723,31,5,42356.1833333,2015-03-15
12840,20,3,44342.8,2015-03-16
12399,17,6,43352.1,2015-03-17
12211,17,4,41150.95,2015-03-18
12391,26,5,41590.3,2015-03-19
12392,16,4,41328.25,2015-03-20
12428,19,7,40708.7166667,2015-03-21
11863,15,3,39840.3666667,2015-03-22
11826,22,7,40329.9333333,2015-03-23
12179,34,6,41044.1166667,2015-03-24
11784,34,1,40754.0666667,2015-03-25
11473,28,2,39658.3666667,2015-03-26
12268,16,3,40569.1,2015-03-27
12038,12,7,40148.0833333,2015-03-28
11550,10,5,37600.75,2015-03-29
11557,19,5,39541.2666667,2015-03-30
11136,20,5,36942.5,2015-03-31
10537,11,4,34647.4166667,2015-04-01
11324,13,4,35849.5833333,2015-04-02
11339,17,6,36548.3,2015-04-03
10183,12,2,33191.45,2015-04-04
9678,20,1,30954.6666667,2015-04-05
10115,9,5,33355.9,2015-04-06
9943,20,3,32779.2666667,2015-04-07
9985,14,2,32563.1333333,2015-04-08
9827,26,2,32699.0,2015-04-09
9643,20,1,31580.9,2015-04-10
9513,11,2,32328.25,2015-04-11
9562,13,8,31595.5666667,2015-04-12
9385,15,3,31012.9833333,2015-04-13
9189,15,2,30795.4833333,2015-04-14
9057,26,8,29732.7333333,2015-04-15
9485,12,5,32275.8666667,2015-04-16
9296,16,1,30383.7166667,2015-04-17
8917,12,3,28144.25,2015-04-18
8813,27,1,28573.3166667,2015-04-19
9067,15,8,30507.15,2015-04-20
8889,11,2,29413.8666667,2015-04-21
8840,24,1,29221.5666667,2015-04-22
8988,19,3,29482.1166667,2015-04-23
9041,20,2,30435.8833333,2015-04-24
8926,7,2,29285.2833333,2015-04-25
8885,6,3,29634.7666667,2015-04-26
8564,10,5,29773.4166667,2015-04-27
8673,12,2,29354.15,2015-04-28
8864,35,1,29592.25,2015-04-29
8905,15,3,30076.5666667,2015-04-30
9003,11,2,28896.4333333,2015-05-01
8517,11,8,27497.9833333,2015-05-02
8454,21,3,27711.65,2015-05-03
8589,11,1,28464.1,2015-05-04
8832,23,2,29482.1833333,2015-05-05
8580,14,4,28327.3333333,2015-05-06
8760,21,6,28569.5166667,2015-05-07
8497,6,2,27644.7333333,2015-05-08
8546,15,5,27486.5,2015-05-09
8260,15,4,26768.4833333,2015-05-10
8267,12,1,27072.75,2015-05-11
8104,24,4,26117.3333333,2015-05-12
8305,24,1,27686.1166667,2015-05-13
8377,23,2,27560.8166667,2015-05-14
8598,29,4,27738.2833333,2015-05-15
8371,40,1,26196.3666667,2015-05-16
7945,36,0,25272.7166667,2015-05-17
8136,38,2,26703.6,2015-05-18
7909,31,2,25675.5833333,2015-05-19
7858,33,1,25635.1666667,2015-05-20
8282,37,0,27426.0,2015-05-21
8451,34,4,27264.6833333,2015-05-22
8139,26,3,25912.1666667,2015-05-23
8027,28,4,25234.15,2015-05-24
8492,36,3,26861.1833333,2015-05-25
8396,21,3,27185.25,2015-05-26
8398,40,3,27290.55,2015-05-27
8252,39,1,26560.5333333,2015-05-28
8167,22,0,26377.3666667,2015-05-29
7783,27,5,24441.3,2015-05-30
7549,36,5,23566.85,2015-05-31
7752,15,6,24594.7833333,2015-06-01
7982,37,4,25959.9,2015-06-02
7968,35,2,25611.0,2015-06-03
7733,29,1,24526.6833333,2015-06-04
7423,34,1,23508.4666667,2015-06-05
7651,25,6,24306.25,2015-06-06
7383,22,3,22779.6333333,2015-06-07
7472,19,0,23638.7333333,2015-06-08
7531,22,2,24671.1333333,2015-06-09
7688,30,0,24693.1,2015-06-10
7290,38,1,23182.5666667,2015-06-11
7200,23,1,23711.7166667,2015-06-12
7012,37,1,22065.7666667,2015-06-13
7131,36,1,21721.5333333,2015-06-14
7466,57,4,23429.0666667,2015-06-15
7463,24,3,23387.9,2015-06-16
7242,40,3,23525.7666667,2015-06-17
7387,35,3,22994.55,2015-06-18
7260,26,3,22706.0166667,2015-06-19
6923,26,2,21651.4333333,2015-06-20
6652,29,3,20266.9333333,2015-06-21
6947,29,6,21548.0333333,2015-06-22
7144,41,4,21815.7666667,2015-06-23
7176,53,7,22484.4666667,2015-06-24
7001,47,6,21745.7833333,2015-06-25
6671,34,1,21428.1666667,2015-06-26
6396,35,2,20140.45,2015-06-27
6550,34,0,19968.9166667,2015-06-28
6971,46,2,21331.4,2015-06-29
7152,41,1,21470.4666667,2015-06-30
7341,36,3,22146.7333333,2015-07-01
7442,40,1,22507.8,2015-07-02
7028,41,3,21548.6666667,2015-07-03
6264,24,3,19360.7833333,2015-07-04
6175,35,2,18790.3166667,2015-07-05
6688,30,4,20782.2666667,2015-07-06
6731,29,1,20748.25,2015-07-07
6974,27,2,21147.85,2015-07-08
6825,38,4,21268.9833333,2015-07-09
6862,25,2,22443.35,2015-07-10
6385,34,4,20085.25,2015-07-11
6259,34,1,20158.0666667,2015-07-12
6670,36,2,21086.9,2015-07-13
6593,33,1,20495.7166667,2015-07-14
6507,41,1,20786.1666667,2015-07-15
6361,37,4,19592.5666667,2015-07-16
6385,31,1,19686.85,2015-07-17
5991,19,6,18782.3666667,2015-07-18
5790,30,1,18076.9666667,2015-07-19
6310,24,1,20537.9833333,2015-07-20
6180,23,1,19611.55,2015-07-21
6290,20,3,19997.8833333,2015-07-22
6211,34,5,19445.5,2015-07-23
6319,29,0,19641.2333333,2015-07-24
5929,27,4,18425.5833333,2015-07-25
5745,30,1,17260.5333333,2015-07-26
6048,66,2,18557.7666667,2015-07-27
6387,26,2,19711.6166667,2015-07-28
6116,27,3,19056.35,2015-07-29
6177,39,4,19261.3166667,2015-07-30
6296,46,2,19114.6,2015-07-31
5728,25,2,17836.25,2015-08-01
5526,36,1,16848.85,2015-08-02
5756,31,3,17524.4666667,2015-08-03
5896,37,3,18325.8,2015-08-04
5714,18,3,17552.45,2015-08-05
5954,35,0,18316.2166667,2015-08-06
5917,29,5,18862.3666667,2015-08-07
5694,31,3,17254.8166667,2015-08-08
5479,32,2,17004.1166667,2015-08-09
5704,49,5,17443.6166667,2015-08-10
5507,32,1,17183.5166667,2015-08-11
5504,37,3,17206.3666667,2015-08-12
5502,59,3,17047.3166667,2015-08-13
5530,30,1,16954.0,2015-08-14
5595,32,2,17194.15,2015-08-15
5274,42,2,16208.4333333,2015-08-16
5503,30,5,17198.05,2015-08-17
5437,41,2,17448.5166667,2015-08-18
5450,39,2,16983.1666667,2015-08-19
5574,41,4,17024.65,2015-08-20
5737,46,1,17927.2,2015-08-21
5511,41,2,16881.1833333,2015-08-22
5165,44,1,16105.1333333,2015-08-23
5342,32,4,16606.25,2015-08-24
5336,40,4,16771.7833333,2015-08-25
5338,25,1,17088.4166667,2015-08-26
5566,35,3,17740.6166667,2015-08-27
5509,26,4,18278.8166667,2015-08-28
5781,34,1,18721.0666667,2015-08-29
5482,39,1,16812.3833333,2015-08-30
5455,74,2,17354.6,2015-08-31
5647,35,3,17878.7666667,2015-09-01
5689,30,3,18680.3833333,2015-09-02
5454,38,1,18005.2,2015-09-03
5573,41,6,18190.7333333,2015-09-04
5542,34,5,16987.0333333,2015-09-05
5535,48,3,17768.9833333,2015-09-06
5642,28,4,18319.35,2015-09-07
5361,33,1,17455.95,2015-09-08
5551,32,4,17876.55,2015-09-09
5425,34,1,17310.4333333,2015-09-10
5442,25,4,17335.25,2015-09-11
5660,30,3,17797.0333333,2015-09-12
5518,45,1,17280.65,2015-09-13
5511,28,0,17509.7666667,2015-09-14
5363,39,1,17406.0,2015-09-15
5177,39,3,16587.15,2015-09-16
5341,40,2,16745.7666667,2015-09-17
5306,26,1,17085.4,2015-09-18
5453,26,2,16855.3166667,2015-09-19
5438,35,2,17416.7666667,2015-09-20
5223,48,2,17277.2,2015-09-21
5194,19,0,16947.4166667,2015-09-22
5328,25,2,17669.4833333,2015-09-23
5339,26,2,16947.0333333,2015-09-24
5547,36,0,18033.8,2015-09-25
5610,29,1,17797.3333333,2015-09-26
5693,26,4,17769.0666667,2015-09-27
5692,31,2,18521.1666667,2015-09-28
5468,25,3,17677.6,2015-09-29
5517,28,1,17922.3666667,2015-09-30
5811,33,4,18101.7333333,2015-10-01
6609,44,2,20813.1333333,2015-10-02
6519,38,1,20422.9166667,2015-10-03
6694,37,4,20897.2833333,2015-10-04
6818,49,4,22275.3833333,2015-10-05
6849,41,5,22173.8833333,2015-10-06
7038,38,3,22582.7333333,2015-10-07
7062,49,2,24588.6833333,2015-10-08
6867,33,1,21847.8166667,2015-10-09
6457,45,4,20687.4333333,2015-10-10
6267,46,5,19782.3833333,2015-10-11
6371,33,0,20812.3833333,2015-10-12
6195,29,4,20372.1333333,2015-10-13
6233,47,5,20545.8166667,2015-10-14
6285,28,4,20534.85,2015-10-15
6264,30,2,20289.15,2015-10-16
6308,29,3,20508.5166667,2015-10-17
6131,37,1,19856.8166667,2015-10-18
6080,37,1,20418.9166667,2015-10-19
6105,26,-1,19551.45,2015-10-20
5971,37,1,19863.0666667,2015-10-21
6005,35,1,19863.35,2015-10-22
6224,41,1,19561.2666667,2015-10-23
6059,26,3,18737.35,2015-10-24
5808,29,0,18072.9,2015-10-25
5773,38,2,19047.95,2015-10-26
5787,41,1,18811.8666667,2015-10-27
5866,33,2,19396.75,2015-10-28
5658,42,3,18475.3666667,2015-10-29
5596,40,2,18034.0166667,2015-10-30
5685,36,4,17463.1833333,2015-10-31
6218,35,4,18874.2,2015-11-01
5735,20,2,18486.75,2015-11-02
5795,42,2,18413.3833333,2015-11-03
5850,30,6,18911.5,2015-11-04
5720,32,1,18829.35,2015-11-05
5731,32,1,17900.9166667,2015-11-06
5824,34,1,18308.0833333,2015-11-07
5538,39,2,17598.3666667,2015-11-08
5595,42,2,17878.4333333,2015-11-09
5540,33,5,17609.8666667,2015-11-10
5532,35,5,18025.3666667,2015-11-11
5728,42,0,18403.4166667,2015-11-12
5477,29,1,17753.3333333,2015-11-13
5436,35,3,17381.3166667,2015-11-14
5335,33,2,17064.8833333,2015-11-15
5561,44,5,17747.75,2015-11-16
5284,27,2,17170.0,2015-11-17
5557,27,1,17613.2666667,2015-11-18
5817,39,2,19039.95,2015-11-19
5709,30,1,18121.5166667,2015-11-20
5643,37,2,17603.85,2015-11-21
5330,42,3,16560.7666667,2015-11-22
5577,38,1,17827.2666667,2015-11-23
5618,29,2,18184.3,2015-11-24
5794,34,3,18699.0666667,2015-11-25
4942,31,1,15830.9,2015-11-26
4781,19,1,15661.5,2015-11-27
5170,34,0,16189.2833333,2015-11-28
5110,42,1,16640.8666667,2015-11-29
5626,34,0,18437.2166667,2015-11-30
5846,39,4,18815.7666667,2015-12-01
5859,24,1,18866.9666667,2015-12-02
5982,24,4,19741.2,2015-12-03
5871,36,3,18981.4666667,2015-12-04
5728,44,2,17538.4,2015-12-05
5819,35,3,18402.6666667,2015-12-06
6039,33,6,19690.7,2015-12-07
5748,24,4,19072.7,2015-12-08
5797,38,3,19317.75,2015-12-09
6185,26,6,20337.4166667,2015-12-10
6088,32,4,19828.0166667,2015-12-11
5949,30,2,18798.0166667,2015-12-12
5875,37,4,18725.25,2015-12-13
6098,34,0,20028.7166667,2015-12-14
6069,54,2,19884.7166667,2015-12-15
5870,40,5,18963.8333333,2015-12-16
5797,28,2,18635.2166667,2015-12-17
5841,39,2,18402.1833333,2015-12-18
5487,29,1,16825.0333333,2015-12-19
5298,23,2,16238.2333333,2015-12-20
5680,30,2,17636.5166667,2015-12-21
5605,26,3,17299.0166667,2015-12-22
5668,27,2,17126.6,2015-12-23
5317,31,2,16537.7333333,2015-12-24
4549,38,0,14048.5,2015-12-25
4725,25,2,14342.5666667,2015-12-26
4836,33,1,14686.7333333,2015-12-27
4968,30,3,15322.8666667,2015-12-28
5191,47,2,16023.6,2015-12-29
5357,46,1,16427.3166667,2015-12-30
5820,36,2,18043.1333333,2015-12-31
5050,26,1,15468.25,2016-01-01
5282,37,0,16083.5333333,2016-01-02
5182,54,5,15941.6666667,2016-01-03
5507,41,2,16871.1833333,2016-01-04
5721,50,1,17485.9666667,2016-01-05
5633,36,3,17577.4166667,2016-01-06
5604,34,1,18014.7166667,2016-01-07
