dailyViewcount,numShare,numSubscriber,watchTime,date
21802,272,21,79963.7666667,2016-06-24
81008,759,56,295510.833333,2016-06-25
98159,1074,61,347109.316667,2016-06-26
167060,1449,72,572716.833333,2016-06-27
144549,1233,66,496703.9,2016-06-28
136422,1195,55,474019.516667,2016-06-29
145814,1183,77,504776.733333,2016-06-30
138871,1059,48,495166.183333,2016-07-01
132739,899,36,478523.1,2016-07-02
136058,1034,32,482814.85,2016-07-03
134214,873,33,476451.266667,2016-07-04
116784,917,32,410303.983333,2016-07-05
115929,889,26,409015.666667,2016-07-06
113047,854,24,400851.633333,2016-07-07
122623,917,30,446805.283333,2016-07-08
139641,937,32,498702.8,2016-07-09
126003,921,25,444774.566667,2016-07-10
128835,894,31,452021.816667,2016-07-11
126160,957,27,446410.7,2016-07-12
133155,922,33,469000.2,2016-07-13
145027,885,31,511480.0,2016-07-14
155892,915,25,561045.133333,2016-07-15
160587,985,25,577638.666667,2016-07-16
132575,879,18,469973.783333,2016-07-17
133113,893,23,472859.233333,2016-07-18
139005,980,15,496461.883333,2016-07-19
145620,945,22,521266.433333,2016-07-20
147146,906,31,527092.583333,2016-07-21
159033,1001,23,581311.8,2016-07-22
160682,872,17,582653.0,2016-07-23
142032,986,18,502652.45,2016-07-24
143670,888,19,508258.75,2016-07-25
147008,929,28,526353.716667,2016-07-26
147073,942,32,530929.816667,2016-07-27
147593,969,15,535494.383333,2016-07-28
170818,966,15,624965.5,2016-07-29
178643,1045,24,649808.466667,2016-07-30
149761,971,19,537228.083333,2016-07-31
157126,975,28,561392.433333,2016-08-01
162330,1002,31,577044.483333,2016-08-02
165311,1011,27,588048.35,2016-08-03
164567,960,22,590667.35,2016-08-04
197370,1072,24,713070.866667,2016-08-05
206689,1143,28,738226.983333,2016-08-06
172469,988,27,611124.366667,2016-08-07
173563,1018,23,613845.283333,2016-08-08
175513,1027,28,625217.6,2016-08-09
183697,953,23,656067.55,2016-08-10
192733,1100,21,683594.233333,2016-08-11
201459,1038,28,729599.483333,2016-08-12
213101,1034,21,763752.7,2016-08-13
171779,1024,24,612603.383333,2016-08-14
164805,958,22,588313.583333,2016-08-15
166455,972,30,599928.233333,2016-08-16
170815,958,26,616355.383333,2016-08-17
173315,947,23,625246.166667,2016-08-18
202336,985,20,733875.883333,2016-08-19
220869,1033,22,790070.633333,2016-08-20
177651,1011,23,631657.033333,2016-08-21
167707,873,33,606144.25,2016-08-22
173930,936,28,630901.766667,2016-08-23
181867,914,36,652601.0,2016-08-24
179181,983,23,646706.9,2016-08-25
202225,934,31,730786.066667,2016-08-26
214012,1083,38,767309.916667,2016-08-27
173638,911,25,625487.883333,2016-08-28
160739,820,16,585224.933333,2016-08-29
163689,919,31,588753.583333,2016-08-30
178388,961,24,645329.866667,2016-08-31
189916,1074,33,681709.2,2016-09-01
224718,1030,44,803378.1,2016-09-02
238054,1133,28,839547.783333,2016-09-03
213748,1141,30,745352.266667,2016-09-04
205037,1023,28,717954.8,2016-09-05
174870,956,30,623448.666667,2016-09-06
187251,937,36,662949.7,2016-09-07
186715,957,31,665935.166667,2016-09-08
219029,1002,37,781019.616667,2016-09-09
243542,1083,30,853160.516667,2016-09-10
189176,1012,17,662769.75,2016-09-11
178159,933,28,634942.383333,2016-09-12
185739,924,19,660902.033333,2016-09-13
190039,997,25,672674.7,2016-09-14
197713,984,32,696927.166667,2016-09-15
229089,1037,38,812162.666667,2016-09-16
251045,1204,28,871104.766667,2016-09-17
197454,1201,29,682532.933333,2016-09-18
185998,1056,16,658917.916667,2016-09-19
185028,1028,26,660274.233333,2016-09-20
184376,953,26,658228.783333,2016-09-21
192530,912,29,686483.566667,2016-09-22
227572,1072,29,809014.083333,2016-09-23
242268,1118,22,854770.383333,2016-09-24
191878,1054,27,662172.3,2016-09-25
172516,944,20,610103.183333,2016-09-26
169989,902,23,609104.566667,2016-09-27
177112,941,25,630250.266667,2016-09-28
175177,940,28,623486.366667,2016-09-29
213264,1029,37,756895.316667,2016-09-30
231077,1012,28,806392.116667,2016-10-01
188285,1066,17,647719.1,2016-10-02
182817,951,24,638936.9,2016-10-03
168574,766,27,599281.783333,2016-10-04
183161,761,22,637370.6,2016-10-05
205275,924,30,712540.4,2016-10-06
303069,1081,42,1026735.85,2016-10-07
246936,926,22,858913.733333,2016-10-08
195667,779,24,673972.45,2016-10-09
188516,816,29,658669.566667,2016-10-10
204835,888,38,713043.316667,2016-10-11
215192,868,24,739797.016667,2016-10-12
218721,852,31,761711.05,2016-10-13
255221,908,30,896856.766667,2016-10-14
266790,894,30,921792.666667,2016-10-15
208609,878,23,712133.166667,2016-10-16
202385,837,35,704517.916667,2016-10-17
204530,799,25,711974.366667,2016-10-18
207181,850,33,720101.333333,2016-10-19
214330,782,33,748896.05,2016-10-20
254771,850,35,890417.516667,2016-10-21
259778,809,27,907273.0,2016-10-22
207240,678,19,707978.716667,2016-10-23
198181,679,34,686909.1,2016-10-24
196195,733,33,682387.05,2016-10-25
203285,701,23,700251.3,2016-10-26
215067,739,26,745233.066667,2016-10-27
252162,807,39,874051.966667,2016-10-28
269251,821,30,928107.55,2016-10-29
201175,770,26,686448.766667,2016-10-30
198329,652,31,695421.766667,2016-10-31
201507,717,37,696533.983333,2016-11-01
210396,784,48,726005.666667,2016-11-02
219571,788,45,754735.75,2016-11-03
255581,796,25,885982.866667,2016-11-04
276117,887,42,948194.133333,2016-11-05
217407,798,23,741184.866667,2016-11-06
210233,769,34,716962.1,2016-11-07
205855,736,33,703167.583333,2016-11-08
199146,775,29,684198.916667,2016-11-09
216714,768,26,748180.583333,2016-11-10
258674,801,33,890252.916667,2016-11-11
260537,825,25,894440.316667,2016-11-12
200749,794,29,681699.683333,2016-11-13
199115,749,26,685936.333333,2016-11-14
204988,767,37,704509.783333,2016-11-15
208364,741,25,715261.116667,2016-11-16
215533,811,36,743081.333333,2016-11-17
257618,780,28,885184.183333,2016-11-18
258713,870,27,881690.933333,2016-11-19
197068,686,19,668620.866667,2016-11-20
193256,646,18,663255.183333,2016-11-21
207688,720,26,714529.45,2016-11-22
242587,718,26,839609.266667,2016-11-23
253052,699,16,871409.1,2016-11-24
222713,771,27,758362.816667,2016-11-25
224839,766,23,769010.883333,2016-11-26
169434,721,22,580276.266667,2016-11-27
169058,672,20,582131.6,2016-11-28
175961,657,17,605204.183333,2016-11-29
178627,659,37,612044.7,2016-11-30
187209,681,27,646347.183333,2016-12-01
226464,789,32,777493.8,2016-12-02
231791,806,23,792514.066667,2016-12-03
178222,632,28,602745.383333,2016-12-04
177174,661,27,602568.35,2016-12-05
174155,616,22,593376.466667,2016-12-06
175864,636,39,602050.483333,2016-12-07
182223,615,27,621225.1,2016-12-08
222522,710,36,761404.533333,2016-12-09
239449,691,35,818217.483333,2016-12-10
171670,712,12,577062.983333,2016-12-11
160658,563,22,548698.883333,2016-12-12
164290,578,24,565174.266667,2016-12-13
156083,560,22,540344.816667,2016-12-14
157118,546,17,540458.183333,2016-12-15
191186,571,18,661829.05,2016-12-16
203924,585,13,698941.883333,2016-12-17
155598,534,18,526989.416667,2016-12-18
157536,605,21,535170.95,2016-12-19
159525,535,11,546159.666667,2016-12-20
166276,555,22,568569.2,2016-12-21
175026,559,16,595434.6,2016-12-22
