dailyViewcount,numShare,numSubscriber,watchTime,date
71660,967,66,130259.616667,2016-11-11
31190,397,15,64415.8166667,2016-11-12
17429,277,9,34999.0666667,2016-11-13
17700,172,9,38073.35,2016-11-14
26057,185,20,56809.1,2016-11-15
24900,208,17,54198.9666667,2016-11-16
19076,141,11,43230.6333333,2016-11-17
20407,153,11,45849.85,2016-11-18
18000,107,4,41348.05,2016-11-19
17611,119,8,38754.1,2016-11-20
16453,123,2,39110.7166667,2016-11-21
19452,151,9,43456.0666667,2016-11-22
15034,101,6,36362.95,2016-11-23
12974,83,1,30990.0333333,2016-11-24
14370,97,2,31664.3166667,2016-11-25
12388,91,1,29218.9833333,2016-11-26
11557,83,3,27772.7833333,2016-11-27
11589,90,2,28726.3833333,2016-11-28
13234,78,4,32281.4333333,2016-11-29
11012,84,2,26568.15,2016-11-30
10664,78,0,25934.1166667,2016-12-01
10299,45,1,25808.1,2016-12-02
9923,48,0,24867.4166667,2016-12-03
10327,79,3,24845.55,2016-12-04
10161,76,3,25122.0,2016-12-05
10475,77,3,25710.0333333,2016-12-06
9323,71,1,22553.4833333,2016-12-07
9754,61,2,24249.8833333,2016-12-08
10187,63,1,25075.1666667,2016-12-09
9785,63,1,23666.6666667,2016-12-10
7319,37,2,18242.6,2016-12-11
6841,58,0,17714.6,2016-12-12
7109,47,2,18084.8333333,2016-12-13
8328,63,2,20088.5166667,2016-12-14
8395,61,1,19636.85,2016-12-15
7729,36,4,19433.3,2016-12-16
6891,43,1,17094.8333333,2016-12-17
5832,45,1,14219.9166667,2016-12-18
6067,41,0,14923.5166667,2016-12-19
6269,44,0,15673.0,2016-12-20
5569,38,2,13945.4833333,2016-12-21
5559,24,1,13963.2,2016-12-22
5845,34,2,14952.9833333,2016-12-23
5309,42,1,14220.9833333,2016-12-24
4689,48,2,11967.2166667,2016-12-25
4944,34,1,12635.4166667,2016-12-26
5251,43,0,13201.1333333,2016-12-27
5573,40,1,14116.3833333,2016-12-28
6305,47,0,15675.4666667,2016-12-29
6415,41,0,16295.35,2016-12-30
6938,43,1,17630.95,2016-12-31
5627,44,1,13945.85,2017-01-01
5757,47,7,14039.3,2017-01-02
5353,34,0,13611.3833333,2017-01-03
