dailyViewcount,numShare,numSubscriber,watchTime,date
40,6,0,56.3833333333,2016-10-05
81,0,1,77.4333333333,2016-10-06
115,0,0,103.566666667,2016-10-07
61,0,0,57.5166666667,2016-10-08
67,2,0,67.2666666667,2016-10-09
72,1,0,74.85,2016-10-10
113,1,0,115.55,2016-10-11
121,1,0,139.3,2016-10-12
128,0,0,137.066666667,2016-10-13
97,1,0,94.0166666667,2016-10-14
132,0,0,137.816666667,2016-10-15
183,2,0,283.833333333,2016-10-16
140,0,0,212.383333333,2016-10-17
146,2,0,227.083333333,2016-10-18
195,2,0,276.25,2016-10-19
217,0,0,361.483333333,2016-10-20
424,5,0,742.466666667,2016-10-21
711,11,0,1145.6,2016-10-22
857,15,1,1722.81666667,2016-10-23
931,9,0,1690.48333333,2016-10-24
913,11,0,1518.06666667,2016-10-25
783,2,2,1479.75,2016-10-26
2403,12,1,5626.66666667,2016-10-27
2089,17,1,4480.2,2016-10-28
2161,12,2,5041.3,2016-10-29
3375,12,3,8073.65,2016-10-30
3310,10,0,8207.3,2016-10-31
3410,20,5,8537.38333333,2016-11-01
2567,10,2,6358.01666667,2016-11-02
3782,18,2,8454.0,2016-11-03
3821,25,1,8889.16666667,2016-11-04
3660,23,0,8909.5,2016-11-05
2758,13,0,6674.7,2016-11-06
2471,21,0,5459.8,2016-11-07
1983,16,1,4759.73333333,2016-11-08
1999,15,1,4599.35,2016-11-09
2121,22,2,5043.2,2016-11-10
2119,16,1,4684.36666667,2016-11-11
2007,13,0,4360.18333333,2016-11-12
1947,17,0,4227.2,2016-11-13
1625,15,1,3683.81666667,2016-11-14
1596,14,0,3766.63333333,2016-11-15
1484,13,1,3436.0,2016-11-16
1514,9,0,3430.53333333,2016-11-17
1586,10,1,3623.3,2016-11-18
1236,9,1,2608.9,2016-11-19
1475,8,0,2980.81666667,2016-11-20
1326,6,1,3014.41666667,2016-11-21
1281,8,1,2614.05,2016-11-22
1483,10,1,3009.56666667,2016-11-23
1276,12,0,2500.41666667,2016-11-24
1409,10,2,2927.01666667,2016-11-25
1806,13,1,3751.01666667,2016-11-26
1452,10,0,3135.31666667,2016-11-27
1402,14,1,3051.86666667,2016-11-28
1423,7,0,3068.7,2016-11-29
1627,11,1,3333.73333333,2016-11-30
1590,9,1,3294.36666667,2016-12-01
1427,17,0,2591.08333333,2016-12-02
1519,15,0,2844.01666667,2016-12-03
1390,6,1,2768.56666667,2016-12-04
1158,11,0,2265.48333333,2016-12-05
1306,14,1,2451.43333333,2016-12-06
1160,15,2,2206.33333333,2016-12-07
1106,11,0,2079.71666667,2016-12-08
1134,3,0,2208.4,2016-12-09
1257,9,0,2433.3,2016-12-10
1323,9,1,2666.63333333,2016-12-11
895,2,0,1787.73333333,2016-12-12
1019,8,0,2230.58333333,2016-12-13
800,4,1,1526.8,2016-12-14
867,7,1,1618.85,2016-12-15
876,3,1,1686.5,2016-12-16
944,6,0,1627.63333333,2016-12-17
867,13,0,1563.48333333,2016-12-18
903,5,1,1612.9,2016-12-19
828,4,0,1597.78333333,2016-12-20
806,4,1,1482.66666667,2016-12-21
864,7,0,1673.9,2016-12-22
872,9,0,2116.95,2016-12-23
696,3,1,1537.36666667,2016-12-24
716,5,0,1440.68333333,2016-12-25
746,4,0,1434.28333333,2016-12-26
706,7,1,1416.71666667,2016-12-27
682,7,0,1311.81666667,2016-12-28
752,10,0,1354.2,2016-12-29
803,6,0,1742.81666667,2016-12-30
706,2,0,1289.83333333,2016-12-31
731,7,1,1296.6,2017-01-01
987,13,1,1599.48333333,2017-01-02
902,4,0,1662.8,2017-01-03
823,7,1,1521.38333333,2017-01-04
862,8,1,1612.16666667,2017-01-05
865,9,0,1693.81666667,2017-01-06
860,11,0,1696.46666667,2017-01-07
1109,5,0,1660.26666667,2017-01-08
1193,6,0,2020.01666667,2017-01-09
1281,7,1,2063.25,2017-01-10
1347,10,0,2308.0,2017-01-11
2724,20,1,4532.26666667,2017-01-12
2760,16,2,3476.15,2017-01-13
2011,11,0,3012.61666667,2017-01-14
1947,16,2,2890.55,2017-01-15
1740,10,1,2566.5,2017-01-16
1717,20,0,2853.0,2017-01-17
1690,13,0,2667.08333333,2017-01-18
1634,13,0,2964.73333333,2017-01-19
1466,12,0,2361.06666667,2017-01-20
1434,12,0,2300.16666667,2017-01-21
1662,10,0,2810.98333333,2017-01-22
1644,17,0,2864.9,2017-01-23
1712,10,0,2924.21666667,2017-01-24
1666,9,0,2903.01666667,2017-01-25
1735,7,0,2839.73333333,2017-01-26
1447,20,0,2575.86666667,2017-01-27
1792,13,2,3293.4,2017-01-28
1629,10,-1,3147.5,2017-01-29
1476,14,0,2618.36666667,2017-01-30
1447,14,1,2697.6,2017-01-31
2276,16,1,4278.15,2017-02-01
2784,23,1,5034.86666667,2017-02-02
2788,22,2,5287.66666667,2017-02-03
3174,21,0,6094.81666667,2017-02-04
2723,17,2,4935.63333333,2017-02-05
3070,16,2,5953.0,2017-02-06
3242,26,5,6154.7,2017-02-07
3224,27,3,6542.86666667,2017-02-08
4049,28,3,7683.76666667,2017-02-09
5235,27,2,9898.81666667,2017-02-10
4202,27,7,7783.21666667,2017-02-11
5409,27,2,10076.1166667,2017-02-12
3606,14,0,7025.85,2017-02-13
3734,15,0,7371.55,2017-02-14
4710,25,4,9084.15,2017-02-15
5352,38,1,9713.7,2017-02-16
3478,24,2,6732.65,2017-02-17
2705,20,1,5110.93333333,2017-02-18
3487,21,1,6523.75,2017-02-19
2348,18,1,4763.0,2017-02-20
3192,28,0,5832.0,2017-02-21
3100,27,6,5528.56666667,2017-02-22
2381,21,0,4541.43333333,2017-02-23
3904,23,1,7085.61666667,2017-02-24
3642,28,1,6834.08333333,2017-02-25
2883,25,3,5229.48333333,2017-02-26
2789,19,1,5139.7,2017-02-27
2600,20,0,5062.18333333,2017-02-28
2709,13,1,5169.15,2017-03-01
2377,18,1,4083.78333333,2017-03-02
2519,10,1,4709.26666667,2017-03-03
2770,15,0,4844.88333333,2017-03-04
2931,32,3,4963.68333333,2017-03-05
2435,17,1,4374.61666667,2017-03-06
2363,13,0,4472.83333333,2017-03-07
2891,15,1,4974.35,2017-03-08
