dailyViewcount,numShare,numSubscriber,watchTime,date
204308,965,180,519040.116667,2014-12-26
214397,559,146,523032.2,2014-12-27
188754,392,87,460861.2,2014-12-28
682741,893,196,1460192.9,2014-12-29
743852,967,203,1615778.9,2014-12-30
841385,1347,182,1903252.83333,2014-12-31
693953,714,190,1446064.28333,2015-01-01
719744,734,196,1527953.16667,2015-01-02
711730,684,198,1493563.81667,2015-01-03
652294,583,159,1365105.45,2015-01-04
626232,573,179,1355866.1,2015-01-05
623416,558,167,1344664.63333,2015-01-06
603207,512,167,1319919.05,2015-01-07
572583,562,189,1294297.95,2015-01-08
499740,570,175,1233133.63333,2015-01-09
544793,562,165,1316575.75,2015-01-10
642727,475,214,1450509.71667,2015-01-11
536512,507,176,1297566.53333,2015-01-12
403074,398,125,1054895.75,2015-01-13
442926,155,51,1125444.38333,2015-01-14
423592,362,131,1096603.16667,2015-01-15
449282,453,183,1176396.45,2015-01-16
483847,454,164,1248569.75,2015-01-17
387255,411,137,992099.283333,2015-01-18
386788,344,165,1011925.13333,2015-01-19
369925,348,136,979671.883333,2015-01-20
352994,321,163,952032.633333,2015-01-21
346867,412,137,947798.033333,2015-01-22
394630,689,160,1064031.98333,2015-01-23
430159,684,166,1143943.56667,2015-01-24
366757,719,144,966148.866667,2015-01-25
350040,731,169,956269.116667,2015-01-26
369235,919,152,1001505.38333,2015-01-27
382521,910,184,1059004.68333,2015-01-28
371702,811,175,1050779.36667,2015-01-29
412114,988,171,1166206.03333,2015-01-30
396553,861,151,1134195.16667,2015-01-31
333419,685,125,942365.383333,2015-02-01
310905,703,128,906507.15,2015-02-02
313721,701,166,919855.883333,2015-02-03
329694,707,140,959711.5,2015-02-04
351055,838,131,1025832.85,2015-02-05
404265,900,174,1168674.83333,2015-02-06
446331,853,135,1267726.5,2015-02-07
389980,717,172,1099850.53333,2015-02-08
370749,729,139,1078281.6,2015-02-09
376174,828,167,1100204.06667,2015-02-10
370671,780,150,1095427.03333,2015-02-11
386749,811,139,1152738.43333,2015-02-12
421111,811,153,1258206.08333,2015-02-13
444328,691,168,1309763.1,2015-02-14
398204,727,154,1144068.73333,2015-02-15
396443,736,161,1175136.2,2015-02-16
384817,795,137,1149890.8,2015-02-17
390252,826,154,1171003.66667,2015-02-18
401048,793,122,1200799.08333,2015-02-19
443124,883,160,1314828.66667,2015-02-20
484037,926,164,1421514.13333,2015-02-21
413659,822,164,1208310.93333,2015-02-22
386757,784,143,1170434.75,2015-02-23
400474,750,154,1200411.75,2015-02-24
409844,792,151,1227686.3,2015-02-25
497082,889,217,1443369.1,2015-02-26
542786,1035,210,1583553.7,2015-02-27
580245,1073,194,1672188.93333,2015-02-28
492365,888,167,1406589.61667,2015-03-01
449870,731,152,1332579.53333,2015-03-02
398774,902,137,1214568.31667,2015-03-03
418252,1437,154,1274140.98333,2015-03-04
446988,1391,171,1354327.51667,2015-03-05
504272,1474,171,1509680.65,2015-03-06
541097,1359,163,1607438.5,2015-03-07
440386,1066,151,1290597.38333,2015-03-08
424274,1112,154,1282504.9,2015-03-09
425007,1123,144,1279197.51667,2015-03-10
427635,1220,134,1301689.55,2015-03-11
452367,1357,150,1371080.56667,2015-03-12
537559,1529,177,1624119.9,2015-03-13
597232,1442,201,1765246.9,2015-03-14
503908,1271,165,1475718.1,2015-03-15
470255,1026,159,1420105.71667,2015-03-16
489288,1067,157,1480883.13333,2015-03-17
502753,1113,164,1513773.33333,2015-03-18
526719,1224,165,1571417.61667,2015-03-19
581751,1466,181,1739625.16667,2015-03-20
637568,1505,192,1864682.31667,2015-03-21
546472,1274,192,1575827.61667,2015-03-22
516063,1273,161,1541599.1,2015-03-23
546047,1234,222,1623251.8,2015-03-24
504721,1098,177,1534888.85,2015-03-25
518810,1242,171,1566760.98333,2015-03-26
609666,1354,175,1814161.5,2015-03-27
664916,1321,203,1940848.65,2015-03-28
553319,1054,204,1596764.41667,2015-03-29
525966,1030,169,1563877.03333,2015-03-30
528659,1003,169,1570933.76667,2015-03-31
576640,1032,181,1689436.66667,2015-04-01
592371,1063,175,1722468.61667,2015-04-02
630166,1099,200,1829280.98333,2015-04-03
641719,1047,194,1839049.8,2015-04-04
549893,848,161,1554456.56667,2015-04-05
564154,901,187,1628906.56667,2015-04-06
569351,960,197,1659052.2,2015-04-07
571868,877,173,1676887.16667,2015-04-08
585787,1051,203,1707168.26667,2015-04-09
621696,1151,170,1810063.76667,2015-04-10
654700,1128,204,1874781.5,2015-04-11
552512,1017,182,1572694.4,2015-04-12
512277,935,147,1496910.73333,2015-04-13
520923,927,149,1525653.95,2015-04-14
530774,1100,168,1564912.96667,2015-04-15
581604,1222,179,1714047.56667,2015-04-16
669294,1329,183,1933402.0,2015-04-17
783601,1312,248,2214687.53333,2015-04-18
576033,1036,186,1641542.26667,2015-04-19
537064,978,151,1582976.38333,2015-04-20
528422,898,144,1551039.06667,2015-04-21
524200,957,153,1535371.6,2015-04-22
541921,1068,139,1587109.81667,2015-04-23
592226,1253,149,1712461.36667,2015-04-24
648418,1173,199,1855408.63333,2015-04-25
558115,1116,186,1584799.08333,2015-04-26
511396,1027,179,1493509.91667,2015-04-27
525248,957,166,1527235.73333,2015-04-28
531284,961,136,1539015.01667,2015-04-29
553688,1013,138,1581126.98333,2015-04-30
608868,1160,154,1701819.98333,2015-05-01
588012,1035,140,1661245.43333,2015-05-02
518299,875,143,1441789.8,2015-05-03
493917,877,132,1416058.76667,2015-05-04
502015,909,151,1443174.48333,2015-05-05
501991,853,139,1443462.86667,2015-05-06
524242,948,167,1508318.26667,2015-05-07
569398,992,144,1617640.55,2015-05-08
632585,1069,181,1780346.28333,2015-05-09
549894,851,183,1529501.53333,2015-05-10
511996,908,151,1465260.91667,2015-05-11
515182,940,134,1474849.81667,2015-05-12
523870,1132,144,1493581.68333,2015-05-13
537487,1255,149,1523088.8,2015-05-14
577889,1373,156,1635705.0,2015-05-15
614939,1420,180,1718748.13333,2015-05-16
524281,1236,173,1462110.35,2015-05-17
472109,1151,132,1341008.55,2015-05-18
483699,1185,129,1369041.55,2015-05-19
494529,1158,142,1397045.23333,2015-05-20
517056,1234,135,1444860.85,2015-05-21
552821,1349,160,1532438.56667,2015-05-22
594733,1488,196,1621275.68333,2015-05-23
523383,1149,157,1416914.25,2015-05-24
502191,1074,153,1385802.33333,2015-05-25
485197,1187,130,1347837.31667,2015-05-26
481854,1166,139,1346585.71667,2015-05-27
481558,1090,153,1352218.93333,2015-05-28
519945,1306,152,1466141.18333,2015-05-29
565892,1267,152,1568298.01667,2015-05-30
473046,1190,152,1297274.66667,2015-05-31
459600,1169,125,1288018.56667,2015-06-01
476975,1021,138,1338049.78333,2015-06-02
486593,1147,131,1362691.06667,2015-06-03
497223,1138,155,1392517.43333,2015-06-04
514571,1172,130,1441039.41667,2015-06-05
515596,1124,143,1417634.9,2015-06-06
444884,1055,131,1215123.63333,2015-06-07
433521,1014,122,1217179.76667,2015-06-08
457462,1047,117,1284413.78333,2015-06-09
448892,1077,122,1264044.55,2015-06-10
457391,1071,120,1284128.9,2015-06-11
535238,1221,139,1475615.95,2015-06-12
565603,1239,163,1519217.46667,2015-06-13
493436,1150,151,1311881.26667,2015-06-14
450315,1119,139,1249993.75,2015-06-15
439792,1060,117,1225306.21667,2015-06-16
438473,1016,129,1226082.96667,2015-06-17
451588,996,126,1273689.13333,2015-06-18
477257,1163,138,1340139.21667,2015-06-19
531443,1161,164,1454084.88333,2015-06-20
435005,1114,126,1175100.93333,2015-06-21
454099,1102,151,1263865.81667,2015-06-22
443229,1101,130,1238925.41667,2015-06-23
443343,1050,120,1238439.38333,2015-06-24
428010,1011,125,1210829.93333,2015-06-25
446257,1085,129,1260232.28333,2015-06-26
437138,1053,149,1211050.73333,2015-06-27
379169,1068,111,1027109.08333,2015-06-28
387119,963,130,1085621.2,2015-06-29
391672,919,117,1105780.26667,2015-06-30
392591,994,113,1102683.35,2015-07-01
395509,884,87,1096521.18333,2015-07-02
409891,1035,119,1127567.0,2015-07-03
398648,927,108,1086172.96667,2015-07-04
352849,955,104,932920.616667,2015-07-05
372291,943,112,1021358.88333,2015-07-06
374885,897,107,1029901.21667,2015-07-07
384163,931,113,1059840.81667,2015-07-08
388853,889,121,1072977.71667,2015-07-09
394095,925,92,1079798.21667,2015-07-10
388896,1016,116,1046058.53333,2015-07-11
337195,879,91,892319.183333,2015-07-12
355114,949,98,968280.25,2015-07-13
353460,919,104,971081.483333,2015-07-14
343626,808,90,942994.183333,2015-07-15
349559,835,76,947283.066667,2015-07-16
364492,909,92,992478.383333,2015-07-17
364341,854,101,980094.466667,2015-07-18
311993,813,76,819628.6,2015-07-19
344501,850,106,934723.783333,2015-07-20
331170,818,89,902696.133333,2015-07-21
329575,790,89,897278.716667,2015-07-22
335879,863,92,910907.466667,2015-07-23
356887,920,98,969636.783333,2015-07-24
347857,997,97,931125.133333,2015-07-25
301175,837,96,783684.516667,2015-07-26
312453,834,90,841874.15,2015-07-27
318833,748,81,860812.7,2015-07-28
327554,772,87,886783.3,2015-07-29
332164,825,103,898977.683333,2015-07-30
337167,884,78,912383.366667,2015-07-31
332405,834,84,880559.15,2015-08-01
286052,830,79,739522.966667,2015-08-02
286239,680,94,761382.0,2015-08-03
292368,695,84,783586.166667,2015-08-04
284551,713,82,764536.633333,2015-08-05
287217,784,74,771918.033333,2015-08-06
309066,799,85,827222.066667,2015-08-07
318272,809,73,839916.783333,2015-08-08
274885,741,74,708122.7,2015-08-09
276174,694,52,735054.766667,2015-08-10
276239,652,90,739566.233333,2015-08-11
266674,715,67,713776.8,2015-08-12
270105,726,81,718316.6,2015-08-13
308875,821,99,819972.483333,2015-08-14
315897,800,95,828902.6,2015-08-15
259373,696,81,662103.15,2015-08-16
245202,702,73,647258.133333,2015-08-17
246871,729,83,654762.716667,2015-08-18
252075,706,60,669087.066667,2015-08-19
257545,673,67,682279.15,2015-08-20
270221,794,93,718527.1,2015-08-21
275811,723,78,729970.1,2015-08-22
273799,632,80,724126.1,2015-08-23
227454,586,53,606112.983333,2015-08-24
225667,649,64,604566.233333,2015-08-25
229136,591,49,615614.366667,2015-08-26
229337,590,61,613688.283333,2015-08-27
246927,745,72,652803.266667,2015-08-28
258192,670,71,681881.033333,2015-08-29
215494,625,63,557995.2,2015-08-30
200208,535,72,501835.366667,2015-08-31
209313,538,54,555359.45,2015-09-01
203916,570,55,545655.966667,2015-09-02
205686,541,47,552705.566667,2015-09-03
225251,626,77,601063.733333,2015-09-04
248634,673,63,653673.933333,2015-09-05
214973,610,50,561037.65,2015-09-06
201048,524,44,536082.833333,2015-09-07
190339,486,45,507598.966667,2015-09-08
199166,548,43,533191.283333,2015-09-09
200252,502,53,536243.216667,2015-09-10
218565,630,64,581226.083333,2015-09-11
243964,616,65,637899.083333,2015-09-12
200533,522,56,510798.583333,2015-09-13
181950,477,55,481842.716667,2015-09-14
190848,566,54,509743.2,2015-09-15
191864,499,52,510946.816667,2015-09-16
194628,439,53,524482.266667,2015-09-17
217645,521,47,586213.466667,2015-09-18
235850,546,57,621461.116667,2015-09-19
196766,516,63,504691.1,2015-09-20
178511,486,52,479321.466667,2015-09-21
185131,493,58,500361.7,2015-09-22
191862,454,46,519495.183333,2015-09-23
189110,515,59,508884.933333,2015-09-24
202626,521,58,539957.433333,2015-09-25
214232,531,52,558681.016667,2015-09-26
177552,457,35,457064.7,2015-09-27
165865,480,46,444638.466667,2015-09-28
171366,524,46,459816.133333,2015-09-29
180031,468,53,480371.083333,2015-09-30
189153,526,48,503578.1,2015-10-01
211314,564,57,559859.033333,2015-10-02
227576,559,40,587305.183333,2015-10-03
181353,478,45,455993.8,2015-10-04
166595,465,42,441252.266667,2015-10-05
172196,501,48,457368.033333,2015-10-06
189189,510,52,497387.7,2015-10-07
191243,530,49,502905.716667,2015-10-08
209375,543,72,542987.35,2015-10-09
218855,559,72,565980.55,2015-10-10
183218,466,61,463800.083333,2015-10-11
170160,480,43,441897.033333,2015-10-12
169581,464,41,447660.666667,2015-10-13
185043,500,49,496851.2,2015-10-14
208327,452,55,579172.533333,2015-10-15
223833,563,67,620583.233333,2015-10-16
236244,575,79,637061.35,2015-10-17
197450,540,48,516276.633333,2015-10-18
193450,500,57,535978.3,2015-10-19
198985,480,66,556228.283333,2015-10-20
196186,490,57,545802.733333,2015-10-21
190452,495,67,521549.433333,2015-10-22
217293,470,68,596013.916667,2015-10-23
