dailyViewcount,numShare,numSubscriber,watchTime,date
845207,10282,641,1439968.71667,2016-12-19
620892,5678,533,1110053.1,2016-12-20
451711,4130,359,833939.8,2016-12-21
314034,2649,223,604117.683333,2016-12-22
246046,2005,188,478952.5,2016-12-23
177590,1440,89,359384.683333,2016-12-24
140351,1185,72,279314.083333,2016-12-25
183530,1420,110,374306.55,2016-12-26
170030,1207,76,358910.866667,2016-12-27
153493,1026,65,330092.5,2016-12-28
144935,937,65,317963.933333,2016-12-29
128197,829,58,278480.3,2016-12-30
123510,647,36,279129.45,2016-12-31
100244,684,58,208100.633333,2017-01-01
101694,745,42,222357.7,2017-01-02
102151,689,47,227778.766667,2017-01-03
