dailyViewcount,numShare,numSubscriber,watchTime,date
2216179,12715,6517,7931607.86667,2013-09-24
7699146,13013,6862,25685547.55,2013-09-25
4485262,7563,4101,16157720.5333,2013-09-26
3111027,5283,2963,11908470.7833,2013-09-27
2981744,4896,2825,11359053.3333,2013-09-28
2603081,3865,2381,9761840.53333,2013-09-29
1879411,2894,1689,7255372.05,2013-09-30
1728462,2447,1336,6584421.28333,2013-10-01
1691686,2158,1187,6448701.33333,2013-10-02
1559552,2023,1054,6017492.23333,2013-10-03
1566048,1849,1099,5967073.55,2013-10-04
1726390,2187,1406,6537327.06667,2013-10-05
1588680,1974,1318,6028141.3,2013-10-06
1346565,1719,1085,5176122.53333,2013-10-07
1268148,1565,882,4914954.95,2013-10-08
1295301,1490,1038,5057251.1,2013-10-09
1396305,1589,1070,5443755.46667,2013-10-10
1575406,1722,1157,6134907.08333,2013-10-11
1711789,1969,1293,6718736.45,2013-10-12
1522679,1776,1184,5991554.53333,2013-10-13
1470456,1769,1158,5789365.75,2013-10-14
1307463,1575,1121,5129124.2,2013-10-15
1268588,1591,1307,4958048.66667,2013-10-16
1234187,1415,1188,4865912.35,2013-10-17
1397123,1522,1319,5393724.85,2013-10-18
1657416,1740,1602,6334732.85,2013-10-19
1432911,1531,1334,5496074.18333,2013-10-20
1278441,1475,1127,4927958.1,2013-10-21
1332222,1548,1230,5075142.55,2013-10-22
1418604,1588,1172,5409130.95,2013-10-23
1499302,1678,1227,5719517.66667,2013-10-24
1637606,1705,1344,6176276.05,2013-10-25
1789205,1758,1565,6748815.76667,2013-10-26
1547807,1687,1323,5843851.9,2013-10-27
1397061,1524,1211,5293978.25,2013-10-28
1353436,1402,1064,5163113.71667,2013-10-29
1371796,1470,1101,5274249.0,2013-10-30
1252507,1300,973,4824070.13333,2013-10-31
1458725,1504,1145,5467108.83333,2013-11-01
1807126,1811,1519,6711141.41667,2013-11-02
1694832,1644,1378,6252674.3,2013-11-03
1494441,1632,1176,5579984.75,2013-11-04
1409032,1483,1195,5282665.73333,2013-11-05
1399247,1507,1138,5250090.55,2013-11-06
1389473,1454,1105,5217347.21667,2013-11-07
1600118,1589,1135,5800317.63333,2013-11-08
1746968,1620,1251,6309529.0,2013-11-09
1257817,1185,993,4597389.16667,2013-11-10
1173347,1213,849,4367482.53333,2013-11-11
1124945,1168,835,4221936.46667,2013-11-12
1159965,1119,854,4318222.13333,2013-11-13
1236435,2340,912,4624422.7,2013-11-14
1385511,4105,1021,5143152.25,2013-11-15
1631271,4502,1149,6051557.81667,2013-11-16
1408034,4206,1042,5246315.45,2013-11-17
1224458,3840,832,4590961.91667,2013-11-18
1226212,3837,848,4603779.18333,2013-11-19
1325229,3968,989,4958372.8,2013-11-20
1411060,4360,1069,5215038.75,2013-11-21
1539703,4058,1160,5446965.65,2013-11-22
1715905,4367,1345,6070799.13333,2013-11-23
1384459,3464,1006,5085455.15,2013-11-24
1224914,3476,928,4531368.0,2013-11-25
1281133,3489,950,4704542.05,2013-11-26
1451563,3684,1054,5313933.68333,2013-11-27
1398731,3453,964,5052000.71667,2013-11-28
1435723,3821,1028,5173012.33333,2013-11-29
1325868,3426,943,4809527.16667,2013-11-30
925616,2304,640,3389164.5,2013-12-01
865439,2325,611,3214358.43333,2013-12-02
827118,2329,541,3065626.61667,2013-12-03
768317,2128,526,2863676.75,2013-12-04
792312,2255,541,2957231.86667,2013-12-05
863932,2344,549,3194417.76667,2013-12-06
1021737,2446,705,3754441.95,2013-12-07
942613,2559,665,3433039.56667,2013-12-08
900564,2614,651,3301284.56667,2013-12-09
941272,2596,630,3467717.93333,2013-12-10
1013580,2884,802,3662016.96667,2013-12-11
1145419,3135,895,4149133.18333,2013-12-12
1257084,3305,918,4529096.21667,2013-12-13
1404640,3450,1032,5050130.68333,2013-12-14
1150108,2854,829,4163110.93333,2013-12-15
1068656,2970,821,3896054.71667,2013-12-16
1063645,3026,866,3877547.55,2013-12-17
1142877,3057,850,4157420.16667,2013-12-18
1239060,3122,858,4488359.65,2013-12-19
1267867,3116,904,4574105.98333,2013-12-20
1320622,3330,913,4756746.53333,2013-12-21
1190007,3001,818,4271228.16667,2013-12-22
1235108,3095,903,4479872.9,2013-12-23
1191506,2683,799,4287301.51667,2013-12-24
1228352,2270,731,4271993.58333,2013-12-25
1265201,2919,852,4526965.06667,2013-12-26
1360718,3136,876,4864390.75,2013-12-27
1283417,3028,754,4569553.3,2013-12-28
1122931,2671,769,3989373.51667,2013-12-29
1217306,2976,817,4358691.38333,2013-12-30
1412022,2522,694,4940493.31667,2013-12-31
1024157,2071,624,3582828.91667,2014-01-01
1154327,2732,821,4100787.66667,2014-01-02
1150470,2734,781,4070543.51667,2014-01-03
1143995,2723,779,4031130.75,2014-01-04
1010103,2491,673,3552479.46667,2014-01-05
969158,2466,685,3462995.63333,2014-01-06
967625,2313,636,3429860.23333,2014-01-07
1011410,2423,695,3572992.43333,2014-01-08
1053583,2461,666,3693740.65,2014-01-09
1170337,2581,697,4080506.66667,2014-01-10
1280751,2619,814,4445007.3,2014-01-11
1075176,2370,714,3724505.85,2014-01-12
943766,2259,652,3327153.66667,2014-01-13
977158,2235,642,3422289.48333,2014-01-14
983975,2239,655,3472515.51667,2014-01-15
995945,2224,665,3494698.73333,2014-01-16
1080711,2400,723,3789439.1,2014-01-17
1203832,2528,788,4212621.86667,2014-01-18
1029522,2267,652,3593458.23333,2014-01-19
940764,2144,629,3310150.96667,2014-01-20
901104,2180,643,3178831.28333,2014-01-21
917265,2232,669,3251988.91667,2014-01-22
916289,2260,636,3236740.55,2014-01-23
1011162,2294,650,3571522.11667,2014-01-24
1125811,2448,723,3950083.65,2014-01-25
921245,2055,578,3247051.71667,2014-01-26
855814,2108,595,3040792.31667,2014-01-27
916362,2190,656,3247615.45,2014-01-28
985747,2361,688,3477137.48333,2014-01-29
965522,2276,689,3418531.8,2014-01-30
1013086,2344,662,3554996.5,2014-01-31
1144840,2348,699,3971811.96667,2014-02-01
