dailyViewcount,numShare,numSubscriber,watchTime,date
30719,211,3,50992.1,2017-01-05
14310,61,3,22214.2833333,2017-01-06
10288,32,-1,15676.6166667,2017-01-07
7955,25,5,11906.95,2017-01-08
4983,14,0,7650.2,2017-01-09
4362,12,0,6914.91666667,2017-01-10
3616,8,1,5721.3,2017-01-11
3042,15,-1,4745.1,2017-01-12
3053,10,1,4688.83333333,2017-01-13
3403,12,0,5213.61666667,2017-01-14
3078,12,-1,4649.1,2017-01-15
2793,8,2,4248.21666667,2017-01-16
2559,6,0,3882.95,2017-01-17
2562,2,0,3887.31666667,2017-01-18
2507,4,0,3845.86666667,2017-01-19
2661,13,0,3988.61666667,2017-01-20
2822,9,0,4305.95,2017-01-21
2579,3,0,3952.36666667,2017-01-22
2400,6,0,3517.05,2017-01-23
2233,4,0,3402.76666667,2017-01-24
2471,1,0,3496.88333333,2017-01-25
2753,4,0,3858.63333333,2017-01-26
2760,6,0,3893.95,2017-01-27
2991,11,0,4248.15,2017-01-28
2808,7,1,3834.78333333,2017-01-29
2300,7,2,3283.81666667,2017-01-30
2445,6,0,3336.85,2017-01-31
2600,8,1,3639.68333333,2017-02-01
2682,8,2,3543.45,2017-02-02
2785,2,0,3855.3,2017-02-03
2932,6,3,4052.25,2017-02-04
2747,1,1,3762.83333333,2017-02-05
2797,14,1,3628.71666667,2017-02-06
2464,1,0,3300.96666667,2017-02-07
2391,7,0,3298.53333333,2017-02-08
2532,7,1,3511.38333333,2017-02-09
2529,11,1,3334.3,2017-02-10
2786,6,0,3745.98333333,2017-02-11
2609,3,0,3427.1,2017-02-12
2274,1,0,3080.36666667,2017-02-13
2222,2,2,2974.21666667,2017-02-14
2575,2,-1,3260.66666667,2017-02-15
2417,10,1,3178.06666667,2017-02-16
2518,2,2,3365.26666667,2017-02-17
2713,6,0,3619.71666667,2017-02-18
2518,5,0,3312.51666667,2017-02-19
2174,8,3,2832.13333333,2017-02-20
2258,5,0,3096.35,2017-02-21
2328,5,0,3226.4,2017-02-22
2128,7,1,2832.28333333,2017-02-23
2355,3,0,3215.98333333,2017-02-24
2318,5,0,3051.03333333,2017-02-25
2139,2,0,2806.58333333,2017-02-26
1858,4,0,2436.13333333,2017-02-27
1838,3,1,2623.06666667,2017-02-28
1770,8,1,2357.81666667,2017-03-01
1690,4,0,2336.38333333,2017-03-02
1817,2,1,2605.91666667,2017-03-03
1910,8,0,2615.48333333,2017-03-04
1748,6,0,2441.93333333,2017-03-05
1586,4,0,2225.68333333,2017-03-06
1539,2,0,2198.23333333,2017-03-07
1482,0,1,2088.21666667,2017-03-08
1539,3,0,2202.98333333,2017-03-09
1565,1,0,2202.66666667,2017-03-10
1791,5,0,2467.31666667,2017-03-11
1468,1,0,2002.68333333,2017-03-12
1347,2,0,1948.41666667,2017-03-13
1408,33,1,1994.31666667,2017-03-14
1548,5,0,2225.61666667,2017-03-15
1613,5,0,2307.1,2017-03-16
1862,3,1,2676.88333333,2017-03-17
1795,8,2,2620.38333333,2017-03-18
1814,3,3,2442.55,2017-03-19
1632,7,0,2389.75,2017-03-20
1542,5,0,2221.55,2017-03-21
1528,4,0,2196.91666667,2017-03-22
1621,5,1,2335.85,2017-03-23
1753,4,1,2410.36666667,2017-03-24
1986,4,1,2825.7,2017-03-25
1875,5,0,2557.83333333,2017-03-26
1711,3,1,2378.75,2017-03-27
1642,2,3,2287.85,2017-03-28
1852,1,1,2589.18333333,2017-03-29
1848,5,1,2642.56666667,2017-03-30
2249,5,0,3265.55,2017-03-31
2390,4,0,3419.26666667,2017-04-01
2125,4,1,2927.43333333,2017-04-02
2128,2,1,3168.75,2017-04-03
2191,2,0,3295.96666667,2017-04-04
2233,4,0,3199.55,2017-04-05
2564,2,2,3724.63333333,2017-04-06
2358,6,2,3502.86666667,2017-04-07
2416,2,1,3583.38333333,2017-04-08
2301,4,0,3416.21666667,2017-04-09
2096,5,1,3078.71666667,2017-04-10
1865,1,1,2707.01666667,2017-04-11
1850,3,1,2800.36666667,2017-04-12
1865,7,1,2722.6,2017-04-13
1993,4,0,2876.61666667,2017-04-14
1910,5,0,2835.4,2017-04-15
1810,3,1,2593.46666667,2017-04-16
1841,8,-1,2690.66666667,2017-04-17
1703,2,0,2551.5,2017-04-18
1700,3,1,2491.5,2017-04-19
1851,4,0,2709.26666667,2017-04-20
2433,8,0,3535.26666667,2017-04-21
3196,1,0,4414.31666667,2017-04-22
2746,7,2,3911.1,2017-04-23
2639,4,0,3769.83333333,2017-04-24
2654,9,1,3798.5,2017-04-25
2948,3,1,4374.41666667,2017-04-26
2773,5,0,4046.55,2017-04-27
2792,7,0,4089.96666667,2017-04-28
3130,8,0,4603.4,2017-04-29
3009,4,1,4211.31666667,2017-04-30
2491,5,0,3641.66666667,2017-05-01
2405,1,0,3548.08333333,2017-05-02
2487,5,0,3645.83333333,2017-05-03
2658,3,1,3761.2,2017-05-04
2586,8,0,3723.43333333,2017-05-05
2740,5,2,3960.78333333,2017-05-06
2589,5,1,3594.48333333,2017-05-07
2305,3,0,3342.83333333,2017-05-08
2405,8,1,3306.88333333,2017-05-09
2387,2,1,3382.16666667,2017-05-10
2540,3,1,3600.5,2017-05-11
2797,4,0,4035.61666667,2017-05-12
2655,4,0,3894.26666667,2017-05-13
2404,3,-1,3517.08333333,2017-05-14
2578,6,0,3747.61666667,2017-05-15
2503,5,0,3533.5,2017-05-16
2464,4,1,3326.3,2017-05-17
2508,9,0,3426.48333333,2017-05-18
2433,6,1,3428.31666667,2017-05-19
2701,5,1,3836.51666667,2017-05-20
2337,2,2,3250.18333333,2017-05-21
2069,1,0,2967.63333333,2017-05-22
