dailyViewcount,numShare,numSubscriber,watchTime,date
581003,11858,3274,1454372.33333,2017-02-06
1005420,10806,4011,2277387.7,2017-02-07
576136,4986,1710,1332986.73333,2017-02-08
414121,3222,912,956859.383333,2017-02-09
286667,1892,634,690220.483333,2017-02-10
234914,1583,482,574503.533333,2017-02-11
314032,1901,721,654157.533333,2017-02-12
449053,2344,1278,920198.266667,2017-02-13
336707,1936,1048,790391.316667,2017-02-14
293942,1685,1079,728488.6,2017-02-15
252290,1478,766,645891.2,2017-02-16
215063,1102,535,555048.466667,2017-02-17
191388,895,394,479495.0,2017-02-18
165044,857,397,423141.45,2017-02-19
182666,867,380,481158.016667,2017-02-20
183385,838,348,486395.016667,2017-02-21
190129,913,395,504262.55,2017-02-22
161211,720,348,440872.616667,2017-02-23
155400,653,266,420394.85,2017-02-24
151498,631,230,403124.55,2017-02-25
148589,718,305,402502.183333,2017-02-26
139129,655,251,391482.266667,2017-02-27
142969,670,268,395523.883333,2017-02-28
134289,622,227,376405.416667,2017-03-01
132738,585,218,371239.416667,2017-03-02
133458,599,177,364408.85,2017-03-03
127983,523,150,343225.566667,2017-03-04
121651,593,194,332388.516667,2017-03-05
133195,574,210,358309.633333,2017-03-06
130702,577,201,353360.333333,2017-03-07
119977,484,182,333080.033333,2017-03-08
115387,500,186,322409.7,2017-03-09
152108,716,316,394291.75,2017-03-10
150699,638,337,386088.966667,2017-03-11
124364,595,252,335818.516667,2017-03-12
123762,559,231,340995.25,2017-03-13
120234,526,226,335324.2,2017-03-14
110601,513,193,314963.733333,2017-03-15
105089,536,156,298642.183333,2017-03-16
103790,429,127,290639.2,2017-03-17
99765,481,146,273072.433333,2017-03-18
89998,515,126,249759.1,2017-03-19
89380,413,133,253634.866667,2017-03-20
88612,420,143,248363.733333,2017-03-21
88422,490,142,245026.0,2017-03-22
85737,417,135,241335.216667,2017-03-23
85013,374,107,234509.883333,2017-03-24
84540,342,116,228670.383333,2017-03-25
80914,337,124,219856.1,2017-03-26
79512,361,125,223724.683333,2017-03-27
78327,385,114,221057.316667,2017-03-28
83219,334,128,234376.733333,2017-03-29
84631,405,124,238549.816667,2017-03-30
88388,383,134,243990.783333,2017-03-31
89871,372,112,239946.45,2017-04-01
87697,384,159,234029.05,2017-04-02
81994,358,114,226567.333333,2017-04-03
79792,320,96,223717.1,2017-04-04
77920,339,87,219536.216667,2017-04-05
78064,294,95,218257.95,2017-04-06
75841,292,88,208489.366667,2017-04-07
68334,291,80,185673.583333,2017-04-08
69822,322,98,190179.9,2017-04-09
70575,325,88,200500.8,2017-04-10
68741,296,86,194837.5,2017-04-11
69265,294,77,193830.45,2017-04-12
69032,281,63,193395.183333,2017-04-13
65068,268,68,177350.75,2017-04-14
58874,265,53,159426.266667,2017-04-15
61797,352,55,168333.05,2017-04-16
61873,280,86,171999.383333,2017-04-17
62380,283,79,173239.016667,2017-04-18
64352,283,66,180159.683333,2017-04-19
67860,289,66,187430.733333,2017-04-20
65033,274,76,178605.283333,2017-04-21
64324,250,79,173727.733333,2017-04-22
61346,261,74,167352.516667,2017-04-23
65911,279,97,182144.616667,2017-04-24
66961,240,95,183658.483333,2017-04-25
64378,262,58,175837.966667,2017-04-26
65990,267,96,179639.2,2017-04-27
89882,312,162,211323.35,2017-04-28
94675,332,144,220114.766667,2017-04-29
83785,318,123,201010.366667,2017-04-30
82136,317,153,201970.683333,2017-05-01
81454,325,117,198938.85,2017-05-02
82322,330,117,206686.533333,2017-05-03
84415,282,128,211058.983333,2017-05-04
81559,295,118,206760.466667,2017-05-05
77826,240,99,195237.383333,2017-05-06
73880,279,97,190012.733333,2017-05-07
76598,277,117,199196.633333,2017-05-08
78608,312,122,204911.666667,2017-05-09
78574,300,115,202889.833333,2017-05-10
78173,264,142,201648.583333,2017-05-11
82074,313,105,205795.866667,2017-05-12
82556,325,128,208218.45,2017-05-13
72962,312,114,185497.15,2017-05-14
71182,280,106,183221.316667,2017-05-15
74176,298,126,191539.933333,2017-05-16
78363,342,116,204127.1,2017-05-17
86643,313,135,224933.416667,2017-05-18
89291,318,114,228069.766667,2017-05-19
92403,306,148,232941.316667,2017-05-20
78034,310,113,202473.783333,2017-05-21
80041,274,119,209875.95,2017-05-22
