dailyViewcount,numShare,numSubscriber,watchTime,date
14286,58,27,43828.7666667,2013-06-20
11288,26,16,34046.0833333,2013-06-21
3818,16,3,13481.1,2013-06-22
3086,13,1,11070.1166667,2013-06-23
7267,21,17,22789.25,2013-06-24
10970,26,19,33469.7333333,2013-06-25
13291,48,21,39703.2166667,2013-06-26
14338,25,23,43509.3833333,2013-06-27
17121,35,21,52206.8333333,2013-06-28
18992,28,20,54551.05,2013-06-29
15442,28,13,46881.1,2013-06-30
15983,30,16,49827.6,2013-07-01
16709,34,21,52476.3166667,2013-07-02
17948,43,25,56763.7666667,2013-07-03
17010,23,21,55717.9166667,2013-07-04
9349,21,5,38593.6666667,2013-07-05
7943,31,5,32626.0166667,2013-07-06
7590,24,6,30450.2666667,2013-07-07
7887,22,12,34001.05,2013-07-08
8583,26,1,35482.7333333,2013-07-09
8189,21,19,34752.1333333,2013-07-10
8471,24,3,32897.9166667,2013-07-11
8926,27,4,31901.2333333,2013-07-12
8837,28,7,31936.5166667,2013-07-13
9054,22,8,33868.15,2013-07-14
9007,16,12,35490.1166667,2013-07-15
9599,29,10,37243.7666667,2013-07-16
9756,35,12,37314.9333333,2013-07-17
9697,32,6,37720.7166667,2013-07-18
9474,18,4,39620.2833333,2013-07-19
9066,24,6,38964.4666667,2013-07-20
8930,13,9,38335.8333333,2013-07-21
9290,31,8,41544.6666667,2013-07-22
9681,25,3,42613.7333333,2013-07-23
9741,20,7,43698.2,2013-07-24
10310,23,6,45090.8666667,2013-07-25
11245,25,3,49193.4333333,2013-07-26
10465,29,8,44734.0166667,2013-07-27
10231,20,7,44474.1166667,2013-07-28
11696,28,5,51449.7666667,2013-07-29
12780,34,8,56293.8333333,2013-07-30
13162,37,8,57932.25,2013-07-31
12710,23,7,54836.2166667,2013-08-01
13643,21,7,59382.9333333,2013-08-02
12075,26,8,51072.95,2013-08-03
13075,22,5,57814.9166667,2013-08-04
14318,25,8,62177.4833333,2013-08-05
13979,29,7,61616.0333333,2013-08-06
15524,30,10,68929.9833333,2013-08-07
16194,28,12,70596.3666667,2013-08-08
16012,27,4,68042.55,2013-08-09
15652,32,15,66592.2333333,2013-08-10
14803,28,9,63654.4333333,2013-08-11
16396,42,10,70877.9333333,2013-08-12
16825,37,14,74035.8666667,2013-08-13
17213,33,20,73957.4666667,2013-08-14
31454,73,20,121125.85,2013-08-15
28064,51,11,113848.683333,2013-08-16
23341,42,18,97601.1166667,2013-08-17
22159,46,10,93282.3166667,2013-08-18
20601,41,18,90141.9,2013-08-19
20037,41,12,86776.6166667,2013-08-20
21055,48,9,90141.4166667,2013-08-21
21020,47,14,90642.8833333,2013-08-22
22919,47,9,96176.0,2013-08-23
21840,29,16,95106.5333333,2013-08-24
20375,44,16,88828.7166667,2013-08-25
19730,32,12,82926.5666667,2013-08-26
21151,36,22,83650.2833333,2013-08-27
25479,53,20,97384.7166667,2013-08-28
21620,32,16,88646.9833333,2013-08-29
23163,44,13,94287.7833333,2013-08-30
20920,40,17,84308.6833333,2013-08-31
19191,42,10,79366.5333333,2013-09-01
19614,50,13,81752.2833333,2013-09-02
19391,41,10,83134.5666667,2013-09-03
18477,40,16,77943.8333333,2013-09-04
19387,43,7,81324.7666667,2013-09-05
23772,38,18,91728.0666667,2013-09-06
21612,34,15,87898.4666667,2013-09-07
19199,43,7,81989.3,2013-09-08
18694,35,11,78613.8166667,2013-09-09
17779,35,14,74122.0333333,2013-09-10
18151,42,10,76777.2833333,2013-09-11
18534,36,9,75754.5833333,2013-09-12
19483,55,11,78240.65,2013-09-13
19262,37,15,78209.95,2013-09-14
17289,59,4,71072.4,2013-09-15
16774,48,13,71489.45,2013-09-16
16668,41,10,70601.8666667,2013-09-17
15685,44,12,65254.0666667,2013-09-18
16732,39,19,68514.7833333,2013-09-19
18926,44,16,77209.9833333,2013-09-20
18641,43,10,74003.3333333,2013-09-21
16497,41,14,68457.5333333,2013-09-22
16255,43,15,68401.7833333,2013-09-23
16083,59,21,65831.5666667,2013-09-24
15670,47,7,64132.2333333,2013-09-25
15674,44,11,64898.15,2013-09-26
19791,71,25,79820.5666667,2013-09-27
18257,56,17,76655.85,2013-09-28
17888,59,13,78789.75,2013-09-29
16981,60,13,73479.7333333,2013-09-30
16488,68,16,72732.65,2013-10-01
17418,79,13,75521.8333333,2013-10-02
18088,71,14,75785.35,2013-10-03
21357,79,24,86832.2166667,2013-10-04
21858,98,24,92575.4333333,2013-10-05
19992,91,26,84289.6833333,2013-10-06
18347,89,20,80308.95,2013-10-07
19490,70,30,82888.65,2013-10-08
18613,69,29,80982.9833333,2013-10-09
19145,69,20,81034.05,2013-10-10
21050,59,14,87809.7833333,2013-10-11
22728,96,17,94363.7166667,2013-10-12
22110,72,17,92445.6333333,2013-10-13
19787,68,14,82975.2333333,2013-10-14
19733,74,13,83619.4166667,2013-10-15
18584,75,20,78206.4166667,2013-10-16
19607,58,21,81080.6,2013-10-17
19920,60,10,83422.1666667,2013-10-18
20855,68,24,88114.4833333,2013-10-19
18770,74,23,80926.5666667,2013-10-20
18786,81,16,79879.6833333,2013-10-21
19803,53,19,79152.7333333,2013-10-22
21764,83,13,86353.2166667,2013-10-23
21903,75,33,90876.7666667,2013-10-24
26887,72,26,108038.383333,2013-10-25
25776,57,31,105339.666667,2013-10-26
23851,58,16,98503.6166667,2013-10-27
19914,71,17,80804.25,2013-10-28
19901,61,15,81414.1666667,2013-10-29
18234,43,15,77077.4,2013-10-30
19417,63,18,82792.6166667,2013-10-31
20649,60,13,84359.55,2013-11-01
18901,45,13,76610.7666667,2013-11-02
17240,57,12,71241.25,2013-11-03
14630,55,14,60709.15,2013-11-04
14767,37,11,62315.0666667,2013-11-05
15437,53,13,64511.4333333,2013-11-06
19426,74,29,76867.75,2013-11-07
22753,55,21,86199.25,2013-11-08
22609,64,30,85873.55,2013-11-09
19260,70,18,74664.7333333,2013-11-10
16558,49,13,66808.9,2013-11-11
15539,51,20,64434.4333333,2013-11-12
14965,36,11,61256.85,2013-11-13
15744,63,13,64258.65,2013-11-14
16910,112,25,65613.5166667,2013-11-15
18061,139,14,71337.75,2013-11-16
15873,108,13,64489.4833333,2013-11-17
13496,93,11,56408.1666667,2013-11-18
12948,104,12,53905.1166667,2013-11-19
12655,102,12,51933.7833333,2013-11-20
12750,103,10,51667.8666667,2013-11-21
14990,109,15,59558.2833333,2013-11-22
14770,112,22,57412.3833333,2013-11-23
13049,120,9,53408.4333333,2013-11-24
11890,109,7,50502.8666667,2013-11-25
12110,105,10,49183.2833333,2013-11-26
13045,100,13,54246.7,2013-11-27
13340,85,11,54390.2666667,2013-11-28
15044,91,12,59054.4333333,2013-11-29
14903,77,11,58723.8666667,2013-11-30
11464,66,10,46185.55,2013-12-01
11229,73,6,46511.8833333,2013-12-02
11809,77,11,48435.6833333,2013-12-03
11890,74,15,49129.5666667,2013-12-04
12880,73,6,53321.6666667,2013-12-05
13695,71,12,56520.1333333,2013-12-06
14176,85,13,57302.7166667,2013-12-07
13335,83,14,54590.8666667,2013-12-08
14121,78,15,59636.45,2013-12-09
13779,75,16,58236.3,2013-12-10
14801,98,13,61522.4166667,2013-12-11
15832,98,12,67048.6333333,2013-12-12
17326,112,11,71236.6333333,2013-12-13
16184,110,7,66912.1166667,2013-12-14
12647,69,4,53308.8333333,2013-12-15
13037,73,11,57440.75,2013-12-16
11491,84,4,50569.4666667,2013-12-17
12238,49,10,52288.35,2013-12-18
12700,62,7,52762.0,2013-12-19
14675,74,14,61671.1,2013-12-20
15896,68,11,63037.9833333,2013-12-21
14896,61,5,61028.3166667,2013-12-22
14126,57,9,59020.9166667,2013-12-23
12255,37,5,50415.0,2013-12-24
11928,40,2,46121.7166667,2013-12-25
11185,63,6,44644.9666667,2013-12-26
12251,51,11,47908.0166667,2013-12-27
13126,70,9,52066.7666667,2013-12-28
12896,72,11,51945.5666667,2013-12-29
13925,86,6,59224.4666667,2013-12-30
17689,62,13,71858.1,2013-12-31
10253,55,9,43748.7666667,2014-01-01
13464,66,5,59556.9166667,2014-01-02
13564,70,17,57600.1,2014-01-03
14373,87,9,60030.2,2014-01-04
13585,88,8,58586.0166667,2014-01-05
13168,71,13,58449.3833333,2014-01-06
13803,74,8,58299.4833333,2014-01-07
15181,50,10,59953.4666667,2014-01-08
15955,75,7,63962.0833333,2014-01-09
17570,70,8,68548.6833333,2014-01-10
18447,69,14,70145.1,2014-01-11
16004,73,8,62526.7833333,2014-01-12
13501,71,8,52648.2666667,2014-01-13
13421,55,7,50204.1166667,2014-01-14
13804,59,8,53573.0833333,2014-01-15
15710,107,10,60733.3666667,2014-01-16
14408,61,8,57220.9666667,2014-01-17
16751,83,10,64876.05,2014-01-18
17314,102,22,68798.45,2014-01-19
14160,57,13,57074.6666667,2014-01-20
12682,53,13,51479.1833333,2014-01-21
13181,56,11,53307.15,2014-01-22
13923,63,6,57124.1166667,2014-01-23
15852,61,5,65308.7166667,2014-01-24
16641,61,18,69527.2,2014-01-25
15857,74,11,67732.1833333,2014-01-26
14237,59,14,61645.7333333,2014-01-27
14197,68,14,59339.7,2014-01-28
15336,53,9,65070.3166667,2014-01-29
15962,64,3,68865.0833333,2014-01-30
18840,89,15,78923.3333333,2014-01-31
18684,77,13,80172.9166667,2014-02-01
17738,59,9,75064.0166667,2014-02-02
16059,67,11,70827.2833333,2014-02-03
15835,73,9,69856.9833333,2014-02-04
16122,79,11,70708.3666667,2014-02-05
16850,69,8,73122.95,2014-02-06
20504,114,11,85222.5666667,2014-02-07
21805,81,17,91932.3166667,2014-02-08
19482,80,11,83897.4833333,2014-02-09
20903,95,18,86836.5,2014-02-10
17266,64,13,74736.85,2014-02-11
16876,60,13,71902.8,2014-02-12
17369,86,4,73964.0,2014-02-13
