dailyViewcount,numShare,numSubscriber,watchTime,date
1620834,34686,2196,4964652.28333,2016-07-01
4270307,55765,3109,12262154.6,2016-07-02
3138900,30964,1898,8778731.83333,2016-07-03
4988440,42770,3184,12087426.1833,2016-07-04
5948864,47621,5154,14190416.9833,2016-07-05
3684941,32832,2561,8818915.9,2016-07-06
3021580,24628,1897,6965236.35,2016-07-07
2483643,19772,1638,5667326.23333,2016-07-08
2276397,16335,1607,5103190.21667,2016-07-09
1973808,13871,1365,4368174.63333,2016-07-10
2047235,14861,1560,4605215.18333,2016-07-11
1979663,14143,1457,4434563.95,2016-07-12
1875077,13545,1384,4222329.6,2016-07-13
1872174,13313,1295,4177275.06667,2016-07-14
1908613,12775,1285,4359485.78333,2016-07-15
1796193,11054,1144,4106447.58333,2016-07-16
1682154,10590,1028,3963654.0,2016-07-17
1751284,11060,1126,4249963.78333,2016-07-18
1584380,10204,1088,3767685.48333,2016-07-19
1544690,9799,943,3725574.58333,2016-07-20
1509197,9528,915,3547772.9,2016-07-21
1444537,8915,850,3412635.43333,2016-07-22
1404016,8233,868,3272818.0,2016-07-23
1332239,8149,827,3096924.36667,2016-07-24
1448629,8556,972,3399924.98333,2016-07-25
1411349,8242,973,3304338.01667,2016-07-26
1367049,7884,943,3208073.91667,2016-07-27
1373032,7934,895,3186623.25,2016-07-28
1518840,7594,881,3482706.53333,2016-07-29
1463252,7025,905,3350766.8,2016-07-30
1272294,6493,741,2890640.0,2016-07-31
1229220,6377,762,2859001.3,2016-08-01
1240940,6347,803,2851168.78333,2016-08-02
1158235,6025,723,2675470.55,2016-08-03
1124689,6095,669,2650738.73333,2016-08-04
1195345,5973,687,2827877.01667,2016-08-05
1327172,6182,736,3030473.66667,2016-08-06
1136541,5593,671,2572148.91667,2016-08-07
1096905,5315,630,2540384.36667,2016-08-08
1009878,5089,602,2357696.43333,2016-08-09
989495,5095,599,2296772.85,2016-08-10
971935,5056,532,2252035.46667,2016-08-11
1008477,4860,546,2340856.95,2016-08-12
871025,4278,423,2042598.68333,2016-08-13
773324,3989,396,1815306.38333,2016-08-14
724071,3710,332,1703126.65,2016-08-15
717979,3791,397,1684531.38333,2016-08-16
727523,3838,359,1706565.0,2016-08-17
721949,3813,357,1687329.55,2016-08-18
716941,3776,339,1680327.15,2016-08-19
705136,3306,325,1669449.06667,2016-08-20
656940,3266,326,1524341.08333,2016-08-21
617464,3402,301,1459730.08333,2016-08-22
626552,3442,323,1489041.16667,2016-08-23
637181,3440,329,1495993.81667,2016-08-24
665171,3425,358,1561260.03333,2016-08-25
742331,3859,402,1735500.33333,2016-08-26
755012,3831,422,1759049.48333,2016-08-27
684893,3627,362,1580526.83333,2016-08-28
629952,3429,328,1475798.28333,2016-08-29
649764,3355,311,1504794.28333,2016-08-30
722314,3619,386,1658736.85,2016-08-31
633287,3373,380,1506056.45,2016-09-01
715494,3807,424,1678073.96667,2016-09-02
693241,3328,364,1622140.73333,2016-09-03
633490,3366,340,1475737.25,2016-09-04
647641,3039,363,1508804.18333,2016-09-05
630793,3017,339,1480842.01667,2016-09-06
638392,3168,376,1498331.86667,2016-09-07
688439,3162,367,1603640.56667,2016-09-08
859089,3643,553,1962731.53333,2016-09-09
851394,3537,473,1959986.35,2016-09-10
623074,2986,387,1455095.03333,2016-09-11
542911,2792,302,1281671.61667,2016-09-12
