dailyViewcount,numShare,numSubscriber,watchTime,date
1816,27,0,5166.56666667,2015-09-05
2929,49,0,8258.23333333,2015-09-06
4217,40,5,10665.65,2015-09-07
3820,20,1,10454.7666667,2015-09-08
5568,36,2,14622.45,2015-09-09
8972,41,2,23766.4666667,2015-09-10
11108,54,4,31073.6666667,2015-09-11
9390,40,2,26326.3833333,2015-09-12
9904,45,4,27224.7833333,2015-09-13
11237,43,1,32343.2333333,2015-09-14
10863,48,2,31205.2,2015-09-15
11456,44,2,33098.3666667,2015-09-16
9605,29,1,28824.95,2015-09-17
9490,27,1,27514.4333333,2015-09-18
9440,32,0,26872.3333333,2015-09-19
8212,33,1,23241.9666667,2015-09-20
7179,28,2,21321.9166667,2015-09-21
6864,32,1,20096.1333333,2015-09-22
6845,19,0,20010.5833333,2015-09-23
6567,26,0,20031.8,2015-09-24
6965,25,2,20925.05,2015-09-25
6641,26,0,19657.5166667,2015-09-26
5952,22,2,17381.3333333,2015-09-27
6742,16,1,20303.8833333,2015-09-28
6370,25,3,18833.9166667,2015-09-29
6476,17,1,19222.9666667,2015-09-30
6107,21,1,18084.5166667,2015-10-01
6245,17,3,18538.1833333,2015-10-02
6165,18,0,17462.7166667,2015-10-03
5739,21,0,16603.9166667,2015-10-04
5978,22,1,18104.1833333,2015-10-05
6043,26,0,18015.3833333,2015-10-06
5817,14,0,17261.2833333,2015-10-07
6331,19,1,19091.3,2015-10-08
6659,18,0,19268.5166667,2015-10-09
6235,22,3,17949.0166667,2015-10-10
5465,15,2,15748.2666667,2015-10-11
5880,13,1,17646.4333333,2015-10-12
6311,16,1,18193.1833333,2015-10-13
6663,18,1,19652.6666667,2015-10-14
6572,13,2,20083.9333333,2015-10-15
6640,20,0,19908.0,2015-10-16
6175,22,0,17761.4333333,2015-10-17
5537,10,2,16378.7833333,2015-10-18
6197,12,1,18613.4833333,2015-10-19
5917,21,2,17560.0166667,2015-10-20
6083,16,1,18600.3,2015-10-21
6083,26,1,18025.5333333,2015-10-22
6388,13,1,19067.0,2015-10-23
6533,19,0,19152.05,2015-10-24
5832,14,0,16869.95,2015-10-25
6371,22,0,19113.15,2015-10-26
6444,24,0,19355.2,2015-10-27
6514,11,1,18757.0,2015-10-28
6602,17,0,19721.5333333,2015-10-29
6944,15,0,20111.4333333,2015-10-30
7047,15,0,19816.0,2015-10-31
6061,23,0,17050.3166667,2015-11-01
6466,28,0,19967.9,2015-11-02
6041,24,0,18535.6833333,2015-11-03
5909,8,1,18041.0333333,2015-11-04
6213,17,0,18500.2666667,2015-11-05
6486,11,3,19369.7,2015-11-06
6120,14,2,17697.4166667,2015-11-07
