dailyViewcount,numShare,numSubscriber,watchTime,date
29,1,0,28.1333333333,2016-10-04
46,1,0,73.5,2016-10-05
52,1,0,53.2166666667,2016-10-06
77,0,0,92.25,2016-10-07
179,0,0,242.1,2016-10-08
184,1,1,261.416666667,2016-10-09
222,3,1,312.833333333,2016-10-10
292,1,0,344.866666667,2016-10-11
335,5,1,474.05,2016-10-12
360,1,2,490.916666667,2016-10-13
340,7,0,404.783333333,2016-10-14
420,3,0,419.333333333,2016-10-15
704,7,0,745.683333333,2016-10-16
625,6,0,723.233333333,2016-10-17
403,1,0,586.016666667,2016-10-18
302,0,0,374.3,2016-10-19
309,2,0,410.116666667,2016-10-20
467,4,0,775.85,2016-10-21
343,1,0,611.4,2016-10-22
322,3,0,556.066666667,2016-10-23
352,2,0,633.433333333,2016-10-24
335,1,1,649.116666667,2016-10-25
330,1,0,520.483333333,2016-10-26
348,4,0,523.716666667,2016-10-27
485,0,0,681.35,2016-10-28
504,3,1,777.6,2016-10-29
495,2,0,686.066666667,2016-10-30
550,3,0,777.033333333,2016-10-31
628,1,0,1015.25,2016-11-01
591,4,0,1038.56666667,2016-11-02
433,1,0,697.8,2016-11-03
473,0,0,814.55,2016-11-04
308,2,0,424.516666667,2016-11-05
250,0,0,370.05,2016-11-06
223,0,0,307.5,2016-11-07
218,0,0,306.966666667,2016-11-08
217,1,0,296.95,2016-11-09
302,1,0,466.05,2016-11-10
314,0,0,423.633333333,2016-11-11
296,1,0,408.366666667,2016-11-12
326,1,0,457.95,2016-11-13
295,0,0,416.116666667,2016-11-14
324,3,0,416.066666667,2016-11-15
324,1,0,432.283333333,2016-11-16
341,0,0,446.383333333,2016-11-17
263,1,0,339.633333333,2016-11-18
281,1,0,347.516666667,2016-11-19
330,2,0,419.65,2016-11-20
296,1,0,380.883333333,2016-11-21
260,2,0,382.466666667,2016-11-22
281,1,0,424.45,2016-11-23
273,0,0,337.433333333,2016-11-24
222,2,1,305.1,2016-11-25
205,3,0,277.033333333,2016-11-26
277,2,1,369.933333333,2016-11-27
301,2,0,361.4,2016-11-28
321,1,0,426.8,2016-11-29
288,0,1,336.216666667,2016-11-30
293,1,0,388.833333333,2016-12-01
290,0,0,422.283333333,2016-12-02
277,4,0,336.883333333,2016-12-03
324,1,0,407.866666667,2016-12-04
327,1,0,499.35,2016-12-05
316,2,0,389.316666667,2016-12-06
360,2,0,425.45,2016-12-07
340,1,0,469.05,2016-12-08
295,3,0,399.633333333,2016-12-09
290,1,0,438.383333333,2016-12-10
312,0,0,413.066666667,2016-12-11
365,0,0,566.116666667,2016-12-12
396,3,1,653.55,2016-12-13
374,1,0,579.883333333,2016-12-14
374,1,0,528.383333333,2016-12-15
328,1,0,485.05,2016-12-16
358,3,0,502.916666667,2016-12-17
359,0,0,445.833333333,2016-12-18
362,1,0,505.25,2016-12-19
400,3,0,590.0,2016-12-20
349,5,0,521.366666667,2016-12-21
350,2,0,556.05,2016-12-22
345,1,0,502.5,2016-12-23
351,5,0,568.183333333,2016-12-24
313,0,0,484.3,2016-12-25
349,2,0,582.416666667,2016-12-26
375,1,0,588.666666667,2016-12-27
386,0,0,627.633333333,2016-12-28
435,2,0,578.166666667,2016-12-29
438,3,0,630.916666667,2016-12-30
502,1,0,833.383333333,2016-12-31
470,3,0,629.65,2017-01-01
423,1,0,563.45,2017-01-02
399,1,0,507.4,2017-01-03
