dailyViewcount,numShare,numSubscriber,watchTime,date
1485862,36661,2010,3274239.81667,2016-11-04
835068,14276,771,1905564.63333,2016-11-05
675051,11031,578,1616253.81667,2016-11-06
631863,9695,512,1593619.75,2016-11-07
497402,6881,352,1305718.63333,2016-11-08
411023,5618,222,1081503.86667,2016-11-09
416440,5569,193,1108523.28333,2016-11-10
426310,5436,215,1114453.26667,2016-11-11
389066,4817,154,980484.233333,2016-11-12
330800,4552,148,877223.433333,2016-11-13
306178,3734,112,859899.383333,2016-11-14
306859,4008,131,859702.25,2016-11-15
294335,3823,135,839165.633333,2016-11-16
308792,3946,125,874253.85,2016-11-17
399371,5089,177,1082382.48333,2016-11-18
349974,4212,132,966925.466667,2016-11-19
333606,3942,127,955495.25,2016-11-20
348087,3807,132,1042463.63333,2016-11-21
346521,3577,123,1047377.53333,2016-11-22
315028,3236,100,965445.533333,2016-11-23
284259,2884,92,876454.666667,2016-11-24
271458,2695,100,817960.183333,2016-11-25
259223,2822,92,773490.733333,2016-11-26
248761,2926,95,756964.566667,2016-11-27
249644,2783,78,790201.066667,2016-11-28
245204,2611,77,770922.05,2016-11-29
242857,2588,85,761064.2,2016-11-30
248701,2515,87,772161.7,2016-12-01
241044,2350,68,732717.683333,2016-12-02
223083,2222,58,660719.766667,2016-12-03
200399,2508,68,615045.933333,2016-12-04
205040,2293,59,660321.9,2016-12-05
216577,2435,76,685137.65,2016-12-06
216679,2293,66,690926.666667,2016-12-07
225870,2398,60,732648.516667,2016-12-08
232911,2649,62,742654.816667,2016-12-09
230679,2918,56,719638.316667,2016-12-10
217086,2812,52,698783.916667,2016-12-11
224658,2798,77,751485.9,2016-12-12
235623,3021,75,779248.15,2016-12-13
412535,7631,359,1347835.2,2016-12-14
432419,6878,258,1494138.95,2016-12-15
421785,5778,198,1442644.78333,2016-12-16
399911,5111,175,1326656.41667,2016-12-17
365005,4728,124,1239437.81667,2016-12-18
379132,4751,137,1319059.43333,2016-12-19
371067,4407,120,1277375.71667,2016-12-20
372080,4285,121,1270297.3,2016-12-21
369017,4117,87,1244571.55,2016-12-22
364682,3843,84,1192980.23333,2016-12-23
340461,3297,82,1095786.58333,2016-12-24
287963,3258,63,920844.016667,2016-12-25
327005,3909,79,1068383.56667,2016-12-26
348623,4150,110,1156031.71667,2016-12-27
358091,3943,98,1186730.73333,2016-12-28
355367,3895,89,1174101.88333,2016-12-29
367950,4167,106,1196753.26667,2016-12-30
375420,3295,65,1178453.3,2016-12-31
305683,3650,75,969449.05,2017-01-01
348192,4368,88,1135528.28333,2017-01-02
366998,4294,87,1216769.08333,2017-01-03
368902,4537,106,1220845.83333,2017-01-04
380670,4879,87,1262872.53333,2017-01-05
402530,5153,96,1300005.23333,2017-01-06
403370,5523,71,1269923.63333,2017-01-07
397445,5582,76,1284067.06667,2017-01-08
412804,5053,90,1377539.58333,2017-01-09
419050,5038,79,1402524.05,2017-01-10
435215,5413,100,1438631.1,2017-01-11
460136,5451,95,1527210.01667,2017-01-12
490558,5918,101,1586753.68333,2017-01-13
495362,6427,99,1552842.03333,2017-01-14
449037,5983,97,1454308.2,2017-01-15
461440,5966,93,1512567.33333,2017-01-16
479705,6323,0,1570806.65,2017-01-17
497526,6063,0,1633687.66667,2017-01-18
521644,6291,0,1699186.28333,2017-01-19
579252,6976,0,1829943.1,2017-01-20
586772,6918,0,1821015.28333,2017-01-21
531162,6822,0,1697773.7,2017-01-22
552061,6999,0,1788709.03333,2017-01-23
571338,7357,0,1858109.91667,2017-01-24
607677,7089,0,1966053.78333,2017-01-25
636723,7180,0,2054074.06667,2017-01-26
697259,8299,0,2188594.98333,2017-01-27
686747,8849,162,2121646.1,2017-01-28
624640,7771,119,1994546.2,2017-01-29
705812,7151,142,2321941.25,2017-01-30
756685,7339,148,2459801.55,2017-01-31
778380,7229,145,2525658.88333,2017-02-01
770579,7271,137,2487720.66667,2017-02-02
852657,8009,166,2690161.18333,2017-02-03
848633,7989,187,2625717.03333,2017-02-04
811935,9475,167,2517055.5,2017-02-05
833487,8134,165,2644050.31667,2017-02-06
863474,8023,173,2725917.46667,2017-02-07
809356,8436,148,2495410.13333,2017-02-08
800776,7988,166,2463157.53333,2017-02-09
774673,7900,195,2315099.56667,2017-02-10
720689,7745,158,2109151.63333,2017-02-11
683165,7040,152,2068895.86667,2017-02-12
811310,6525,171,2559665.61667,2017-02-13
807267,6292,174,2531825.01667,2017-02-14
751591,6220,156,2320893.06667,2017-02-15
759577,6259,154,2319911.66667,2017-02-16
767716,6901,210,2278333.73333,2017-02-17
694812,6651,137,2009669.96667,2017-02-18
643659,6010,127,1945779.6,2017-02-19
676177,5470,154,2064803.2,2017-02-20
726444,5334,131,2226517.23333,2017-02-21
779812,5504,152,2346027.56667,2017-02-22
790781,5209,149,2455234.73333,2017-02-23
820642,5875,155,2468562.01667,2017-02-24
785100,5914,145,2337081.31667,2017-02-25
729245,5215,129,2236088.56667,2017-02-26
706679,5010,122,2204816.68333,2017-02-27
718560,4928,129,2248066.45,2017-02-28
697584,5084,142,2153656.55,2017-03-01
785984,5834,162,2398305.73333,2017-03-02
751742,6130,161,2195838.63333,2017-03-03
677328,5933,139,1931149.18333,2017-03-04
639111,5517,96,1876809.98333,2017-03-05
669822,5072,113,2022678.41667,2017-03-06
671570,4855,111,2055137.88333,2017-03-07
683616,4610,108,2112928.06667,2017-03-08
659727,4827,115,2022462.16667,2017-03-09
647585,5122,117,1923596.55,2017-03-10
594767,4916,108,1720111.7,2017-03-11
520160,4043,83,1569769.51667,2017-03-12
547191,4082,101,1687059.85,2017-03-13
622022,4109,106,1914666.51667,2017-03-14
605564,3930,103,1864564.75,2017-03-15
664896,4925,122,2037125.75,2017-03-16
682673,4938,155,2056261.86667,2017-03-17
637437,4754,123,1898884.46667,2017-03-18
590105,4353,120,1811935.06667,2017-03-19
645778,4085,103,2025476.73333,2017-03-20
635662,3943,99,1983927.71667,2017-03-21
628218,3802,101,1950168.55,2017-03-22
649627,3816,113,2002508.5,2017-03-23
638150,4168,120,1935526.23333,2017-03-24
578232,3811,115,1716410.68333,2017-03-25
554314,3554,83,1680518.0,2017-03-26
605329,3624,101,1864570.0,2017-03-27
864374,4567,209,2394630.31667,2017-03-28
725648,3787,132,2184147.96667,2017-03-29
677926,3814,122,2071627.38333,2017-03-30
630002,3666,100,1895689.26667,2017-03-31
563425,3555,111,1651115.98333,2017-04-01
514346,3621,63,1521261.65,2017-04-02
577447,3413,98,1758436.33333,2017-04-03
567703,3409,89,1722041.78333,2017-04-04
574589,3411,83,1744745.71667,2017-04-05
576854,3363,82,1727834.21667,2017-04-06
561620,3240,74,1662956.11667,2017-04-07
508984,3181,69,1475710.13333,2017-04-08
473044,2989,65,1408382.25,2017-04-09
537919,3023,58,1636093.16667,2017-04-10
552412,3066,68,1667936.6,2017-04-11
503504,3029,64,1500463.63333,2017-04-12
459808,2710,63,1334054.85,2017-04-13
459598,2672,64,1339050.68333,2017-04-14
428273,2633,48,1252436.53333,2017-04-15
434389,2613,71,1283519.15,2017-04-16
497776,2778,77,1491397.46667,2017-04-17
497240,2801,67,1490797.6,2017-04-18
478057,2566,76,1444745.95,2017-04-19
480943,2637,55,1453305.61667,2017-04-20
510799,2744,74,1515172.01667,2017-04-21
478891,2509,49,1392711.98333,2017-04-22
451499,2559,61,1337441.0,2017-04-23
