dailyViewcount,numShare,numSubscriber,watchTime,date
2188925,47289,1786,4891857.56667,2017-01-12
2814481,30924,1980,6037948.76667,2017-01-13
1853833,18956,979,4365593.26667,2017-01-14
1201149,12470,536,2891515.13333,2017-01-15
974400,9179,349,2420246.73333,2017-01-16
902147,7961,0,2237468.0,2017-01-17
926712,7181,0,2414667.35,2017-01-18
899625,6506,0,2367296.7,2017-01-19
889477,5901,0,2310683.53333,2017-01-20
903998,5956,0,2322460.65,2017-01-21
787395,5476,0,2019851.71667,2017-01-22
760897,4965,0,2044309.71667,2017-01-23
725299,4723,0,1971250.76667,2017-01-24
696911,4609,0,1918301.26667,2017-01-25
675887,4366,0,1874338.98333,2017-01-26
685561,4408,0,1894411.61667,2017-01-27
699664,4244,185,1917030.25,2017-01-28
581415,3869,159,1608783.2,2017-01-29
553701,3705,161,1612605.01667,2017-01-30
535182,3739,164,1562817.15,2017-01-31
519874,3547,155,1525386.71667,2017-02-01
541560,3479,136,1612187.31667,2017-02-02
551046,3427,125,1632998.48333,2017-02-03
532891,3263,114,1547508.36667,2017-02-04
454536,3153,107,1328184.48333,2017-02-05
447497,2987,108,1356534.36667,2017-02-06
446787,2964,109,1358537.88333,2017-02-07
455165,2820,119,1377184.11667,2017-02-08
462077,2887,134,1383633.21667,2017-02-09
462284,2877,105,1391125.01667,2017-02-10
440401,2796,95,1310023.56667,2017-02-11
380268,2659,102,1125838.33333,2017-02-12
369597,2443,69,1138080.95,2017-02-13
365523,2320,75,1133851.46667,2017-02-14
370020,2493,97,1125870.66667,2017-02-15
491385,3398,122,1401222.88333,2017-02-16
537235,3235,129,1546225.55,2017-02-17
523161,3070,99,1513613.33333,2017-02-18
506438,3153,105,1479244.38333,2017-02-19
464687,2821,92,1391249.15,2017-02-20
421863,2531,103,1269727.35,2017-02-21
526903,3093,165,1449390.43333,2017-02-22
445877,2533,90,1360285.95,2017-02-23
461206,2621,66,1398958.8,2017-02-24
459158,2517,76,1362968.7,2017-02-25
387629,2580,63,1151112.03333,2017-02-26
388159,2419,69,1196244.05,2017-02-27
384434,2268,57,1184154.56667,2017-02-28
401121,2316,85,1221753.8,2017-03-01
397156,2409,68,1238367.08333,2017-03-02
425933,2442,81,1309984.95,2017-03-03
437157,2371,73,1310627.05,2017-03-04
381251,2476,68,1146904.36667,2017-03-05
365975,2003,63,1139838.06667,2017-03-06
373607,2053,56,1157499.11667,2017-03-07
374672,2017,72,1158403.2,2017-03-08
395044,2131,73,1207609.78333,2017-03-09
481191,2520,122,1427893.38333,2017-03-10
490664,2543,98,1432710.41667,2017-03-11
366963,2160,61,1085190.41667,2017-03-12
334459,1960,58,1036117.35,2017-03-13
336087,1971,40,1031896.51667,2017-03-14
324272,1915,40,1005617.85,2017-03-15
320127,1861,50,997158.766667,2017-03-16
347917,1819,55,1083166.2,2017-03-17
383134,1961,56,1175143.75,2017-03-18
309442,1917,44,943529.683333,2017-03-19
294902,1795,49,930013.483333,2017-03-20
291901,1763,45,921209.55,2017-03-21
297204,1798,51,938966.233333,2017-03-22
293503,1696,40,928674.2,2017-03-23
316419,1756,40,992214.416667,2017-03-24
334427,1838,53,1023554.25,2017-03-25
294045,1871,41,895625.216667,2017-03-26
292378,1723,53,918472.316667,2017-03-27
280166,1612,43,888853.45,2017-03-28
288376,1565,43,917632.666667,2017-03-29
283544,1515,32,911095.25,2017-03-30
302563,1570,40,957101.366667,2017-03-31
296866,1537,41,920630.766667,2017-04-01
260155,1568,32,807005.133333,2017-04-02
253581,1361,34,806141.8,2017-04-03
249409,1501,37,790653.15,2017-04-04
246138,1297,37,778112.283333,2017-04-05
237798,1293,49,748371.216667,2017-04-06
243904,1305,38,758373.9,2017-04-07
255441,1318,30,779116.15,2017-04-08
232893,1377,40,711774.066667,2017-04-09
229038,1226,21,715163.65,2017-04-10
230074,1280,30,722491.25,2017-04-11
230482,1233,26,720793.616667,2017-04-12
237278,1264,41,738535.65,2017-04-13
247396,1272,36,757842.666667,2017-04-14
241423,1179,37,736860.55,2017-04-15
208372,1244,34,626742.45,2017-04-16
208559,1189,30,640689.433333,2017-04-17
205842,1152,22,636687.016667,2017-04-18
211524,1124,41,656181.916667,2017-04-19
227671,1163,48,705756.433333,2017-04-20
232298,1153,29,716362.2,2017-04-21
230541,1148,28,701100.983333,2017-04-22
196404,1160,37,597508.016667,2017-04-23
186334,1092,31,579574.25,2017-04-24
188354,1008,25,586348.566667,2017-04-25
201411,1033,29,627946.583333,2017-04-26
210823,1001,30,655291.316667,2017-04-27
223624,1046,30,691504.966667,2017-04-28
236386,1089,44,715842.083333,2017-04-29
212711,1128,42,643546.85,2017-04-30
200895,1011,28,615274.433333,2017-05-01
203826,987,33,631167.566667,2017-05-02
193852,950,33,603036.916667,2017-05-03
180468,898,30,555673.816667,2017-05-04
194335,937,32,597325.783333,2017-05-05
199903,938,30,603952.216667,2017-05-06
170569,1005,26,511901.033333,2017-05-07
165929,895,19,508911.733333,2017-05-08
164670,832,19,508166.1,2017-05-09
165180,866,29,508487.4,2017-05-10
168276,865,22,521733.35,2017-05-11
204249,919,44,629952.516667,2017-05-12
209041,930,26,638606.783333,2017-05-13
179202,943,23,543830.5,2017-05-14
165518,809,22,514971.633333,2017-05-15
164276,798,19,509053.0,2017-05-16
171683,844,27,531518.15,2017-05-17
166820,856,25,511937.733333,2017-05-18
175413,773,21,534056.266667,2017-05-19
178816,853,20,538604.433333,2017-05-20
143139,807,21,429905.9,2017-05-21
145499,772,24,441458.433333,2017-05-22
