dailyViewcount,numShare,numSubscriber,watchTime,date
6175,21,1,16962.8833333,2015-01-06
6381,22,7,17539.7666667,2015-01-07
5327,7,3,15559.75,2015-01-08
5207,6,3,15702.6166667,2015-01-09
5509,9,2,15840.3,2015-01-10
4889,5,6,14063.8,2015-01-11
4048,4,-1,11527.6666667,2015-01-12
3990,6,2,11461.8,2015-01-13
4598,0,0,13231.2833333,2015-01-14
7199,7,6,21263.0833333,2015-01-15
5784,7,3,17095.3333333,2015-01-16
6302,3,2,18365.7333333,2015-01-17
6535,5,3,19001.0,2015-01-18
7863,6,4,23315.7833333,2015-01-19
6637,8,1,20007.8833333,2015-01-20
7556,3,4,22446.1,2015-01-21
7434,6,1,22532.35,2015-01-22
8382,13,10,25170.5666667,2015-01-23
9860,17,2,29612.9,2015-01-24
7739,13,3,22617.7166667,2015-01-25
7122,12,5,21155.1833333,2015-01-26
7788,10,6,22910.55,2015-01-27
7677,16,8,22413.6833333,2015-01-28
7948,13,6,23876.1833333,2015-01-29
9059,8,4,27544.4,2015-01-30
9994,16,1,29820.05,2015-01-31
7326,15,5,21725.2333333,2015-02-01
7081,19,3,21220.4833333,2015-02-02
7906,19,8,24158.3666667,2015-02-03
7740,14,2,23195.4666667,2015-02-04
8052,4,6,24621.4166667,2015-02-05
8156,13,10,25437.4166667,2015-02-06
8759,11,4,27449.8333333,2015-02-07
7919,13,3,24669.6833333,2015-02-08
7283,15,4,22941.1833333,2015-02-09
7417,18,9,23870.9333333,2015-02-10
7669,10,3,23546.5666667,2015-02-11
7344,11,0,23433.05,2015-02-12
8133,7,3,26250.3166667,2015-02-13
8056,9,1,25447.3166667,2015-02-14
7606,12,5,23855.4833333,2015-02-15
7388,23,4,23152.1833333,2015-02-16
7080,10,0,22057.1333333,2015-02-17
6468,16,2,20116.25,2015-02-18
6414,8,1,20464.9666667,2015-02-19
7821,6,3,24718.1666667,2015-02-20
8200,8,3,26572.8833333,2015-02-21
6983,7,1,22098.9333333,2015-02-22
7077,7,5,22361.4333333,2015-02-23
6990,10,2,22053.1833333,2015-02-24
7204,9,2,22913.0833333,2015-02-25
7063,10,3,22167.85,2015-02-26
8354,9,2,26784.4166667,2015-02-27
8464,9,3,26502.4333333,2015-02-28
6924,14,3,21073.7,2015-03-01
7253,5,2,22583.85,2015-03-02
7288,7,5,22485.4666667,2015-03-03
7405,16,4,23629.3666667,2015-03-04
8623,23,3,27351.8833333,2015-03-05
9364,13,4,29482.3166667,2015-03-06
11306,29,3,35063.7166667,2015-03-07
8703,20,1,26665.4833333,2015-03-08
7730,19,2,24222.6,2015-03-09
7296,12,4,23459.4166667,2015-03-10
7608,22,1,24795.4166667,2015-03-11
12476,28,4,41385.0833333,2015-03-12
15038,48,9,49336.5333333,2015-03-13
15506,34,2,50899.65,2015-03-14
12474,38,4,40195.7,2015-03-15
18113,50,10,61399.5333333,2015-03-16
18225,71,11,61298.2833333,2015-03-17
18097,57,6,61268.2833333,2015-03-18
20002,61,6,66662.3,2015-03-19
26662,94,7,87754.8833333,2015-03-20
29449,62,7,96135.55,2015-03-21
23024,79,3,75210.6,2015-03-22
22945,73,3,74909.0333333,2015-03-23
27471,74,7,85859.1666667,2015-03-24
27381,77,7,84905.8166667,2015-03-25
30096,96,3,90896.55,2015-03-26
41612,100,21,124713.116667,2015-03-27
36253,92,6,113322.2,2015-03-28
28638,68,10,87405.65,2015-03-29
27090,82,8,84676.1166667,2015-03-30
26861,65,7,84746.3666667,2015-03-31
28395,53,9,89967.7833333,2015-04-01
30162,72,6,95100.8666667,2015-04-02
34027,64,8,108574.2,2015-04-03
32129,59,3,103834.966667,2015-04-04
27167,49,3,87264.3333333,2015-04-05
25850,64,7,82326.2666667,2015-04-06
24877,46,5,79797.2333333,2015-04-07
25864,50,5,83205.9666667,2015-04-08
27158,81,5,86619.0833333,2015-04-09
30907,83,7,97296.6166667,2015-04-10
32606,71,4,102363.45,2015-04-11
26439,66,5,82589.4666667,2015-04-12
23412,63,4,73510.55,2015-04-13
18501,74,8,59602.35,2015-04-14
18385,63,6,59539.0166667,2015-04-15
18811,59,2,61291.3,2015-04-16
22284,68,8,71860.85,2015-04-17
22996,62,5,72869.2,2015-04-18
18042,46,4,56568.0,2015-04-19
16550,59,1,52587.7666667,2015-04-20
16538,65,2,52635.3833333,2015-04-21
16705,69,7,53970.4833333,2015-04-22
17360,88,5,55749.1666667,2015-04-23
20380,88,6,64392.6,2015-04-24
21385,58,3,67750.1166667,2015-04-25
16774,52,5,52458.8,2015-04-26
15087,59,5,48775.0,2015-04-27
15553,52,2,49540.1833333,2015-04-28
15696,54,6,49823.5833333,2015-04-29
16060,65,4,50844.3666667,2015-04-30
18713,55,8,59675.25,2015-05-01
19276,63,1,61833.6666667,2015-05-02
15216,37,1,49346.6333333,2015-05-03
14895,45,1,48377.0333333,2015-05-04
16300,61,5,52704.0166667,2015-05-05
16562,71,2,53320.4,2015-05-06
17737,52,3,58163.8166667,2015-05-07
27294,60,4,87690.0166667,2015-05-08
26769,47,4,84356.9,2015-05-09
22707,59,10,70752.3666667,2015-05-10
21695,69,5,69244.7333333,2015-05-11
20456,60,2,64353.9,2015-05-12
20780,78,3,64861.2,2015-05-13
