dailyViewcount,numShare,numSubscriber,watchTime,date
56875,271,68,183793.683333,2016-10-20
114419,424,241,323267.083333,2016-10-21
123615,422,311,353408.633333,2016-10-22
88804,311,248,251132.15,2016-10-23
53695,219,186,146351.016667,2016-10-24
51755,189,146,134269.766667,2016-10-25
49170,147,113,118686.233333,2016-10-26
55261,132,158,136345.883333,2016-10-27
38161,107,66,88217.4666667,2016-10-28
42958,71,75,99652.8666667,2016-10-29
29831,59,56,70311.0166667,2016-10-30
21655,51,44,50718.3166667,2016-10-31
25782,51,53,59609.95,2016-11-01
22009,50,39,51380.45,2016-11-02
26026,61,39,61047.15,2016-11-03
26555,64,42,63144.5666667,2016-11-04
24765,53,40,58930.0833333,2016-11-05
28469,66,40,69317.6,2016-11-06
15398,39,16,37029.6666667,2016-11-07
20969,60,56,52109.9833333,2016-11-08
17378,37,45,42813.7666667,2016-11-09
23018,52,69,57956.9,2016-11-10
29637,63,99,73885.15,2016-11-11
22047,40,54,52144.6,2016-11-12
23432,39,72,58678.35,2016-11-13
14881,40,30,35939.95,2016-11-14
18764,49,71,48690.6833333,2016-11-15
20235,58,49,53570.3666667,2016-11-16
32111,96,46,85921.2166667,2016-11-17
26079,33,44,66630.6333333,2016-11-18
23016,59,38,57090.1333333,2016-11-19
19625,56,31,49508.0333333,2016-11-20
16776,50,26,41851.7,2016-11-21
16697,44,35,42673.25,2016-11-22
19266,61,37,47577.15,2016-11-23
16030,34,25,37946.2,2016-11-24
17080,35,27,42579.6,2016-11-25
17238,46,37,43463.4,2016-11-26
17117,32,30,44188.6166667,2016-11-27
14725,44,27,36403.45,2016-11-28
15838,37,24,38786.5666667,2016-11-29
14891,24,22,35596.2166667,2016-11-30
13662,38,27,32471.8833333,2016-12-01
15154,32,29,35118.4333333,2016-12-02
16923,37,21,39808.8,2016-12-03
14426,34,19,34400.45,2016-12-04
12115,38,24,28351.2333333,2016-12-05
13610,33,28,32474.5666667,2016-12-06
14099,34,19,32930.3166667,2016-12-07
13636,25,18,31450.05,2016-12-08
18008,40,24,40134.1,2016-12-09
21633,37,25,50291.9666667,2016-12-10
18992,38,36,46489.85,2016-12-11
16485,38,30,40066.3666667,2016-12-12
15416,37,34,37042.1333333,2016-12-13
15100,42,23,35894.65,2016-12-14
14574,35,40,34807.5333333,2016-12-15
16159,29,17,37754.75,2016-12-16
16628,33,19,39276.45,2016-12-17
16559,18,25,40651.2,2016-12-18
15035,31,19,36910.3166667,2016-12-19
14184,29,26,34645.55,2016-12-20
16083,32,28,39646.2333333,2016-12-21
15271,28,23,36131.6833333,2016-12-22
14428,28,18,34062.0833333,2016-12-23
13707,28,18,32622.9833333,2016-12-24
12673,29,27,29943.8166667,2016-12-25
13402,26,15,32097.8833333,2016-12-26
15270,24,14,36586.4833333,2016-12-27
14822,27,13,36033.6333333,2016-12-28
16701,33,26,41288.2666667,2016-12-29
15011,26,12,36425.3166667,2016-12-30
13750,20,19,30574.5,2016-12-31
16074,38,24,39694.3833333,2017-01-01
16517,35,27,41205.7166667,2017-01-02
15340,33,28,37211.2833333,2017-01-03
