dailyViewcount,numShare,numSubscriber,watchTime,date
464,13,0,1269.2,2016-02-06
3827,50,2,7043.61666667,2016-02-07
16504,178,2,37754.0666667,2016-02-08
44088,422,13,119650.833333,2016-02-09
49750,492,8,148585.716667,2016-02-10
63555,582,19,195576.583333,2016-02-11
64958,536,11,203583.683333,2016-02-12
61600,489,10,195793.183333,2016-02-13
59508,412,7,188289.683333,2016-02-14
67242,544,17,212310.583333,2016-02-15
69317,494,13,229268.166667,2016-02-16
85568,557,23,265327.45,2016-02-17
74396,505,16,247032.45,2016-02-18
70754,417,10,234533.183333,2016-02-19
73872,404,12,233748.05,2016-02-20
73059,460,12,233639.933333,2016-02-21
84399,485,10,275291.866667,2016-02-22
83122,479,13,274048.3,2016-02-23
81166,450,9,267551.0,2016-02-24
88349,433,12,292552.45,2016-02-25
82307,353,8,276695.5,2016-02-26
93898,421,3,311218.266667,2016-02-27
90100,416,12,300058.083333,2016-02-28
81055,454,18,274000.4,2016-02-29
79258,401,6,268055.566667,2016-03-01
80663,361,14,270947.983333,2016-03-02
72639,362,9,247582.8,2016-03-03
71990,339,8,247496.0,2016-03-04
70655,329,6,236598.633333,2016-03-05
67086,334,12,224213.633333,2016-03-06
74689,380,14,256097.05,2016-03-07
73701,442,7,253844.75,2016-03-08
74448,366,7,254301.9,2016-03-09
75308,382,4,256254.066667,2016-03-10
76299,319,3,256375.333333,2016-03-11
73914,338,5,241333.416667,2016-03-12
69994,350,2,231508.733333,2016-03-13
82394,481,8,281920.666667,2016-03-14
84998,514,7,298390.333333,2016-03-15
83119,379,4,290347.05,2016-03-16
80167,354,8,281298.466667,2016-03-17
79305,356,2,274593.016667,2016-03-18
79695,397,0,268599.033333,2016-03-19
77485,418,3,262303.366667,2016-03-20
82700,437,4,291353.266667,2016-03-21
82789,428,3,290333.183333,2016-03-22
83308,435,4,290935.466667,2016-03-23
83806,351,3,291643.483333,2016-03-24
83663,389,3,287221.45,2016-03-25
77866,337,4,265068.733333,2016-03-26
70780,291,7,238216.333333,2016-03-27
78676,367,5,270579.933333,2016-03-28
85891,448,4,289167.516667,2016-03-29
99967,687,14,342978.35,2016-03-30
114207,748,5,399653.616667,2016-03-31
128545,632,10,464679.35,2016-04-01
82753,389,1,302193.066667,2016-04-02
72156,405,7,263573.883333,2016-04-03
76091,363,5,290636.433333,2016-04-04
77538,341,5,289598.8,2016-04-05
78264,353,7,295028.95,2016-04-06
79560,371,5,294650.983333,2016-04-07
80522,301,3,296139.7,2016-04-08
81006,335,9,285396.65,2016-04-09
80443,331,6,284806.55,2016-04-10
90994,366,5,336251.833333,2016-04-11
92129,376,6,336519.75,2016-04-12
93089,324,6,341025.733333,2016-04-13
106511,300,11,386124.966667,2016-04-14
99518,293,5,355661.883333,2016-04-15
98511,332,7,342112.666667,2016-04-16
93478,360,5,324174.816667,2016-04-17
81137,372,4,296651.716667,2016-04-18
99158,333,4,357156.233333,2016-04-19
101835,471,3,366427.95,2016-04-20
102752,467,9,371406.733333,2016-04-21
97654,401,4,354173.966667,2016-04-22
98495,392,3,348541.966667,2016-04-23
91082,444,5,325449.416667,2016-04-24
97568,477,9,361323.583333,2016-04-25
103384,469,10,382599.283333,2016-04-26
109697,457,6,401074.433333,2016-04-27
116849,474,10,424932.0,2016-04-28
110771,503,4,397819.883333,2016-04-29
99125,466,3,348453.733333,2016-04-30
83947,494,3,299793.516667,2016-05-01
95616,524,3,350804.966667,2016-05-02
99596,484,6,354946.416667,2016-05-03
99478,460,8,347878.2,2016-05-04
101845,548,7,355747.716667,2016-05-05
102299,472,7,352189.933333,2016-05-06
100145,463,6,337125.483333,2016-05-07
92203,416,8,312774.35,2016-05-08
101030,534,7,353150.366667,2016-05-09
102076,489,6,355418.7,2016-05-10
103432,485,9,355232.616667,2016-05-11
108496,467,5,372417.25,2016-05-12
106854,467,8,358922.666667,2016-05-13
101450,465,4,336045.616667,2016-05-14
87782,413,4,291712.25,2016-05-15
95004,479,3,331410.3,2016-05-16
91539,485,4,320859.633333,2016-05-17
92934,380,8,330621.366667,2016-05-18
93410,488,8,333047.3,2016-05-19
101735,448,3,351081.083333,2016-05-20
91605,405,5,305038.05,2016-05-21
84505,448,3,281960.983333,2016-05-22
87331,514,5,301420.3,2016-05-23
84997,435,4,288051.25,2016-05-24
80379,415,6,275112.0,2016-05-25
85607,412,3,291916.2,2016-05-26
86727,407,1,288627.066667,2016-05-27
82256,461,3,270709.35,2016-05-28
77335,418,5,255699.85,2016-05-29
81128,451,3,271967.183333,2016-05-30
83561,408,3,286023.183333,2016-05-31
86625,445,5,293325.616667,2016-06-01
91732,425,1,306607.383333,2016-06-02
97687,429,4,322324.55,2016-06-03
92959,459,5,299574.7,2016-06-04
88402,456,4,283247.883333,2016-06-05
94180,391,8,308689.65,2016-06-06
95922,449,3,316005.4,2016-06-07
95812,409,7,316532.233333,2016-06-08
100715,478,6,331463.85,2016-06-09
101978,465,3,338002.866667,2016-06-10
92471,432,4,301570.016667,2016-06-11
76805,382,3,247817.783333,2016-06-12
82611,395,5,275667.45,2016-06-13
85508,372,3,282564.766667,2016-06-14
90313,410,6,296311.916667,2016-06-15
92347,415,4,303796.9,2016-06-16
96593,403,4,316025.15,2016-06-17
89561,378,4,289583.016667,2016-06-18
75813,328,3,245041.633333,2016-06-19
84323,391,4,277774.9,2016-06-20
92322,439,5,301761.066667,2016-06-21
92107,409,3,300738.883333,2016-06-22
97345,464,6,315103.433333,2016-06-23
100355,454,8,322920.866667,2016-06-24
88894,389,2,282844.0,2016-06-25
71116,401,4,226905.833333,2016-06-26
73588,426,2,240089.266667,2016-06-27
72763,417,4,239336.133333,2016-06-28
76080,409,3,250090.416667,2016-06-29
83035,429,5,270269.666667,2016-06-30
84694,343,6,274775.616667,2016-07-01
77922,396,4,248194.9,2016-07-02
73641,322,1,235293.316667,2016-07-03
73934,297,6,234578.116667,2016-07-04
69457,340,8,225438.3,2016-07-05
68110,365,4,222087.25,2016-07-06
65314,311,3,212699.983333,2016-07-07
68918,332,2,221394.516667,2016-07-08
67477,357,3,213093.083333,2016-07-09
64240,355,2,202961.6,2016-07-10
72453,384,5,235033.266667,2016-07-11
72888,383,4,235386.283333,2016-07-12
67490,383,1,217466.833333,2016-07-13
68623,351,2,223049.5,2016-07-14
71290,343,9,229983.716667,2016-07-15
66227,296,1,210578.366667,2016-07-16
61441,291,1,192454.85,2016-07-17
67548,366,3,216507.5,2016-07-18
74671,353,6,241093.966667,2016-07-19
72313,373,8,229856.7,2016-07-20
72972,335,5,233897.15,2016-07-21
74315,339,2,236342.716667,2016-07-22
63273,309,4,198410.716667,2016-07-23
56911,326,2,176277.316667,2016-07-24
58646,332,2,184827.25,2016-07-25
64030,328,4,203411.133333,2016-07-26
68134,309,2,216745.516667,2016-07-27
68108,346,1,217932.733333,2016-07-28
66206,338,6,212228.4,2016-07-29
62799,316,3,196705.55,2016-07-30
54079,291,1,170473.25,2016-07-31
58924,329,3,186930.9,2016-08-01
61213,310,5,192938.616667,2016-08-02
61655,330,4,195950.45,2016-08-03
60218,274,2,195166.95,2016-08-04
64140,305,3,206274.95,2016-08-05
60534,285,2,189267.683333,2016-08-06
52333,269,2,164080.266667,2016-08-07
56235,282,3,178141.916667,2016-08-08
55484,276,4,177393.716667,2016-08-09
55492,260,2,177685.466667,2016-08-10
56248,293,2,178663.566667,2016-08-11
55913,249,2,176996.25,2016-08-12
56455,291,2,177075.133333,2016-08-13
50512,284,1,157569.216667,2016-08-14
53584,266,2,169585.233333,2016-08-15
53917,261,0,171933.166667,2016-08-16
55431,254,1,176637.433333,2016-08-17
53723,301,0,172562.883333,2016-08-18
58145,229,2,183777.516667,2016-08-19
58666,239,3,182012.5,2016-08-20
51725,250,1,161813.516667,2016-08-21
50307,219,2,161411.533333,2016-08-22
51514,219,3,166135.166667,2016-08-23
50692,224,2,164584.083333,2016-08-24
49500,238,2,158510.7,2016-08-25
51182,220,2,163316.933333,2016-08-26
51665,210,2,161013.966667,2016-08-27
46468,279,1,143113.466667,2016-08-28
52245,240,1,164192.483333,2016-08-29
53161,244,4,169726.1,2016-08-30
54540,246,2,172397.966667,2016-08-31
57243,256,1,182413.983333,2016-09-01
59152,208,3,186589.233333,2016-09-02
60109,275,2,185547.616667,2016-09-03
55332,258,3,170620.516667,2016-09-04
56175,262,3,174829.4,2016-09-05
52850,237,2,168877.716667,2016-09-06
55758,247,3,177962.333333,2016-09-07
55215,217,2,175288.616667,2016-09-08
59187,248,1,184240.95,2016-09-09
62216,224,1,190460.5,2016-09-10
54894,269,3,170253.816667,2016-09-11
53565,202,5,171213.683333,2016-09-12
54236,260,0,174383.15,2016-09-13
54795,199,3,173844.366667,2016-09-14
52224,226,2,167344.433333,2016-09-15
52236,219,3,166929.516667,2016-09-16
57093,210,1,177441.633333,2016-09-17
48520,249,3,151492.083333,2016-09-18
48141,225,3,152377.683333,2016-09-19
46895,183,2,150182.25,2016-09-20
46004,199,1,146760.0,2016-09-21
47552,181,2,150527.983333,2016-09-22
50160,168,0,158600.483333,2016-09-23
50458,179,1,154004.516667,2016-09-24
43849,206,0,136490.483333,2016-09-25
43637,176,1,139464.783333,2016-09-26
46619,215,1,149051.65,2016-09-27
51143,187,1,162759.416667,2016-09-28
48801,191,3,157533.616667,2016-09-29
53320,191,4,168568.05,2016-09-30
55033,198,1,171095.133333,2016-10-01
44500,195,0,141699.366667,2016-10-02
44986,188,1,145948.6,2016-10-03
46109,202,2,147949.8,2016-10-04
53042,253,1,173306.1,2016-10-05
52765,201,2,167864.083333,2016-10-06
51982,206,2,166751.733333,2016-10-07
51713,257,1,162867.633333,2016-10-08
46945,200,2,147466.333333,2016-10-09
49066,194,1,159006.75,2016-10-10
49682,169,2,160275.683333,2016-10-11
51434,182,3,165841.283333,2016-10-12
51842,159,1,165685.6,2016-10-13
52806,157,2,168774.4,2016-10-14
56222,143,1,175629.7,2016-10-15
48004,159,2,149312.966667,2016-10-16
46693,171,0,149629.45,2016-10-17
46756,168,4,150011.983333,2016-10-18
48669,164,2,153481.316667,2016-10-19
49850,187,1,158465.05,2016-10-20
50963,167,1,159308.8,2016-10-21
52743,171,5,161646.116667,2016-10-22
42687,204,1,133069.316667,2016-10-23
42294,153,3,134831.1,2016-10-24
44228,164,5,141338.966667,2016-10-25
43615,155,2,139362.983333,2016-10-26
45587,154,3,144689.8,2016-10-27
46473,146,1,147902.733333,2016-10-28
45959,147,3,143031.333333,2016-10-29
40045,179,1,123927.416667,2016-10-30
38556,115,3,124137.083333,2016-10-31
41483,155,3,132224.933333,2016-11-01
41936,155,2,135090.85,2016-11-02
45897,175,0,146384.466667,2016-11-03
48664,158,4,152922.866667,2016-11-04
50452,159,1,155599.133333,2016-11-05
44349,212,2,137504.816667,2016-11-06
41320,162,3,130713.7,2016-11-07
41081,132,1,129529.983333,2016-11-08
38495,152,3,121492.883333,2016-11-09
43945,131,7,139444.0,2016-11-10
49130,140,1,153080.716667,2016-11-11
